id,x,y,z,yaw,pitch,roll
1,-285.362,226.532,-12.6192,2.44852,0.0123432,0.03597
2,-285.13,226.336,-12.602,2.44838,0.0128485,0.0392912
3,-284.889,226.125,-12.6054,2.44859,0.0140222,0.0399081
4,-285.582,226.737,-12.6195,2.44895,0.0116175,0.0339121
5,-285.789,226.922,-12.626,2.44995,0.0111099,0.0318238
6,-286.008,227.12,-12.6205,2.45036,0.0108338,0.031189
7,-286.222,227.296,-12.6236,2.44988,0.0103236,0.0318941
8,-286.437,227.484,-12.6197,2.45012,0.00916187,0.0331309
9,-286.635,227.672,-12.6159,2.45104,0.00760007,0.0330596
10,-286.847,227.85,-12.6106,2.45112,0.00667132,0.0329868
11,-287.047,228.03,-12.5888,2.45137,0.00260342,0.0322293
12,-287.247,228.201,-12.5835,2.45107,-0.00151519,0.0338704
13,-287.438,228.368,-12.6081,2.45085,-0.00418398,0.0359406
14,-287.633,228.521,-12.6297,2.44998,-0.00362566,0.0382543
15,-287.811,228.679,-12.6395,2.45041,-0.00170499,0.0392785
16,-287.99,228.825,-12.6425,2.45081,-0.000643148,0.0392946
17,-288.165,228.983,-12.6489,2.45109,-0.000382401,0.0393785
18,-288.347,229.132,-12.6617,2.45152,0.0018832,0.0398829
19,-288.513,229.275,-12.6795,2.45259,0.00515207,0.0394384
20,-288.679,229.418,-12.6822,2.45282,0.00653668,0.0374789
21,-288.835,229.56,-12.6666,2.45284,0.00651338,0.0354277
22,-288.996,229.696,-12.6841,2.45391,0.00605404,0.0347953
23,-289.155,229.844,-12.6965,2.45343,0.00613594,0.037221
24,-289.314,229.962,-12.7119,2.45345,0.00973921,0.0386937
25,-289.448,230.083,-12.72,2.45388,0.0121068,0.0408022
26,-289.601,230.222,-12.7087,2.45493,0.0138899,0.0427697
27,-289.735,230.349,-12.6963,2.45503,0.0146537,0.0444153
28,-289.884,230.477,-12.6879,2.4542,0.0138744,0.0438957
29,-290.017,230.58,-12.6786,2.45543,0.0120701,0.0439821
30,-290.147,230.71,-12.6852,2.45614,0.0098888,0.0436795
31,-290.29,230.816,-12.6777,2.45624,0.00894441,0.042842
32,-290.403,230.939,-12.6587,2.45683,0.0065354,0.0403661
33,-290.542,231.064,-12.6734,2.45626,0.00207034,0.0410211
34,-290.678,231.168,-12.669,2.45588,-0.000561923,0.0408987
35,-290.803,231.284,-12.6176,2.4561,-0.00610002,0.0393126
36,-290.934,231.394,-12.6374,2.45501,-0.014312,0.0402833
37,-291.07,231.505,-12.6863,2.4553,-0.0149309,0.0401539
38,-291.186,231.606,-12.7412,2.45566,-0.00939894,0.0408329
39,-291.317,231.703,-12.7747,2.45603,-0.000549539,0.0417128
40,-291.419,231.812,-12.7307,2.45644,0.0052295,0.0408316
41,-291.551,231.932,-12.7127,2.45618,0.00193774,0.0433571
42,-291.673,232.039,-12.7188,2.45517,-0.000920399,0.0468182
43,-291.815,232.145,-12.7484,2.45379,-0.0011468,0.0520864
44,-291.929,232.249,-12.7542,2.45343,0.00140012,0.0557911
45,-292.051,232.352,-12.749,2.45426,0.0038821,0.0545459
46,-292.175,232.46,-12.7419,2.4549,0.00674231,0.0505502
