id,x,y,z,yaw,pitch,roll
1,-285.364,226.54,-12.6049,2.44801,0.0126535,0.0395013
2,-285.135,226.361,-12.5969,2.44805,0.0131019,0.0412164
3,-284.891,226.134,-12.5984,2.44805,0.0146378,0.0434035
4,-285.577,226.74,-12.6078,2.44845,0.0123013,0.0355228
5,-285.796,226.938,-12.6136,2.44953,0.0112253,0.033228
6,-286.009,227.138,-12.6168,2.45043,0.0111599,0.0329682
7,-286.226,227.325,-12.613,2.44963,0.0105981,0.0333404
8,-286.44,227.509,-12.6138,2.4502,0.00974657,0.0339777
9,-286.65,227.687,-12.6155,2.45082,0.00815503,0.0348565
10,-286.85,227.87,-12.615,2.45117,0.00706807,0.0334539
11,-287.055,228.044,-12.5975,2.45145,0.00296833,0.0341745
12,-287.25,228.207,-12.6011,2.45097,-0.00168838,0.0365089
13,-287.437,228.361,-12.6195,2.45073,-0.00372769,0.0386655
14,-287.622,228.517,-12.6301,2.45048,-0.00285394,0.0392568
15,-287.815,228.68,-12.6416,2.45078,-0.00142643,0.0402301
16,-287.984,228.829,-12.6341,2.45095,-0.000329201,0.0404671
17,-288.168,228.987,-12.6462,2.45144,-0.000344169,0.0410968
18,-288.337,229.127,-12.6624,2.45208,0.00180979,0.0413481
19,-288.513,229.285,-12.6715,2.45271,0.0053016,0.0407834
20,-288.672,229.425,-12.6635,2.45315,0.00658961,0.0379057
21,-288.831,229.554,-12.6532,2.45365,0.0064452,0.0355953
22,-288.99,229.693,-12.6596,2.45451,0.00593363,0.0352945
23,-289.14,229.823,-12.667,2.45436,0.00676865,0.0373441
24,-289.275,229.986,-12.6617,2.45403,0.0100447,0.0377396
25,-289.46,230.084,-12.6871,2.45476,0.012398,0.0410196
26,-289.585,230.243,-12.6719,2.4559,0.0141693,0.0421839
27,-289.731,230.364,-12.6675,2.45652,0.0145783,0.0438164
28,-289.924,230.472,-12.6882,2.45615,0.0135662,0.0457985
29,-290.073,230.591,-12.6873,2.45741,0.0116069,0.0453818
30,-290.219,230.703,-12.7029,2.45955,0.00911125,0.0460341
31,-290.374,230.816,-12.6966,2.45998,0.00785135,0.0448156
32,-290.504,230.931,-12.677,2.46035,0.00504596,0.0424445
33,-290.625,231.051,-12.6833,2.45919,0.00118988,0.0432381
34,-290.757,231.171,-12.672,2.45823,-0.000955699,0.0429068
35,-290.864,231.299,-12.6165,2.45807,-0.00684777,0.0398762
36,-290.978,231.436,-12.6101,2.45666,-0.0151451,0.0391037
37,-291.111,231.545,-12.6485,2.45743,-0.0153299,0.0392483
38,-291.245,231.645,-12.7117,2.45727,-0.00925653,0.0403252
39,-291.354,231.742,-12.7166,2.45897,0.00022962,0.03957
40,-291.48,231.825,-12.7126,2.45918,0.0052043,0.0413288
41,-291.613,231.93,-12.6978,2.45911,0.00240586,0.043472
42,-291.742,232.052,-12.7139,2.45843,-0.00101924,0.0470373
43,-291.868,232.143,-12.7301,2.45696,-0.000955738,0.0524867
44,-291.991,232.248,-12.7335,2.45661,0.000951642,0.0554815
45,-292.116,232.358,-12.7272,2.45703,0.00360818,0.0543194
46,-292.231,232.452,-12.7203,2.45823,0.00633939,0.0493746
47,-292.333,232.537,-12.7155,2.45925,0.00718368,0.0445043
48,-292.456,232.659,-12.7126,2.45946,0.00534528,0.0441125
49,-292.576,232.764,-12.7301,2.45791,0.00372815,0.046596
50,-292.688,232.835,-12.7478,2.45738,0.00448017,0.0479966
51,-292.79,232.936,-12.7393,2.45768,0.00574522,0.0492113
52,-292.91,233.035,-12.7366,2.45747,0.00580115,0.0495244
53,-293.033,233.147,-12.7376,2.45652,0.00649888,0.0479369
54,-293.169,233.265,-12.7448,2.45811,0.0100381,0.046977
55,-293.291,233.372,-12.7323,2.45901,0.0115412,0.0468689
56,-293.424,233.5,-12.6947,2.45863,0.00835258,0.0438355
57,-293.546,233.611,-12.6883,2.45705,0.00104231,0.0411085
58,-293.7,233.728,-12.7342,2.45692,-0.00258729,0.0405622
59,-293.832,233.829,-12.7447,2.45904,-0.00160433,0.0429755
60,-293.958,233.935,-12.7356,2.45966,-0.00254684,0.046214
61,-294.085,234.044,-12.7282,2.45924,-0.00485141,0.0479215
62,-294.222,234.167,-12.7518,2.45787,-0.00661369,0.0491967
63,-294.351,234.276,-12.7577,2.45679,-0.00603489,0.0500319
64,-294.47,234.389,-12.7607,2.45731,-0.00557315,0.051445
65,-294.589,234.518,-12.7721,2.45598,-0.00520543,0.0516812
66,-294.714,234.647,-12.7692,2.45521,-0.00368201,0.0492397
67,-294.831,234.757,-12.7728,2.45611,-0.00377045,0.0478007
68,-294.962,234.87,-12.7811,2.45657,-0.00390006,0.0480174
69,-295.099,235.006,-12.7853,2.45576,-0.00397092,0.0476972
70,-295.231,235.117,-12.7852,2.45598,-0.00418022,0.0481758
71,-295.363,235.237,-12.7831,2.45593,-0.00405255,0.0486339
72,-295.493,235.358,-12.7763,2.45545,-0.0044301,0.0484417
73,-295.632,235.478,-12.7776,2.45458,-0.00509981,0.0484396
74,-295.759,235.582,-12.7792,2.45489,-0.00498939,0.0484552
75,-295.89,235.687,-12.7887,2.45566,-0.00504205,0.0492197
76,-296.025,235.802,-12.7939,2.45528,-0.00506854,0.0490273
77,-296.174,235.92,-12.7828,2.45485,-0.00454759,0.0471249
78,-296.324,236.04,-12.772,2.45538,-0.00515764,0.0445405
79,-296.471,236.162,-12.7821,2.45664,-0.00554625,0.044154
80,-296.612,236.286,-12.7896,2.45671,-0.00353474,0.0439523
81,-296.763,236.396,-12.7877,2.45654,-0.0017964,0.0438661
82,-296.902,236.505,-12.7736,2.45712,-0.000925465,0.0452476
83,-297.038,236.625,-12.7686,2.45693,-0.00127899,0.0458088
84,-297.178,236.739,-12.7674,2.45628,-0.00125873,0.0459165
85,-297.328,236.844,-12.7752,2.45603,-0.000797974,0.0457782
86,-297.473,236.968,-12.7773,2.45563,0.000368784,0.0453378
87,-297.616,237.099,-12.7744,2.45575,0.0005183,0.0449564
88,-297.773,237.228,-12.7761,2.45628,-0.00106958,0.0451501
89,-297.908,237.338,-12.7851,2.45732,-0.00149763,0.046033
90,-298.06,237.463,-12.7826,2.45725,-0.00153419,0.0457926
