id,x,y,z,yaw,pitch,roll
1,-285.173,226.695,-15.3298,2.45787,-0.0289058,-0.0302226
2,-285.098,226.704,-15.2776,2.4546,-0.0315492,-0.0419239
3,-284.814,226.57,-15.0462,2.45491,-0.0331579,-0.0694844
4,-285.382,227.271,-14.7424,2.45721,-0.0371244,-0.107843
5,-285.549,227.478,-14.6647,2.45831,-0.036779,-0.116512
6,-285.741,227.699,-14.5558,2.45886,-0.0384609,-0.126272
7,-285.928,227.972,-14.3523,2.45766,-0.0354603,-0.147015
8,-286.1,228.143,-14.3096,2.45852,-0.0331376,-0.152186
9,-286.246,228.384,-14.2376,2.45828,-0.0219099,-0.172215
10,-286.371,228.547,-14.1757,2.45868,-0.014433,-0.181384
11,-286.52,228.701,-14.0697,2.45825,-0.00499427,-0.184772
12,-286.681,228.832,-14.0214,2.45807,-6.13066e-05,-0.184273
13,-286.853,228.984,-14.0049,2.45776,0.00426882,-0.182487
14,-287.034,229.138,-14.0064,2.45708,0.00695939,-0.182334
15,-287.228,229.282,-13.9979,2.45779,0.00638635,-0.179615
16,-287.391,229.441,-14.0136,2.45849,0.00756615,-0.182529
17,-287.585,229.588,-14.0312,2.45813,0.00905779,-0.177489
18,-287.746,229.725,-14.0638,2.45888,0.0115112,-0.17855
19,-287.908,229.871,-14.0707,2.45916,0.0131311,-0.1801
20,-288.063,229.999,-14.0647,2.45947,0.013449,-0.179774
21,-288.271,230.152,-14.0521,2.45917,0.012994,-0.177486
22,-288.403,230.284,-14.0722,2.45981,0.0140314,-0.180436
23,-288.562,230.442,-14.0867,2.45906,0.015062,-0.180963
24,-288.693,230.629,-14.1244,2.4579,0.0216281,-0.183753
25,-288.84,230.699,-14.1286,2.45859,0.0220537,-0.18115
26,-288.968,230.869,-14.1672,2.45964,0.0279833,-0.181588
27,-289.081,230.964,-14.1702,2.46055,0.0320683,-0.179146
28,-289.242,231.045,-14.1982,2.45901,0.0343367,-0.178937
29,-289.398,231.164,-14.1991,2.45969,0.0332564,-0.177306
30,-289.538,231.276,-14.2028,2.46041,0.0330233,-0.174699
31,-289.66,231.385,-14.1996,2.46077,0.034139,-0.177422
32,-289.76,231.48,-14.2122,2.46152,0.0346578,-0.179236
33,-289.888,231.585,-14.2094,2.46041,0.0356432,-0.177949
34,-290.023,231.698,-14.2084,2.46065,0.0346725,-0.179432
