id,x,y,z,yaw,pitch,roll
1,-284.811,226.396,-14.8424,2.45832,-0.0395242,-0.0343118
2,-284.893,226.119,-12.6044,2.44801,0.0144166,0.042204
3,-285.358,226.533,-12.5992,2.44811,0.0127203,0.0373626
4,-285.575,226.739,-12.6076,2.44881,0.0120643,0.0335533
5,-285.788,226.93,-12.613,2.44983,0.0111686,0.0316522
6,-286.012,227.13,-12.6189,2.45051,0.0109539,0.0317282
7,-286.225,227.317,-12.616,2.44968,0.010366,0.0322876
8,-286.446,227.502,-12.6157,2.45037,0.00945494,0.0330579
9,-286.649,227.68,-12.619,2.45109,0.00791477,0.0340495
10,-286.851,227.863,-12.6162,2.45124,0.00697944,0.0334493
11,-287.056,228.044,-12.5969,2.45144,0.00273723,0.0330952
12,-287.255,228.212,-12.5965,2.4511,-0.00191316,0.0355159
13,-287.448,228.375,-12.6179,2.45079,-0.00407751,0.0377408
14,-287.629,228.529,-12.6301,2.45045,-0.00302631,0.0385956
15,-287.816,228.688,-12.6416,2.45089,-0.00165782,0.0395909
16,-287.985,228.835,-12.6353,2.451,-0.000506489,0.0400617
17,-288.168,229.001,-12.6451,2.45148,-0.000534662,0.0404289
18,-288.346,229.144,-12.664,2.45188,0.0017614,0.0409942
19,-288.513,229.292,-12.6722,2.45262,0.00537374,0.0401874
20,-288.668,229.43,-12.666,2.45291,0.00676942,0.0375573
21,-288.834,229.569,-12.6595,2.45343,0.00648571,0.0347876
22,-288.99,229.706,-12.6657,2.45418,0.00599469,0.0345879
23,-289.144,229.838,-12.6762,2.45407,0.00684377,0.0366212
24,-289.282,229.987,-12.6816,2.45374,0.0100042,0.0376733
25,-289.46,230.086,-12.6977,2.45446,0.0124055,0.0415732
26,-289.59,230.246,-12.685,2.45558,0.014201,0.0423991
27,-289.729,230.369,-12.6808,2.45559,0.0144944,0.0439687
28,-289.894,230.476,-12.6856,2.455,0.0137664,0.0444941
29,-290.035,230.594,-12.6769,2.45583,0.0119493,0.0440972
30,-290.166,230.718,-12.6844,2.45688,0.00956477,0.0436205
31,-290.301,230.827,-12.6761,2.45696,0.00880939,0.0426994
32,-290.443,230.952,-12.6624,2.4577,0.00588289,0.0409938
33,-290.566,231.071,-12.6721,2.45666,0.00192833,0.0418652
34,-290.707,231.185,-12.663,2.45647,-0.000571424,0.0415905
