id,x,y,z,yaw,pitch,roll
1,-285.365,226.536,-12.605,2.44816,0.0125045,0.0386821
2,-285.168,226.371,-12.5981,2.44787,0.0129761,0.0410494
3,-284.908,226.136,-12.5999,2.44784,0.0144541,0.0425012
4,-285.566,226.736,-12.6068,2.44863,0.0121967,0.0338645
5,-285.779,226.929,-12.6125,2.44978,0.0112123,0.0315906
6,-285.989,227.123,-12.6173,2.45045,0.0111195,0.0314628
7,-286.194,227.307,-12.6157,2.44964,0.0106189,0.0320432
8,-286.419,227.496,-12.614,2.45016,0.00962592,0.0327646
9,-286.637,227.681,-12.6158,2.45091,0.00809667,0.0339161
10,-286.847,227.868,-12.6156,2.45109,0.00705597,0.0334135
11,-287.046,228.04,-12.599,2.45133,0.00290124,0.0335014
12,-287.247,228.211,-12.5991,2.45098,-0.00181818,0.035803
13,-287.437,228.369,-12.6174,2.45078,-0.00380808,0.0380284
14,-287.61,228.514,-12.6291,2.45045,-0.00298267,0.0388396
15,-287.8,228.676,-12.6404,2.45084,-0.00157828,0.0395946
16,-287.966,228.819,-12.6353,2.45112,-0.000481283,0.0400853
17,-288.15,228.98,-12.6448,2.4515,-0.000401308,0.0406545
18,-288.33,229.125,-12.6642,2.45202,0.00175037,0.0411668
19,-288.503,229.28,-12.6732,2.45271,0.00519648,0.0405843
20,-288.656,229.413,-12.6663,2.45305,0.00656907,0.0377764
21,-288.825,229.553,-12.6567,2.45349,0.00637433,0.0352301
22,-288.986,229.697,-12.6615,2.45441,0.00589667,0.0346717
23,-289.121,229.811,-12.6701,2.45434,0.00679622,0.036573
24,-289.276,229.978,-12.6776,2.45401,0.00990329,0.0378336
25,-289.455,230.078,-12.6923,2.45477,0.0123759,0.0411764
26,-289.582,230.234,-12.6823,2.45588,0.0141434,0.0424009
27,-289.704,230.342,-12.6772,2.45626,0.0146129,0.0436446
28,-289.913,230.469,-12.6853,2.45595,0.0136091,0.0450421
29,-290.052,230.587,-12.6779,2.45685,0.0118996,0.0444702
30,-290.192,230.707,-12.6875,2.45825,0.00946673,0.044552
31,-290.327,230.821,-12.6779,2.45835,0.00856829,0.0432542
32,-290.46,230.947,-12.6618,2.4587,0.00571089,0.0411796
33,-290.58,231.059,-12.6725,2.4574,0.00183539,0.0422318
34,-290.723,231.178,-12.6648,2.45721,-0.000659,0.0422101
35,-290.839,231.297,-12.6188,2.45705,-0.00665718,0.0402164
36,-290.967,231.43,-12.627,2.45618,-0.0152455,0.0402579
37,-291.098,231.536,-12.6649,2.45662,-0.01538,0.0402761
38,-291.227,231.636,-12.72,2.45651,-0.00915268,0.0412536
39,-291.342,231.738,-12.7288,2.45822,0.000238723,0.040576
40,-291.466,231.832,-12.7176,2.45828,0.00531644,0.0416061
41,-291.587,231.939,-12.6982,2.45793,0.00275525,0.0432379
42,-291.712,232.06,-12.7155,2.45685,-0.000709699,0.0471727
43,-291.84,232.152,-12.7346,2.45564,-0.000621417,0.0523416
44,-291.966,232.252,-12.7445,2.45487,0.00133722,0.0564293
45,-292.095,232.366,-12.7364,2.45534,0.00399398,0.0554319
46,-292.202,232.463,-12.7331,2.45601,0.00672659,0.0507576
47,-292.306,232.561,-12.7274,2.45713,0.00753552,0.0456271
48,-292.426,232.664,-12.7282,2.4574,0.00594328,0.045553
49,-292.535,232.764,-12.7398,2.45573,0.00446147,0.0475127
50,-292.639,232.841,-12.7555,2.4552,0.00490214,0.0486709
51,-292.763,232.955,-12.7504,2.45572,0.00610393,0.0503068
52,-292.876,233.054,-12.7487,2.45513,0.0060881,0.0505335
53,-292.996,233.156,-12.7504,2.45453,0.00685132,0.0490247
54,-293.14,233.283,-12.7603,2.456,0.010391,0.0481995
55,-293.266,233.404,-12.7474,2.45704,0.0117822,0.0481746
56,-293.387,233.511,-12.7107,2.45662,0.00860317,0.0450232
57,-293.535,233.644,-12.7203,2.45515,8.25038e-05,0.0424746
58,-293.67,233.749,-12.7547,2.45521,-0.0024584,0.0421433
59,-293.796,233.855,-12.7596,2.4574,-0.00116575,0.0437141
60,-293.919,233.96,-12.7516,2.45816,-0.0020685,0.0468554
61,-294.052,234.076,-12.7424,2.4577,-0.00440505,0.04847
62,-294.185,234.201,-12.7667,2.45633,-0.00616636,0.0498361
63,-294.31,234.305,-12.7721,2.45544,-0.00577685,0.0506583
64,-294.433,234.408,-12.7721,2.45601,-0.00535322,0.0519243
65,-294.549,234.513,-12.781,2.45522,-0.00492914,0.0521435
66,-294.7,234.651,-12.7792,2.4544,-0.0033673,0.0499064
67,-294.816,234.762,-12.7834,2.4554,-0.00348675,0.0482835
68,-294.939,234.872,-12.7907,2.45582,-0.00358666,0.0483449
69,-295.079,235.001,-12.7928,2.45539,-0.00382281,0.0481035
70,-295.202,235.106,-12.7943,2.45534,-0.00391146,0.048587
71,-295.331,235.222,-12.7959,2.45542,-0.00373504,0.0492373
72,-295.482,235.359,-12.7901,2.45496,-0.00429329,0.0491385
73,-295.623,235.483,-12.79,2.45419,-0.00489324,0.0489275
74,-295.734,235.573,-12.7909,2.45442,-0.00482579,0.0489646
75,-295.892,235.701,-12.7961,2.45523,-0.00517476,0.049443
76,-296.008,235.806,-12.7986,2.45467,-0.00504061,0.0491375
77,-296.156,235.924,-12.794,2.45406,-0.00436652,0.047698
78,-296.291,236.035,-12.7852,2.45417,-0.00456123,0.0455154
79,-296.44,236.169,-12.7959,2.45541,-0.00492638,0.0448118
80,-296.585,236.297,-12.8012,2.45546,-0.00321806,0.0445786
81,-296.729,236.419,-12.8043,2.45519,-0.00148746,0.0447588
82,-296.86,236.533,-12.794,2.4555,-0.000827075,0.0460546
83,-296.986,236.646,-12.7866,2.45561,-0.000843463,0.0464784
84,-297.147,236.791,-12.7844,2.45492,-0.00106247,0.0460994
85,-297.271,236.889,-12.7886,2.45486,-0.000477741,0.0457734
86,-297.422,237.024,-12.7953,2.45442,0.000823105,0.0454853
