id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6037,2.44815,0.0125338,0.0385892
2,-285.158,226.362,-12.5984,2.44786,0.0130041,0.0410956
3,-284.9,226.129,-12.6005,2.44785,0.0145507,0.0424314
4,-285.569,226.738,-12.6069,2.44865,0.0121701,0.0338615
5,-285.783,226.932,-12.6125,2.44981,0.0111954,0.0315672
6,-286.004,227.136,-12.6177,2.45057,0.0110103,0.0315231
7,-286.218,227.324,-12.6148,2.44967,0.0104155,0.0319969
8,-286.431,227.504,-12.6137,2.45026,0.00957835,0.0327653
9,-286.638,227.682,-12.6157,2.45092,0.00809257,0.0339142
10,-286.847,227.868,-12.6156,2.45109,0.00705662,0.033412
11,-287.052,228.044,-12.5982,2.45138,0.00284414,0.0335084
12,-287.249,228.212,-12.5987,2.45098,-0.00184489,0.0358238
13,-287.437,228.369,-12.6174,2.45078,-0.00380923,0.0380295
14,-287.618,228.52,-12.6296,2.45047,-0.00297732,0.0388462
15,-287.811,228.683,-12.6414,2.45091,-0.00160008,0.0397503
16,-287.977,228.828,-12.6358,2.45111,-0.000489594,0.040077
17,-288.159,228.988,-12.6458,2.45151,-0.000433952,0.0406737
18,-288.338,229.132,-12.6645,2.45204,0.00173278,0.0411907
19,-288.51,229.285,-12.6728,2.45275,0.00524574,0.0405597
20,-288.657,229.413,-12.6665,2.45305,0.00655457,0.037796
21,-288.825,229.553,-12.6568,2.4535,0.00636697,0.0352272
22,-288.99,229.701,-12.6617,2.45442,0.0058694,0.0346727
23,-289.138,229.827,-12.671,2.45429,0.00677055,0.0367836
24,-289.277,229.979,-12.678,2.45402,0.00989383,0.0378606
25,-289.461,230.083,-12.6928,2.45478,0.0123764,0.0413065
26,-289.587,230.238,-12.6824,2.45591,0.0141606,0.0423954
27,-289.73,230.363,-12.6781,2.45633,0.0144569,0.0439258
28,-289.914,230.47,-12.6861,2.45595,0.0135713,0.0451035
29,-290.056,230.592,-12.6782,2.45685,0.0118246,0.0445105
30,-290.196,230.708,-12.6899,2.45836,0.00940437,0.0446832
31,-290.327,230.821,-12.678,2.45836,0.00855421,0.0432812
32,-290.461,230.948,-12.6618,2.45872,0.00568564,0.041182
33,-290.581,231.06,-12.673,2.45741,0.00180291,0.0422616
34,-290.724,231.178,-12.665,2.4572,-0.000692615,0.042237
35,-290.841,231.298,-12.619,2.45705,-0.00669661,0.0402056
36,-290.967,231.431,-12.6273,2.45619,-0.015274,0.0402765
37,-291.1,231.538,-12.6656,2.45663,-0.0154061,0.0403076
38,-291.228,231.636,-12.7201,2.45653,-0.00912964,0.0412615
39,-291.343,231.739,-12.7286,2.45823,0.000256823,0.0405564
40,-291.466,231.833,-12.7171,2.45828,0.00534852,0.0415745
41,-291.588,231.94,-12.6982,2.45794,0.00272839,0.0432474
42,-291.713,232.062,-12.7169,2.45685,-0.000797866,0.047323
43,-291.842,232.154,-12.7356,2.45567,-0.00064375,0.0524939
44,-291.966,232.252,-12.7446,2.45488,0.00132967,0.0564345
45,-292.096,232.368,-12.7357,2.45536,0.00407327,0.0553728
46,-292.203,232.465,-12.7325,2.45603,0.00675767,0.0507093
47,-292.311,232.566,-12.7261,2.45725,0.00753653,0.0454687
48,-292.426,232.665,-12.7281,2.4574,0.00594604,0.04555
49,-292.539,232.768,-12.7406,2.45575,0.00438374,0.0475662
50,-292.648,232.848,-12.7572,2.4552,0.00490306,0.0487817
51,-292.772,232.964,-12.7509,2.4559,0.00604115,0.0503648
52,-292.878,233.056,-12.7488,2.45516,0.00606342,0.0505397
53,-293.002,233.162,-12.7503,2.45451,0.00684579,0.0489503
54,-293.135,233.278,-12.761,2.45593,0.010305,0.0482588
55,-293.268,233.406,-12.7473,2.45707,0.0117991,0.0481725
56,-293.39,233.513,-12.7112,2.45665,0.00852638,0.0449878
57,-293.535,233.644,-12.7204,2.45515,7.33133e-05,0.0424753
58,-293.671,233.749,-12.7546,2.45521,-0.00245801,0.0421433
59,-293.797,233.855,-12.7596,2.45743,-0.00117043,0.0437187
60,-293.925,233.965,-12.7535,2.45817,-0.00221548,0.0470241
61,-294.052,234.076,-12.7427,2.4577,-0.00441148,0.0484757
62,-294.187,234.203,-12.7671,2.45633,-0.00620089,0.049856
63,-294.313,234.308,-12.7723,2.4554,-0.00578663,0.0506866
64,-294.438,234.412,-12.7718,2.45603,-0.00535207,0.0519752
65,-294.563,234.527,-12.7814,2.45517,-0.00494535,0.0521396
66,-294.702,234.654,-12.7793,2.45436,-0.00335539,0.0498506
67,-294.821,234.768,-12.7833,2.45541,-0.00351757,0.0482159
68,-294.947,234.88,-12.7905,2.45583,-0.00360879,0.0482731
69,-295.087,235.012,-12.7918,2.45531,-0.00384403,0.0479308
70,-295.222,235.127,-12.7944,2.45541,-0.00405111,0.0485704
71,-295.343,235.235,-12.7959,2.45544,-0.00378982,0.0491894
72,-295.483,235.36,-12.79,2.45496,-0.00431308,0.0491371
73,-295.623,235.483,-12.7899,2.45419,-0.00489336,0.0489233
74,-295.752,235.588,-12.7903,2.45445,-0.00486387,0.048899
75,-295.896,235.704,-12.7963,2.45528,-0.00525837,0.0494531
76,-296.012,235.809,-12.7987,2.45465,-0.00506694,0.0491102
77,-296.158,235.926,-12.7938,2.45402,-0.00436834,0.0476403
78,-296.297,236.044,-12.7849,2.4541,-0.00461799,0.0453204
79,-296.443,236.173,-12.7962,2.45537,-0.00495923,0.0447541
80,-296.587,236.301,-12.8013,2.45545,-0.00319898,0.0445401
81,-296.729,236.419,-12.8042,2.4552,-0.00148878,0.0447511
82,-296.866,236.539,-12.7934,2.45548,-0.000804153,0.0460613
83,-297.007,236.669,-12.7857,2.45551,-0.0010161,0.0463881
84,-297.149,236.793,-12.7849,2.45493,-0.00112989,0.0460691
85,-297.284,236.903,-12.7887,2.45481,-0.000460968,0.0456563
86,-297.432,237.032,-12.7958,2.45434,0.000830044,0.0454461
87,-297.567,237.148,-12.79,2.4544,0.000872357,0.0449229
88,-297.729,237.291,-12.7907,2.45505,-0.000776163,0.0451199
89,-297.864,237.404,-12.7976,2.45595,-0.00106495,0.0457384
90,-298.004,237.533,-12.793,2.4558,-0.00124189,0.04546
91,-298.156,237.671,-12.8001,2.45575,-0.00211992,0.0445715
92,-298.286,237.792,-12.8052,2.45638,-0.00225519,0.044203
93,-298.421,237.905,-12.8099,2.45696,-0.00246221,0.0437284
