id,x,y,z,yaw,pitch,roll
1,-285.135,226.32,-12.6037,2.44838,0.0137812,0.0454743
2,-284.92,226.13,-12.5987,2.44791,0.0150602,0.0476143
3,-285.375,226.485,-12.6038,2.44793,0.0136073,0.0457431
4,-285.6,226.71,-12.6102,2.44838,0.0129624,0.043358
5,-285.815,226.92,-12.6119,2.45,0.0117944,0.0385543
6,-286.03,227.127,-12.615,2.45018,0.0113692,0.0380481
7,-286.232,227.313,-12.6162,2.44974,0.0110171,0.0375127
8,-286.444,227.494,-12.6139,2.4505,0.0105164,0.0379074
9,-286.658,227.686,-12.606,2.45119,0.00835509,0.0384702
10,-286.848,227.871,-12.6101,2.45167,0.00750888,0.0363787
11,-287.046,228.051,-12.5885,2.4518,0.00336819,0.0352336
12,-287.25,228.196,-12.5924,2.45132,-0.00101524,0.0381296
13,-287.445,228.351,-12.6151,2.45109,-0.00337602,0.0400287
14,-287.623,228.515,-12.628,2.45067,-0.00254114,0.0408251
15,-287.795,228.669,-12.6335,2.45115,-0.00097516,0.0413529
16,-287.982,228.821,-12.6302,2.4513,2.95442e-05,0.0419057
17,-288.155,228.973,-12.6416,2.45166,-4.90827e-05,0.0418464
18,-288.34,229.122,-12.6721,2.45227,0.00217984,0.0423114
19,-288.523,229.278,-12.6757,2.45292,0.00531741,0.041877
20,-288.667,229.416,-12.6634,2.45296,0.00662557,0.0396107
21,-288.839,229.55,-12.6539,2.4535,0.00652989,0.0373894
22,-289,229.68,-12.6631,2.4542,0.00609505,0.0370674
23,-289.153,229.822,-12.6807,2.45412,0.00653106,0.0388891
24,-289.313,229.954,-12.7008,2.45401,0.00964542,0.0401435
25,-289.467,230.079,-12.7047,2.45488,0.0122311,0.0424472
26,-289.619,230.218,-12.6933,2.45611,0.0142175,0.0445649
27,-289.765,230.336,-12.6904,2.45667,0.0149364,0.0452736
28,-289.916,230.456,-12.6784,2.45587,0.0141178,0.0459353
29,-290.076,230.578,-12.6835,2.45714,0.011972,0.0453842
30,-290.226,230.698,-12.699,2.45876,0.00929085,0.045731
31,-290.379,230.796,-12.6997,2.45943,0.0079396,0.0449733
32,-290.547,230.894,-12.6913,2.46097,0.00500122,0.0435876
