id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6037,2.44815,0.0125338,0.0385892
2,-285.158,226.362,-12.5984,2.44786,0.0130041,0.0410956
3,-284.9,226.129,-12.6005,2.44785,0.0145507,0.0424314
4,-285.572,226.74,-12.6067,2.44868,0.0121588,0.033853
5,-285.783,226.932,-12.6126,2.44981,0.0111956,0.0315669
6,-286.004,227.136,-12.6177,2.45057,0.0110091,0.0315241
7,-286.218,227.324,-12.6148,2.44967,0.0104164,0.0319953
8,-286.433,227.507,-12.6136,2.45028,0.00957168,0.03276
9,-286.638,227.682,-12.6157,2.45093,0.00809156,0.0339235
10,-286.847,227.868,-12.6155,2.45109,0.00705516,0.0334124
11,-287.052,228.044,-12.5983,2.45138,0.00284797,0.0335059
12,-287.249,228.212,-12.5987,2.45098,-0.00184523,0.0358246
13,-287.437,228.369,-12.6174,2.45078,-0.00380868,0.0380294
14,-287.618,228.52,-12.6297,2.45047,-0.00298109,0.0388553
15,-287.811,228.683,-12.6414,2.45091,-0.00159756,0.0397509
16,-287.977,228.828,-12.6357,2.45111,-0.000486219,0.0400772
17,-288.168,228.997,-12.647,2.45148,-0.000485386,0.0407129
18,-288.339,229.134,-12.6647,2.45203,0.00171638,0.0412117
19,-288.51,229.285,-12.6728,2.45275,0.00524693,0.0405592
20,-288.666,229.422,-12.6649,2.45306,0.00660607,0.0377447
21,-288.827,229.554,-12.6566,2.45349,0.00636795,0.0352173
22,-288.99,229.701,-12.6616,2.45442,0.00586936,0.0346696
23,-289.138,229.827,-12.6709,2.45429,0.00677082,0.0367839
24,-289.277,229.979,-12.678,2.45402,0.0098935,0.0378627
25,-289.461,230.083,-12.6928,2.45479,0.0123746,0.041307
26,-289.587,230.238,-12.6824,2.45591,0.0141602,0.0423948
27,-289.73,230.363,-12.6781,2.45634,0.0144554,0.0439259
28,-289.914,230.47,-12.6861,2.45595,0.0135714,0.0451042
29,-290.056,230.592,-12.6782,2.45685,0.0118234,0.0445135
30,-290.196,230.708,-12.6898,2.45836,0.00940573,0.0446829
31,-290.327,230.821,-12.6781,2.45836,0.00855492,0.0432728
32,-290.461,230.948,-12.6618,2.45872,0.00568543,0.0411792
33,-290.581,231.06,-12.673,2.45741,0.00180259,0.042261
34,-290.724,231.178,-12.6649,2.4572,-0.000692706,0.0422373
35,-290.841,231.298,-12.6189,2.45705,-0.00669646,0.0401959
36,-290.967,231.431,-12.6272,2.45619,-0.0152799,0.0402622
37,-291.099,231.538,-12.6655,2.45663,-0.01541,0.0403055
38,-291.228,231.636,-12.7201,2.45652,-0.00912966,0.041261
39,-291.344,231.739,-12.7286,2.45823,0.00025673,0.0405567
40,-291.466,231.832,-12.7172,2.45828,0.00534935,0.0415788
41,-291.589,231.941,-12.6984,2.45795,0.00269963,0.0432685
42,-291.713,232.062,-12.7176,2.45685,-0.000830611,0.0473597
43,-291.842,232.154,-12.7356,2.45567,-0.000641511,0.0524919
44,-291.966,232.252,-12.7446,2.45488,0.00132915,0.0564381
45,-292.096,232.368,-12.7356,2.45537,0.00407351,0.0553734
46,-292.203,232.465,-12.7325,2.45603,0.00675708,0.0507113
47,-292.311,232.566,-12.7261,2.45725,0.00753547,0.0454697
48,-292.426,232.665,-12.7281,2.4574,0.00594547,0.0455497
49,-292.539,232.768,-12.7406,2.45575,0.00438116,0.0475658
50,-292.648,232.848,-12.7572,2.4552,0.00490406,0.0487815
51,-292.772,232.964,-12.7508,2.4559,0.00604186,0.050364
52,-292.883,233.061,-12.7484,2.45515,0.00603121,0.0505323
53,-292.997,233.157,-12.7504,2.45454,0.00681805,0.049028
54,-293.142,233.286,-12.7598,2.45606,0.0104269,0.048125
55,-293.268,233.406,-12.7473,2.45708,0.0117986,0.0481731
56,-293.391,233.514,-12.7113,2.45666,0.00849891,0.0449894
57,-293.537,233.646,-12.7216,2.45517,-4.34625e-05,0.0425204
58,-293.671,233.749,-12.755,2.45522,-0.00249964,0.0421644
59,-293.797,233.856,-12.7597,2.45743,-0.00117584,0.0437154
60,-293.925,233.965,-12.7535,2.45817,-0.00221528,0.0470209
61,-294.053,234.077,-12.7428,2.45769,-0.00443207,0.0484779
62,-294.188,234.204,-12.7677,2.45632,-0.00623568,0.049882
63,-294.314,234.31,-12.7726,2.45537,-0.00579837,0.0507034
64,-294.438,234.412,-12.7719,2.45603,-0.005357,0.0519785
65,-294.563,234.527,-12.7814,2.45517,-0.00494488,0.0521405
66,-294.702,234.654,-12.7792,2.45437,-0.00335875,0.0498529
67,-294.824,234.772,-12.7831,2.45542,-0.00354156,0.0481766
68,-294.947,234.881,-12.7906,2.45583,-0.0036093,0.0482662
69,-295.087,235.012,-12.7918,2.45531,-0.00384596,0.0479317
70,-295.222,235.127,-12.7945,2.45542,-0.0040485,0.048572
71,-295.343,235.234,-12.7959,2.45544,-0.00378989,0.0491889
72,-295.483,235.36,-12.79,2.45496,-0.00431305,0.0491365
73,-295.623,235.483,-12.7899,2.45419,-0.0048942,0.0489255
74,-295.752,235.588,-12.7903,2.45445,-0.00486461,0.048899
75,-295.896,235.704,-12.7963,2.45528,-0.00525612,0.0494537
76,-296.012,235.809,-12.7987,2.45465,-0.00506764,0.0491115
77,-296.158,235.926,-12.7938,2.45402,-0.00436698,0.0476407
78,-296.297,236.044,-12.7849,2.4541,-0.00461956,0.0453202
79,-296.445,236.175,-12.7961,2.45535,-0.00498566,0.0447203
80,-296.589,236.304,-12.8015,2.45543,-0.00318347,0.0445113
81,-296.733,236.423,-12.804,2.45518,-0.0014727,0.0447169
82,-296.866,236.539,-12.7933,2.45548,-0.000795499,0.0460588
83,-297.009,236.671,-12.7861,2.45551,-0.00104301,0.0463954
84,-297.152,236.794,-12.7849,2.45492,-0.00115064,0.0460813
85,-297.284,236.903,-12.7889,2.45481,-0.000468887,0.0456623
86,-297.432,237.032,-12.796,2.45434,0.00082618,0.0454475
87,-297.57,237.152,-12.79,2.45438,0.000852397,0.0449135
88,-297.731,237.293,-12.7911,2.45505,-0.000915864,0.0451411
89,-297.864,237.404,-12.7977,2.45595,-0.00107174,0.045739
90,-298.004,237.533,-12.793,2.4558,-0.00123985,0.0454602
91,-298.156,237.671,-12.8001,2.45575,-0.0021193,0.0445738
92,-298.286,237.792,-12.8052,2.45638,-0.0022555,0.0442042
93,-298.421,237.906,-12.8099,2.45695,-0.00246207,0.0437263
