id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6037,2.44815,0.0125338,0.0385892
2,-285.158,226.362,-12.5984,2.44786,0.0130041,0.0410956
3,-284.9,226.129,-12.6005,2.44785,0.0145507,0.0424314
4,-285.572,226.74,-12.6066,2.44868,0.0121591,0.0338441
5,-285.783,226.932,-12.6126,2.44981,0.0111969,0.0315679
6,-286.004,227.136,-12.6177,2.45057,0.0110078,0.0315235
7,-286.214,227.322,-12.6149,2.44966,0.0104332,0.0319903
8,-286.433,227.506,-12.6136,2.45028,0.00956867,0.0327573
9,-286.638,227.682,-12.6157,2.45092,0.00809249,0.0339212
10,-286.847,227.868,-12.6155,2.45109,0.0070564,0.0334115
11,-287.052,228.044,-12.5982,2.45138,0.00284494,0.0335071
12,-287.249,228.212,-12.5987,2.45098,-0.00184448,0.0358228
13,-287.437,228.369,-12.6173,2.45078,-0.00380791,0.0380278
14,-287.626,228.527,-12.6295,2.4505,-0.00296414,0.0387807
15,-287.807,228.681,-12.6413,2.45088,-0.00158814,0.0397097
16,-287.976,228.828,-12.6355,2.45111,-0.000482569,0.0400661
17,-288.168,228.997,-12.6471,2.45148,-0.000482908,0.0407223
18,-288.339,229.134,-12.6647,2.45203,0.00171644,0.0412118
19,-288.51,229.285,-12.6728,2.45275,0.0052462,0.0405588
20,-288.663,229.418,-12.6657,2.45304,0.00658239,0.0377758
21,-288.826,229.554,-12.6567,2.45349,0.00636656,0.0352164
22,-288.99,229.701,-12.6616,2.45442,0.00586932,0.0346703
23,-289.138,229.827,-12.6709,2.45429,0.00677065,0.0367831
24,-289.277,229.979,-12.678,2.45402,0.00989371,0.0378607
25,-289.461,230.083,-12.6927,2.45478,0.0123765,0.0413042
26,-289.587,230.238,-12.6824,2.45591,0.0141616,0.0423962
27,-289.73,230.363,-12.6781,2.45634,0.0144586,0.0439144
28,-289.914,230.47,-12.6861,2.45595,0.0135736,0.0450965
29,-290.056,230.592,-12.6782,2.45685,0.0118219,0.0445128
30,-290.196,230.708,-12.6899,2.45836,0.0094037,0.0446841
31,-290.327,230.821,-12.678,2.45836,0.0085553,0.043272
32,-290.461,230.948,-12.6618,2.45872,0.00568617,0.0411802
33,-290.581,231.06,-12.673,2.45741,0.00180213,0.0422616
34,-290.724,231.178,-12.665,2.4572,-0.000692763,0.0422372
35,-290.841,231.298,-12.6189,2.45705,-0.00669442,0.0402053
36,-290.967,231.43,-12.627,2.45618,-0.0152458,0.0402523
37,-291.1,231.538,-12.6655,2.45663,-0.0154061,0.040306
38,-291.227,231.636,-12.72,2.45651,-0.00915379,0.0412524
39,-291.344,231.739,-12.7287,2.45823,0.000254761,0.040553
40,-291.466,231.832,-12.7172,2.45828,0.0053492,0.0415796
41,-291.589,231.941,-12.6984,2.45795,0.00269573,0.0432715
42,-291.713,232.062,-12.7169,2.45685,-0.000800868,0.0473289
43,-291.842,232.154,-12.7356,2.45567,-0.000641249,0.0524919
44,-291.966,232.252,-12.7446,2.45488,0.0013293,0.0564367
45,-292.096,232.368,-12.7356,2.45537,0.00407393,0.0553714
46,-292.204,232.466,-12.7321,2.45603,0.006782,0.0506891
47,-292.312,232.566,-12.726,2.45725,0.00753761,0.0454725
48,-292.426,232.665,-12.7282,2.4574,0.00594629,0.0455542
49,-292.54,232.769,-12.741,2.45575,0.00434589,0.0476057
50,-292.648,232.848,-12.7573,2.4552,0.00489724,0.048784
51,-292.772,232.964,-12.7509,2.4559,0.00604096,0.0503631
52,-292.883,233.061,-12.7485,2.45515,0.00603001,0.0505343
53,-292.997,233.157,-12.7505,2.45454,0.00681371,0.0490276
54,-293.142,233.286,-12.7598,2.45607,0.0104271,0.0481195
55,-293.258,233.397,-12.7488,2.4569,0.0116955,0.0482054
56,-293.391,233.514,-12.7113,2.45664,0.00850418,0.0449973
57,-293.535,233.644,-12.7204,2.45515,7.39672e-05,0.0424764
58,-293.671,233.749,-12.7546,2.45521,-0.0024581,0.0421436
59,-293.797,233.856,-12.7596,2.45743,-0.00117128,0.0437186
60,-293.925,233.965,-12.7535,2.45817,-0.00221532,0.0470237
61,-294.053,234.077,-12.7429,2.45769,-0.00443329,0.0484762
62,-294.187,234.203,-12.7671,2.45632,-0.00620074,0.0498568
63,-294.314,234.31,-12.7724,2.45538,-0.00579257,0.0507049
64,-294.438,234.412,-12.7719,2.45603,-0.00536091,0.0519796
65,-294.563,234.527,-12.7814,2.45517,-0.00494751,0.0521427
66,-294.702,234.654,-12.7793,2.45436,-0.00335723,0.0498534
67,-294.824,234.772,-12.783,2.45542,-0.00354087,0.0481759
68,-294.947,234.881,-12.7906,2.45583,-0.00360959,0.0482693
69,-295.087,235.012,-12.7918,2.45531,-0.0038462,0.0479285
70,-295.222,235.127,-12.7944,2.45541,-0.00405367,0.0485704
71,-295.343,235.235,-12.7959,2.45544,-0.00378995,0.0491893
72,-295.483,235.36,-12.79,2.45496,-0.00431449,0.0491364
73,-295.623,235.483,-12.7899,2.45419,-0.00489419,0.0489262
74,-295.752,235.588,-12.7903,2.45445,-0.00486312,0.048895
75,-295.896,235.704,-12.7963,2.45528,-0.00525759,0.0494562
76,-296.012,235.809,-12.7986,2.45465,-0.00506883,0.0491116
77,-296.158,235.926,-12.7938,2.45402,-0.00436762,0.0476415
78,-296.298,236.044,-12.7849,2.4541,-0.00461685,0.045321
79,-296.445,236.175,-12.7961,2.45535,-0.00498752,0.0447253
80,-296.581,236.292,-12.8012,2.45545,-0.00328718,0.0445938
81,-296.733,236.422,-12.8041,2.45519,-0.0014837,0.0447409
82,-296.866,236.539,-12.7933,2.45548,-0.000796153,0.04606
83,-297.007,236.669,-12.7857,2.45551,-0.00101127,0.0463905
84,-297.152,236.794,-12.7849,2.45493,-0.0011498,0.0460811
85,-297.284,236.903,-12.7888,2.45481,-0.000468841,0.0456626
86,-297.432,237.032,-12.7958,2.45434,0.000828955,0.0454462
87,-297.57,237.152,-12.79,2.45438,0.000854288,0.0449131
88,-297.729,237.291,-12.7908,2.45504,-0.00078221,0.0451236
89,-297.864,237.404,-12.7976,2.45595,-0.00106522,0.0457353
90,-298.004,237.533,-12.793,2.4558,-0.00124034,0.0454589
91,-298.155,237.671,-12.8001,2.45575,-0.00211931,0.0445728
92,-298.286,237.792,-12.8052,2.45638,-0.0022513,0.044202
93,-298.421,237.905,-12.8099,2.45696,-0.00245997,0.0437276
