id,x,y,z,yaw,pitch,roll
1,-285.195,226.718,-15.1279,2.45649,-0.0343459,-0.0400711
2,-284.955,226.865,-14.681,2.45436,-0.0352043,-0.0973608
3,-284.478,226.83,-14.0967,2.45534,-0.0206183,-0.173544
4,-285.044,227.401,-13.9357,2.45383,0.00323709,-0.193641
5,-285.23,227.546,-13.9485,2.45339,0.0161595,-0.19064
6,-285.416,227.712,-13.9544,2.45331,0.0226757,-0.191093
7,-285.601,227.886,-13.9565,2.45265,0.0232294,-0.191859
8,-285.841,228.095,-13.9492,2.4524,0.0252638,-0.193271
9,-286.025,228.243,-13.9649,2.4528,0.0270892,-0.190377
10,-286.227,228.43,-13.9822,2.45295,0.0264378,-0.190348
11,-286.446,228.642,-13.9662,2.45315,0.0197953,-0.192151
12,-286.658,228.805,-13.9775,2.45456,0.0147045,-0.18997
13,-286.855,228.977,-14.0073,2.45448,0.0116021,-0.1873
14,-287.02,229.119,-13.9954,2.45429,0.0107311,-0.187869
15,-287.213,229.278,-13.9995,2.45504,0.0103391,-0.187079
16,-287.379,229.429,-14.0046,2.45489,0.0104533,-0.188976
17,-287.563,229.578,-13.9968,2.45539,0.0099118,-0.186444
18,-287.723,229.681,-14.0252,2.45612,0.012006,-0.182972
19,-287.927,229.84,-14.0399,2.45643,0.0135454,-0.181218
20,-288.083,229.983,-14.0324,2.45698,0.0142481,-0.183977
21,-288.282,230.125,-14.0341,2.45672,0.0140157,-0.182234
22,-288.422,230.248,-14.0476,2.45824,0.0141784,-0.182424
23,-288.609,230.406,-14.0535,2.45709,0.0149666,-0.1804
24,-288.657,230.608,-14.1118,2.45624,0.0177402,-0.189671
25,-288.905,230.652,-14.0564,2.45689,0.0180746,-0.178594
26,-288.941,230.851,-14.1332,2.45799,0.0226424,-0.186775
27,-289.08,230.959,-14.1382,2.45718,0.0286881,-0.183646
28,-289.318,231.001,-14.0799,2.45585,0.0296436,-0.175316
29,-289.454,231.101,-14.0674,2.45615,0.0296308,-0.173914
30,-289.577,231.214,-14.0673,2.45696,0.0297854,-0.173902
31,-289.732,231.34,-14.0575,2.45734,0.0282143,-0.174211
32,-289.879,231.45,-14.0447,2.45854,0.0246019,-0.172841
33,-289.988,231.56,-14.0401,2.45832,0.022158,-0.172371
34,-290.155,231.673,-14.0225,2.45795,0.0181443,-0.167992
35,-290.311,231.809,-13.9686,2.45916,0.00864206,-0.16667
36,-290.338,232.028,-14.1127,2.46065,-0.00261717,-0.183119
37,-290.446,232.122,-14.1268,2.46098,-0.00388265,-0.182526
38,-290.716,232.163,-14.018,2.46024,-0.00457045,-0.165593
39,-290.72,232.345,-14.1799,2.46209,0.00183143,-0.181044
40,-290.901,232.39,-14.1001,2.46157,0.00444269,-0.175061
41,-291.074,232.467,-14.0133,2.45984,0.00379117,-0.165549
42,-291.202,232.583,-14.0029,2.45961,0.00157873,-0.162335
43,-291.425,232.631,-13.8941,2.45765,-0.00201352,-0.137302
44,-291.512,232.664,-13.8543,2.45734,-0.00129689,-0.132114
45,-292.07,232.374,-12.7434,2.4545,0.00421989,0.054699
46,-292.187,232.474,-12.7423,2.45513,0.00674019,0.0504552
47,-292.289,232.568,-12.7379,2.45581,0.00744292,0.0464639
48,-292.408,232.674,-12.7366,2.45634,0.00580501,0.0458372
49,-292.527,232.784,-12.7473,2.4549,0.00413472,0.0476552
50,-292.641,232.866,-12.7638,2.45449,0.00479103,0.0489628
51,-292.756,232.969,-12.7594,2.45499,0.00583448,0.0507231
52,-292.868,233.068,-12.7592,2.45429,0.00591457,0.0511405
53,-292.996,233.179,-12.7625,2.4536,0.00679746,0.049207
54,-293.129,233.294,-12.775,2.45511,0.00994102,0.048668
55,-293.247,233.402,-12.7582,2.45608,0.0113931,0.0487042
56,-293.376,233.529,-12.7225,2.45555,0.00807115,0.0453737
57,-293.512,233.647,-12.7339,2.4543,1.3417e-05,0.0430457
58,-293.65,233.761,-12.764,2.45466,-0.00249719,0.0422874
59,-293.779,233.871,-12.7671,2.45688,-0.0014857,0.0435899
60,-293.901,233.981,-12.7566,2.45753,-0.00253334,0.0469747
61,-294.038,234.093,-12.7492,2.45734,-0.00476422,0.0483841
62,-294.173,234.211,-12.7745,2.45582,-0.00653678,0.0503802
63,-294.291,234.321,-12.7785,2.45491,-0.00599211,0.0510579
64,-294.426,234.432,-12.7758,2.4555,-0.00558284,0.0520285
65,-294.548,234.553,-12.7839,2.45454,-0.00518655,0.0521401
66,-294.685,234.669,-12.7808,2.45374,-0.0036318,0.0494282
67,-294.814,234.783,-12.784,2.45484,-0.00368548,0.0479654
68,-294.94,234.892,-12.7882,2.45532,-0.00373829,0.0479258
69,-295.081,235.018,-12.7886,2.45476,-0.00404589,0.047572
70,-295.219,235.139,-12.7905,2.45503,-0.00420954,0.0477432
71,-295.34,235.248,-12.793,2.45509,-0.00393205,0.0484998
72,-295.476,235.372,-12.7922,2.45441,-0.00432234,0.0485597
73,-295.611,235.489,-12.7958,2.4537,-0.00486466,0.0486951
74,-295.748,235.61,-12.7972,2.45353,-0.00507596,0.0489877
75,-295.878,235.721,-12.8003,2.45422,-0.00526988,0.0492466
76,-296.01,235.836,-12.8011,2.45374,-0.00509961,0.0489527
77,-296.152,235.958,-12.7944,2.45296,-0.00450078,0.047239
78,-296.287,236.073,-12.7918,2.45324,-0.00486377,0.0452056
79,-296.427,236.201,-12.8032,2.45446,-0.00496946,0.0445934
80,-296.561,236.323,-12.813,2.45431,-0.00329254,0.0442838
81,-296.704,236.442,-12.8156,2.45404,-0.00164464,0.0444627
82,-296.838,236.556,-12.8085,2.45446,-0.001141,0.0457112
83,-296.994,236.695,-12.8035,2.45438,-0.00163805,0.046524
84,-297.127,236.814,-12.8008,2.45428,-0.001486,0.0460821
85,-297.265,236.932,-12.8068,2.45413,-0.000783325,0.0457693
86,-297.407,237.06,-12.8089,2.45363,0.000516455,0.0454177
87,-297.547,237.18,-12.8031,2.45365,0.000777023,0.0447236
88,-297.705,237.323,-12.8019,2.45436,-0.000909879,0.0446333
89,-297.838,237.44,-12.8099,2.45532,-0.00119314,0.0451778
90,-297.978,237.558,-12.8069,2.455,-0.00141507,0.045136
91,-298.128,237.689,-12.8144,2.45473,-0.00204899,0.0441927
92,-298.271,237.819,-12.8195,2.45553,-0.00235277,0.0437761
93,-298.407,237.93,-12.8215,2.45613,-0.00259602,0.0431072
94,-298.556,238.062,-12.8226,2.4558,-0.002935,0.0420348
95,-298.703,238.2,-12.823,2.45534,-0.00389142,0.0408378
96,-298.851,238.328,-12.8174,2.45592,-0.00543807,0.0396387
97,-299.003,238.454,-12.8191,2.45626,-0.00709173,0.0389039
98,-299.154,238.586,-12.8163,2.45709,-0.00887491,0.0377264
99,-299.299,238.713,-12.8255,2.45812,-0.00904236,0.0369093
100,-299.449,238.84,-12.8374,2.45814,-0.00751371,0.0356789
101,-299.589,238.971,-12.8416,2.45873,-0.00664276,0.0351311
102,-299.736,239.09,-12.8471,2.45915,-0.00568749,0.037436
103,-299.895,239.214,-12.8402,2.45928,-0.00501832,0.0394053
104,-300.048,239.349,-12.831,2.4599,-0.0053772,0.0381298
105,-300.198,239.487,-12.8393,2.46046,-0.0058944,0.0361992
106,-300.338,239.61,-12.8459,2.46106,-0.00531725,0.0342263
107,-300.491,239.742,-12.8479,2.46152,-0.00455186,0.032945
108,-300.643,239.864,-12.8508,2.46231,-0.00395922,0.0319999
109,-300.797,239.99,-12.851,2.46321,-0.00390689,0.0308153
110,-300.956,240.129,-12.854,2.46355,-0.0042203,0.02994
111,-301.119,240.267,-12.855,2.46365,-0.00460688,0.0293774
112,-301.267,240.391,-12.8548,2.46349,-0.00425147,0.0282623
113,-301.426,240.523,-12.8543,2.46357,-0.00280632,0.0259762
114,-301.601,240.671,-12.8484,2.46649,-0.00279072,0.0226351
115,-301.755,240.795,-12.8481,2.46885,-0.00533277,0.0217294
116,-301.916,240.935,-12.8425,2.47064,-0.00634513,0.018893
117,-302.083,241.055,-12.8541,2.47362,-0.00642396,0.0174403
118,-302.234,241.181,-12.8548,2.47542,-0.00605691,0.0181968
119,-302.401,241.305,-12.858,2.47832,-0.00535236,0.017306
120,-302.57,241.429,-12.8637,2.48075,-0.00490429,0.017081
121,-302.732,241.557,-12.8642,2.48246,-0.00463652,0.0172863
122,-302.903,241.691,-12.8626,2.4847,-0.00487218,0.0168723
123,-303.074,241.82,-12.8625,2.48726,-0.00509784,0.0164555
124,-303.248,241.95,-12.8615,2.49048,-0.00471264,0.0154638
125,-303.416,242.073,-12.8653,2.49348,-0.00484661,0.0146817
126,-303.588,242.197,-12.8642,2.49662,-0.0053392,0.0138028
127,-303.762,242.317,-12.8691,2.49979,-0.00523346,0.0131089
128,-303.938,242.443,-12.8676,2.50379,-0.00477556,0.0123018
129,-304.115,242.563,-12.8672,2.50937,-0.0043823,0.0108912
130,-304.284,242.683,-12.869,2.5142,-0.00429266,0.0107952
131,-304.461,242.795,-12.8739,2.51883,-0.00462749,0.012097
132,-304.648,242.905,-12.8701,2.52493,-0.00695361,0.0147874
133,-304.836,243.015,-12.8561,2.53271,-0.00889487,0.0162897
134,-305.025,243.122,-12.8503,2.54251,-0.0106085,0.0148498
135,-305.208,243.218,-12.852,2.55272,-0.0114301,0.0107523
136,-305.399,243.315,-12.859,2.5639,-0.0124277,0.00763589
137,-305.592,243.402,-12.8657,2.57524,-0.0119745,0.00688868
138,-305.792,243.491,-12.8683,2.58695,-0.0119933,0.00735
139,-305.989,243.576,-12.8668,2.59881,-0.0119202,0.00689812
140,-306.186,243.65,-12.8688,2.61147,-0.0119566,0.0068179
141,-306.394,243.725,-12.8669,2.62428,-0.0127635,0.00670516
142,-306.596,243.792,-12.8622,2.63704,-0.0129631,0.00597394
143,-306.797,243.866,-12.8613,2.65113,-0.0128148,0.00369112
144,-307.002,243.934,-12.871,2.66689,-0.0140122,0.00131384
145,-307.21,243.986,-12.8695,2.68157,-0.0141892,0.00331216
146,-307.417,244.04,-12.8695,2.6964,-0.0133985,0.00477282
147,-307.625,244.088,-12.8745,2.71229,-0.0132508,0.00601731
148,-307.85,244.137,-12.8705,2.7296,-0.0132169,0.00738048
149,-308.07,244.177,-12.8609,2.74769,-0.012296,0.00711255
150,-308.282,244.214,-12.8625,2.76663,-0.0113726,0.0055914
151,-308.508,244.233,-12.8676,2.78783,-0.0107712,0.00453802
152,-308.731,244.251,-12.8683,2.80886,-0.0107055,0.00294107
153,-308.955,244.269,-12.8708,2.82995,-0.0106995,0.00188667
154,-309.186,244.277,-12.8756,2.85272,-0.0103284,0.00253197
155,-309.425,244.273,-12.8771,2.87633,-0.00961694,0.0033128
156,-309.653,244.261,-12.8753,2.89978,-0.00823198,0.00266105
157,-309.888,244.25,-12.8721,2.92355,-0.00676901,0.000901386
158,-310.119,244.222,-12.8753,2.94796,-0.00607875,-0.000791095
159,-310.353,244.188,-12.8797,2.97238,-0.0059778,-0.00104984
160,-310.59,244.15,-12.8782,2.99787,-0.00568585,-0.00108776
161,-310.812,244.105,-12.8831,3.02311,-0.00521085,-0.000213799
162,-311.042,244.053,-12.8852,3.04794,-0.0050375,0.000943012
163,-311.275,243.994,-12.8898,3.07329,-0.00479981,0.00227386
164,-311.512,243.937,-12.8892,3.09923,-0.00499084,0.0034542
165,-311.75,243.865,-12.8878,3.12553,-0.00537609,0.00383423
166,-311.979,243.791,-12.895,-3.13089,-0.00471781,0.00424942
167,-312.219,243.708,-12.897,-3.10413,-0.00314097,0.00449595
168,-312.44,243.613,-12.903,-3.0773,-0.0023233,0.00441596
169,-312.674,243.52,-12.9019,-3.05015,-0.00313565,0.00480667
170,-312.914,243.416,-12.9053,-3.02234,-0.00329983,0.00546894
171,-313.15,243.296,-12.9145,-2.99403,-0.00316231,0.00671692
172,-313.388,243.178,-12.9212,-2.96553,-0.00207179,0.00830283
173,-313.618,243.052,-12.9184,-2.93718,0.000141898,0.00970984
174,-313.848,242.921,-12.927,-2.90902,0.00243658,0.00990483
175,-314.081,242.779,-12.9358,-2.87967,0.00250328,0.0109019
176,-314.315,242.621,-12.942,-2.85064,0.000316003,0.0126625
177,-314.555,242.46,-12.9431,-2.82271,-0.00123548,0.0125761
178,-314.791,242.303,-12.9453,-2.79398,-0.00327603,0.00959371
179,-315.043,242.116,-12.9566,-2.76434,-0.00485283,0.00993465
180,-315.279,241.926,-12.9643,-2.73574,-0.00402928,0.0130818
181,-315.534,241.728,-12.9639,-2.7079,-0.00294611,0.0158516
182,-315.781,241.522,-12.9687,-2.67957,-0.00170659,0.0168867
183,-316.023,241.31,-12.9656,-2.65328,-0.000346003,0.0163804
184,-316.276,241.099,-12.9618,-2.62674,0.00117273,0.0148094
185,-316.53,240.862,-12.9698,-2.60077,0.0022139,0.0132747
186,-316.774,240.633,-12.966,-2.57757,0.00353495,0.0100406
187,-317.01,240.415,-12.97,-2.5565,0.00518836,0.00473188
188,-317.259,240.19,-12.9928,-2.53705,0.00682085,0.00182521
189,-317.496,239.968,-13.0094,-2.51837,0.00703748,0.00329783
190,-317.725,239.724,-13.0116,-2.50099,0.00563581,0.00725383
191,-317.965,239.488,-13.0138,-2.48487,0.00269771,0.0101396
192,-318.206,239.257,-13.0021,-2.46785,0.000582408,0.011446
193,-318.424,239.01,-13.0077,-2.45058,0.000282478,0.013399
194,-318.637,238.76,-13.0077,-2.43414,0.00115891,0.013828
195,-318.869,238.514,-13.0156,-2.41697,0.000779825,0.0126222
196,-319.095,238.271,-13.0277,-2.40018,-0.000239113,0.0115726
197,-319.316,238.001,-13.0273,-2.38506,-0.0025546,0.0106422
198,-319.544,237.732,-13.0381,-2.37028,-0.00411984,0.0106014
199,-319.779,237.465,-13.0507,-2.3564,-0.0081705,0.0119064
200,-320.022,237.181,-13.0509,-2.34396,-0.0125764,0.0124359
201,-320.266,236.877,-13.0483,-2.33261,-0.0187449,0.0116099
