id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.574,226.741,-12.6066,2.44868,0.0121359,0.0338556
5,-285.793,226.941,-12.6121,2.44993,0.0110844,0.0315749
6,-286.007,227.137,-12.618,2.45059,0.0109913,0.0315367
7,-286.21,227.319,-12.615,2.44965,0.0104718,0.0319906
8,-286.436,227.509,-12.6135,2.45033,0.00956093,0.0327599
9,-286.646,227.689,-12.6177,2.45104,0.00793715,0.0339997
10,-286.849,227.87,-12.6154,2.4511,0.00703,0.0334035
11,-287.052,228.044,-12.5983,2.45137,0.00284351,0.0335197
12,-287.25,228.213,-12.5985,2.45099,-0.00187153,0.0358562
13,-287.441,228.372,-12.6183,2.4508,-0.00385497,0.0381014
14,-287.63,228.529,-12.631,2.45052,-0.00304254,0.038925
15,-287.815,228.686,-12.642,2.45093,-0.00161458,0.0398001
16,-287.983,228.833,-12.6358,2.45111,-0.000494713,0.0401001
17,-288.168,228.997,-12.6468,2.45149,-0.000485282,0.0407031
18,-288.339,229.134,-12.6645,2.45203,0.00171605,0.0412062
19,-288.51,229.285,-12.6728,2.45275,0.00524667,0.040559
20,-288.671,229.426,-12.6643,2.45309,0.00664669,0.0376856
21,-288.833,229.56,-12.6561,2.45351,0.00637823,0.0351605
22,-288.993,229.704,-12.6618,2.45443,0.00586167,0.034677
23,-289.144,229.832,-12.671,2.45427,0.00677139,0.0368632
24,-289.279,229.982,-12.6782,2.45403,0.00991706,0.0378778
25,-289.462,230.083,-12.6929,2.45478,0.012365,0.0413024
26,-289.59,230.241,-12.6822,2.45593,0.0141707,0.0423745
27,-289.733,230.365,-12.678,2.45634,0.0144459,0.0439623
28,-289.916,230.471,-12.6864,2.45594,0.0135527,0.0451575
29,-290.058,230.592,-12.6784,2.45684,0.0118089,0.0445493
30,-290.197,230.709,-12.6903,2.45839,0.00939354,0.0447108
31,-290.329,230.823,-12.6781,2.45837,0.00852988,0.0432463
32,-290.462,230.948,-12.6618,2.45874,0.00567335,0.0411894
33,-290.582,231.06,-12.6734,2.45742,0.00177892,0.0422854
34,-290.725,231.179,-12.6652,2.45719,-0.000717099,0.0422512
35,-290.841,231.298,-12.619,2.45705,-0.00669721,0.0401996
36,-290.967,231.431,-12.6272,2.45619,-0.015279,0.0402615
37,-291.103,231.542,-12.667,2.45668,-0.0154478,0.0404232
