id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.574,226.741,-12.6067,2.4487,0.0121345,0.0338486
5,-285.793,226.941,-12.6121,2.44993,0.0110828,0.0315737
6,-285.996,227.129,-12.6177,2.45049,0.0110723,0.031495
7,-286.22,227.326,-12.6148,2.44968,0.0104096,0.031991
8,-286.433,227.507,-12.6136,2.45028,0.00957033,0.0327598
9,-286.646,227.689,-12.6177,2.45104,0.00793687,0.0340009
10,-286.849,227.87,-12.6154,2.45111,0.00703334,0.0333962
11,-287.052,228.044,-12.5983,2.45138,0.0028469,0.0335093
12,-287.25,228.213,-12.5985,2.45098,-0.0018716,0.0358569
13,-287.442,228.372,-12.6183,2.4508,-0.00385454,0.0381005
14,-287.623,228.525,-12.6298,2.45049,-0.00297815,0.0388158
15,-287.815,228.686,-12.6417,2.45093,-0.00161462,0.0397903
16,-287.983,228.833,-12.6358,2.45111,-0.000493274,0.0400989
17,-288.168,228.997,-12.6469,2.45149,-0.00048219,0.0407055
18,-288.339,229.134,-12.6646,2.45204,0.00171862,0.0412099
19,-288.51,229.285,-12.6728,2.45275,0.00524658,0.0405591
20,-288.671,229.426,-12.6641,2.45309,0.00663987,0.0376747
21,-288.833,229.56,-12.656,2.45351,0.00637706,0.0351604
22,-288.993,229.704,-12.6618,2.45444,0.005862,0.0346736
23,-289.144,229.832,-12.671,2.45428,0.00676707,0.0368645
24,-289.279,229.982,-12.6782,2.45403,0.00991559,0.0378783
25,-289.462,230.083,-12.6929,2.45479,0.0123647,0.0413039
26,-289.59,230.241,-12.6822,2.45593,0.0141701,0.0423799
27,-289.733,230.365,-12.678,2.45634,0.0144451,0.0439533
28,-289.916,230.471,-12.6864,2.45595,0.0135513,0.0451602
29,-290.058,230.592,-12.6784,2.45683,0.0118102,0.0445467
30,-290.197,230.709,-12.6903,2.45839,0.00939358,0.0447115
31,-290.327,230.821,-12.6781,2.45836,0.00855186,0.0432861
32,-290.462,230.948,-12.6618,2.45874,0.00567267,0.0411885
33,-290.582,231.06,-12.6733,2.45742,0.00177887,0.042285
34,-290.725,231.179,-12.6651,2.4572,-0.000713424,0.0422496
35,-290.841,231.298,-12.619,2.45705,-0.00669667,0.0402019
36,-290.967,231.431,-12.6272,2.45619,-0.0152792,0.0402659
