id,x,y,z,yaw,pitch,roll
1,-284.811,226.396,-14.8424,2.45832,-0.0395242,-0.0343118
2,-284.893,226.119,-12.6044,2.44801,0.0144166,0.042204
3,-285.358,226.532,-12.5992,2.44811,0.0127227,0.0373606
4,-285.575,226.74,-12.6077,2.44881,0.012064,0.0335525
5,-285.788,226.93,-12.613,2.44983,0.0111684,0.0316527
6,-286.012,227.13,-12.6188,2.45051,0.0109505,0.0317265
7,-286.225,227.317,-12.616,2.44969,0.0103653,0.0322869
8,-286.446,227.502,-12.6158,2.45036,0.00945309,0.0330623
9,-286.649,227.68,-12.619,2.4511,0.0079149,0.0340498
10,-286.849,227.862,-12.6164,2.45123,0.00699002,0.0334553
11,-287.055,228.044,-12.5969,2.45144,0.00273536,0.0330956
12,-287.255,228.212,-12.5965,2.4511,-0.00191095,0.0355141
13,-287.448,228.374,-12.618,2.45079,-0.00408018,0.0377532
14,-287.629,228.529,-12.6301,2.45045,-0.0030247,0.0385966
15,-287.816,228.689,-12.6415,2.45089,-0.00165873,0.0395976
16,-287.985,228.835,-12.6353,2.451,-0.000506282,0.0400624
17,-288.168,229.001,-12.6451,2.45148,-0.000534541,0.0404278
18,-288.346,229.144,-12.664,2.45188,0.00176091,0.0409887
19,-288.513,229.292,-12.6721,2.45262,0.00537373,0.0401809
20,-288.669,229.432,-12.6658,2.45292,0.00677717,0.0375372
21,-288.837,229.571,-12.6595,2.45345,0.00646369,0.0347694
22,-288.99,229.706,-12.6657,2.45418,0.00599466,0.0345904
23,-289.144,229.838,-12.6762,2.45407,0.00684225,0.0366395
24,-289.283,229.987,-12.6817,2.45374,0.0100002,0.0376772
25,-289.46,230.086,-12.6977,2.45446,0.0124061,0.041574
26,-289.59,230.246,-12.685,2.45559,0.0141988,0.042395
27,-289.729,230.369,-12.6808,2.45559,0.0144916,0.0439695
28,-289.894,230.476,-12.6856,2.455,0.0137674,0.0444936
29,-290.035,230.594,-12.6768,2.45583,0.0119485,0.0440976
30,-290.166,230.718,-12.6844,2.45688,0.00956524,0.0436216
31,-290.301,230.827,-12.6761,2.45695,0.00881502,0.042702
32,-290.442,230.952,-12.6625,2.4577,0.00588204,0.040995
33,-290.566,231.071,-12.6721,2.45666,0.0019287,0.0418649
34,-290.707,231.185,-12.6629,2.45647,-0.000571479,0.041591
