id,x,y,z,yaw,pitch,roll
1,-285.375,226.516,-12.6077,2.44766,0.0133119,0.0441856
2,-285.139,226.34,-12.6007,2.44792,0.0137201,0.0445018
3,-284.9,226.132,-12.6001,2.448,0.0150553,0.0458525
4,-285.587,226.716,-12.6055,2.44839,0.0133108,0.0414394
5,-285.805,226.919,-12.6148,2.44968,0.0118664,0.0382906
6,-286.023,227.12,-12.6181,2.45,0.0115234,0.0379298
7,-286.227,227.307,-12.6154,2.44947,0.0112092,0.037688
8,-286.456,227.501,-12.6163,2.45015,0.00997013,0.0386184
9,-286.659,227.684,-12.613,2.45115,0.00831465,0.0384395
10,-286.849,227.873,-12.6107,2.45185,0.00761625,0.0355444
11,-287.048,228.043,-12.5967,2.45186,0.00320782,0.0350692
12,-287.249,228.205,-12.5978,2.45134,-0.00141644,0.037474
13,-287.437,228.357,-12.6129,2.45114,-0.00332047,0.0391103
14,-287.626,228.514,-12.6251,2.45068,-0.00259397,0.0401189
15,-287.808,228.67,-12.638,2.45117,-0.00111734,0.0411143
16,-287.983,228.824,-12.6333,2.45142,-1.99419e-05,0.0417992
17,-288.17,228.983,-12.6422,2.45175,-5.19131e-05,0.0417673
18,-288.345,229.127,-12.6642,2.45235,0.00206871,0.0419648
19,-288.521,229.285,-12.6736,2.45299,0.00530183,0.0413722
20,-288.674,229.419,-12.667,2.4533,0.00668189,0.0384593
21,-288.842,229.552,-12.6561,2.4537,0.0063908,0.0367456
22,-288.996,229.684,-12.6618,2.45447,0.00592505,0.0361571
23,-289.146,229.817,-12.6715,2.45444,0.00673988,0.0378201
24,-289.288,229.988,-12.669,2.45408,0.00992795,0.0382415
25,-289.476,230.088,-12.6922,2.45479,0.0120779,0.0417395
26,-289.605,230.248,-12.6762,2.45614,0.0142025,0.0429392
27,-289.749,230.368,-12.672,2.45669,0.0147344,0.0441024
28,-289.93,230.468,-12.6892,2.45621,0.0137615,0.0461043
29,-290.08,230.586,-12.6861,2.45746,0.0116451,0.0453954
30,-290.229,230.701,-12.7044,2.45965,0.00900366,0.0461233
31,-290.386,230.81,-12.6988,2.46036,0.0077698,0.0448229
32,-290.534,230.913,-12.6875,2.46156,0.00478278,0.0432903
33,-290.656,231.032,-12.6859,2.46016,0.000960869,0.0436295
34,-290.774,231.167,-12.6608,2.45904,-0.000729356,0.0417954
35,-290.881,231.297,-12.5966,2.45856,-0.00693965,0.0382229
36,-290.997,231.442,-12.5865,2.45763,-0.0148632,0.0372305
37,-291.133,231.552,-12.6228,2.45845,-0.0151697,0.0369395
38,-291.272,231.63,-12.6878,2.45851,-0.00921477,0.0377733
39,-291.377,231.736,-12.7206,2.46019,-8.98865e-05,0.0382521
40,-291.502,231.821,-12.697,2.46009,0.00546001,0.0398624
41,-291.624,231.929,-12.6852,2.45937,0.00252568,0.0422392
42,-291.775,232.046,-12.7092,2.45955,-0.0012164,0.0465599
43,-291.897,232.131,-12.7237,2.45868,-0.00103921,0.0518667
44,-292.017,232.23,-12.7175,2.45774,0.00110152,0.0546087
45,-292.152,232.325,-12.7053,2.45969,0.00361754,0.0528165
46,-292.27,232.418,-12.7014,2.46184,0.00643465,0.0478361
47,-292.398,232.511,-12.6944,2.46393,0.00706536,0.0429004
48,-292.59,232.632,-12.692,2.46786,0.00457773,0.0423358
49,-292.714,232.722,-12.7143,2.46727,0.00257739,0.0455442
50,-292.814,232.766,-12.722,2.46685,0.00329453,0.0463474
51,-292.964,232.875,-12.7095,2.47019,0.00477021,0.0465951
52,-293.115,232.966,-12.6984,2.47223,0.00410518,0.0466794
53,-293.256,233.067,-12.7046,2.47288,0.00478051,0.0458548
54,-293.404,233.153,-12.7194,2.47562,0.00849644,0.045746
55,-293.556,233.252,-12.6939,2.47739,0.0108761,0.0453949
56,-293.716,233.401,-12.6604,2.47897,0.00615028,0.0434375
57,-293.858,233.511,-12.671,2.47697,-0.0023316,0.0415556
58,-293.998,233.603,-12.711,2.47735,-0.00607655,0.0414177
59,-294.152,233.7,-12.7291,2.47996,-0.00591045,0.0448619
60,-294.287,233.766,-12.7262,2.47999,-0.00665357,0.0499501
61,-294.396,233.858,-12.7033,2.4799,-0.00851639,0.0499507
62,-294.518,233.971,-12.7169,2.47915,-0.0100828,0.0496994
63,-294.599,234.062,-12.7129,2.47671,-0.00874863,0.0508931
64,-294.692,234.209,-12.7154,2.47443,-0.00803446,0.0512305
65,-294.801,234.332,-12.7258,2.47295,-0.00742747,0.0513377
66,-294.922,234.452,-12.7172,2.47213,-0.00637132,0.0485527
67,-295.024,234.603,-12.7227,2.47063,-0.00635738,0.046817
68,-295.143,234.713,-12.7305,2.47035,-0.00595364,0.0466565
69,-295.294,234.824,-12.7383,2.47055,-0.00642304,0.047591
70,-295.428,234.933,-12.7351,2.47056,-0.00615983,0.0479901
71,-295.596,235.048,-12.7356,2.47202,-0.00619536,0.0481929
72,-295.721,235.184,-12.7258,2.46958,-0.00617563,0.0477758
73,-295.819,235.315,-12.7369,2.4657,-0.00649868,0.0485874
