id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6033,2.44815,0.0125324,0.0385533
2,-285.145,226.35,-12.5996,2.44785,0.0130164,0.0411505
3,-284.897,226.126,-12.6008,2.44786,0.0145737,0.0423888
4,-285.576,226.742,-12.6067,2.44871,0.0121206,0.0338435
5,-285.793,226.941,-12.6121,2.44993,0.0110846,0.0315743
6,-286.007,227.137,-12.618,2.45059,0.0109923,0.0315377
7,-286.21,227.319,-12.615,2.44965,0.0104607,0.0319927
8,-286.436,227.509,-12.6135,2.45033,0.00956152,0.0327615
9,-286.646,227.689,-12.6177,2.45104,0.0079384,0.033998
10,-286.849,227.87,-12.6154,2.4511,0.00703393,0.033395
11,-287.052,228.044,-12.5983,2.45138,0.00284953,0.0335056
12,-287.25,228.213,-12.5985,2.45099,-0.00187217,0.0358606
13,-287.441,228.372,-12.6183,2.4508,-0.0038555,0.0380992
14,-287.623,228.525,-12.6299,2.45049,-0.00297888,0.0388161
15,-287.815,228.686,-12.6417,2.45092,-0.00161597,0.039791
16,-287.983,228.833,-12.6358,2.45111,-0.000493503,0.0400999
17,-288.168,228.998,-12.6468,2.45149,-0.000482502,0.0407026
18,-288.339,229.134,-12.6645,2.45203,0.00171377,0.041205
19,-288.51,229.285,-12.6728,2.45275,0.00524583,0.0405587
20,-288.671,229.426,-12.6642,2.45309,0.00664479,0.0376817
21,-288.833,229.56,-12.6561,2.45351,0.00637812,0.0351612
22,-288.993,229.704,-12.6619,2.45443,0.00586144,0.0346755
23,-289.144,229.832,-12.671,2.45428,0.00677083,0.0368648
24,-289.279,229.982,-12.6782,2.45403,0.00991653,0.0378758
25,-289.462,230.083,-12.6928,2.45478,0.0123711,0.0413106
26,-289.59,230.241,-12.6822,2.45593,0.0141719,0.042376
27,-289.733,230.365,-12.678,2.45634,0.0144467,0.0439586
28,-289.916,230.471,-12.6864,2.45594,0.0135532,0.0451634
29,-290.058,230.592,-12.6784,2.45683,0.0118097,0.0445459
30,-290.197,230.709,-12.6903,2.45839,0.00939665,0.0447135
31,-290.327,230.821,-12.6781,2.45836,0.00855106,0.0432849
32,-290.462,230.948,-12.6618,2.45874,0.00567261,0.041189
33,-290.582,231.06,-12.6734,2.45742,0.00178095,0.0422864
34,-290.725,231.179,-12.6652,2.45719,-0.000713391,0.042252
35,-290.841,231.298,-12.619,2.45704,-0.00669717,0.0402032
36,-290.967,231.43,-12.6273,2.45619,-0.0152739,0.0402762
37,-291.103,231.542,-12.667,2.45668,-0.0154455,0.0404222
38,-291.227,231.636,-12.7199,2.45651,-0.00915633,0.0412586
39,-291.343,231.739,-12.7286,2.45823,0.000258672,0.0405547
40,-291.466,231.833,-12.7168,2.45828,0.00537235,0.0415584
41,-291.59,231.942,-12.6986,2.45796,0.0026829,0.0432747
42,-291.713,232.062,-12.7169,2.45685,-0.000797777,0.0473239
43,-291.842,232.154,-12.7356,2.45566,-0.000642572,0.0524951
44,-291.969,232.256,-12.7448,2.45488,0.00133589,0.0565477
45,-292.096,232.368,-12.7355,2.45537,0.00409346,0.0553545
46,-292.204,232.466,-12.7321,2.45603,0.00678045,0.0506937
47,-292.311,232.566,-12.7261,2.45725,0.00753704,0.0454711
48,-292.427,232.666,-12.7284,2.4574,0.00593722,0.0455497
49,-292.54,232.769,-12.741,2.45575,0.00434718,0.047605
50,-292.654,232.852,-12.7582,2.45522,0.00489655,0.048844
51,-292.772,232.964,-12.7509,2.4559,0.00603961,0.0503689
52,-292.883,233.061,-12.7485,2.45515,0.00602835,0.0505333
53,-293.011,233.174,-12.7496,2.45446,0.00688046,0.0488158
54,-293.143,233.286,-12.7599,2.45607,0.0104238,0.0481095
55,-293.258,233.397,-12.7488,2.45691,0.0116951,0.0482063
56,-293.391,233.513,-12.7114,2.45664,0.00850664,0.0449901
57,-293.535,233.644,-12.7204,2.45515,7.36403e-05,0.0424749
58,-293.67,233.749,-12.7546,2.45521,-0.00246,0.0421437
59,-293.797,233.856,-12.7596,2.45743,-0.00116872,0.0437192
60,-293.925,233.966,-12.7537,2.45817,-0.0022329,0.0470395
61,-294.053,234.077,-12.7429,2.45769,-0.00443328,0.0484816
62,-294.188,234.205,-12.7682,2.45632,-0.00626985,0.0499028
63,-294.314,234.31,-12.7726,2.45537,-0.00579919,0.0507094
64,-294.442,234.415,-12.7719,2.45604,-0.00535901,0.0520167
65,-294.563,234.528,-12.7814,2.45517,-0.0049495,0.0521447
66,-294.702,234.656,-12.779,2.45435,-0.0033412,0.0498083
67,-294.821,234.768,-12.7833,2.45541,-0.00352296,0.0482131
68,-294.951,234.885,-12.7906,2.45584,-0.00361351,0.0482283
69,-295.087,235.013,-12.7917,2.45531,-0.00384904,0.0479312
70,-295.223,235.129,-12.7945,2.45543,-0.00407114,0.0485579
71,-295.348,235.24,-12.7957,2.45542,-0.00379771,0.0491747
72,-295.488,235.365,-12.7898,2.45493,-0.00436094,0.0491205
73,-295.624,235.483,-12.7899,2.45419,-0.00489773,0.0489263
74,-295.756,235.592,-12.79,2.45446,-0.00486898,0.0488445
75,-295.896,235.704,-12.7963,2.45527,-0.0052613,0.0494569
76,-296.014,235.811,-12.7988,2.45463,-0.00506914,0.0490781
77,-296.159,235.927,-12.7936,2.454,-0.00436974,0.0475888
78,-296.301,236.048,-12.7847,2.45406,-0.00464963,0.0452202
79,-296.447,236.177,-12.7962,2.45534,-0.00504148,0.044712
80,-296.589,236.304,-12.8016,2.45542,-0.00319603,0.0445117
81,-296.733,236.423,-12.804,2.45518,-0.00147658,0.0447184
82,-296.873,236.544,-12.7921,2.45545,-0.00077707,0.0460214
83,-297.011,236.672,-12.7867,2.45552,-0.00112648,0.0464284
84,-297.152,236.794,-12.7849,2.45492,-0.0011602,0.0461002
85,-297.291,236.91,-12.7889,2.45476,-0.000483809,0.0456264
86,-297.435,237.034,-12.7959,2.45431,0.00083283,0.0454205
87,-297.572,237.155,-12.7903,2.45435,0.000847603,0.0448956
88,-297.729,237.291,-12.7905,2.45504,-0.00079464,0.0451185
89,-297.864,237.404,-12.7977,2.45595,-0.00106859,0.0457371
90,-298.004,237.533,-12.793,2.4558,-0.00123689,0.0454649
91,-298.155,237.671,-12.8001,2.45575,-0.0021169,0.0445695
92,-298.293,237.797,-12.8051,2.45638,-0.00229926,0.04417
93,-298.427,237.91,-12.8101,2.45695,-0.00247021,0.043704
94,-298.585,238.047,-12.8142,2.45662,-0.00293748,0.0425687
95,-298.73,238.186,-12.8127,2.45612,-0.00385189,0.0412979
96,-298.877,238.311,-12.8054,2.45658,-0.00538185,0.0400894
97,-299.03,238.437,-12.807,2.45719,-0.00705793,0.0390246
98,-299.182,238.577,-12.8106,2.45834,-0.00897284,0.0375016
99,-299.32,238.697,-12.8208,2.45934,-0.00898721,0.0368028
100,-299.47,238.818,-12.8329,2.45941,-0.00733242,0.0356275
101,-299.626,238.957,-12.8382,2.45988,-0.00609043,0.0350012
102,-299.765,239.076,-12.8466,2.46025,-0.00534181,0.0374505
103,-299.919,239.188,-12.8405,2.46026,-0.00487769,0.0400258
104,-300.075,239.324,-12.829,2.46099,-0.00515433,0.0381922
105,-300.228,239.451,-12.8338,2.46162,-0.00554456,0.036
106,-300.38,239.59,-12.8423,2.46201,-0.00507779,0.0341067
107,-300.527,239.722,-12.8434,2.46253,-0.00409347,0.0328534
108,-300.682,239.843,-12.848,2.46321,-0.00365504,0.0320546
109,-300.831,239.97,-12.843,2.46423,-0.00372251,0.0309613
110,-300.982,240.101,-12.8465,2.46438,-0.0038053,0.0304229
111,-301.141,240.24,-12.8464,2.46456,-0.00413962,0.0298205
112,-301.29,240.364,-12.8479,2.46456,-0.00375575,0.0286663
113,-301.453,240.496,-12.8504,2.46472,-0.00243278,0.0266918
114,-301.625,240.63,-12.8452,2.4676,-0.00229567,0.0232562
115,-301.777,240.767,-12.847,2.46982,-0.00498981,0.0219126
116,-301.937,240.898,-12.8445,2.47194,-0.00586294,0.0195918
117,-302.11,241.019,-12.8553,2.47456,-0.00604182,0.0182471
118,-302.275,241.145,-12.8564,2.47648,-0.00575649,0.0193439
119,-302.437,241.26,-12.8607,2.47946,-0.00520745,0.0184606
120,-302.607,241.39,-12.8694,2.48202,-0.00469691,0.0183491
121,-302.773,241.526,-12.8661,2.48363,-0.00454978,0.0183437
122,-302.943,241.664,-12.8617,2.48586,-0.00472818,0.0178721
123,-303.11,241.792,-12.8637,2.48834,-0.00485857,0.0172621
124,-303.287,241.921,-12.8595,2.49163,-0.00438616,0.0160707
125,-303.444,242.034,-12.8634,2.49461,-0.00460885,0.0151688
126,-303.619,242.164,-12.864,2.49779,-0.00494106,0.0143335
127,-303.793,242.279,-12.8671,2.50089,-0.0048743,0.0135427
128,-303.971,242.402,-12.8673,2.50494,-0.00427289,0.0127336
129,-304.144,242.523,-12.8694,2.51045,-0.00411312,0.0113603
130,-304.318,242.643,-12.8696,2.5152,-0.00412208,0.0112009
131,-304.494,242.754,-12.8756,2.51983,-0.00439584,0.0126606
132,-304.672,242.87,-12.8708,2.52582,-0.00630449,0.0152772
133,-304.867,242.984,-12.8618,2.53383,-0.00858165,0.0168099
134,-305.059,243.089,-12.8526,2.54366,-0.0105228,0.0150766
135,-305.243,243.196,-12.8551,2.5538,-0.0113285,0.0112379
136,-305.435,243.279,-12.8646,2.56484,-0.0118075,0.00853183
137,-305.631,243.365,-12.8736,2.5763,-0.0114393,0.00793979
138,-305.83,243.449,-12.8757,2.58788,-0.0115278,0.00824431
139,-306.027,243.533,-12.87,2.59971,-0.0117599,0.00808391
140,-306.224,243.609,-12.8723,2.61181,-0.0117904,0.00801597
141,-306.435,243.677,-12.8707,2.62506,-0.0127302,0.0082253
142,-306.632,243.746,-12.8639,2.63751,-0.0128792,0.00708567
143,-306.834,243.82,-12.8626,2.65202,-0.0127193,0.00439707
144,-307.041,243.902,-12.8718,2.6677,-0.0139329,0.00265088
145,-307.245,243.96,-12.8723,2.68217,-0.0140881,0.00429968
146,-307.449,244.012,-12.8722,2.69698,-0.0134753,0.00551071
147,-307.653,244.059,-12.876,2.71285,-0.013255,0.00671572
148,-307.87,244.109,-12.8695,2.73023,-0.0132236,0.00784182
149,-308.087,244.143,-12.8601,2.74837,-0.0122215,0.00775133
150,-308.316,244.183,-12.8624,2.76733,-0.011299,0.00625447
151,-308.544,244.211,-12.8675,2.78818,-0.0108526,0.0052078
152,-308.765,244.233,-12.8709,2.80917,-0.0108501,0.00371299
153,-308.985,244.242,-12.8753,2.83019,-0.0109526,0.00268823
154,-309.216,244.257,-12.8791,2.85289,-0.0105335,0.00292554
155,-309.454,244.252,-12.8809,2.87647,-0.00986899,0.00379406
156,-309.681,244.242,-12.8769,2.89984,-0.00856654,0.00292389
157,-309.906,244.244,-12.8726,2.92298,-0.00702739,0.00104964
158,-310.142,244.211,-12.8724,2.94804,-0.00628221,-0.000773201
159,-310.373,244.181,-12.8741,2.97212,-0.00603828,-0.0011848
160,-310.608,244.132,-12.8713,2.99778,-0.00586743,-0.00104902
161,-310.833,244.086,-12.8796,3.02321,-0.005536,0.000152667
162,-311.061,244.037,-12.8826,3.04799,-0.00553777,0.00119363
163,-311.293,243.982,-12.8838,3.07338,-0.0052188,0.00231844
164,-311.531,243.924,-12.8817,3.09925,-0.00559205,0.00367349
165,-311.767,243.849,-12.8776,3.12574,-0.0060127,0.00411732
166,-312.001,243.773,-12.8833,-3.13068,-0.00570278,0.00456295
167,-312.239,243.692,-12.8829,-3.1039,-0.00432036,0.00481976
168,-312.464,243.594,-12.8881,-3.07709,-0.00371008,0.00505087
169,-312.698,243.501,-12.8872,-3.05018,-0.00420496,0.00565839
