id,x,y,z,yaw,pitch,roll
1,-285.368,226.535,-12.606,2.44792,0.0127526,0.0409105
2,-285.137,226.346,-12.5943,2.44794,0.0135137,0.0439179
3,-284.9,226.133,-12.5963,2.44764,0.0150012,0.0458352
4,-285.581,226.732,-12.6049,2.44845,0.0126007,0.0371943
5,-285.796,226.937,-12.6104,2.44967,0.0115544,0.0341619
6,-286.011,227.141,-12.6146,2.45072,0.0114039,0.0337925
7,-286.222,227.324,-12.612,2.44984,0.0108612,0.0342381
8,-286.439,227.507,-12.6129,2.45049,0.0100085,0.0353832
9,-286.649,227.688,-12.6117,2.45121,0.00842807,0.0359102
10,-286.854,227.874,-12.6124,2.45142,0.00732271,0.0345212
11,-287.054,228.042,-12.5981,2.45148,0.0030833,0.0346896
12,-287.248,228.206,-12.5998,2.45119,-0.00151337,0.0371416
13,-287.44,228.363,-12.6192,2.4509,-0.00361561,0.0393206
14,-287.622,228.516,-12.6281,2.45071,-0.0026269,0.0401953
15,-287.805,228.672,-12.6399,2.45105,-0.00112805,0.0410095
16,-287.982,228.825,-12.6333,2.45126,-0.000147975,0.0416469
17,-288.169,228.986,-12.6445,2.45178,-0.000162441,0.0419807
18,-288.334,229.127,-12.6606,2.45243,0.00201094,0.0416843
19,-288.513,229.282,-12.671,2.45281,0.00547718,0.0412672
20,-288.673,229.424,-12.6623,2.45323,0.00674428,0.0382239
21,-288.835,229.557,-12.653,2.45369,0.00644877,0.0356028
22,-288.99,229.693,-12.6595,2.45451,0.00593646,0.0352998
23,-289.135,229.818,-12.6665,2.45446,0.0068047,0.0373439
24,-289.274,229.986,-12.6615,2.45404,0.0100675,0.0377684
25,-289.46,230.084,-12.6873,2.45478,0.0124107,0.0410692
26,-289.585,230.243,-12.6736,2.456,0.0142415,0.0424026
27,-289.727,230.362,-12.67,2.45656,0.0146347,0.0439303
28,-289.924,230.471,-12.6881,2.45618,0.0136633,0.0460323
29,-290.073,230.59,-12.6855,2.45745,0.011654,0.0454411
30,-290.22,230.703,-12.7024,2.45965,0.00909829,0.0460721
31,-290.379,230.812,-12.7005,2.46032,0.00783515,0.0450615
32,-290.528,230.917,-12.6873,2.46142,0.00471557,0.043477
33,-290.647,231.034,-12.6875,2.46007,0.000987179,0.043837
34,-290.771,231.171,-12.6616,2.45881,-0.000787152,0.0419932
35,-290.874,231.297,-12.5967,2.45854,-0.00689615,0.0380917
36,-290.981,231.439,-12.5889,2.4571,-0.0149882,0.0372834
37,-291.112,231.544,-12.6213,2.45773,-0.0151494,0.0371412
38,-291.254,231.642,-12.6886,2.45754,-0.00906474,0.0380999
39,-291.36,231.739,-12.7182,2.45893,0.000178907,0.0385935
40,-291.489,231.831,-12.6963,2.45914,0.00560906,0.0396563
41,-291.619,231.936,-12.6848,2.45908,0.00273258,0.0420316
42,-291.757,232.054,-12.7073,2.45878,-0.000923343,0.0463621
43,-291.888,232.139,-12.7226,2.45808,-0.000948039,0.0519896
44,-292.01,232.232,-12.7178,2.4577,0.00115132,0.0544703
45,-292.137,232.331,-12.7083,2.4585,0.00364754,0.053158
46,-292.248,232.43,-12.7061,2.45972,0.00644521,0.0480917
47,-292.352,232.515,-12.7012,2.46062,0.0073085,0.0438142
48,-292.479,232.634,-12.6992,2.46084,0.005096,0.0433876
49,-292.59,232.734,-12.7201,2.459,0.0034716,0.0461319
50,-292.7,232.8,-12.7376,2.45848,0.00430255,0.0476377
51,-292.805,232.906,-12.7257,2.45944,0.0057934,0.0483854
52,-292.918,232.999,-12.7178,2.45912,0.00601213,0.0480436
53,-293.037,233.107,-12.7185,2.4574,0.00700402,0.0466565
54,-293.16,233.22,-12.7196,2.45904,0.0104856,0.0453482
55,-293.28,233.313,-12.7049,2.45967,0.0122736,0.0455072
56,-293.42,233.461,-12.677,2.4595,0.00839085,0.0429398
57,-293.565,233.573,-12.6869,2.45758,-0.000284951,0.0406379
58,-293.687,233.668,-12.7253,2.45753,-0.00266643,0.040091
59,-293.808,233.756,-12.7389,2.45871,-0.00171714,0.0428172
60,-293.956,233.85,-12.7362,2.45975,-0.00286572,0.0467461
61,-294.098,233.983,-12.7263,2.46007,-0.00543164,0.0481591
62,-294.242,234.122,-12.7454,2.45893,-0.00704246,0.0490477
63,-294.377,234.243,-12.748,2.45851,-0.00653158,0.0495621
64,-294.49,234.357,-12.749,2.45912,-0.00592935,0.0508051
65,-294.615,234.498,-12.7622,2.45778,-0.00570729,0.0510651
66,-294.736,234.618,-12.7609,2.45728,-0.00422575,0.04888
67,-294.86,234.741,-12.7653,2.45775,-0.00437662,0.0474106
68,-294.991,234.86,-12.7697,2.45828,-0.00449613,0.0475401
69,-295.119,234.991,-12.778,2.45733,-0.00429775,0.0475507
70,-295.25,235.105,-12.777,2.45776,-0.00447752,0.0481486
71,-295.393,235.22,-12.7797,2.45772,-0.00436233,0.0488289
72,-295.528,235.338,-12.7678,2.45758,-0.00467716,0.0483366
73,-295.664,235.455,-12.7726,2.45648,-0.00518135,0.0485788
74,-295.803,235.569,-12.7729,2.45654,-0.00536709,0.048437
75,-295.937,235.673,-12.7824,2.45764,-0.00555512,0.049171
76,-296.069,235.771,-12.7857,2.45741,-0.00545457,0.0488633
77,-296.214,235.884,-12.7732,2.45719,-0.00505383,0.047198
78,-296.362,236.003,-12.7629,2.45719,-0.00544692,0.0445712
79,-296.51,236.121,-12.7723,2.45853,-0.00582164,0.0440086
80,-296.65,236.234,-12.774,2.4586,-0.0038493,0.0433752
81,-296.799,236.333,-12.7695,2.45865,-0.00219421,0.0432254
