id,x,y,z,yaw,pitch,roll
1,-285.137,226.342,-12.6135,2.44816,0.0130627,0.040657
2,-284.924,226.133,-12.5989,2.4486,0.0141853,0.042455
3,-285.375,226.501,-12.6089,2.44822,0.0128942,0.0395607
4,-285.59,226.714,-12.6246,2.44895,0.0114918,0.0360417
5,-285.774,226.914,-12.6235,2.44987,0.0112703,0.0318017
6,-285.992,227.11,-12.6145,2.45022,0.0114106,0.0309128
7,-286.192,227.298,-12.6218,2.44964,0.0103964,0.0319452
8,-286.443,227.488,-12.6092,2.45057,0.00996498,0.0331315
9,-286.627,227.66,-12.6165,2.4509,0.0082597,0.0343146
10,-286.841,227.829,-12.6142,2.45145,0.00761958,0.0336976
11,-287.058,228.01,-12.5889,2.45167,0.00323069,0.0343963
12,-287.266,228.185,-12.5923,2.45118,-0.00191708,0.0361783
13,-287.461,228.342,-12.6164,2.45129,-0.00464354,0.0385784
14,-287.636,228.503,-12.6295,2.4503,-0.00320217,0.0391477
15,-287.817,228.664,-12.6388,2.45076,-0.00205301,0.0399625
16,-287.992,228.821,-12.6278,2.45107,-0.000581479,0.0399957
17,-288.16,228.996,-12.6486,2.45114,-0.000829694,0.0396363
18,-288.346,229.135,-12.6708,2.45149,0.00158081,0.0407551
19,-288.522,229.276,-12.6628,2.45243,0.00513839,0.0402384
20,-288.68,229.402,-12.6565,2.45278,0.00660202,0.0388356
21,-288.833,229.545,-12.659,2.45326,0.00644107,0.0362086
22,-288.994,229.691,-12.6635,2.45429,0.00601747,0.0352701
23,-289.155,229.813,-12.6733,2.45404,0.0062915,0.037022
24,-289.319,229.957,-12.6931,2.45344,0.00930912,0.0392635
25,-289.481,230.059,-12.7082,2.4548,0.0128587,0.0424954
26,-289.619,230.203,-12.7025,2.45563,0.0139658,0.0440217
27,-289.766,230.348,-12.7077,2.4557,0.0142515,0.0452792
28,-289.906,230.441,-12.6837,2.45482,0.0142446,0.045144
29,-290.048,230.571,-12.6515,2.45613,0.0118137,0.04417
30,-290.183,230.696,-12.6717,2.45744,0.00987868,0.0438969
31,-290.303,230.801,-12.6611,2.45676,0.00883302,0.0432569
32,-290.436,230.918,-12.6353,2.45753,0.0060701,0.041023
