id,x,y,z,yaw,pitch,roll
1,-285.363,226.541,-12.6003,2.44802,0.0127928,0.039226
2,-285.123,226.351,-12.5971,2.44806,0.0131854,0.0411188
3,-284.886,226.131,-12.5991,2.44806,0.0146603,0.0433736
4,-285.581,226.743,-12.6075,2.44848,0.012275,0.0354924
5,-285.798,226.941,-12.6133,2.44954,0.0112118,0.0331761
6,-286.018,227.146,-12.6152,2.45048,0.0111145,0.0329265
7,-286.23,227.329,-12.612,2.44974,0.0105687,0.0332951
8,-286.445,227.512,-12.6142,2.45023,0.00970678,0.0339609
9,-286.654,227.689,-12.6174,2.45089,0.00805993,0.0349946
10,-286.858,227.878,-12.6141,2.45117,0.00701553,0.0333571
11,-287.06,228.048,-12.5964,2.4515,0.00292877,0.0341313
12,-287.252,228.208,-12.6008,2.45097,-0.00172455,0.0365348
13,-287.44,228.364,-12.6211,2.45077,-0.00375375,0.0387513
14,-287.629,228.522,-12.6307,2.45051,-0.00287891,0.0392496
15,-287.819,228.684,-12.643,2.45078,-0.00147388,0.0403675
16,-287.996,228.84,-12.6321,2.45096,-0.000287059,0.0404214
17,-288.174,228.994,-12.6471,2.4514,-0.000374045,0.0411458
18,-288.353,229.14,-12.6622,2.45207,0.00179147,0.0413598
19,-288.516,229.288,-12.6712,2.4527,0.0053357,0.0407838
20,-288.677,229.427,-12.6629,2.45321,0.00659478,0.0379275
21,-288.841,229.565,-12.6525,2.45368,0.00642614,0.035638
22,-288.998,229.699,-12.6602,2.45459,0.00595868,0.0353455
23,-289.153,229.831,-12.6688,2.45437,0.00676595,0.0375166
24,-289.278,229.989,-12.6617,2.45404,0.0100776,0.0377476
25,-289.473,230.09,-12.6905,2.4547,0.0123173,0.0414369
26,-289.592,230.249,-12.6729,2.45596,0.0141861,0.042179
27,-289.738,230.37,-12.6673,2.45652,0.0145704,0.0440176
28,-289.927,230.473,-12.6911,2.45614,0.0135531,0.0461173
29,-290.078,230.595,-12.6881,2.45749,0.011533,0.0454387
30,-290.224,230.706,-12.7042,2.45966,0.0090655,0.0461105
31,-290.376,230.817,-12.6971,2.46001,0.00780857,0.0448173
32,-290.507,230.935,-12.6774,2.46031,0.00497675,0.0424257
33,-290.625,231.052,-12.6847,2.45911,0.00107761,0.0433454
34,-290.759,231.172,-12.6722,2.45817,-0.000982445,0.0429488
35,-290.867,231.302,-12.6168,2.45805,-0.00698286,0.0398464
36,-290.981,231.438,-12.6109,2.4567,-0.0151908,0.0391553
37,-291.117,231.55,-12.6511,2.45749,-0.0154016,0.0393873
38,-291.246,231.646,-12.7123,2.45725,-0.0091957,0.0403239
39,-291.356,231.744,-12.7162,2.45903,0.000231777,0.0395378
40,-291.482,231.826,-12.7111,2.45918,0.0052716,0.0412131
41,-291.616,231.931,-12.6973,2.45912,0.00235912,0.0435332
42,-291.744,232.054,-12.7147,2.45843,-0.00105915,0.0470584
43,-291.869,232.145,-12.7307,2.45692,-0.000992469,0.0525766
44,-292,232.258,-12.7334,2.45665,0.000889282,0.0555415
45,-292.117,232.361,-12.7256,2.45705,0.00376687,0.0542178
46,-292.235,232.456,-12.7188,2.45827,0.00641434,0.0492577
47,-292.339,232.54,-12.7144,2.45941,0.00717294,0.0444573
48,-292.459,232.662,-12.7142,2.45944,0.00527424,0.0442701
49,-292.579,232.767,-12.7316,2.45785,0.00368912,0.0467419
50,-292.695,232.842,-12.7484,2.45735,0.00444788,0.0479527
51,-292.798,232.944,-12.7403,2.45777,0.00574029,0.0492632
52,-292.921,233.049,-12.7364,2.45742,0.00572622,0.0494998
53,-293.044,233.158,-12.7379,2.45658,0.00645891,0.0478685
54,-293.172,233.267,-12.7443,2.45813,0.0100833,0.0469416
55,-293.296,233.375,-12.7319,2.45907,0.011602,0.0468886
56,-293.427,233.503,-12.6951,2.45866,0.00831286,0.0438123
57,-293.572,233.63,-12.6991,2.45689,-0.000359756,0.0412564
58,-293.701,233.729,-12.7354,2.45692,-0.00275639,0.0405903
59,-293.834,233.831,-12.7454,2.45911,-0.00169827,0.0430174
60,-293.965,233.938,-12.7379,2.45969,-0.00268162,0.0464691
61,-294.088,234.047,-12.7293,2.45918,-0.00492833,0.0479422
62,-294.224,234.17,-12.753,2.45777,-0.00671793,0.0492535
63,-294.355,234.279,-12.7569,2.45667,-0.00606794,0.0500312
64,-294.476,234.392,-12.7616,2.4573,-0.00558888,0.0515307
65,-294.592,234.522,-12.7719,2.45591,-0.0052103,0.0516935
66,-294.717,234.653,-12.7682,2.45515,-0.00376715,0.0491518
67,-294.839,234.768,-12.7725,2.45606,-0.00391532,0.0476442
68,-294.971,234.881,-12.7807,2.45648,-0.00392534,0.0479113
69,-295.099,235.008,-12.7851,2.4557,-0.00399491,0.0476839
70,-295.234,235.122,-12.7848,2.45595,-0.00420106,0.0482022
71,-295.369,235.245,-12.7831,2.45591,-0.00408856,0.0485911
72,-295.501,235.364,-12.7759,2.45549,-0.00447161,0.0484091
73,-295.633,235.479,-12.7777,2.45453,-0.00509544,0.0484228
74,-295.772,235.595,-12.7804,2.45484,-0.00496441,0.048293
75,-295.905,235.698,-12.7901,2.45578,-0.00532965,0.0493213
76,-296.031,235.806,-12.7941,2.45527,-0.00509061,0.0489986
77,-296.175,235.921,-12.7823,2.45481,-0.00457908,0.0470536
78,-296.326,236.044,-12.7714,2.45535,-0.00526276,0.0444699
79,-296.479,236.168,-12.7825,2.45672,-0.00562548,0.0440876
80,-296.618,236.288,-12.7901,2.4567,-0.00352823,0.0439627
81,-296.763,236.398,-12.7877,2.45639,-0.00182199,0.043861
82,-296.904,236.508,-12.7745,2.45707,-0.000912825,0.0452749
83,-297.04,236.63,-12.7692,2.45685,-0.00135854,0.0457577
84,-297.181,236.745,-12.7674,2.45619,-0.00140626,0.0458832
85,-297.332,236.851,-12.7754,2.456,-0.000766349,0.0457608
86,-297.475,236.974,-12.778,2.45555,0.000382108,0.0453313
87,-297.62,237.104,-12.7747,2.45572,0.000432123,0.0449189
88,-297.775,237.23,-12.7777,2.45624,-0.00123121,0.045254
89,-297.912,237.341,-12.7862,2.4573,-0.00156875,0.0460991
90,-298.062,237.467,-12.7837,2.45715,-0.00158676,0.0457873
91,-298.207,237.608,-12.785,2.45701,-0.00227163,0.0445697
92,-298.351,237.734,-12.7899,2.45792,-0.00271975,0.0440708
93,-298.481,237.861,-12.794,2.45862,-0.00289688,0.0429024
94,-298.637,237.986,-12.7996,2.45838,-0.00327483,0.0422122
95,-298.772,238.139,-12.7939,2.45767,-0.0042112,0.0405416
