id,x,y,z,yaw,pitch,roll
1,-285.129,226.334,-12.6075,2.44793,0.0129649,0.0414128
2,-284.899,226.127,-12.601,2.44786,0.0145564,0.0424387
3,-285.342,226.523,-12.5999,2.44806,0.0128691,0.0381297
4,-285.57,226.738,-12.6074,2.44866,0.012141,0.0339685
5,-285.783,226.932,-12.6126,2.44981,0.0111972,0.0315691
6,-286.004,227.136,-12.6178,2.45057,0.0110094,0.0315236
7,-286.218,227.324,-12.6148,2.44967,0.0104159,0.0319986
8,-286.433,227.507,-12.6137,2.45028,0.00957179,0.0327609
9,-286.638,227.682,-12.6157,2.45093,0.00809192,0.033921
10,-286.847,227.868,-12.6155,2.45109,0.00705325,0.0334161
11,-287.052,228.044,-12.5983,2.45138,0.00284448,0.033511
12,-287.249,228.212,-12.5988,2.45098,-0.00184429,0.0358221
13,-287.437,228.369,-12.6174,2.45079,-0.00380938,0.0380294
14,-287.618,228.52,-12.6297,2.45047,-0.00298029,0.0388599
15,-287.811,228.683,-12.6415,2.45091,-0.0016006,0.039752
16,-287.977,228.828,-12.6358,2.45112,-0.000489623,0.0400768
17,-288.168,228.997,-12.647,2.45148,-0.000486102,0.0407127
18,-288.339,229.134,-12.6647,2.45203,0.00171769,0.0412112
19,-288.51,229.285,-12.6728,2.45275,0.0052469,0.0405587
20,-288.663,229.418,-12.6656,2.45304,0.0065815,0.0377753
21,-288.826,229.554,-12.6567,2.45349,0.00636997,0.0352255
22,-288.99,229.701,-12.6617,2.45443,0.00586948,0.0346699
23,-289.138,229.827,-12.6709,2.45429,0.00677036,0.0367835
24,-289.277,229.979,-12.678,2.45402,0.0098942,0.0378615
25,-289.461,230.083,-12.6928,2.45478,0.0123758,0.0413049
26,-289.587,230.238,-12.6823,2.45591,0.014161,0.0423943
27,-289.73,230.363,-12.6781,2.45634,0.0144651,0.0439044
28,-289.916,230.471,-12.6864,2.45595,0.0135542,0.0451623
29,-290.056,230.592,-12.6783,2.45685,0.0118209,0.0445167
30,-290.196,230.708,-12.6898,2.45836,0.00940423,0.0446828
31,-290.327,230.821,-12.6781,2.45836,0.00855415,0.0432784
32,-290.461,230.948,-12.6618,2.45872,0.0056863,0.041181
33,-290.581,231.06,-12.673,2.45741,0.00180307,0.0422592
34,-290.724,231.178,-12.665,2.4572,-0.000692227,0.0422363
35,-290.841,231.298,-12.6189,2.45705,-0.00669476,0.0401951
36,-290.967,231.431,-12.6272,2.45619,-0.0152799,0.0402642
37,-291.099,231.538,-12.6655,2.45663,-0.0154095,0.0403051
38,-291.227,231.636,-12.72,2.45652,-0.00915254,0.0412523
39,-291.343,231.739,-12.7286,2.45823,0.000259075,0.0405543
40,-291.466,231.832,-12.7172,2.45829,0.00534833,0.0415826
41,-291.588,231.94,-12.6981,2.45794,0.00273063,0.0432488
42,-291.713,232.062,-12.7169,2.45685,-0.000794825,0.0473179
43,-291.842,232.154,-12.7355,2.45567,-0.000642373,0.0524929
44,-291.966,232.252,-12.7445,2.45488,0.00132994,0.0564379
45,-292.096,232.368,-12.7356,2.45537,0.00407228,0.0553715
46,-292.203,232.465,-12.7325,2.45603,0.00675787,0.0507101
47,-292.311,232.566,-12.7261,2.45725,0.00753718,0.0454661
48,-292.426,232.665,-12.7281,2.4574,0.00594328,0.0455522
49,-292.54,232.769,-12.7409,2.45576,0.00434954,0.0476003
50,-292.648,232.848,-12.7573,2.4552,0.00489699,0.0487801
51,-292.772,232.964,-12.7509,2.4559,0.00604094,0.0503657
52,-292.883,233.061,-12.7485,2.45515,0.00602993,0.0505346
53,-292.997,233.157,-12.7505,2.45454,0.00682068,0.0490284
54,-293.142,233.286,-12.7598,2.45607,0.0104271,0.048124
55,-293.258,233.397,-12.7488,2.45691,0.0116937,0.048204
56,-293.391,233.514,-12.7113,2.45665,0.00850578,0.0449966
57,-293.535,233.644,-12.7203,2.45515,7.75313e-05,0.0424758
58,-293.67,233.749,-12.7546,2.45521,-0.00245846,0.0421442
59,-293.797,233.856,-12.7596,2.45743,-0.00116884,0.0437167
60,-293.923,233.964,-12.7526,2.45817,-0.00214358,0.0469579
61,-294.053,234.077,-12.7428,2.45769,-0.00442969,0.0484809
62,-294.187,234.203,-12.7672,2.45633,-0.0062024,0.0498587
63,-294.314,234.31,-12.7725,2.45538,-0.00579253,0.0507058
64,-294.438,234.412,-12.7719,2.45603,-0.0053565,0.0519804
65,-294.563,234.527,-12.7814,2.45517,-0.00494402,0.05214
66,-294.702,234.654,-12.7793,2.45437,-0.0033581,0.0498564
67,-294.824,234.772,-12.783,2.45542,-0.00354023,0.0481758
68,-294.947,234.881,-12.7906,2.45583,-0.00361024,0.0482677
69,-295.087,235.012,-12.7918,2.45531,-0.00384444,0.0479298
70,-295.222,235.127,-12.7944,2.45542,-0.00405082,0.0485706
71,-295.343,235.234,-12.7959,2.45544,-0.00379018,0.0491893
72,-295.483,235.36,-12.79,2.45496,-0.00431247,0.0491364
73,-295.624,235.483,-12.7899,2.45419,-0.0048939,0.0489257
74,-295.752,235.588,-12.7903,2.45446,-0.00486432,0.0489029
75,-295.896,235.704,-12.7963,2.45527,-0.00525749,0.0494563
76,-296.012,235.809,-12.7987,2.45465,-0.00506736,0.0491111
77,-296.158,235.926,-12.7938,2.45402,-0.00436649,0.0476407
78,-296.297,236.044,-12.785,2.4541,-0.0046185,0.0453228
79,-296.443,236.173,-12.7962,2.45537,-0.00495555,0.044755
80,-296.587,236.301,-12.8012,2.45545,-0.0031957,0.0445431
81,-296.733,236.422,-12.8041,2.45518,-0.00147963,0.0447277
82,-296.866,236.539,-12.7933,2.45548,-0.000795258,0.0460597
83,-297.007,236.669,-12.7856,2.45551,-0.00101394,0.0463848
84,-297.152,236.794,-12.7849,2.45492,-0.00115043,0.0460862
85,-297.284,236.903,-12.7889,2.45481,-0.000470283,0.0456656
86,-297.432,237.032,-12.7958,2.45434,0.000830562,0.0454465
87,-297.57,237.152,-12.79,2.45438,0.000853024,0.0449143
88,-297.729,237.291,-12.7907,2.45505,-0.000779791,0.0451225
89,-297.864,237.404,-12.7976,2.45595,-0.00106645,0.0457363
90,-298.004,237.533,-12.793,2.45581,-0.00123766,0.0454624
91,-298.155,237.671,-12.8001,2.45575,-0.00212211,0.0445746
92,-298.29,237.795,-12.8052,2.45638,-0.0022836,0.0441873
93,-298.422,237.906,-12.81,2.45696,-0.00245877,0.0437245
94,-298.582,238.044,-12.8147,2.45666,-0.00289677,0.0426276
95,-298.723,238.178,-12.8131,2.45624,-0.00374304,0.0413777
96,-298.878,238.312,-12.8054,2.45658,-0.00540176,0.0400888
97,-299.029,238.436,-12.8069,2.45719,-0.00703901,0.0390488
98,-299.181,238.577,-12.8104,2.45834,-0.00894799,0.0375003
99,-299.32,238.697,-12.8207,2.45934,-0.00898627,0.0368035
100,-299.47,238.818,-12.8329,2.45942,-0.00733234,0.0356275
101,-299.625,238.955,-12.8383,2.4599,-0.00610157,0.0350164
102,-299.763,239.073,-12.8465,2.46026,-0.00535052,0.0373963
103,-299.913,239.183,-12.8406,2.46031,-0.00489791,0.0399048
104,-300.071,239.321,-12.8294,2.461,-0.00508986,0.038216
105,-300.221,239.445,-12.834,2.46159,-0.00549834,0.0361373
106,-300.365,239.575,-12.8424,2.46212,-0.00505334,0.034341
107,-300.527,239.721,-12.8435,2.46254,-0.00409177,0.0328585
108,-300.669,239.836,-12.8467,2.46331,-0.00356996,0.0321035
109,-300.825,239.965,-12.8425,2.46427,-0.00365596,0.0310009
110,-300.982,240.101,-12.8466,2.46438,-0.00380264,0.0304312
111,-301.134,240.234,-12.8455,2.46466,-0.00405559,0.0297915
112,-301.29,240.364,-12.8478,2.46457,-0.00374853,0.0286641
113,-301.451,240.495,-12.8505,2.46477,-0.00242836,0.0267291
114,-301.623,240.627,-12.8458,2.46759,-0.00229607,0.0233626
115,-301.777,240.767,-12.847,2.46983,-0.00498652,0.0219183
116,-301.934,240.896,-12.8443,2.47194,-0.00581523,0.0196658
117,-302.11,241.019,-12.8552,2.47457,-0.00603209,0.0182499
118,-302.273,241.143,-12.8563,2.47649,-0.00574854,0.0193232
119,-302.436,241.26,-12.8607,2.47947,-0.00519803,0.0184544
120,-302.604,241.387,-12.8692,2.48204,-0.00470143,0.0183539
121,-302.772,241.526,-12.866,2.48364,-0.00454279,0.0183405
122,-302.94,241.662,-12.8617,2.48585,-0.00472599,0.0178746
123,-303.11,241.792,-12.8637,2.48834,-0.00485424,0.0172613
124,-303.285,241.92,-12.8599,2.49162,-0.00436943,0.0160959
125,-303.444,242.034,-12.8633,2.49462,-0.00460507,0.0151664
126,-303.617,242.163,-12.864,2.49778,-0.00493557,0.0143264
127,-303.79,242.277,-12.8668,2.50088,-0.00487821,0.013546
128,-303.971,242.402,-12.8673,2.50495,-0.00427155,0.0127335
129,-304.143,242.523,-12.8695,2.51043,-0.00410414,0.0113679
130,-304.317,242.643,-12.8695,2.51518,-0.00411016,0.0111872
131,-304.493,242.754,-12.8752,2.51982,-0.00439222,0.0126387
132,-304.679,242.872,-12.8742,2.52607,-0.00652603,0.0155466
133,-304.867,242.984,-12.8619,2.53383,-0.00858741,0.0168264
134,-305.058,243.089,-12.8526,2.54364,-0.0105027,0.0150809
135,-305.243,243.196,-12.855,2.55381,-0.0113259,0.0112345
136,-305.435,243.279,-12.8647,2.56484,-0.0118054,0.00852944
137,-305.63,243.365,-12.8736,2.5763,-0.0114402,0.00794202
138,-305.83,243.45,-12.8758,2.58788,-0.0115281,0.00824531
139,-306.027,243.534,-12.87,2.59972,-0.0117593,0.00808463
140,-306.224,243.609,-12.8722,2.61182,-0.0117904,0.0080193
141,-306.435,243.677,-12.8707,2.62506,-0.0127299,0.00822635
142,-306.632,243.746,-12.8639,2.63751,-0.0128794,0.00708162
143,-306.834,243.821,-12.8626,2.65202,-0.0127143,0.0043981
144,-307.041,243.902,-12.8719,2.66761,-0.013852,0.00264896
145,-307.232,243.964,-12.8689,2.68124,-0.0137743,0.00413872
146,-307.448,244.012,-12.8719,2.69697,-0.0134571,0.00549938
147,-307.653,244.06,-12.8761,2.71283,-0.0132466,0.00672466
148,-307.87,244.109,-12.8695,2.73023,-0.0132238,0.00783705
149,-308.087,244.143,-12.8602,2.74834,-0.0122323,0.00774809
150,-308.316,244.183,-12.8624,2.76733,-0.0112991,0.00625152
151,-308.544,244.211,-12.8675,2.78818,-0.0108544,0.00520803
152,-308.764,244.233,-12.8709,2.80917,-0.0108529,0.00371282
153,-308.985,244.243,-12.8754,2.83019,-0.0109597,0.00269228
154,-309.216,244.257,-12.8791,2.85289,-0.0105321,0.00292263
155,-309.454,244.252,-12.881,2.87647,-0.009869,0.00379403
156,-309.681,244.242,-12.8768,2.89985,-0.00856236,0.00292348
157,-309.905,244.244,-12.8725,2.92298,-0.00702161,0.00104783
158,-310.142,244.212,-12.8724,2.94805,-0.00628066,-0.000774574
159,-310.373,244.181,-12.8741,2.97212,-0.00603949,-0.0011833
160,-310.607,244.132,-12.8714,2.99778,-0.00586591,-0.00105272
161,-310.833,244.086,-12.8796,3.02321,-0.0055385,0.000151055
162,-311.061,244.037,-12.8826,3.048,-0.00553792,0.00119623
163,-311.293,243.983,-12.8838,3.07338,-0.00521745,0.00231741
164,-311.531,243.924,-12.8816,3.09925,-0.00559458,0.00367484
165,-311.767,243.849,-12.8775,3.12574,-0.00601633,0.00411045
166,-312.001,243.773,-12.8834,-3.13068,-0.00570304,0.00455985
167,-312.238,243.692,-12.8829,-3.1039,-0.00431665,0.00482199
168,-312.464,243.594,-12.8882,-3.07708,-0.00371231,0.00504368
169,-312.697,243.501,-12.8869,-3.05021,-0.00419877,0.00566078
170,-312.944,243.39,-12.8963,-3.02213,-0.00458084,0.00639073
171,-313.154,243.299,-12.8982,-2.9956,-0.00403283,0.00711566
172,-313.415,243.159,-12.9131,-2.96547,-0.00333927,0.00868417
173,-313.648,243.033,-12.9094,-2.93717,-0.00108638,0.0101951
