id,x,y,z,yaw,pitch,roll
1,-285.366,226.534,-12.6138,2.44822,0.0122573,0.0393763
2,-285.151,226.355,-12.6009,2.44787,0.0129541,0.0412735
3,-284.899,226.128,-12.6006,2.44785,0.0145557,0.0424275
4,-285.566,226.735,-12.6069,2.44862,0.0121991,0.0338653
5,-285.783,226.932,-12.6125,2.4498,0.0111926,0.0315665
6,-285.995,227.128,-12.6175,2.45048,0.0110793,0.0314854
7,-286.209,227.318,-12.6151,2.44964,0.0104886,0.0319905
8,-286.433,227.506,-12.6136,2.45028,0.00956528,0.0327551
9,-286.63,227.677,-12.6152,2.45087,0.00817488,0.0338452
10,-286.846,227.867,-12.6154,2.45109,0.00707027,0.0334101
11,-287.045,228.04,-12.599,2.45133,0.00290189,0.033499
12,-287.247,228.211,-12.599,2.45098,-0.00181756,0.0357926
13,-287.437,228.369,-12.6173,2.45078,-0.00380831,0.0380284
14,-287.618,228.52,-12.6296,2.45047,-0.00297438,0.0388443
15,-287.811,228.683,-12.6415,2.45091,-0.0016005,0.0397514
16,-287.977,228.828,-12.6357,2.45112,-0.000487654,0.0400777
17,-288.168,228.997,-12.6471,2.45148,-0.00048303,0.0407242
18,-288.339,229.134,-12.6647,2.45203,0.00171378,0.0412075
19,-288.51,229.285,-12.6728,2.45275,0.00524714,0.04056
20,-288.663,229.418,-12.6656,2.45304,0.00658078,0.0377716
21,-288.826,229.554,-12.6567,2.45349,0.00636628,0.0352178
22,-288.99,229.701,-12.6616,2.45442,0.00586849,0.0346674
23,-289.138,229.827,-12.671,2.45429,0.00677004,0.0367843
24,-289.277,229.979,-12.6781,2.45402,0.00989389,0.0378614
25,-289.461,230.083,-12.6928,2.45479,0.0123709,0.0413048
26,-289.587,230.238,-12.6824,2.45591,0.0141596,0.0423965
27,-289.73,230.363,-12.6781,2.45634,0.0144614,0.0439052
28,-289.897,230.458,-12.6836,2.45602,0.0137701,0.0447487
29,-290.041,230.576,-12.6772,2.45679,0.0120848,0.0444492
30,-290.175,230.693,-12.6825,2.45804,0.00981874,0.0443987
31,-290.328,230.822,-12.6776,2.45835,0.00856719,0.0432183
32,-290.44,230.93,-12.6617,2.45857,0.00612325,0.041278
33,-290.581,231.059,-12.673,2.45741,0.00181959,0.0422541
34,-290.72,231.175,-12.6643,2.45723,-0.000558366,0.042123
35,-290.831,231.291,-12.6186,2.45707,-0.00636706,0.0402182
36,-290.962,231.426,-12.6259,2.45613,-0.0149356,0.0401036
37,-291.09,231.529,-12.6622,2.45653,-0.0152963,0.0401527
38,-291.218,231.63,-12.7172,2.45649,-0.00952868,0.0411444
39,-291.337,231.734,-12.7302,2.45809,-5.69752e-05,0.0406468
40,-291.452,231.819,-12.722,2.45825,0.00470772,0.0418045
41,-291.58,231.933,-12.6991,2.4579,0.00281091,0.0432446
42,-291.704,232.054,-12.712,2.45684,-0.000479232,0.0468425
43,-291.842,232.154,-12.7352,2.45565,-0.000609049,0.0524196
44,-291.966,232.252,-12.7446,2.45488,0.00133105,0.0564353
45,-292.08,232.35,-12.7419,2.45517,0.00366672,0.0558336
46,-292.202,232.464,-12.7329,2.45602,0.00675003,0.0507559
47,-292.306,232.561,-12.7274,2.45714,0.00753491,0.0456292
48,-292.405,232.648,-12.7269,2.45725,0.00619262,0.0455131
49,-292.531,232.76,-12.739,2.45573,0.00453735,0.0474871
50,-292.646,232.846,-12.7564,2.45519,0.00493133,0.0487446
51,-292.767,232.958,-12.7504,2.45578,0.00609408,0.0503319
52,-292.886,233.065,-12.7482,2.45515,0.0060072,0.0505288
53,-293.006,233.168,-12.7499,2.45448,0.00684477,0.0488935
54,-293.136,233.278,-12.761,2.45593,0.0103025,0.0482532
55,-293.257,233.396,-12.7489,2.4569,0.0116898,0.0482233
56,-293.378,233.502,-12.7103,2.45661,0.00879365,0.0451023
57,-293.53,233.64,-12.7174,2.45511,0.000352073,0.0424676
58,-293.669,233.748,-12.7541,2.4552,-0.00239462,0.0421113
59,-293.793,233.852,-12.7593,2.45729,-0.00115364,0.0436979
60,-293.919,233.96,-12.7514,2.45815,-0.00206109,0.046854
61,-294.049,234.072,-12.7414,2.45774,-0.0043094,0.0484441
62,-294.18,234.194,-12.7649,2.45638,-0.00604291,0.0497664
63,-294.312,234.308,-12.7719,2.45541,-0.00574688,0.0506528
64,-294.438,234.412,-12.7717,2.45604,-0.00535425,0.0519719
65,-294.563,234.527,-12.7814,2.45517,-0.00494473,0.0521399
66,-294.7,234.652,-12.7794,2.45438,-0.0033779,0.0499027
67,-294.821,234.768,-12.7833,2.45542,-0.00352014,0.0482222
68,-294.947,234.881,-12.7905,2.45583,-0.00360922,0.0482713
69,-295.087,235.012,-12.7918,2.45531,-0.00384504,0.047931
70,-295.22,235.125,-12.7944,2.4554,-0.00402809,0.0485671
71,-295.343,235.234,-12.7959,2.45543,-0.00377335,0.0491971
72,-295.483,235.36,-12.79,2.45496,-0.00430827,0.0491289
73,-295.621,235.48,-12.79,2.45425,-0.00483141,0.0489417
74,-295.751,235.587,-12.7902,2.45446,-0.00485874,0.0489025
75,-295.891,235.7,-12.7958,2.45522,-0.00514734,0.0494315
76,-296.012,235.809,-12.7986,2.45465,-0.0050605,0.0490988
77,-296.156,235.924,-12.7941,2.45406,-0.00436863,0.0476972
78,-296.297,236.044,-12.785,2.4541,-0.00461599,0.0453204
79,-296.44,236.17,-12.796,2.4554,-0.0049264,0.0447936
80,-296.587,236.301,-12.8013,2.45545,-0.00319208,0.0445581
81,-296.729,236.419,-12.8042,2.4552,-0.00148846,0.0447503
82,-296.861,236.533,-12.794,2.45551,-0.000821428,0.0460486
83,-296.999,236.661,-12.7863,2.45554,-0.000922843,0.0464461
84,-297.151,236.794,-12.7848,2.45493,-0.00113071,0.0460812
85,-297.284,236.903,-12.7888,2.45481,-0.000465767,0.0456569
86,-297.429,237.029,-12.7958,2.45437,0.000832762,0.0454644
87,-297.57,237.151,-12.7899,2.45438,0.000857249,0.0449177
88,-297.72,237.281,-12.7891,2.45504,-0.00048332,0.0450213
89,-297.856,237.396,-12.7966,2.45587,-0.00092578,0.0456611
90,-298.004,237.532,-12.7929,2.4558,-0.00120041,0.0454551
91,-298.151,237.667,-12.7993,2.45575,-0.00199714,0.0445903
92,-298.29,237.795,-12.805,2.45639,-0.00224646,0.0441713
93,-298.422,237.906,-12.81,2.45696,-0.00245435,0.0437231
94,-298.58,238.042,-12.8149,2.45668,-0.00287166,0.0426612
95,-298.72,238.173,-12.8133,2.45628,-0.00369135,0.0414278
96,-298.878,238.312,-12.8055,2.45659,-0.00540082,0.0400894
97,-299.027,238.434,-12.8067,2.45718,-0.00701041,0.0390759
98,-299.173,238.567,-12.8101,2.45824,-0.00876819,0.037658
99,-299.319,238.696,-12.8205,2.45935,-0.00895072,0.0368132
100,-299.468,238.815,-12.8329,2.45943,-0.00735258,0.0356626
101,-299.62,238.951,-12.8388,2.45993,-0.00618258,0.0350683
102,-299.763,239.073,-12.8465,2.46028,-0.0053594,0.0373993
103,-299.913,239.183,-12.8407,2.46031,-0.00489714,0.0399074
104,-300.071,239.321,-12.8294,2.461,-0.00508992,0.0382152
105,-300.221,239.445,-12.8339,2.46159,-0.00549811,0.036138
106,-300.365,239.575,-12.8425,2.46212,-0.00505303,0.0343415
107,-300.525,239.72,-12.8438,2.46254,-0.00410943,0.0328835
108,-300.669,239.835,-12.8466,2.46331,-0.00357271,0.0321039
109,-300.825,239.965,-12.8425,2.46427,-0.00365892,0.0309992
110,-300.979,240.098,-12.846,2.46445,-0.00377652,0.0304585
111,-301.134,240.234,-12.8454,2.46467,-0.00405365,0.0297822
112,-301.285,240.359,-12.8472,2.46463,-0.00372443,0.0287133
113,-301.441,240.489,-12.8506,2.4649,-0.00243867,0.0268754
114,-301.622,240.627,-12.8459,2.46761,-0.00230037,0.0233907
115,-301.774,240.764,-12.8472,2.46982,-0.00484229,0.0219925
116,-301.934,240.896,-12.8443,2.47195,-0.0058057,0.0196624
117,-302.107,241.016,-12.855,2.47457,-0.0060076,0.0182644
118,-302.263,241.136,-12.8557,2.47642,-0.00575412,0.0192696
119,-302.433,241.257,-12.8606,2.47947,-0.00518851,0.0184668
120,-302.604,241.387,-12.8691,2.48204,-0.00470518,0.0183537
121,-302.772,241.526,-12.866,2.48364,-0.00454301,0.018341
122,-302.932,241.655,-12.8619,2.48578,-0.00473723,0.0179179
123,-303.106,241.789,-12.8637,2.48832,-0.00486041,0.0172928
124,-303.279,241.916,-12.8614,2.49156,-0.00433374,0.016179
125,-303.446,242.036,-12.8638,2.49466,-0.00462983,0.0151766
126,-303.612,242.159,-12.8638,2.4977,-0.00492767,0.0143128
127,-303.78,242.27,-12.8659,2.5008,-0.00483101,0.0135437
128,-303.966,242.399,-12.8668,2.5049,-0.0042894,0.0127416
129,-304.137,242.519,-12.8689,2.51025,-0.0041237,0.0114058
130,-304.312,242.639,-12.8692,2.51502,-0.00408853,0.0111778
131,-304.479,242.747,-12.8725,2.5195,-0.00430949,0.0124492
132,-304.671,242.87,-12.8704,2.52582,-0.00626441,0.0152622
133,-304.858,242.981,-12.8604,2.5334,-0.00835091,0.0166593
134,-305.055,243.086,-12.8525,2.54343,-0.0103454,0.0150975
135,-305.239,243.193,-12.8544,2.55343,-0.01115,0.0114481
136,-305.43,243.279,-12.8633,2.56438,-0.011589,0.00856007
137,-305.623,243.367,-12.8715,2.57556,-0.0113973,0.00784553
138,-305.825,243.451,-12.874,2.58749,-0.0115164,0.00811605
139,-306.022,243.535,-12.87,2.59933,-0.0115961,0.00800582
140,-306.224,243.609,-12.8722,2.6118,-0.011768,0.00800331
141,-306.434,243.679,-12.8701,2.62486,-0.0126549,0.00815936
142,-306.62,243.747,-12.8641,2.63652,-0.0127924,0.00714074
143,-306.832,243.822,-12.8632,2.65177,-0.0126881,0.00439674
144,-307.029,243.904,-12.8719,2.66648,-0.0134874,0.00262821
145,-307.223,243.965,-12.8674,2.68058,-0.0136604,0.00403392
146,-307.447,244.014,-12.8706,2.69656,-0.0133584,0.00544867
147,-307.647,244.063,-12.875,2.7121,-0.0132922,0.00665339
148,-307.865,244.112,-12.8691,2.72975,-0.0132607,0.00770606
149,-308.084,244.144,-12.8609,2.74794,-0.0122483,0.00773738
150,-308.309,244.188,-12.862,2.76686,-0.0112801,0.00619484
151,-308.542,244.212,-12.8673,2.78808,-0.0108517,0.00519674
152,-308.758,244.239,-12.8689,2.80835,-0.010716,0.00353762
153,-308.976,244.252,-12.8716,2.82897,-0.0108228,0.00236502
154,-309.212,244.262,-12.8783,2.85252,-0.0105413,0.00283819
155,-309.453,244.252,-12.8808,2.87643,-0.00986758,0.00377268
156,-309.676,244.247,-12.8763,2.89921,-0.00855836,0.00287941
157,-309.905,244.244,-12.8723,2.92295,-0.00701435,0.00103944
158,-310.135,244.22,-12.8713,2.94715,-0.0063129,-0.000862882
159,-310.373,244.182,-12.8737,2.97207,-0.0060449,-0.00118682
160,-310.606,244.133,-12.8713,2.99773,-0.00585147,-0.00107143
161,-310.826,244.094,-12.8785,3.02255,-0.00548288,-5.17184e-05
162,-311.054,244.045,-12.8811,3.04741,-0.00541104,0.00100613
163,-311.291,243.99,-12.8827,3.0728,-0.00519946,0.00218563
164,-311.526,243.933,-12.8809,3.0987,-0.00553565,0.0034569
165,-311.766,243.851,-12.8775,3.12559,-0.00599479,0.00407881
166,-311.999,243.775,-12.8834,-3.13077,-0.00569241,0.0045279
167,-312.237,243.697,-12.8825,-3.10419,-0.00430406,0.0047576
168,-312.463,243.597,-12.8878,-3.07726,-0.00364311,0.00500877
169,-312.694,243.503,-12.886,-3.05037,-0.00416055,0.00561458
170,-312.94,243.395,-12.8953,-3.02245,-0.00444115,0.00628468
171,-313.182,243.271,-12.9039,-2.99388,-0.00433124,0.00751477
172,-313.405,243.17,-12.9109,-2.96627,-0.00321203,0.00848705
173,-313.647,243.033,-12.9094,-2.93718,-0.00108332,0.0101961
174,-313.87,242.909,-12.9173,-2.90932,0.00139195,0.0102008
175,-314.101,242.777,-12.9235,-2.88061,0.00159512,0.0111354
176,-314.347,242.613,-12.9339,-2.85107,-0.000871838,0.0131075
