id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6037,2.44815,0.0125338,0.0385892
2,-285.158,226.362,-12.5984,2.44786,0.0130041,0.0410956
3,-284.9,226.129,-12.6005,2.44785,0.0145507,0.0424314
4,-285.572,226.74,-12.6067,2.44868,0.0121588,0.033853
5,-285.783,226.932,-12.6126,2.44981,0.0111956,0.0315669
6,-286.004,227.136,-12.6177,2.45057,0.0110091,0.0315241
7,-286.218,227.324,-12.6148,2.44967,0.0104164,0.0319953
8,-286.433,227.507,-12.6136,2.45028,0.00957168,0.03276
9,-286.638,227.682,-12.6157,2.45093,0.00809156,0.0339235
10,-286.847,227.868,-12.6155,2.45109,0.00705516,0.0334124
11,-287.052,228.044,-12.5983,2.45138,0.00284797,0.0335059
12,-287.249,228.212,-12.5987,2.45098,-0.00184523,0.0358246
13,-287.437,228.369,-12.6174,2.45078,-0.00380868,0.0380294
14,-287.618,228.52,-12.6297,2.45047,-0.00298109,0.0388553
15,-287.811,228.683,-12.6414,2.45091,-0.00159756,0.0397509
16,-287.977,228.828,-12.6357,2.45111,-0.000486219,0.0400772
17,-288.168,228.997,-12.647,2.45148,-0.000485386,0.0407129
18,-288.339,229.134,-12.6647,2.45203,0.00171638,0.0412117
19,-288.51,229.285,-12.6728,2.45275,0.00524693,0.0405592
20,-288.666,229.422,-12.6649,2.45306,0.00660607,0.0377447
21,-288.827,229.554,-12.6566,2.45349,0.00636795,0.0352173
22,-288.99,229.701,-12.6616,2.45442,0.00586936,0.0346696
23,-289.138,229.827,-12.6709,2.45429,0.00677082,0.0367839
24,-289.277,229.979,-12.678,2.45402,0.0098935,0.0378627
25,-289.461,230.083,-12.6928,2.45479,0.0123746,0.041307
26,-289.587,230.238,-12.6824,2.45591,0.0141602,0.0423948
27,-289.73,230.363,-12.6781,2.45634,0.0144554,0.0439259
28,-289.914,230.47,-12.6861,2.45595,0.0135714,0.0451042
29,-290.056,230.592,-12.6782,2.45685,0.0118234,0.0445135
30,-290.196,230.708,-12.6898,2.45836,0.00940573,0.0446829
31,-290.327,230.821,-12.6781,2.45836,0.00855492,0.0432728
32,-290.461,230.948,-12.6618,2.45872,0.00568543,0.0411792
33,-290.581,231.06,-12.673,2.45741,0.00180259,0.042261
34,-290.724,231.178,-12.6649,2.4572,-0.000692706,0.0422373
35,-290.841,231.298,-12.6189,2.45705,-0.00669646,0.0401959
36,-290.967,231.43,-12.627,2.45618,-0.0152455,0.0402505
37,-291.1,231.538,-12.6655,2.45663,-0.0154057,0.0403066
38,-291.227,231.636,-12.72,2.45651,-0.00915184,0.0412502
39,-291.343,231.739,-12.7286,2.45823,0.000258238,0.040555
40,-291.466,231.832,-12.7171,2.45828,0.00534709,0.0415769
41,-291.588,231.94,-12.6982,2.45794,0.00272914,0.0432472
42,-291.713,232.062,-12.7169,2.45685,-0.000798867,0.0473271
43,-291.842,232.154,-12.7356,2.45567,-0.000642118,0.0524914
44,-291.966,232.252,-12.7445,2.45488,0.00132997,0.0564369
45,-292.096,232.368,-12.7356,2.45537,0.00407336,0.0553733
46,-292.203,232.465,-12.7325,2.45603,0.00675706,0.050709
47,-292.312,232.566,-12.7261,2.45725,0.00753688,0.0454684
48,-292.426,232.665,-12.7281,2.4574,0.00594231,0.0455497
49,-292.539,232.768,-12.7407,2.45575,0.00438449,0.0475678
50,-292.648,232.848,-12.7571,2.4552,0.00490131,0.0487823
51,-292.772,232.964,-12.7509,2.45591,0.0060404,0.050364
52,-292.883,233.061,-12.7484,2.45515,0.00603094,0.0505324
53,-292.997,233.157,-12.7505,2.45454,0.00681778,0.0490281
54,-293.142,233.286,-12.7598,2.45607,0.0104241,0.0481281
55,-293.258,233.397,-12.7488,2.45691,0.0116938,0.0482036
56,-293.386,233.511,-12.7108,2.45659,0.00861179,0.0450295
57,-293.535,233.644,-12.7202,2.45514,8.37531e-05,0.0424722
58,-293.671,233.749,-12.7546,2.45521,-0.00245886,0.0421441
59,-293.797,233.856,-12.7596,2.45743,-0.00116986,0.043716
60,-293.923,233.964,-12.7526,2.45816,-0.00214486,0.046959
61,-294.053,234.077,-12.7428,2.45769,-0.00443088,0.0484765
62,-294.187,234.203,-12.7671,2.45632,-0.00619677,0.049854
63,-294.313,234.308,-12.7723,2.4554,-0.00578847,0.0506875
64,-294.438,234.411,-12.7718,2.45604,-0.00535991,0.0519792
65,-294.563,234.527,-12.7814,2.45517,-0.00494577,0.0521354
66,-294.702,234.654,-12.7793,2.45436,-0.00335496,0.0498511
67,-294.824,234.772,-12.783,2.45542,-0.00354113,0.0481755
68,-294.947,234.881,-12.7906,2.45583,-0.00361222,0.0482668
69,-295.087,235.012,-12.7918,2.45531,-0.00384593,0.047932
70,-295.223,235.129,-12.7944,2.45543,-0.0040713,0.0485544
71,-295.343,235.235,-12.7959,2.45544,-0.00379346,0.0491877
72,-295.483,235.36,-12.79,2.45496,-0.00430945,0.0491343
73,-295.623,235.483,-12.7899,2.45419,-0.00489243,0.0489233
74,-295.752,235.588,-12.7903,2.45445,-0.00486578,0.0488965
75,-295.896,235.704,-12.7963,2.45527,-0.00525737,0.0494577
76,-296.012,235.809,-12.7986,2.45465,-0.0050689,0.0491114
77,-296.159,235.927,-12.7936,2.454,-0.00436777,0.0475902
78,-296.297,236.044,-12.7849,2.4541,-0.00461645,0.0453146
79,-296.445,236.175,-12.7961,2.45535,-0.00498634,0.0447267
80,-296.581,236.292,-12.8013,2.45545,-0.00328599,0.0445994
81,-296.733,236.422,-12.8041,2.45519,-0.00148545,0.0447417
82,-296.866,236.539,-12.7933,2.45548,-0.000795312,0.0460601
83,-297.006,236.669,-12.7857,2.45551,-0.00100996,0.0463896
84,-297.152,236.794,-12.7849,2.45492,-0.0011513,0.0460887
85,-297.284,236.903,-12.7889,2.45481,-0.000469582,0.0456624
86,-297.432,237.032,-12.7958,2.45434,0.000832736,0.0454443
87,-297.567,237.148,-12.79,2.4544,0.000869661,0.0449226
88,-297.729,237.291,-12.7907,2.45505,-0.000777596,0.0451203
89,-297.864,237.404,-12.7976,2.45595,-0.0010653,0.0457353
90,-298.004,237.533,-12.793,2.4558,-0.00123863,0.0454592
91,-298.155,237.671,-12.8,2.45575,-0.00212266,0.044577
92,-298.286,237.791,-12.8051,2.45639,-0.00224996,0.0442029
93,-298.421,237.905,-12.8099,2.45696,-0.00245659,0.043727
