id,x,y,z,yaw,pitch,roll
1,-285.129,226.334,-12.6075,2.44793,0.0129649,0.0414128
2,-284.897,226.126,-12.601,2.44786,0.0145741,0.0423904
3,-285.343,226.523,-12.6006,2.44806,0.0128394,0.038227
4,-285.573,226.74,-12.6071,2.44868,0.0121311,0.0339529
5,-285.793,226.941,-12.6121,2.44993,0.0110848,0.0315741
6,-286.007,227.137,-12.618,2.45058,0.0109911,0.0315376
7,-286.21,227.319,-12.615,2.44965,0.0104638,0.0319894
8,-286.436,227.509,-12.6135,2.45033,0.00956128,0.0327592
9,-286.646,227.689,-12.6177,2.45104,0.00793446,0.0340015
10,-286.849,227.87,-12.6155,2.45111,0.00702918,0.0334087
11,-287.052,228.044,-12.5988,2.45136,0.00282251,0.0335593
12,-287.25,228.213,-12.5985,2.45098,-0.00187252,0.0358573
13,-287.441,228.372,-12.6183,2.4508,-0.00385566,0.0381008
14,-287.623,228.525,-12.6298,2.45049,-0.00297908,0.0388149
15,-287.815,228.686,-12.6417,2.45092,-0.0016141,0.0397919
16,-287.983,228.833,-12.6358,2.45111,-0.00049402,0.0401006
17,-288.168,228.997,-12.6469,2.45149,-0.000482272,0.0407066
18,-288.339,229.134,-12.6647,2.45203,0.00171633,0.0412133
19,-288.51,229.285,-12.6728,2.45275,0.00524599,0.0405582
20,-288.671,229.426,-12.6642,2.45309,0.00664398,0.0376825
21,-288.833,229.56,-12.6561,2.45351,0.0063756,0.0351606
22,-288.993,229.704,-12.6619,2.45444,0.00586062,0.0346777
23,-289.144,229.832,-12.671,2.45428,0.00676754,0.0368632
24,-289.279,229.982,-12.6782,2.45403,0.00991675,0.0378771
25,-289.462,230.083,-12.6928,2.45478,0.0123696,0.0413122
26,-289.59,230.241,-12.6822,2.45593,0.0141705,0.0423794
27,-289.733,230.365,-12.6781,2.45634,0.0144459,0.0439568
28,-289.916,230.471,-12.6864,2.45594,0.0135529,0.0451626
29,-290.058,230.592,-12.6784,2.45684,0.0118078,0.044543
