id,x,y,z,yaw,pitch,roll
1,-285.364,226.539,-12.6024,2.4481,0.0125502,0.038578
2,-285.136,226.347,-12.5994,2.44789,0.0130488,0.0410579
3,-284.892,226.128,-12.5994,2.44791,0.0146294,0.0422584
4,-285.573,226.742,-12.6062,2.44865,0.0121814,0.0340643
5,-285.784,226.937,-12.6123,2.44979,0.0112113,0.0316032
6,-286.003,227.138,-12.6174,2.45057,0.0110406,0.0316954
7,-286.219,227.329,-12.6145,2.44971,0.0104208,0.0319415
8,-286.435,227.512,-12.613,2.45026,0.00963431,0.0328554
9,-286.644,227.688,-12.6161,2.45094,0.00812643,0.0342287
10,-286.848,227.871,-12.6151,2.45115,0.0070399,0.0333055
11,-287.052,228.044,-12.5982,2.45137,0.00285245,0.033547
12,-287.249,228.21,-12.5996,2.45094,-0.00179841,0.0360712
13,-287.439,228.368,-12.6184,2.45076,-0.00380014,0.0382641
14,-287.623,228.521,-12.6304,2.45052,-0.00294523,0.0389554
15,-287.811,228.679,-12.6418,2.45084,-0.00145566,0.0399156
16,-287.983,228.831,-12.6358,2.45107,-0.000425477,0.0403209
17,-288.168,228.993,-12.6478,2.45142,-0.000469577,0.0408717
18,-288.339,229.13,-12.6649,2.45202,0.00176334,0.0412899
19,-288.512,229.284,-12.6732,2.45274,0.00519564,0.0406202
20,-288.674,229.425,-12.664,2.45316,0.00661285,0.0378474
21,-288.832,229.556,-12.6566,2.45348,0.00634524,0.0353155
22,-288.989,229.7,-12.6616,2.45443,0.00592428,0.034791
23,-289.143,229.829,-12.6703,2.45433,0.0067253,0.0370626
24,-289.279,229.984,-12.6774,2.45404,0.00993796,0.0379031
25,-289.462,230.084,-12.6912,2.45478,0.0123502,0.04118
26,-289.591,230.242,-12.6805,2.45593,0.0141251,0.0423435
27,-289.733,230.364,-12.6777,2.45643,0.0144071,0.0438824
28,-289.923,230.471,-12.6891,2.45612,0.013475,0.0455755
29,-290.07,230.592,-12.6849,2.45718,0.0116911,0.0452453
30,-290.21,230.709,-12.696,2.45904,0.00923098,0.0454991
31,-290.348,230.822,-12.687,2.45904,0.0081911,0.0441153
32,-290.481,230.95,-12.6728,2.45931,0.00535101,0.0419962
33,-290.594,231.06,-12.6776,2.45797,0.00164636,0.0426541
34,-290.736,231.175,-12.6715,2.45755,-0.000758634,0.0427662
35,-290.84,231.294,-12.6241,2.45736,-0.00647602,0.0406959
36,-290.972,231.434,-12.6274,2.45637,-0.0153245,0.0402355
37,-291.105,231.542,-12.6663,2.45689,-0.0154735,0.0404297
38,-291.235,231.641,-12.7208,2.45687,-0.00920268,0.0412689
39,-291.347,231.742,-12.7277,2.45843,0.000235473,0.0405062
40,-291.473,231.832,-12.7197,2.4587,0.00512423,0.041887
41,-291.599,231.939,-12.7011,2.4585,0.00251934,0.0435393
