id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.576,226.742,-12.6067,2.44871,0.0121212,0.0338423
5,-285.793,226.941,-12.6121,2.44993,0.011085,0.0315743
6,-285.996,227.129,-12.6177,2.45049,0.0110725,0.0314944
7,-286.22,227.326,-12.6148,2.44968,0.0104086,0.0319946
8,-286.433,227.507,-12.6136,2.45028,0.00957055,0.0327604
9,-286.646,227.689,-12.6177,2.45104,0.00793679,0.0340014
10,-286.849,227.87,-12.6154,2.45111,0.00703174,0.0333964
11,-287.052,228.044,-12.5982,2.45138,0.00284578,0.0335107
12,-287.25,228.213,-12.5985,2.45099,-0.00187144,0.0358559
13,-287.441,228.372,-12.6183,2.4508,-0.00385447,0.0381011
14,-287.623,228.525,-12.6298,2.4505,-0.00297877,0.0388163
15,-287.815,228.686,-12.6417,2.45093,-0.0016198,0.0397852
16,-287.983,228.833,-12.6358,2.45111,-0.00049537,0.0401012
17,-288.168,228.997,-12.6469,2.45149,-0.00048212,0.0407063
18,-288.339,229.134,-12.6645,2.45203,0.00171835,0.0412059
19,-288.511,229.286,-12.6726,2.45275,0.00525757,0.040548
20,-288.671,229.426,-12.6641,2.45309,0.00663934,0.0376726
21,-288.833,229.56,-12.6561,2.45351,0.00637685,0.0351546
22,-288.993,229.704,-12.6618,2.45444,0.00586321,0.0346766
23,-289.144,229.832,-12.671,2.45428,0.00676933,0.0368643
24,-289.279,229.982,-12.6782,2.45403,0.00991729,0.0378768
25,-289.462,230.083,-12.6928,2.45479,0.0123643,0.0413029
26,-289.59,230.241,-12.6822,2.45593,0.0141691,0.0423757
27,-289.733,230.365,-12.6781,2.45634,0.0144444,0.0439643
28,-289.916,230.471,-12.6864,2.45594,0.0135527,0.0451583
29,-290.058,230.592,-12.6784,2.45684,0.0118084,0.0445461
30,-290.197,230.709,-12.6903,2.45839,0.009396,0.0447148
31,-290.329,230.823,-12.6783,2.45838,0.00852745,0.0432723
32,-290.462,230.949,-12.6619,2.45874,0.00567435,0.0411865
33,-290.582,231.06,-12.6733,2.45742,0.00177724,0.0422855
34,-290.725,231.179,-12.6652,2.45719,-0.000716013,0.0422513
35,-290.841,231.298,-12.619,2.45705,-0.00669551,0.0402
36,-290.967,231.431,-12.6273,2.45619,-0.0152765,0.0402758
