id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.576,226.742,-12.6067,2.44871,0.0121222,0.0338437
5,-285.793,226.941,-12.6121,2.44993,0.0110857,0.0315735
6,-286.007,227.137,-12.618,2.45059,0.0109915,0.0315369
7,-286.21,227.319,-12.6149,2.44966,0.0104618,0.0319862
8,-286.436,227.509,-12.6135,2.45033,0.00956136,0.0327607
9,-286.646,227.689,-12.6177,2.45104,0.00793725,0.0339999
10,-286.849,227.87,-12.6155,2.45111,0.00702918,0.0334089
11,-287.052,228.044,-12.5983,2.45138,0.00284332,0.033511
12,-287.25,228.213,-12.5985,2.45099,-0.00187168,0.035857
13,-287.441,228.372,-12.6183,2.4508,-0.0038547,0.0381012
14,-287.626,228.527,-12.6301,2.4505,-0.00297029,0.0388428
15,-287.815,228.686,-12.6417,2.45092,-0.00161119,0.0397931
16,-287.983,228.833,-12.6358,2.45111,-0.000493623,0.0401007
17,-288.168,228.997,-12.6468,2.45149,-0.000481458,0.0407047
18,-288.339,229.134,-12.6645,2.45203,0.00171647,0.0412064
19,-288.51,229.285,-12.6728,2.45275,0.00524658,0.0405603
20,-288.671,229.426,-12.6642,2.45309,0.00664367,0.0376835
21,-288.833,229.56,-12.6561,2.45351,0.00637776,0.0351612
22,-288.993,229.704,-12.6618,2.45444,0.00586133,0.0346764
23,-289.144,229.832,-12.671,2.45428,0.00677075,0.036865
24,-289.279,229.982,-12.6782,2.45403,0.00991584,0.0378749
25,-289.462,230.083,-12.6928,2.45478,0.0123649,0.0413019
26,-289.59,230.241,-12.6822,2.45592,0.0141694,0.0423753
27,-289.733,230.365,-12.678,2.45634,0.0144461,0.0439574
28,-289.916,230.471,-12.6864,2.45594,0.0135534,0.0451573
29,-290.058,230.592,-12.6784,2.45683,0.0118094,0.0445466
30,-290.197,230.709,-12.6904,2.45839,0.00939354,0.0447174
31,-290.329,230.823,-12.6782,2.45837,0.00852979,0.0432539
32,-290.462,230.949,-12.6618,2.45874,0.00567328,0.0411887
33,-290.582,231.06,-12.6734,2.45742,0.00177989,0.0422861
34,-290.725,231.179,-12.6651,2.45719,-0.000713745,0.0422508
35,-290.841,231.298,-12.619,2.45704,-0.00669574,0.0401989
36,-290.967,231.431,-12.6272,2.45619,-0.0152745,0.0402785
