id,x,y,z,yaw,pitch,roll
1,-285.129,226.334,-12.6075,2.44793,0.0129649,0.0414128
2,-284.897,226.126,-12.601,2.44786,0.0145741,0.0423904
3,-285.348,226.526,-12.5998,2.44807,0.012862,0.0380988
4,-285.573,226.74,-12.607,2.44868,0.0121275,0.033963
5,-285.793,226.941,-12.6121,2.44993,0.011085,0.0315745
6,-286.007,227.137,-12.618,2.45058,0.0109909,0.0315369
7,-286.21,227.319,-12.6151,2.44965,0.0104722,0.0319902
8,-286.436,227.509,-12.6135,2.45033,0.00956101,0.0327603
9,-286.646,227.689,-12.6177,2.45104,0.00793743,0.0339992
10,-286.849,227.87,-12.6155,2.45111,0.00702857,0.0334088
11,-287.052,228.044,-12.5983,2.45138,0.00284192,0.0335182
12,-287.25,228.213,-12.5985,2.45099,-0.00187108,0.0358577
13,-287.441,228.372,-12.6183,2.45079,-0.00385549,0.0380985
14,-287.623,228.525,-12.6298,2.45049,-0.0029787,0.0388157
15,-287.815,228.686,-12.6417,2.45092,-0.00161427,0.0397925
16,-287.983,228.833,-12.6358,2.45111,-0.000493423,0.0400994
17,-288.168,228.998,-12.6469,2.45149,-0.000482087,0.0407055
18,-288.339,229.134,-12.6646,2.45203,0.00171643,0.0412135
19,-288.511,229.286,-12.6727,2.45275,0.00525577,0.0405476
20,-288.671,229.426,-12.6643,2.4531,0.00664659,0.0376881
21,-288.833,229.56,-12.6561,2.45351,0.00637755,0.0351613
22,-288.993,229.704,-12.6618,2.45444,0.00586537,0.0346724
23,-289.139,229.828,-12.671,2.45429,0.00677226,0.0367842
24,-289.279,229.982,-12.6782,2.45402,0.00991697,0.0378791
25,-289.461,230.083,-12.6928,2.45478,0.0123708,0.0413112
26,-289.59,230.241,-12.6822,2.45592,0.0141716,0.0423707
27,-289.733,230.365,-12.6781,2.45634,0.0144456,0.0439579
28,-289.916,230.471,-12.6864,2.45594,0.0135525,0.045161
29,-290.058,230.592,-12.6784,2.45683,0.0118095,0.0445468
