id,x,y,z,yaw,pitch,roll
1,-285.13,226.334,-12.61,2.44796,0.0128938,0.0416401
2,-284.899,226.127,-12.6013,2.44786,0.014548,0.0424493
3,-285.342,226.523,-12.5999,2.44806,0.0128692,0.0381306
4,-285.567,226.735,-12.6075,2.44863,0.0121596,0.0339961
5,-285.779,226.929,-12.6125,2.44977,0.0112113,0.031589
6,-285.989,227.122,-12.6174,2.45045,0.0111158,0.0314651
7,-286.213,227.321,-12.6149,2.44964,0.0104502,0.0319837
8,-286.427,227.501,-12.6139,2.45022,0.0095885,0.032768
9,-286.638,227.682,-12.6157,2.45092,0.00809424,0.0339394
10,-286.847,227.868,-12.6156,2.45109,0.00705668,0.033413
11,-287.046,228.04,-12.599,2.45133,0.00290154,0.0335031
12,-287.247,228.211,-12.599,2.45098,-0.00181722,0.0357899
13,-287.437,228.369,-12.6173,2.45078,-0.00380788,0.0380279
14,-287.61,228.514,-12.6292,2.45044,-0.00298084,0.0388427
15,-287.8,228.676,-12.6404,2.45084,-0.00157794,0.0395947
16,-287.975,228.827,-12.6352,2.45112,-0.000474175,0.0400626
17,-288.152,228.981,-12.6445,2.45151,-0.00040119,0.0406283
18,-288.33,229.126,-12.6643,2.45204,0.00175063,0.0411649
19,-288.507,229.283,-12.673,2.45274,0.0052275,0.0405606
20,-288.656,229.413,-12.6665,2.45306,0.00656182,0.0377961
21,-288.825,229.553,-12.6567,2.45349,0.00637313,0.035225
22,-288.987,229.697,-12.6615,2.45441,0.00589784,0.0346731
23,-289.131,229.82,-12.6707,2.45431,0.00677901,0.0366859
24,-289.277,229.979,-12.6778,2.45402,0.00990284,0.0378412
25,-289.455,230.078,-12.6923,2.45477,0.0123746,0.0411813
26,-289.582,230.234,-12.6823,2.45587,0.0141436,0.0423992
27,-289.704,230.342,-12.6772,2.45626,0.0146171,0.0436466
28,-289.913,230.469,-12.6853,2.45595,0.0136095,0.0450425
29,-290.054,230.59,-12.6781,2.45685,0.0118602,0.0444897
30,-290.194,230.708,-12.6884,2.4583,0.00943437,0.0445862
31,-290.327,230.821,-12.6779,2.45835,0.00856346,0.043263
32,-290.46,230.947,-12.6618,2.4587,0.0057103,0.0411794
33,-290.58,231.059,-12.6725,2.4574,0.00183503,0.0422315
34,-290.723,231.177,-12.6648,2.45721,-0.000658583,0.042208
35,-290.841,231.298,-12.6189,2.45705,-0.00669358,0.0401968
36,-290.967,231.43,-12.6271,2.45618,-0.0152446,0.0402563
37,-291.098,231.536,-12.6649,2.45662,-0.0153805,0.0402774
38,-291.227,231.636,-12.72,2.45652,-0.0091522,0.0412523
39,-291.343,231.739,-12.7286,2.45823,0.000256746,0.0405552
40,-291.466,231.832,-12.7176,2.45828,0.00531833,0.041605
41,-291.587,231.939,-12.6982,2.45793,0.00275384,0.0432381
42,-291.712,232.061,-12.7163,2.45685,-0.000754031,0.047262
43,-291.84,232.153,-12.7347,2.45565,-0.000632462,0.0523503
44,-291.965,232.252,-12.7445,2.45487,0.00133929,0.0564288
45,-292.094,232.366,-12.7364,2.45534,0.0039945,0.0554302
46,-292.202,232.463,-12.7331,2.45601,0.00672769,0.0507576
47,-292.309,232.563,-12.7268,2.45717,0.00754151,0.0455581
48,-292.426,232.664,-12.7281,2.4574,0.00594456,0.045554
49,-292.537,232.766,-12.7402,2.45574,0.00441736,0.0475426
50,-292.64,232.842,-12.7558,2.4552,0.00489956,0.048682
51,-292.763,232.955,-12.7504,2.45572,0.00610275,0.0503086
52,-292.881,233.059,-12.7486,2.45512,0.00605269,0.0505497
53,-292.997,233.157,-12.7504,2.45453,0.00682337,0.049021
54,-293.14,233.283,-12.7602,2.456,0.0103931,0.0481982
55,-293.266,233.404,-12.7474,2.45704,0.0117818,0.0481755
56,-293.387,233.511,-12.7107,2.45662,0.00860035,0.0450238
57,-293.535,233.644,-12.7203,2.45515,8.10972e-05,0.0424717
58,-293.67,233.749,-12.7547,2.45521,-0.00245806,0.0421432
59,-293.796,233.855,-12.7596,2.4574,-0.00116639,0.0437136
60,-293.919,233.96,-12.7516,2.45816,-0.00206503,0.0468556
61,-294.052,234.076,-12.7424,2.4577,-0.00440556,0.0484706
62,-294.186,234.201,-12.7667,2.45633,-0.00616437,0.0498382
63,-294.31,234.305,-12.7721,2.45545,-0.00577551,0.0506579
64,-294.438,234.411,-12.7718,2.45604,-0.00535903,0.0519739
65,-294.558,234.521,-12.7812,2.45519,-0.0049297,0.0521418
66,-294.7,234.651,-12.7795,2.45439,-0.0033786,0.0499042
67,-294.821,234.768,-12.7833,2.45541,-0.003518,0.048221
68,-294.947,234.881,-12.7905,2.45583,-0.00360939,0.0482744
69,-295.08,235.003,-12.7926,2.45538,-0.00382683,0.0480608
70,-295.21,235.115,-12.7944,2.45536,-0.00394379,0.0485648
71,-295.333,235.223,-12.7961,2.45543,-0.00375052,0.0492249
72,-295.482,235.36,-12.7902,2.45496,-0.00429801,0.0491424
73,-295.623,235.483,-12.7899,2.4542,-0.00489316,0.0489253
74,-295.745,235.581,-12.7908,2.45444,-0.00484906,0.0489411
75,-295.892,235.702,-12.7962,2.45524,-0.00519618,0.049444
76,-296.008,235.806,-12.7986,2.45467,-0.00504278,0.0491362
77,-296.156,235.924,-12.794,2.45406,-0.00436214,0.0476989
78,-296.295,236.04,-12.785,2.45414,-0.00460043,0.0454007
79,-296.443,236.172,-12.796,2.45539,-0.00496658,0.0447634
80,-296.588,236.301,-12.8013,2.45545,-0.00319829,0.0445423
81,-296.729,236.419,-12.8042,2.4552,-0.00148814,0.0447527
82,-296.86,236.533,-12.794,2.4555,-0.000822244,0.0460527
83,-296.986,236.646,-12.7867,2.45561,-0.000843345,0.0464775
84,-297.151,236.793,-12.7846,2.45493,-0.00110926,0.0460916
85,-297.279,236.897,-12.7887,2.45483,-0.0004655,0.0456947
86,-297.423,237.025,-12.7952,2.45442,0.000829753,0.0454849
87,-297.551,237.135,-12.7899,2.45445,0.000913808,0.0449998
88,-297.728,237.29,-12.7906,2.45505,-0.000767115,0.0451176
89,-297.862,237.403,-12.7973,2.45594,-0.00103831,0.0457218
90,-298.004,237.532,-12.7931,2.45581,-0.00123239,0.0454618
91,-298.154,237.67,-12.7999,2.45574,-0.00209691,0.0445741
92,-298.28,237.786,-12.8048,2.45638,-0.00222008,0.0442086
93,-298.412,237.898,-12.8096,2.45697,-0.00244904,0.0437606
94,-298.579,238.042,-12.8148,2.45669,-0.00286456,0.0426608
95,-298.723,238.178,-12.8132,2.45625,-0.00373774,0.0413827
96,-298.877,238.31,-12.8054,2.45659,-0.0053781,0.040091
97,-299.029,238.436,-12.8068,2.45719,-0.00704028,0.0390509
98,-299.18,238.575,-12.8101,2.45833,-0.00892791,0.0375102
99,-299.316,238.694,-12.8208,2.45934,-0.008963,0.0368417
100,-299.467,238.815,-12.8328,2.45942,-0.00734953,0.0356637
101,-299.623,238.953,-12.8386,2.45991,-0.00613556,0.0350502
102,-299.759,239.07,-12.8462,2.46027,-0.00537809,0.0373446
103,-299.916,239.186,-12.8405,2.4603,-0.00488934,0.0399727
104,-300.049,239.3,-12.8312,2.461,-0.00496009,0.0384836
105,-300.219,239.442,-12.8339,2.46161,-0.0054604,0.0361735
106,-300.357,239.567,-12.842,2.46213,-0.00503288,0.0344802
107,-300.51,239.709,-12.8439,2.46264,-0.0041829,0.0330864
108,-300.667,239.834,-12.8469,2.46334,-0.00357953,0.032132
109,-300.825,239.965,-12.8424,2.46428,-0.00365636,0.0310005
110,-300.981,240.1,-12.8463,2.46441,-0.00378563,0.0304367
111,-301.134,240.234,-12.8454,2.46467,-0.00405277,0.0297837
112,-301.288,240.362,-12.8474,2.46459,-0.00373874,0.0286809
113,-301.441,240.489,-12.8507,2.4649,-0.00244061,0.0268729
114,-301.619,240.624,-12.8466,2.46759,-0.00228862,0.0235346
115,-301.776,240.767,-12.8473,2.46983,-0.00494778,0.0219628
116,-301.934,240.896,-12.8443,2.47194,-0.00581319,0.0196627
117,-302.107,241.016,-12.8551,2.47457,-0.00600804,0.0182603
118,-302.268,241.141,-12.856,2.47646,-0.00574699,0.0192999
119,-302.436,241.26,-12.8606,2.47948,-0.00518932,0.018446
120,-302.604,241.387,-12.8691,2.48204,-0.00469888,0.0183532
121,-302.767,241.522,-12.8655,2.48364,-0.00452997,0.0183238
122,-302.936,241.659,-12.8617,2.48583,-0.0047342,0.0178927
123,-303.106,241.789,-12.8635,2.48832,-0.00485322,0.0172784
124,-303.282,241.918,-12.8606,2.4916,-0.00433752,0.0161302
125,-303.443,242.034,-12.8633,2.49462,-0.00459858,0.0151647
126,-303.615,242.162,-12.8639,2.49775,-0.00493244,0.0143206
127,-303.789,242.277,-12.8668,2.50089,-0.0048781,0.0135451
128,-303.969,242.401,-12.867,2.50493,-0.0042776,0.0127285
129,-304.143,242.523,-12.8695,2.51043,-0.00410436,0.0113655
130,-304.316,242.642,-12.8695,2.51514,-0.00411034,0.0111918
131,-304.49,242.753,-12.8745,2.51975,-0.00437493,0.0125908
132,-304.679,242.872,-12.874,2.52605,-0.00649509,0.0155238
133,-304.867,242.984,-12.8618,2.5338,-0.00856778,0.0168158
134,-305.059,243.089,-12.8526,2.54364,-0.0105019,0.0150817
135,-305.243,243.196,-12.855,2.55379,-0.0113074,0.0112419
136,-305.435,243.279,-12.8644,2.56482,-0.0117854,0.00853117
137,-305.63,243.365,-12.8734,2.57627,-0.011438,0.00793205
138,-305.83,243.45,-12.8758,2.58788,-0.0115291,0.00824269
139,-306.027,243.534,-12.8699,2.59969,-0.0117503,0.00807418
140,-306.224,243.609,-12.8722,2.61182,-0.0117871,0.00801739
141,-306.435,243.677,-12.8706,2.62507,-0.0127305,0.00822808
142,-306.632,243.746,-12.8639,2.63751,-0.0128769,0.00707863
143,-306.834,243.82,-12.8626,2.65202,-0.0127138,0.0043991
144,-307.041,243.902,-12.8718,2.6677,-0.0139401,0.00265837
145,-307.232,243.964,-12.869,2.68124,-0.0137948,0.00415269
146,-307.449,244.012,-12.8719,2.69696,-0.0134575,0.00550307
147,-307.653,244.06,-12.876,2.71279,-0.0132426,0.00672736
148,-307.869,244.11,-12.8696,2.73019,-0.0132273,0.00782331
149,-308.088,244.143,-12.8602,2.74834,-0.0122324,0.00774226
