id,x,y,z,yaw,pitch,roll
1,-285.38,226.496,-12.6126,2.44613,0.0132744,0.0451077
2,-285.138,226.315,-12.5981,2.44623,0.0137423,0.0449649
3,-284.9,226.109,-12.5944,2.44628,0.015296,0.0462417
4,-285.591,226.719,-12.6023,2.44844,0.0131756,0.0413776
5,-285.81,226.925,-12.6112,2.44977,0.0116762,0.038185
6,-286.024,227.123,-12.6159,2.45012,0.0114751,0.038171
7,-286.232,227.315,-12.6125,2.44948,0.0110889,0.0375112
8,-286.452,227.5,-12.6124,2.45014,0.0101357,0.0382767
9,-286.654,227.684,-12.6105,2.45115,0.00857885,0.0380344
10,-286.85,227.875,-12.608,2.45194,0.00773367,0.0354697
11,-287.051,228.048,-12.5966,2.45193,0.00316857,0.0349662
12,-287.248,228.207,-12.5989,2.4513,-0.00139618,0.0374543
13,-287.436,228.361,-12.6171,2.45105,-0.00340341,0.039524
14,-287.622,228.516,-12.6282,2.4507,-0.00261036,0.0403436
15,-287.816,228.679,-12.6404,2.45118,-0.00120182,0.0411953
16,-287.983,228.827,-12.6329,2.45143,-0.000107239,0.0417564
17,-288.173,228.989,-12.6457,2.45214,-0.000264564,0.0420854
18,-288.335,229.126,-12.6609,2.45242,0.00199117,0.0417173
19,-288.513,229.282,-12.671,2.45281,0.00547156,0.0412775
20,-288.671,229.422,-12.6628,2.45319,0.0067664,0.0383788
21,-288.834,229.55,-12.6533,2.45359,0.0064483,0.0365767
22,-288.994,229.689,-12.6579,2.45432,0.00598061,0.0360065
23,-289.142,229.821,-12.6667,2.45436,0.00681811,0.0376748
24,-289.275,229.986,-12.6615,2.45405,0.0100816,0.0378626
25,-289.46,230.083,-12.6873,2.45478,0.0124107,0.0410698
26,-289.585,230.242,-12.673,2.45599,0.0143169,0.0425823
27,-289.731,230.364,-12.6697,2.45657,0.0146508,0.0440491
28,-289.925,230.471,-12.688,2.45614,0.0136831,0.0461665
29,-290.071,230.588,-12.685,2.45738,0.0117057,0.0455207
30,-290.22,230.703,-12.7023,2.45965,0.00909686,0.0460677
31,-290.379,230.812,-12.7006,2.46032,0.00783276,0.0450637
32,-290.528,230.917,-12.6874,2.46142,0.00471425,0.0434774
33,-290.647,231.034,-12.6875,2.46007,0.000990833,0.0438306
34,-290.77,231.172,-12.6614,2.45884,-0.000778037,0.0419937
35,-290.874,231.298,-12.5964,2.45851,-0.00686807,0.0381543
36,-290.981,231.439,-12.5883,2.45735,-0.0150324,0.0372558
37,-291.125,231.544,-12.6214,2.45868,-0.0151895,0.0370965
38,-291.327,231.608,-12.6953,2.46085,-0.00972272,0.039185
39,-291.406,231.722,-12.7221,2.46261,-0.000751123,0.0392533
40,-291.581,231.792,-12.6992,2.46324,0.00462703,0.0409908
41,-291.686,231.913,-12.6871,2.46205,0.00222683,0.0427719
42,-291.835,232.034,-12.7042,2.46225,-0.00125129,0.0465861
43,-291.958,232.122,-12.7197,2.4612,-0.00128214,0.052105
44,-292.055,232.233,-12.7137,2.45938,0.000826177,0.0544663
45,-292.189,232.318,-12.707,2.46151,0.00344991,0.0531558
46,-292.319,232.421,-12.6994,2.46349,0.00629379,0.0477839
47,-292.455,232.524,-12.6957,2.46604,0.00671906,0.0433707
48,-292.614,232.634,-12.6881,2.46948,0.00455234,0.0423848
49,-292.718,232.727,-12.7091,2.46767,0.00249571,0.0455371
50,-292.854,232.786,-12.719,2.46849,0.00304076,0.0464229
51,-292.961,232.876,-12.7067,2.47038,0.00478282,0.0467711
52,-293.121,232.958,-12.6985,2.47383,0.00393181,0.0466754
53,-293.366,232.97,-12.6983,2.48276,0.00470114,0.0474465
54,-293.644,232.922,-12.7012,2.49886,0.00899476,0.0501549
55,-293.828,232.981,-12.6772,2.50452,0.0118904,0.0482608
56,-294.014,232.959,-12.617,2.51493,0.0067517,0.048407
57,-294.502,232.728,-12.5669,2.54159,-0.00659928,0.0470449
58,-294.718,232.656,-12.5358,2.57761,0.001667,0.0400567
59,-294.831,232.737,-12.5201,2.57924,0.00411542,0.0434315
60,-295.012,232.76,-12.493,2.58929,0.00560763,0.0444043
61,-295.161,232.793,-12.466,2.59578,0.00422716,0.0427811
62,-295.383,232.747,-12.4827,2.62217,0.00857299,0.0398826
63,-295.733,232.701,-12.5471,2.64613,0.016077,0.0329517
64,-295.822,232.461,-12.666,2.69207,0.0385582,0.0161116
65,-295.898,232.391,-12.6816,2.70508,0.041245,0.0165947
66,-296.044,232.438,-12.6512,2.70547,0.0399026,0.0150972
67,-296.293,232.46,-12.6842,2.71273,0.040351,0.0154249
68,-298.564,233.383,-13.1494,2.80008,0.0242976,0.0308453
69,-298.662,233.344,-13.1832,2.80487,0.0251847,0.030122
70,-298.828,233.284,-13.1413,2.80904,0.0255153,0.0324151
71,-299.238,233.271,-13.174,2.81293,0.0267623,0.0333885
72,-299.426,233.229,-13.1491,2.81681,0.0258339,0.0340372
73,-299.456,233.568,-13.0085,2.78697,0.0267847,0.0355831
74,-299.502,233.58,-13.0284,2.786,0.0285022,0.0352229
75,-305.085,231.715,-14.8902,2.87281,-0.015018,0.0509677
76,-306.468,231.004,-14.9498,2.9086,-0.00970388,0.04783
77,-306.875,230.785,-14.9489,2.92573,-0.00994245,0.0485875
78,-306.948,230.719,-14.9495,2.92515,-0.00886558,0.0482105
79,-307.253,230.506,-14.9631,2.92975,-0.00791359,0.0475877
80,-315.401,229.222,-15.1282,3.05348,-0.0105561,0.0471888
81,-316.702,228.513,-15.0931,3.07647,-0.00847853,0.0501503
82,-320.843,227.715,-15.2272,3.06149,-0.000461564,0.0428661
83,-320.955,227.7,-15.2084,3.06149,-0.000718288,0.043822
84,-321.24,227.733,-15.2033,3.0565,-0.000261891,0.0435317
85,-321.385,227.745,-15.1941,3.05657,0.000763792,0.043679
86,-321.606,227.738,-15.1995,3.0586,0.00103423,0.0438031
87,-321.75,227.765,-15.1967,3.05593,0.00110953,0.0429049
88,-321.881,227.742,-15.1845,3.05445,0.000290377,0.0442139
89,-322.092,227.717,-15.1922,3.05591,0.00103944,0.0449831
90,-322.224,227.714,-15.1968,3.0517,0.00110571,0.0451776
91,-322.351,227.723,-15.2025,3.0541,0.000361149,0.0448229
92,-322.508,227.791,-15.2269,3.0514,-0.000515672,0.0455983
93,-322.558,228.217,-15.2431,3.02965,-0.000417835,0.0451667
94,-322.573,228.38,-15.23,3.02971,-0.00111483,0.0457791
95,-322.746,228.794,-15.24,3.01602,-0.00198901,0.044748
96,-322.773,228.809,-15.2233,3.01452,-0.00305885,0.0446772
97,-322.912,228.844,-15.2387,3.01136,-0.00222335,0.0424415
98,-323.128,228.884,-15.2193,3.00958,-0.00310324,0.0399425
99,-323.441,228.892,-15.2187,3.01276,-0.00263002,0.0390323
100,-323.667,228.894,-15.2104,3.01018,-0.00256498,0.0391006
101,-324.112,228.951,-15.2167,3.01448,-0.00173918,0.0397509
102,-324.249,228.893,-15.2106,3.01325,-0.000547577,0.0391924
103,-324.32,228.88,-15.1957,3.01232,-0.00029727,0.0413395
104,-324.56,229.002,-15.1863,3.00963,-0.000395786,0.0385372
105,-324.925,229.099,-15.1912,3.01018,-0.000356126,0.038107
106,-324.999,229.101,-15.1816,3.01106,0.000233103,0.0379851
107,-325.093,229.113,-15.2053,3.01028,-0.000769588,0.038994
108,-325.297,229.159,-15.2084,3.01249,-0.000813116,0.0393328
109,-325.493,229.087,-15.1841,3.01485,0.000304947,0.0388972
110,-325.795,229.018,-15.1764,3.01623,0.00133442,0.0387825
111,-326.109,228.982,-15.1822,3.01722,0.00116499,0.0389475
112,-326.25,228.984,-15.1998,3.02035,0.000419031,0.0386721
113,-326.938,228.418,-15.2279,3.02983,0.00219893,0.0381198
114,-326.991,228.361,-15.2226,3.03537,0.00313253,0.0362673
115,-327.124,228.305,-15.2112,3.03613,0.00146073,0.0370265
116,-327.33,228.25,-15.2236,3.03899,0.00155932,0.0363294
117,-327.468,228.291,-15.2403,3.04037,0.000914889,0.0349663
118,-327.73,228.321,-15.2489,3.04351,0.000832704,0.0362074
119,-327.906,228.351,-15.275,3.04866,0.00145411,0.0357645
120,-328.1,228.364,-15.2792,3.05352,0.00109054,0.0354303
121,-328.327,228.341,-15.2824,3.06214,0.00124095,0.0368432
122,-328.462,228.377,-15.2894,3.06591,0.00229874,0.036987
123,-328.723,228.399,-15.2998,3.07124,0.00165333,0.0362381
124,-328.955,228.442,-15.3022,3.07842,0.00188511,0.034254
125,-329.103,228.487,-15.3075,3.08292,0.00169576,0.0334309
126,-329.271,228.461,-15.2839,3.0885,0.00198146,0.0340664
127,-329.5,228.416,-15.2884,3.09366,0.00207962,0.0337477
128,-329.69,228.37,-15.2747,3.09716,0.00217478,0.0338803
129,-329.895,228.314,-15.2724,3.10303,0.0029198,0.0334574
130,-329.937,228.316,-15.2748,3.1045,0.00295659,0.033742
131,-330.206,228.307,-15.2848,3.11263,0.00274143,0.0356813
132,-330.467,228.293,-15.3034,3.11774,0.0021289,0.0360216
133,-330.64,228.236,-15.3015,3.12667,0.00224059,0.0368911
134,-330.832,228.143,-15.2742,-3.12695,0.00192511,0.0389422
135,-330.896,228.133,-15.2747,-3.1255,0.000661325,0.03677
136,-331.108,228.207,-15.2753,-3.11844,-0.000285386,0.0369541
