id,x,y,z,yaw,pitch,roll
1,-285.127,226.337,-12.6006,2.44799,0.01314,0.0405197
2,-284.897,226.126,-12.6007,2.44787,0.0145915,0.0423477
3,-285.361,226.536,-12.5986,2.44814,0.0127423,0.0380358
4,-285.58,226.743,-12.6071,2.44872,0.0120767,0.0339732
5,-285.793,226.941,-12.6121,2.44993,0.0110807,0.0315745
6,-286.011,227.139,-12.6181,2.45058,0.0109744,0.0315799
7,-286.224,227.328,-12.6139,2.44971,0.0103701,0.0320154
8,-286.438,227.51,-12.6133,2.45037,0.00956232,0.0327628
9,-286.646,227.689,-12.6175,2.45104,0.00795979,0.0339837
10,-286.855,227.876,-12.6142,2.45112,0.00700036,0.0333285
11,-287.055,228.046,-12.5978,2.45138,0.00281912,0.0335269
12,-287.25,228.213,-12.5985,2.45098,-0.00187046,0.0358612
13,-287.445,228.374,-12.6187,2.4508,-0.00387185,0.0381219
14,-287.631,228.533,-12.6297,2.45051,-0.00299932,0.0388206
15,-287.818,228.69,-12.6423,2.45095,-0.00162553,0.0398018
16,-287.994,228.844,-12.6343,2.4511,-0.000436944,0.0400528
17,-288.174,229.005,-12.6473,2.45151,-0.00054704,0.040766
18,-288.353,229.146,-12.6644,2.45201,0.00173006,0.0411809
19,-288.514,229.288,-12.6721,2.45273,0.00526141,0.0405311
20,-288.675,229.428,-12.6637,2.45311,0.00666016,0.0376169
21,-288.843,229.571,-12.6559,2.4535,0.00636292,0.0351909
22,-288.999,229.708,-12.6625,2.45449,0.00588047,0.0347207
23,-289.144,229.832,-12.6712,2.45427,0.00675455,0.0368718
24,-289.285,229.986,-12.6782,2.45404,0.00993938,0.0378913
25,-289.472,230.089,-12.6937,2.45474,0.012361,0.0414964
26,-289.596,230.247,-12.6815,2.45599,0.0141355,0.0422818
27,-289.738,230.369,-12.6778,2.45636,0.014399,0.0440574
28,-289.917,230.472,-12.6867,2.45594,0.0135403,0.0452223
29,-290.06,230.594,-12.6784,2.45682,0.011773,0.0445832
30,-290.197,230.709,-12.6902,2.45839,0.00939111,0.0447066
31,-290.331,230.825,-12.6784,2.45838,0.00848548,0.0432223
32,-290.463,230.949,-12.662,2.45875,0.0056621,0.0411983
33,-290.582,231.06,-12.6734,2.45742,0.001782,0.0422847
34,-290.725,231.179,-12.6652,2.45719,-0.000712949,0.0422533
35,-290.84,231.298,-12.619,2.45704,-0.00669807,0.0402105
36,-290.967,231.43,-12.6273,2.45619,-0.0152728,0.0402778
37,-291.104,231.543,-12.6675,2.45671,-0.0154649,0.0404832
38,-291.227,231.636,-12.72,2.45651,-0.00916519,0.0412604
39,-291.344,231.739,-12.7284,2.45824,0.000272349,0.0405375
40,-291.466,231.833,-12.7168,2.45828,0.00537041,0.0415602
41,-291.589,231.942,-12.6986,2.45795,0.00268363,0.0432784
42,-291.713,232.062,-12.717,2.45684,-0.00080071,0.0473235
