id,x,y,z,yaw,pitch,roll
1,-285.01,227.217,-14.2174,2.45567,-0.0270773,-0.158368
2,-284.633,227.022,-14.0006,2.45339,-0.00943596,-0.185387
3,-284.345,226.777,-13.9363,2.45292,0.00441751,-0.189311
4,-284.995,227.347,-13.9404,2.45246,0.0171312,-0.191152
5,-285.193,227.519,-13.9489,2.45263,0.0216918,-0.190953
6,-285.42,227.722,-13.9494,2.45263,0.025381,-0.19082
7,-285.588,227.875,-13.9453,2.45182,0.0274379,-0.191872
8,-285.837,228.086,-13.9459,2.45197,0.0272999,-0.192719
9,-286.03,228.247,-13.9658,2.4527,0.0276745,-0.190378
10,-286.221,228.421,-13.9819,2.45299,0.0266179,-0.190126
11,-286.437,228.631,-13.9736,2.45327,0.0214597,-0.191263
12,-286.658,228.805,-13.9783,2.45456,0.0147766,-0.189871
13,-286.854,228.977,-14.0068,2.45448,0.0116716,-0.187379
14,-287.032,229.129,-13.9955,2.45409,0.010684,-0.187698
15,-287.217,229.281,-13.9995,2.45506,0.0102575,-0.18703
16,-287.379,229.429,-14.0048,2.45489,0.0104158,-0.188971
17,-287.573,229.585,-13.998,2.45528,0.00994502,-0.186127
18,-287.741,229.696,-14.0286,2.45572,0.01221,-0.182615
19,-287.922,229.837,-14.0395,2.45643,0.013533,-0.181352
20,-288.092,229.994,-14.0326,2.45691,0.0142938,-0.184121
21,-288.283,230.126,-14.0343,2.4567,0.0140127,-0.182196
22,-288.445,230.267,-14.0477,2.45808,0.0140516,-0.182385
23,-288.611,230.409,-14.0543,2.45704,0.0150104,-0.180491
24,-288.65,230.6,-14.1093,2.4564,0.0176456,-0.189471
25,-288.916,230.655,-14.0566,2.45667,0.0185437,-0.177679
26,-288.947,230.855,-14.1364,2.45777,0.0235623,-0.186759
27,-289.077,230.958,-14.134,2.45777,0.0272182,-0.183988
28,-289.319,231.001,-14.0804,2.4559,0.0294651,-0.175386
29,-289.465,231.105,-14.0652,2.45612,0.0294544,-0.173605
30,-289.604,231.242,-14.0717,2.45667,0.0298455,-0.17331
31,-289.722,231.332,-14.0602,2.45728,0.0287451,-0.174253
32,-289.901,231.464,-14.0389,2.45834,0.0227097,-0.171555
33,-289.996,231.557,-14.03,2.45835,0.020501,-0.17049
34,-290.13,231.657,-14.0243,2.45814,0.0186977,-0.169177
35,-290.251,231.775,-14.0004,2.45859,0.0146467,-0.169776
36,-290.315,232.006,-14.1149,2.4593,0.00647034,-0.183267
37,-290.449,232.118,-14.1326,2.46012,0.0005904,-0.181677
38,-290.707,232.167,-14.0222,2.46008,-0.00305678,-0.166954
39,-290.719,232.344,-14.1808,2.46224,0.00285882,-0.181156
40,-290.95,232.369,-14.0544,2.46019,0.00842887,-0.168714
41,-291.053,232.444,-14.0222,2.45979,0.00776803,-0.164584
42,-291.18,232.565,-14.0228,2.45901,0.00507237,-0.161805
43,-291.328,232.673,-14.0033,2.45776,0.00404777,-0.156933
44,-291.603,232.648,-13.7116,2.45625,0.00476238,-0.113644
45,-292.065,232.375,-12.7403,2.45451,0.00459843,0.0536026
46,-292.188,232.475,-12.7422,2.45513,0.00676003,0.0504054
47,-292.295,232.574,-12.7357,2.45589,0.00748063,0.0461876
48,-292.413,232.677,-12.7372,2.45642,0.00573061,0.0458702
49,-292.529,232.786,-12.7482,2.45491,0.00409314,0.0477072
50,-292.656,232.877,-12.7662,2.45456,0.00481862,0.0491264
51,-292.763,232.977,-12.7591,2.45505,0.00581574,0.0507693
52,-292.883,233.083,-12.7591,2.45431,0.00581372,0.0510904
53,-293.004,233.19,-12.7617,2.45363,0.00679567,0.0490043
54,-293.132,233.298,-12.7741,2.45515,0.0099977,0.0485844
55,-293.247,233.403,-12.758,2.45607,0.0114038,0.0486956
56,-293.377,233.529,-12.7226,2.45557,0.00804459,0.0453739
57,-293.513,233.649,-12.7349,2.45432,-5.92436e-05,0.0430477
58,-293.651,233.762,-12.7645,2.45467,-0.00255666,0.0423023
59,-293.779,233.872,-12.7672,2.4569,-0.00150797,0.0435884
60,-293.901,233.981,-12.7566,2.45752,-0.00253548,0.0469746
61,-294.038,234.093,-12.7492,2.45733,-0.00476611,0.0483911
62,-294.174,234.211,-12.7751,2.45582,-0.00657066,0.0504487
63,-294.301,234.327,-12.7789,2.4549,-0.00600952,0.051103
64,-294.433,234.438,-12.7755,2.45552,-0.00562654,0.0521366
65,-294.555,234.561,-12.7843,2.45448,-0.00516919,0.052083
66,-294.685,234.671,-12.7804,2.45373,-0.00361418,0.0493353
67,-294.816,234.786,-12.784,2.45485,-0.00368915,0.0479393
68,-294.951,234.905,-12.7874,2.45529,-0.00381303,0.0478305
69,-295.09,235.027,-12.7882,2.45473,-0.00405089,0.0474784
70,-295.222,235.143,-12.7908,2.45505,-0.00429755,0.0477405
71,-295.352,235.258,-12.7932,2.45505,-0.00398098,0.0485251
72,-295.484,235.38,-12.7925,2.45437,-0.00440041,0.048508
73,-295.614,235.495,-12.7961,2.45362,-0.00495126,0.0486487
74,-295.75,235.613,-12.7979,2.4535,-0.00513047,0.0489652
75,-295.882,235.725,-12.8002,2.45425,-0.0053574,0.0492645
76,-296.014,235.839,-12.8005,2.45372,-0.00511573,0.0489166
77,-296.154,235.962,-12.7931,2.45291,-0.00452348,0.0471132
78,-296.296,236.083,-12.7908,2.45324,-0.00497499,0.044934
79,-296.431,236.206,-12.8024,2.45448,-0.00500944,0.0444877
80,-296.565,236.33,-12.8138,2.45428,-0.00327648,0.04423
81,-296.707,236.445,-12.8156,2.45401,-0.00163329,0.0444593
82,-296.855,236.569,-12.8085,2.45447,-0.00122109,0.0458698
