id,x,y,z,yaw,pitch,roll
1,-285.195,226.718,-15.1279,2.45649,-0.0343459,-0.0400711
2,-284.955,226.865,-14.681,2.45436,-0.0352043,-0.0973608
3,-284.478,226.83,-14.0967,2.45534,-0.0206183,-0.173544
4,-285.038,227.393,-13.9467,2.45486,-0.00226905,-0.193694
5,-285.24,227.551,-13.942,2.45358,0.0134338,-0.191027
6,-285.428,227.725,-13.9581,2.45304,0.0226059,-0.190635
7,-285.609,227.892,-13.9568,2.45261,0.0232388,-0.191688
8,-285.842,228.095,-13.9494,2.4524,0.0252003,-0.193295
9,-286.033,228.249,-13.9671,2.4527,0.0272521,-0.190208
10,-286.227,228.427,-13.9831,2.45296,0.0265198,-0.190065
11,-286.433,228.625,-13.9742,2.45332,0.0216861,-0.191104
12,-286.617,228.775,-13.9814,2.45425,0.0167901,-0.19008
13,-286.826,228.958,-13.9912,2.45441,0.0137715,-0.189209
14,-287.025,229.123,-13.9967,2.45407,0.0112428,-0.187806
15,-287.217,229.28,-13.9994,2.45494,0.0104046,-0.186956
16,-287.376,229.426,-14.0045,2.45491,0.0104915,-0.188925
17,-287.565,229.58,-13.9986,2.45534,0.00997686,-0.186246
18,-287.744,229.697,-14.029,2.45566,0.0122697,-0.18256
19,-287.929,229.842,-14.0402,2.45637,0.0136389,-0.181155
20,-288.087,229.988,-14.0323,2.45696,0.0142794,-0.184061
21,-288.283,230.125,-14.0342,2.45672,0.0140126,-0.182208
22,-288.422,230.248,-14.0477,2.45824,0.0141712,-0.18242
23,-288.562,230.368,-14.0504,2.45799,0.0145963,-0.181902
24,-288.636,230.586,-14.1043,2.45682,0.0173867,-0.18942
25,-288.919,230.656,-14.0563,2.45669,0.0184227,-0.177509
26,-288.944,230.853,-14.1347,2.45783,0.0231199,-0.186664
27,-289.074,230.957,-14.1318,2.45791,0.0264914,-0.184143
28,-289.322,231.003,-14.0773,2.45572,0.02959,-0.175079
29,-289.466,231.105,-14.0652,2.45607,0.0296361,-0.173432
30,-289.6,231.237,-14.0686,2.45671,0.0299391,-0.173417
31,-289.73,231.34,-14.0584,2.45727,0.0285208,-0.174303
32,-289.908,231.469,-14.039,2.45831,0.021688,-0.171232
33,-290.025,231.58,-14.0309,2.45826,0.0185717,-0.169131
34,-290.169,231.683,-14.0213,2.4579,0.0158698,-0.167025
35,-290.311,231.804,-13.9682,2.45919,0.0083399,-0.16622
36,-290.338,232.026,-14.113,2.46062,-0.00187696,-0.18295
37,-290.453,232.126,-14.1286,2.46086,-0.0035828,-0.182138
38,-290.701,232.17,-14.0283,2.4603,-0.00376637,-0.167894
39,-290.721,232.323,-14.1572,2.46185,8.34536e-05,-0.178454
40,-290.965,232.358,-14.0427,2.46008,0.00741399,-0.165254
41,-291.061,232.429,-14.0105,2.45962,0.00726337,-0.161051
42,-291.271,232.536,-13.9643,2.45822,0.00213618,-0.144246
43,-291.82,232.161,-12.7456,2.45395,-0.000556539,0.0525999
44,-291.942,232.26,-12.7498,2.45367,0.00153411,0.0559055
45,-292.07,232.373,-12.7472,2.45448,0.00396395,0.0550183
46,-292.188,232.475,-12.7422,2.45514,0.00674088,0.0504509
47,-292.293,232.572,-12.7368,2.45587,0.0074638,0.0463135
48,-292.413,232.678,-12.7371,2.45642,0.0057214,0.0458828
49,-292.529,232.786,-12.7482,2.45491,0.00408745,0.047714
50,-292.651,232.873,-12.7654,2.45453,0.00478673,0.0490782
51,-292.765,232.979,-12.759,2.45507,0.00582328,0.0507775
52,-292.876,233.077,-12.7592,2.45429,0.00585806,0.0511046
53,-292.997,233.18,-12.7625,2.45361,0.00679421,0.0491949
54,-293.129,233.294,-12.775,2.45511,0.00994327,0.0486673
55,-293.247,233.402,-12.7582,2.45609,0.0113955,0.0487044
56,-293.377,233.529,-12.7225,2.45557,0.00803555,0.0453765
57,-293.512,233.647,-12.7339,2.4543,8.81181e-06,0.0430459
58,-293.651,233.762,-12.7645,2.45467,-0.00255895,0.042302
59,-293.779,233.872,-12.7671,2.4569,-0.00150823,0.0435865
60,-293.901,233.981,-12.7566,2.45753,-0.00253363,0.0469765
61,-294.038,234.093,-12.7492,2.45734,-0.00476661,0.04839
62,-294.173,234.211,-12.7745,2.45582,-0.00653466,0.0503787
63,-294.295,234.323,-12.7786,2.45491,-0.0060021,0.0510678
64,-294.426,234.432,-12.7758,2.45549,-0.00559076,0.0520423
65,-294.55,234.556,-12.7842,2.45453,-0.00518322,0.0521226
66,-294.684,234.669,-12.7807,2.45375,-0.00363079,0.0494244
67,-294.816,234.786,-12.7839,2.45485,-0.0036907,0.0479376
68,-294.944,234.897,-12.7878,2.45531,-0.00375276,0.0479018
69,-295.081,235.019,-12.7885,2.45476,-0.0040523,0.0475653
70,-295.222,235.143,-12.7908,2.45506,-0.00428536,0.0477457
71,-295.345,235.252,-12.793,2.45509,-0.00395659,0.0485137
72,-295.477,235.373,-12.7923,2.45442,-0.00432339,0.0485557
73,-295.613,235.493,-12.7961,2.45366,-0.00491385,0.0486781
74,-295.749,235.612,-12.7975,2.45351,-0.00510446,0.0489914
75,-295.882,235.725,-12.8001,2.45425,-0.00535074,0.0492571
76,-296.01,235.837,-12.8012,2.45374,-0.00511033,0.0489605
77,-296.152,235.958,-12.7944,2.45296,-0.00450268,0.0472417
78,-296.287,236.073,-12.7919,2.45325,-0.00486557,0.0452086
79,-296.427,236.201,-12.8032,2.45447,-0.00496847,0.0445938
80,-296.562,236.325,-12.8132,2.45431,-0.00328531,0.0442627
81,-296.705,236.443,-12.8157,2.45403,-0.0016312,0.0444689
82,-296.847,236.563,-12.8083,2.45448,-0.00118482,0.0458065
83,-296.995,236.696,-12.8039,2.4544,-0.00167199,0.0465432
84,-297.131,236.817,-12.8008,2.45429,-0.00149379,0.0460802
85,-297.265,236.932,-12.8069,2.45413,-0.000790437,0.0457683
86,-297.41,237.063,-12.8087,2.45361,0.000507817,0.0454015
87,-297.547,237.181,-12.8032,2.45365,0.000781013,0.0447164
88,-297.706,237.324,-12.8023,2.45437,-0.000968091,0.044663
89,-297.84,237.441,-12.8104,2.45533,-0.00121716,0.0452129
90,-297.985,237.564,-12.8073,2.45496,-0.00151429,0.0452033
91,-298.128,237.689,-12.8145,2.45473,-0.00206549,0.0441994
92,-298.271,237.819,-12.8196,2.45553,-0.00235172,0.0437741
93,-298.411,237.932,-12.8214,2.45614,-0.00261065,0.0430738
94,-298.556,238.063,-12.8227,2.4558,-0.00294952,0.042026
95,-298.702,238.198,-12.8231,2.45536,-0.00387923,0.040863
96,-298.852,238.329,-12.8174,2.45592,-0.00545785,0.0396266
97,-299.003,238.454,-12.8191,2.45626,-0.00709334,0.0389026
98,-299.155,238.586,-12.8165,2.4571,-0.00889036,0.0377152
99,-299.3,238.714,-12.8255,2.45811,-0.00906506,0.0369113
100,-299.449,238.841,-12.8375,2.45814,-0.00751669,0.0356831
101,-299.592,238.975,-12.8418,2.45872,-0.00663494,0.0351031
102,-299.736,239.09,-12.8473,2.45914,-0.00569662,0.0374435
103,-299.898,239.217,-12.8394,2.45923,-0.00502204,0.0394702
104,-300.052,239.352,-12.8312,2.45991,-0.00546785,0.0381341
105,-300.198,239.487,-12.8394,2.46045,-0.00589789,0.0361994
106,-300.35,239.619,-12.8454,2.46101,-0.00529746,0.0338974
107,-300.492,239.744,-12.8479,2.46152,-0.00454764,0.0329108
108,-300.658,239.873,-12.8516,2.46223,-0.00401275,0.0319055
109,-300.807,239.997,-12.8513,2.4632,-0.003976,0.030775
110,-300.962,240.134,-12.8543,2.46349,-0.0042986,0.0299084
111,-301.12,240.268,-12.8553,2.46364,-0.00463087,0.0293872
112,-301.269,240.392,-12.8548,2.46347,-0.00425052,0.0282405
113,-301.428,240.525,-12.854,2.46356,-0.00280683,0.025945
114,-301.602,240.672,-12.848,2.46649,-0.00280639,0.0225927
115,-301.755,240.795,-12.8483,2.46885,-0.00535609,0.021723
116,-301.917,240.936,-12.8423,2.47063,-0.00636868,0.0188617
117,-302.083,241.055,-12.8541,2.47362,-0.00641946,0.0174305
118,-302.234,241.181,-12.8548,2.47542,-0.00605835,0.0181963
119,-302.401,241.305,-12.858,2.47832,-0.00535524,0.0173091
120,-302.571,241.43,-12.864,2.48077,-0.00490519,0.0170925
121,-302.736,241.558,-12.8643,2.48246,-0.00465875,0.0173094
122,-302.903,241.691,-12.8625,2.4847,-0.00487619,0.0168742
123,-303.077,241.821,-12.8625,2.48727,-0.00511358,0.016446
124,-303.25,241.952,-12.8614,2.49049,-0.00469425,0.0154457
125,-303.418,242.074,-12.8654,2.49349,-0.00484444,0.0146978
126,-303.588,242.197,-12.8642,2.49662,-0.0053371,0.0138071
127,-303.764,242.318,-12.8691,2.4998,-0.00524374,0.0131104
128,-303.94,242.445,-12.8676,2.50382,-0.00474536,0.0122895
129,-304.115,242.563,-12.8672,2.50936,-0.00438677,0.0108929
130,-304.284,242.683,-12.8691,2.51422,-0.00430989,0.0108306
131,-304.462,242.796,-12.8743,2.51885,-0.00463733,0.0121126
132,-304.648,242.905,-12.8702,2.52493,-0.00696385,0.0147914
133,-304.837,243.015,-12.8563,2.53273,-0.00890953,0.0163129
134,-305.025,243.122,-12.8504,2.54251,-0.0106125,0.0148545
135,-305.208,243.218,-12.8521,2.55272,-0.0114283,0.0107501
136,-305.398,243.314,-12.8587,2.5636,-0.0122072,0.0077184
137,-305.592,243.402,-12.8656,2.57525,-0.011977,0.00688819
138,-305.792,243.491,-12.8683,2.58694,-0.0119942,0.00734852
139,-305.989,243.575,-12.8668,2.59881,-0.0119165,0.00689698
140,-306.186,243.65,-12.8688,2.61148,-0.0119603,0.00681737
141,-306.393,243.725,-12.8669,2.62428,-0.0127642,0.00670198
142,-306.596,243.792,-12.8623,2.63704,-0.0129618,0.00598061
143,-306.797,243.866,-12.8613,2.65114,-0.0128096,0.00368455
144,-307.002,243.934,-12.871,2.66691,-0.0140274,0.00131448
145,-307.21,243.986,-12.8696,2.68158,-0.0141979,0.00331753
146,-307.414,244.041,-12.8687,2.69591,-0.0133892,0.00468934
147,-307.626,244.087,-12.8745,2.71236,-0.013246,0.00600377
148,-307.85,244.137,-12.8704,2.7296,-0.0132161,0.00738203
149,-308.07,244.177,-12.8609,2.74769,-0.0122992,0.00711617
150,-308.284,244.212,-12.8624,2.76697,-0.0114306,0.00566759
151,-308.508,244.233,-12.8676,2.78783,-0.0107752,0.00454251
152,-308.731,244.251,-12.8684,2.80887,-0.0107056,0.00294424
153,-308.955,244.269,-12.8708,2.82994,-0.0107002,0.0018922
154,-309.186,244.277,-12.8756,2.85272,-0.0103303,0.00253323
155,-309.425,244.273,-12.8772,2.87633,-0.00961949,0.00331598
156,-309.653,244.261,-12.8752,2.89981,-0.00822847,0.00267116
157,-309.888,244.25,-12.8721,2.92354,-0.00675979,0.000889289
158,-310.119,244.222,-12.8753,2.94796,-0.00608292,-0.000792853
159,-310.353,244.188,-12.8797,2.97238,-0.00597615,-0.00104944
160,-310.59,244.15,-12.8782,2.99787,-0.00568802,-0.00108743
161,-310.812,244.104,-12.8831,3.02313,-0.00520785,-0.00019966
162,-311.042,244.053,-12.8852,3.04794,-0.00504106,0.000941807
163,-311.275,243.994,-12.8898,3.07331,-0.00479973,0.00227925
164,-311.512,243.937,-12.8893,3.09923,-0.00499321,0.00345525
165,-311.75,243.865,-12.8878,3.12554,-0.00537745,0.00383377
166,-311.979,243.791,-12.8951,-3.13089,-0.00471731,0.00425086
167,-312.218,243.708,-12.897,-3.10413,-0.00313788,0.00449462
168,-312.44,243.613,-12.9031,-3.07729,-0.00232692,0.0044166
169,-312.675,243.52,-12.9023,-3.05011,-0.00312527,0.0048188
170,-312.916,243.413,-12.9068,-3.02214,-0.00333018,0.00555018
171,-313.15,243.295,-12.9146,-2.994,-0.00316417,0.00671475
172,-313.387,243.178,-12.9212,-2.96553,-0.00207318,0.00830288
173,-313.618,243.052,-12.9184,-2.93718,0.000137067,0.00971251
174,-313.848,242.921,-12.927,-2.90902,0.00243136,0.00990965
175,-314.081,242.778,-12.9359,-2.87964,0.00250461,0.0109025
176,-314.316,242.62,-12.9425,-2.85052,0.00029731,0.0126676
177,-314.555,242.46,-12.9431,-2.82271,-0.00124521,0.0125803
178,-314.79,242.304,-12.9452,-2.79402,-0.00324455,0.00958568
179,-315.043,242.115,-12.9566,-2.76432,-0.00487408,0.00993145
180,-315.28,241.925,-12.9644,-2.73571,-0.00403445,0.0130846
181,-315.534,241.728,-12.9639,-2.7079,-0.00295206,0.015853
182,-315.781,241.522,-12.9687,-2.67955,-0.00169818,0.0168905
183,-316.023,241.312,-12.9653,-2.65336,-0.000356165,0.0163568
184,-316.277,241.096,-12.9631,-2.62635,0.00110734,0.0148581
185,-316.53,240.863,-12.9698,-2.6008,0.00221397,0.0132639
186,-316.773,240.634,-12.9661,-2.5776,0.0035352,0.0100448
187,-317.01,240.415,-12.9701,-2.55648,0.00517343,0.00473056
188,-317.259,240.19,-12.9928,-2.53705,0.00681411,0.00182002
189,-317.496,239.968,-13.0094,-2.51837,0.00702869,0.00329795
190,-317.725,239.724,-13.0117,-2.50096,0.00562155,0.00726916
191,-317.965,239.487,-13.014,-2.48485,0.00268258,0.0101523
192,-318.207,239.256,-13.0023,-2.46779,0.000546142,0.0114673
193,-318.424,239.01,-13.0077,-2.45058,0.000285119,0.0133952
194,-318.637,238.759,-13.0078,-2.43412,0.0011493,0.0138439
195,-318.869,238.514,-13.0157,-2.41697,0.000780596,0.0126241
196,-319.096,238.271,-13.0277,-2.40018,-0.000246345,0.0115695
197,-319.316,238.001,-13.0273,-2.38506,-0.00255659,0.0106455
198,-319.545,237.732,-13.0381,-2.37026,-0.00412357,0.0105872
199,-319.779,237.465,-13.0512,-2.35638,-0.00819227,0.0119151
200,-320.022,237.181,-13.0508,-2.34396,-0.0125842,0.012433
201,-320.266,236.88,-13.0478,-2.33275,-0.0185282,0.0116699
