id,x,y,z,yaw,pitch,roll
1,-285.143,226.303,-12.6209,2.44828,0.0123205,0.0413235
2,-285.347,226.504,-12.6173,2.4486,0.0115559,0.0385195
3,-285.594,226.716,-12.6324,2.44915,0.0104484,0.0359823
4,-285.812,226.922,-12.6289,2.45021,0.00990231,0.0318366
5,-286.012,227.118,-12.6237,2.45045,0.0102358,0.030875
6,-286.203,227.309,-12.6386,2.44911,0.00960678,0.0326716
7,-286.419,227.477,-12.6269,2.45003,0.00991644,0.0330735
8,-286.642,227.656,-12.6194,2.45119,0.00774638,0.034439
9,-286.871,227.834,-12.6255,2.45153,0.00646829,0.0344821
10,-287.055,228.023,-12.6063,2.45165,0.00233865,0.034644
11,-287.244,228.194,-12.5869,2.45118,-0.00186388,0.0347564
12,-287.449,228.346,-12.6293,2.45113,-0.00464104,0.0380711
13,-287.643,228.498,-12.6451,2.45057,-0.00411015,0.040011
14,-287.838,228.66,-12.6551,2.45118,-0.00215181,0.0414067
15,-287.982,228.809,-12.6528,2.45091,-0.000710711,0.0413059
16,-288.15,228.981,-12.6648,2.45044,-0.000636914,0.0409251
17,-288.349,229.128,-12.6823,2.45163,0.000812673,0.0419149
18,-288.54,229.279,-12.6913,2.45224,0.00481406,0.0416314
19,-288.696,229.404,-12.6762,2.45264,0.00617636,0.0405148
20,-288.849,229.537,-12.6693,2.4532,0.00680844,0.036603
21,-289.016,229.691,-12.6789,2.45382,0.00555827,0.03687
22,-289.176,229.816,-12.704,2.45412,0.00541906,0.0388308
23,-289.334,229.95,-12.7012,2.4535,0.00933409,0.0395005
24,-289.468,230.056,-12.7117,2.45489,0.0116503,0.0427347
25,-289.628,230.193,-12.7096,2.45575,0.0139613,0.0444324
26,-289.768,230.318,-12.7053,2.4558,0.014222,0.0455861
27,-289.914,230.443,-12.7049,2.45466,0.0133015,0.0452667
28,-290.045,230.58,-12.6804,2.45565,0.011299,0.0454284
29,-290.167,230.697,-12.6927,2.45645,0.00928664,0.0442787
30,-290.309,230.812,-12.673,2.45639,0.00845437,0.0439402
31,-290.417,230.911,-12.644,2.4573,0.00662611,0.0403454
32,-290.527,231.042,-12.6704,2.45632,0.00176484,0.0417859
33,-290.695,231.155,-12.6723,2.45612,-0.000671475,0.0418907
34,-290.821,231.285,-12.6069,2.45593,-0.00716613,0.0410459
35,-290.954,231.4,-12.6309,2.4549,-0.0143969,0.0411604
36,-291.066,231.505,-12.6824,2.45479,-0.0157791,0.0403769
37,-291.195,231.595,-12.72,2.45569,-0.00991091,0.0401996
