id,x,y,z,yaw,pitch,roll
1,-285.134,226.337,-12.6135,2.44838,0.0123542,0.0396054
2,-284.896,226.131,-12.6048,2.44853,0.0138332,0.0398329
3,-285.346,226.518,-12.6177,2.44861,0.0125687,0.0364215
4,-285.568,226.719,-12.6234,2.44885,0.0117296,0.0343941
5,-285.788,226.92,-12.6273,2.44994,0.0111061,0.0319584
6,-286.001,227.11,-12.6232,2.4504,0.0109718,0.0313874
7,-286.215,227.291,-12.6232,2.44984,0.0103752,0.0318911
8,-286.433,227.481,-12.6175,2.4501,0.00925892,0.0330339
9,-286.634,227.67,-12.6159,2.45103,0.00759291,0.0330853
10,-286.843,227.846,-12.6104,2.45109,0.0066983,0.0329965
11,-287.043,228.027,-12.5879,2.45138,0.00268161,0.0321447
12,-287.237,228.194,-12.5816,2.45111,-0.00141893,0.0337896
13,-287.433,228.359,-12.6091,2.45083,-0.00404896,0.0359663
14,-287.629,228.517,-12.6289,2.45,-0.00362133,0.0381212
15,-287.805,228.676,-12.6398,2.45044,-0.00180188,0.0392685
16,-287.984,228.822,-12.6435,2.45076,-0.000636613,0.0393178
17,-288.159,228.979,-12.6486,2.45107,-0.000384691,0.0393198
18,-288.338,229.126,-12.6611,2.4515,0.00182812,0.0398588
19,-288.509,229.272,-12.6799,2.45259,0.00509915,0.0394288
20,-288.676,229.417,-12.6826,2.45281,0.00654491,0.0374741
21,-288.834,229.557,-12.6663,2.45287,0.006538,0.0353592
22,-288.994,229.695,-12.6838,2.4539,0.00606263,0.0347859
23,-289.149,229.836,-12.6976,2.45353,0.00614672,0.0372579
24,-289.304,229.954,-12.7108,2.45332,0.00942723,0.0386868
25,-289.45,230.085,-12.719,2.45388,0.0121119,0.0407919
26,-289.598,230.219,-12.7112,2.45494,0.0138352,0.0428101
27,-289.725,230.338,-12.6946,2.45502,0.0146182,0.0443181
28,-289.876,230.471,-12.6874,2.45419,0.0139665,0.0438839
29,-290.011,230.578,-12.6781,2.45535,0.0121736,0.04385
30,-290.137,230.699,-12.682,2.45605,0.01007,0.0436289
31,-290.282,230.813,-12.6785,2.45621,0.00903561,0.042704
32,-290.402,230.939,-12.6585,2.45683,0.00654623,0.0403577
33,-290.537,231.062,-12.6703,2.45626,0.00227682,0.0407531
34,-290.676,231.166,-12.6676,2.45585,-0.000492265,0.0408622
35,-290.796,231.277,-12.6196,2.45606,-0.00564424,0.0392717
36,-290.929,231.391,-12.6324,2.45499,-0.0139488,0.0399804
37,-291.067,231.504,-12.6864,2.45529,-0.0148843,0.0401388
38,-291.185,231.606,-12.7407,2.45565,-0.00948551,0.0408724
39,-291.312,231.701,-12.7733,2.45608,-0.000817903,0.0417403
40,-291.418,231.81,-12.7347,2.45646,0.0047655,0.0412318
41,-291.543,231.924,-12.7111,2.45605,0.00221783,0.0432
42,-291.665,232.031,-12.7158,2.45518,-0.000618483,0.0465374
43,-291.814,232.145,-12.7482,2.45381,-0.00113559,0.0520419
44,-291.929,232.249,-12.754,2.45344,0.00139622,0.0557899
45,-292.046,232.348,-12.7503,2.45421,0.0037982,0.0546829
46,-292.175,232.46,-12.7423,2.45491,0.00672885,0.0505698
47,-292.278,232.557,-12.7365,2.45566,0.00744857,0.0463937
48,-292.4,232.662,-12.7375,2.45625,0.00562392,0.0462929
49,-292.52,232.784,-12.7463,2.45511,0.00370274,0.0476193
50,-292.629,232.863,-12.7609,2.45428,0.00445879,0.0490127
51,-292.762,232.963,-12.759,2.45512,0.00573655,0.0502746
52,-292.871,233.066,-12.7601,2.45431,0.00590543,0.0509899
53,-292.98,233.161,-12.7647,2.45358,0.00676437,0.0492947
54,-293.11,233.261,-12.7914,2.45491,0.00964667,0.0490923
55,-293.24,233.38,-12.7646,2.45611,0.0109406,0.0490928
56,-293.358,233.502,-12.7266,2.45526,0.00847184,0.045762
57,-293.507,233.63,-12.7317,2.45447,0.000229718,0.043778
58,-293.652,233.75,-12.7745,2.45473,-0.00302443,0.0431092
59,-293.769,233.848,-12.7779,2.45643,-0.00218571,0.0445197
60,-293.901,233.961,-12.7668,2.45763,-0.00297521,0.0473799
61,-294.027,234.074,-12.7557,2.45743,-0.00481007,0.0484464
62,-294.151,234.187,-12.7778,2.45563,-0.00642246,0.050285
63,-294.293,234.305,-12.7866,2.45492,-0.00620723,0.0515806
64,-294.426,234.419,-12.7759,2.45567,-0.0055131,0.0522084
65,-294.541,234.541,-12.7868,2.45466,-0.00520685,0.0523511
