"id","x","y","z","yaw","pitch","roll"
1,1781.32,866.627,0,0.0242078,-0.0173505,0.00299208
2,1781.34,866.622,0,0.0241383,-0.0167019,0.00113127
3,1781.27,866.59,0,0.0244889,-0.0144207,-0.00462462
4,1781.27,866.574,0,0.0249676,-0.0128527,-0.00853519
5,1781.26,866.551,0,0.0243707,-0.0119331,-0.0104805
6,1781.27,866.549,0,0.0242082,-0.0119345,-0.0109969
7,1781.27,866.541,0,0.0242514,-0.0117241,-0.011602
8,1781.26,866.535,0,0.0244263,-0.0113372,-0.0122178
9,1781.28,866.533,0,0.0242146,-0.00966641,-0.0138703
10,1781.27,866.527,0,0.0244163,-0.00965247,-0.015097
11,1781.29,866.513,0,0.0244932,-0.00958529,-0.0151104
12,1781.3,866.496,0,0.0245482,-0.0103165,-0.0141378
13,1781.28,866.502,0,0.0246915,-0.0102225,-0.0145717
14,1781.28,866.511,0,0.0251981,-0.0102726,-0.0150955
15,1781.27,866.512,0,0.0253699,-0.00986388,-0.0148946
16,1781.27,866.507,0,0.0253797,-0.0095229,-0.0153264
17,1781.27,866.478,0,0.0260641,-0.0086608,-0.0166044
18,1781.27,866.453,0,0.0262761,-0.00870318,-0.0178728
19,1781.27,866.458,0,0.0261685,-0.00844398,-0.0175781
20,1781.28,866.442,0,0.0260674,-0.00715917,-0.0174179
21,1781.27,866.463,0,0.0253368,-0.00493274,-0.0160524
22,1781.28,866.487,0,0.025303,-0.00492591,-0.0149675
23,1781.27,866.501,0,0.0243767,-0.00451777,-0.0137254
24,1781.28,866.504,0,0.0248011,-0.00443942,-0.0140256
25,1781.3,866.54,0,0.024637,-0.00427655,-0.0143817
26,1781.32,866.556,0,0.0246842,-0.00417236,-0.0142819
27,1781.32,866.539,0,0.0249799,-0.003915,-0.014441
28,1781.3,866.535,0,0.0251822,-0.00362005,-0.0145659
29,1781.3,866.535,0,0.0251807,-0.00363413,-0.0147337
30,1781.29,866.525,0,0.0252312,-0.00428678,-0.0144575
31,1781.27,866.526,0,0.0251201,-0.00421396,-0.0137085
32,1781.27,866.528,0,0.0250657,-0.00453002,-0.0133295
33,1781.27,866.521,0,0.0252157,-0.00492873,-0.0133267
34,1781.28,866.516,0,0.0250085,-0.00519167,-0.0128383
35,1781.28,866.501,0,0.0252,-0.00513495,-0.0122642
36,1781.29,866.499,0,0.0260523,-0.00563132,-0.0116891
37,1781.28,866.503,0,0.0264767,-0.00552188,-0.0118435
38,1781.27,866.491,0,0.0266219,-0.00497615,-0.0113628
39,1781.27,866.486,0,0.0268212,-0.0052624,-0.011225
40,1781.27,866.491,0,0.0267379,-0.00547751,-0.0113961
41,1781.27,866.485,0,0.0272762,-0.00595155,-0.0105046
42,1781.26,866.49,0,0.0272846,-0.00539997,-0.0113642
43,1781.25,866.48,0,0.0272234,-0.00488281,-0.0126006
44,1781.24,866.469,0,0.0276097,-0.00518946,-0.0130533
45,1781.26,866.46,0,0.0277951,-0.00512337,-0.0132804
46,1781.26,866.464,0,0.0275385,-0.00491763,-0.0135448
47,1781.26,866.479,0,0.0274857,-0.00524238,-0.0131333
48,1781.27,866.479,0,0.0275019,-0.00531736,-0.0129159
49,1781.28,866.452,0,0.0284484,-0.00569593,-0.0128342
50,1781.27,866.437,0,0.0288743,-0.00590918,-0.0131602
51,1781.27,866.385,0,0.0301165,-0.00635678,-0.0149405
52,1781.26,866.368,0,0.0298233,-0.00732055,-0.0160115
53,1781.28,866.272,0,0.0299832,-0.012936,-0.0245003
54,1781.29,866.247,0,0.0299773,-0.0135242,-0.0330493
55,1781.27,866.247,0,0.0298671,-0.0136704,-0.0332784
56,1781.28,866.228,0,0.0300244,-0.0137991,-0.032965
57,1781.29,866.206,0,0.0304482,-0.0141322,-0.0327817
58,1781.3,866.175,0,0.0306408,-0.0135804,-0.0330847
59,1781.29,866.158,0,0.0302866,-0.0134896,-0.0326231
60,1781.29,866.153,0,0.0302732,-0.0135395,-0.0325831
61,1781.29,866.148,0,0.0300972,-0.0136958,-0.0325414
62,1781.3,866.131,0,0.0296866,-0.0136903,-0.0322785
63,1781.29,866.134,0,0.0296426,-0.0140488,-0.0317644
64,1781.29,866.124,0,0.0300236,-0.0149118,-0.0319986
65,1781.29,866.127,0,0.0307681,-0.014818,-0.0325245
66,1781.29,866.131,0,0.0307496,-0.0165576,-0.0332012
67,1781.28,866.12,0,0.0308716,-0.016582,-0.0338582
68,1781.27,866.111,0,0.0311672,-0.0164462,-0.034395
69,1781.28,866.106,0,0.0313232,-0.0166222,-0.0348451
70,1781.29,866.108,0,0.0316782,-0.0171218,-0.0351996
71,1781.29,866.116,0,0.0319042,-0.0171789,-0.0355492
72,1781.28,866.117,0,0.0320072,-0.0170097,-0.0357278
73,1781.3,866.11,0,0.0324548,-0.0172848,-0.036007
74,1781.32,866.104,0,0.0328418,-0.0181886,-0.0370806
75,1781.3,866.103,0,0.0326599,-0.0181656,-0.0371197
76,1781.31,866.099,0,0.032964,-0.0189836,-0.037545
77,1781.29,866.101,0,0.033572,-0.0193616,-0.0378511
78,1781.3,866.108,0,0.0337061,-0.0193852,-0.0376261
79,1781.3,866.106,0,0.0338246,-0.0194081,-0.037896
80,1781.3,866.104,0,0.0338211,-0.0193316,-0.0379701
81,1781.28,866.095,0,0.0346293,-0.0187112,-0.0380456
82,1781.28,866.095,0,0.0346849,-0.0185008,-0.0380007
83,1781.3,866.111,0,0.035088,-0.0181229,-0.0380976
84,1781.33,866.126,0,0.0355233,-0.0178278,-0.037646
85,1781.35,866.125,0,0.036002,-0.0174542,-0.037957
86,1781.46,866.11,0,0.0419662,-0.0163906,-0.038345
87,1781.46,866.113,0,0.0421442,-0.0161878,-0.0385268
88,1781.46,866.121,0,0.0425164,-0.0158455,-0.0384368
89,1781.46,866.119,0,0.0422632,-0.015385,-0.0391452
90,1781.45,866.117,0,0.0422874,-0.015116,-0.0395719
91,1781.44,866.118,0,0.0423458,-0.0143125,-0.040275
92,1781.44,866.106,0,0.0431526,-0.0136849,-0.0434189
93,1781.44,866.107,0,0.0428811,-0.0130233,-0.0440039
94,1781.43,866.112,0,0.0430277,-0.0128955,-0.0440337
95,1781.42,866.104,0,0.0433229,-0.0128966,-0.0442316
96,1781.43,866.098,0,0.0431052,-0.0119202,-0.0434904
97,1781.43,866.103,0,0.0430377,-0.0117649,-0.0435441
98,1781.43,866.108,0,0.0432006,-0.0113033,-0.0430325
99,1781.41,866.116,0,0.0438602,-0.0113343,-0.0428965
100,1781.41,866.12,0,0.0442028,-0.0110883,-0.0429326
101,1781.41,866.124,0,0.0446862,-0.0105662,-0.0424808
102,1781.41,866.124,0,0.0446184,-0.0102603,-0.0427352
103,1781.41,866.133,0,0.045359,-0.0102739,-0.0433912
104,1781.41,866.127,0,0.0447345,-0.0103583,-0.0453425
105,1781.4,866.113,0,0.0443031,-0.0103913,-0.0466728
106,1781.41,866.104,0,0.0442694,-0.0106337,-0.0475052
107,1781.41,866.105,0,0.0442179,-0.0101979,-0.0480165
108,1781.4,866.115,0,0.0443529,-0.00993964,-0.0492581
109,1781.39,866.121,0,0.0447958,-0.00984496,-0.0498518
110,1781.38,866.121,0,0.0444981,-0.0100109,-0.0503482
111,1781.39,866.113,0,0.0439641,-0.0104277,-0.0519934
112,1781.41,866.121,0,0.0432492,-0.00963912,-0.0518951
113,1781.41,866.127,0,0.0427391,-0.00918609,-0.0510682
114,1781.41,866.127,0,0.042531,-0.00900541,-0.0507766
115,1781.42,866.112,0,0.0413223,-0.00935653,-0.0499003
116,1781.43,866.081,0,0.0407916,-0.00935064,-0.0489674
117,1781.46,866.051,0,0.0400745,-0.00952557,-0.0498366
118,1781.46,866.032,0,0.0395463,-0.00928247,-0.0513243
119,1781.46,866.024,0,0.0390084,-0.00943371,-0.052159
120,1781.47,866.019,0,0.0386546,-0.00917137,-0.05212
121,1781.46,866.018,0,0.0382369,-0.00893475,-0.0520464
122,1781.46,866.01,0,0.0379512,-0.00860309,-0.0521099
123,1781.46,866.008,0,0.0381838,-0.00858304,-0.0523778
124,1781.47,866.002,0,0.0380802,-0.00786883,-0.0521094
125,1781.48,865.984,0,0.0384176,-0.00785843,-0.0527691
126,1781.47,865.986,0,0.0379744,-0.00773863,-0.0531174
127,1781.47,865.986,0,0.0373442,-0.00748807,-0.0533018
128,1781.49,865.99,0,0.0363487,-0.00674798,-0.0535729
129,1781.5,866.004,0,0.0357469,-0.00650356,-0.053584
130,1781.5,866.013,0,0.0353326,-0.00613711,-0.0537357
131,1781.72,866.02,0,0.029063,-0.00361648,-0.0524912
132,1781.73,866.025,0,0.0281797,-0.00369294,-0.052979
133,1781.74,866.046,0,0.0272022,-0.00496821,-0.052901
134,1781.74,866.061,0,0.0268478,-0.0046929,-0.0522711
135,1781.73,866.066,0,0.0268628,-0.00472371,-0.0522724
136,1781.74,866.065,0,0.0267098,-0.005287,-0.0525802
137,1781.76,866.061,0,0.026594,-0.00589706,-0.0531007
138,1781.76,866.041,0,0.0261629,-0.00654257,-0.0532712
139,1781.77,866.013,0,0.0255037,-0.00729109,-0.0533524
140,1781.84,865.985,0,0.0228961,-0.0104879,-0.0511127
141,1781.84,865.98,0,0.02279,-0.00988469,-0.0504501
142,1781.82,865.991,0,0.0231343,-0.0099942,-0.0489868
143,1781.84,865.997,0,0.0225348,-0.00949067,-0.0471122
144,1781.84,865.995,0,0.0224706,-0.00949821,-0.0468959
145,1781.83,865.999,0,0.021993,-0.00943207,-0.0468728
146,1781.85,865.979,0,0.0204885,-0.00860063,-0.0469189
147,1782.09,865.918,0,0.0148484,-0.00595034,-0.0479507
148,1782.1,865.916,0,0.0145773,-0.00588749,-0.0478791
149,1782.09,865.913,0,0.0147152,-0.00529624,-0.0465501
