id,x,y,z,yaw,pitch,roll
1,1773.39,866.805,-0.508957,0.0215562,-0.00726468,0.00148175
2,1773.33,866.913,-0.503721,0.0201452,-0.00327392,0.001861
3,1773.35,866.915,-0.494891,0.0198512,-0.00293806,0.00203216
4,1773.39,866.931,-0.487089,0.0202651,-0.00281195,0.00187674
5,1773.39,866.944,-0.489352,0.0211,-0.00314567,0.00137481
6,1773.44,866.923,-0.489196,0.0214258,-0.00314366,0.00100826
7,1773.45,866.924,-0.493797,0.0212571,-0.00307868,0.00136046
8,1772.92,866.99,-0.432791,0.0199711,-0.00269676,0.00280941
9,1772.91,867.001,-0.456795,0.0204095,-0.00348674,0.00419666
10,1772.82,867.028,-0.473096,0.0203381,-0.00465964,0.00653132
11,1772.79,867.023,-0.46848,0.0192791,-0.00574766,0.00901277
12,1772.81,867.015,-0.470733,0.0190851,-0.00640787,0.0111231
13,1772.8,867.009,-0.470518,0.0185176,-0.00740533,0.0115171
14,1772.8,867.005,-0.471102,0.0184787,-0.00762512,0.0113089
15,1772.82,867.015,-0.466312,0.0182905,-0.00761508,0.01045
16,1772.82,866.991,-0.463535,0.0178226,-0.00637606,0.00939651
17,1772.78,867.014,-0.465165,0.0186616,-0.00603363,0.00906521
18,1772.74,866.978,-0.466984,0.0198526,-0.00459959,0.00933792
19,1772.73,866.951,-0.46643,0.0197506,-0.00413471,0.00939477
20,1772.44,866.884,-0.478648,0.0214539,-0.00487981,0.00855379
21,1772.44,866.881,-0.47566,0.0209741,-0.00560296,0.00801311
22,1772.43,866.886,-0.47526,0.0201513,-0.0065103,0.00726686
23,1772.45,866.839,-0.47558,0.0198739,-0.00796498,0.00480532
24,1772.5,866.811,-0.482825,0.0209487,-0.00884917,0.0040456
25,1772.5,866.803,-0.484477,0.0211617,-0.0085184,0.00277317
26,1772.54,866.738,-0.485114,0.0215031,-0.00882365,-0.00442699
27,1772.57,866.756,-0.483439,0.0218036,-0.00867483,-0.0061697
28,1772.56,866.769,-0.480903,0.0217134,-0.00898443,-0.00673568
29,1772.53,866.786,-0.490472,0.0209669,-0.00997858,-0.0058127
30,1772.55,866.773,-0.498442,0.0208073,-0.0107242,-0.00548643
31,1772.56,866.772,-0.502062,0.0208413,-0.0109507,-0.00489172
32,1772.57,866.772,-0.504242,0.021523,-0.0118096,-0.0044003
33,1772.57,866.786,-0.497872,0.0227146,-0.0125046,-0.00442087
34,1772.57,866.786,-0.495833,0.0228862,-0.0129476,-0.00438028
35,1772.52,866.742,-0.49065,0.0223082,-0.0110589,-0.00624772
36,1772.5,866.732,-0.49395,0.0229555,-0.0108563,-0.00720776
37,1772.5,866.721,-0.49524,0.0229288,-0.0107059,-0.00739193
38,1772.43,866.618,-0.497761,0.0228125,-0.00957819,-0.00825892
39,1772.47,866.587,-0.494122,0.0233209,-0.0100559,-0.00930451
40,1772.51,866.641,-0.489491,0.0238928,-0.0102338,-0.00946483
41,1772.53,866.655,-0.484441,0.0241533,-0.0101138,-0.00979797
42,1772.52,866.652,-0.484371,0.0242668,-0.00958959,-0.0103136
43,1772.5,866.626,-0.486836,0.0242874,-0.00946675,-0.0108146
44,1772.51,866.619,-0.489843,0.0239242,-0.00956019,-0.0112383
45,1772.41,866.586,-0.482279,0.0230905,-0.00959202,-0.0136143
46,1772.41,866.589,-0.481215,0.0230726,-0.00970713,-0.0137662
47,1772.39,866.613,-0.477838,0.0227854,-0.00966034,-0.0138529
48,1772.43,866.547,-0.480584,0.0228739,-0.00988192,-0.0141329
49,1772.42,866.548,-0.482073,0.0230924,-0.009822,-0.0138208
50,1772.44,866.541,-0.487555,0.0240506,-0.0100599,-0.0134669
