id,x,y,z,yaw,pitch,roll
1,1716.91,1014.1,0,-2.18945,-0.0292719,0.0160021
2,1717.16,1014.4,0,-2.18609,-0.0330805,0.0149308
3,1716.78,1013.91,0,-2.18996,-0.0313808,0.00697711
4,1716.6,1013.61,0,-2.1902,-0.0161354,0.00888444
5,1716.37,1013.45,0,-2.19206,-0.0183675,-0.0126269
6,1716.07,1013.04,0,-2.19367,-0.0235767,-0.00811954
7,1715.87,1012.74,0,-2.19517,-0.0247768,-0.00868702
8,1715.75,1012.48,0,-2.19466,-0.0274043,-0.00327976
9,1715.57,1012.26,0,-2.19627,-0.0276009,0.000846096
10,1715.31,1011.9,0,-2.19753,-0.0306087,0.00676937
11,1715.15,1011.71,0,-2.19798,-0.0306136,0.00336623
12,1714.9,1011.4,0,-2.19887,-0.0300856,0.0038802
13,1714.76,1011.16,0,-2.19983,-0.0294035,0.00775869
14,1714.65,1011.03,0,-2.19988,-0.0266624,0.00355266
15,1714.26,1010.5,0,-2.20208,-0.0286035,0.0072233
16,1714.07,1010.24,0,-2.20184,-0.0279012,0.00362205
17,1713.91,1010.04,0,-2.20297,-0.0277213,0.0023151
18,1713.6,1009.68,0,-2.20348,-0.0285021,-0.00595325
19,1713.34,1009.36,0,-2.20374,-0.0297896,-0.00737018
20,1713.13,1009.06,0,-2.20414,-0.0279904,-0.00650344
21,1712.95,1008.81,0,-2.2052,-0.0280653,-0.00803072
22,1712.78,1008.54,0,-2.20654,-0.0274903,-0.0062378
23,1712.56,1008.23,0,-2.20639,-0.0301309,-0.00610128
24,1712.31,1007.93,0,-2.20598,-0.0322403,-0.00721241
25,1712.13,1007.67,0,-2.20731,-0.0313976,-0.00692532
26,1711.91,1007.39,0,-2.20621,-0.0321923,-0.00727807
27,1711.73,1007.11,0,-2.20686,-0.0319546,-0.00661691
28,1711.53,1006.87,0,-2.20747,-0.030113,-0.0111088
29,1711.33,1006.61,0,-2.2072,-0.0299231,-0.0122358
30,1711.13,1006.34,0,-2.20725,-0.031525,-0.00980659
31,1710.94,1006.05,0,-2.2069,-0.0325897,-0.00895893
32,1710.76,1005.82,0,-2.20684,-0.0336048,-0.0107993
33,1710.52,1005.55,0,-2.20502,-0.0322801,-0.0129186
34,1710.31,1005.27,0,-2.20457,-0.0338278,-0.0111963
35,1710.16,1004.96,0,-2.20194,-0.0288893,-0.0117899
36,1709.99,1004.67,0,-2.20019,-0.0282957,-0.0123636
37,1709.75,1004.43,0,-2.19862,-0.0284178,-0.0131879
38,1709.79,1003.87,0,-2.1862,-0.00719696,-0.0282208
39,1709.59,1003.61,0,-2.18499,-0.00712496,-0.0288259
40,1709.37,1003.37,0,-2.18461,-0.00742947,-0.033756
41,1709.18,1003.16,0,-2.18289,-0.0065023,-0.0389302
42,1708.79,1002.65,0,-2.17897,-0.00652237,-0.0440987
43,1708.62,1002.43,0,-2.17794,-0.0070924,-0.0427702
44,1708.43,1002.15,0,-2.17563,-0.0078422,-0.0423511
45,1708.25,1001.89,0,-2.17424,-0.00753228,-0.0463658
46,1708.04,1001.66,0,-2.17204,-0.00800645,-0.0514308
47,1707.88,1001.38,0,-2.17063,-0.00740576,-0.0460002
48,1707.71,1001.14,0,-2.16912,-0.00779995,-0.043478
49,1707.52,1000.92,0,-2.1666,-0.00454808,-0.0506535
50,1707.37,1000.69,0,-2.16482,-0.00446487,-0.0529182
51,1707.19,1000.47,0,-2.16403,-0.00533047,-0.0532952
52,1706.98,1000.24,0,-2.15999,-0.00422771,-0.0684046
53,1706.79,999.989,0,-2.15853,-0.00588789,-0.0689085
54,1706.66,999.785,0,-2.15699,-0.0069321,-0.0702898
55,1706.59,999.504,0,-2.15587,-0.0057057,-0.036375
56,1706.45,999.272,0,-2.15349,-0.00491808,-0.036529
57,1706.27,999.028,0,-2.15199,-0.00568678,-0.0366595
58,1706.12,998.802,0,-2.14949,-0.00590078,-0.0383581
59,1705.94,998.564,0,-2.14814,-0.0056347,-0.0416416
60,1705.83,998.378,0,-2.14611,-0.00571424,-0.0372006
61,1705.67,998.125,0,-2.14434,-0.00585282,-0.0359251
62,1705.51,997.907,0,-2.14254,-0.00671392,-0.0369612
63,1705.35,997.699,0,-2.14167,-0.0065287,-0.03916
64,1705.16,997.48,0,-2.13922,-0.00538029,-0.0427621
65,1705.03,997.285,0,-2.1385,-0.00497942,-0.0447719
66,1704.88,997.076,0,-2.13661,-0.00456457,-0.0472689
67,1704.72,996.82,0,-2.13525,-0.00529745,-0.0333471
68,1704.57,996.56,0,-2.13226,-0.00506984,-0.0362967
69,1704.42,996.362,0,-2.13112,-0.005363,-0.0320831
70,1704.25,996.133,0,-2.12902,-0.00546589,-0.0354766
71,1704.07,995.915,0,-2.12771,-0.00314811,-0.0462424
72,1703.9,995.686,0,-2.1261,-0.00504747,-0.0393297
73,1703.7,995.48,0,-2.12441,-0.00536055,-0.0457756
74,1703.58,995.3,0,-2.12446,-0.00574578,-0.0404466
75,1703.44,995.048,0,-2.1231,-0.00472842,-0.0350254
76,1703.21,994.745,0,-2.1194,-0.00600858,-0.0424053
77,1702.9,994.262,0,-2.11843,-0.0136639,-0.0313549
78,1702.74,993.987,0,-2.11734,-0.0143226,-0.0339872
79,1702.55,993.712,0,-2.1158,-0.0132432,-0.0335068
80,1702.42,993.558,0,-2.11654,-0.0134409,-0.0328836
81,1702.28,993.288,0,-2.11618,-0.0169875,-0.0302893
82,1702.09,993.029,0,-2.11561,-0.0187291,-0.0324528
83,1701.91,992.715,0,-2.11726,-0.0198315,-0.0297499
84,1701.75,992.493,0,-2.11751,-0.0203509,-0.0295858
85,1701.6,992.233,0,-2.11936,-0.0209366,-0.0273956
86,1701.38,991.901,0,-2.11893,-0.0235595,-0.0259233
87,1701.25,991.706,0,-2.1198,-0.0234842,-0.0261745
88,1701.08,991.427,0,-2.12091,-0.0256271,-0.0204037
89,1700.86,991.136,0,-2.12116,-0.02524,-0.0230586
90,1700.77,990.901,0,-2.12134,-0.019931,-0.00456963
91,1700.62,990.634,0,-2.12268,-0.0178915,-0.00667839
92,1700.44,990.393,0,-2.12396,-0.0129155,-0.00699169
93,1700.23,990.147,0,-2.12645,-0.0115168,-0.0215545
94,1700.07,989.912,0,-2.12854,-0.0150558,-0.0277689
95,1699.85,989.625,0,-2.13166,-0.0157534,-0.0290499
96,1699.67,989.325,0,-2.13274,-0.0168127,-0.0284046
97,1699.53,989.109,0,-2.13547,-0.0159637,-0.0282043
98,1699.3,988.756,0,-2.13607,-0.0168371,-0.0271062
99,1699.08,988.467,0,-2.13993,-0.0198129,-0.0250853
100,1698.96,988.294,0,-2.14064,-0.0183506,-0.0258394
101,1698.8,988.049,0,-2.14306,-0.0180161,-0.0236697
102,1698.66,987.785,0,-2.14511,-0.0143886,-0.0110884
103,1698.49,987.576,0,-2.14888,-0.0167609,-0.0142736
104,1698.33,987.343,0,-2.15036,-0.0144668,-0.0120145
105,1698.22,987.118,0,-2.15136,-0.0129912,-0.00664485
106,1698.04,986.835,0,-2.15323,-0.0131347,-0.00482147
107,1697.83,986.505,0,-2.15486,-0.0109857,0.00135691
108,1697.67,986.256,0,-2.15681,-0.0108464,0.00681431
109,1697.49,986.067,0,-2.16045,-0.0109907,0.00404173
110,1697.36,985.87,0,-2.16197,-0.0111481,0.00544916
111,1697.18,985.616,0,-2.1642,-0.0108238,0.00512377
112,1697,985.442,0,-2.16433,-0.00414045,-0.014481
113,1696.83,985.233,0,-2.16611,-0.00392736,-0.0157155
114,1696.74,985.109,0,-2.16813,-0.00437569,-0.0177356
115,1696.54,984.83,0,-2.17082,-0.00459874,-0.0177761
116,1696.39,984.621,0,-2.17223,-0.00512984,-0.0160173
117,1696.17,984.277,0,-2.17398,-0.00565492,-0.0149197
118,1696.03,984.11,0,-2.17603,-0.00531301,-0.0156951
119,1695.91,984.011,0,-2.17925,-0.00576408,-0.0159108
120,1695.76,983.704,0,-2.17948,-0.00554543,-0.0181996
121,1695.63,983.589,0,-2.18216,-0.00628021,-0.0182067
122,1695.46,983.383,0,-2.1845,-0.0083837,-0.019907
123,1695.36,983.211,0,-2.18507,-0.00987041,-0.0198672
124,1695.19,982.969,0,-2.18712,-0.0116899,-0.0189992
125,1694.94,982.673,0,-2.19003,-0.0104405,-0.0162036
126,1694.79,982.466,0,-2.19124,-0.0102625,-0.0156739
127,1694.74,982.434,0,-2.19198,-0.0115673,-0.0157319
128,1694.6,982.246,0,-2.19293,-0.0120241,-0.0153509
129,1694.45,982.044,0,-2.19376,-0.0121677,-0.0126733
130,1694.21,981.772,0,-2.19561,-0.0132898,-0.00992734
131,1694.11,981.605,0,-2.19608,-0.015291,-0.00950504
132,1694.01,981.454,0,-2.19659,-0.0164923,-0.00788741
133,1693.89,981.313,0,-2.19796,-0.0170197,-0.0109958
134,1693.65,981.05,0,-2.19995,-0.0147774,-0.010492
135,1693.57,980.968,0,-2.2005,-0.0136679,-0.0109078
136,1693.36,980.602,0,-2.19952,-0.0103954,-0.0160069
137,1693.19,980.398,0,-2.20008,-0.010905,-0.0145295
138,1692.99,980.133,0,-2.20096,-0.0102758,-0.0130638
139,1692.93,980.034,0,-2.20139,-0.0100225,-0.0117002
140,1692.82,979.95,0,-2.20218,-0.00976908,-0.0112658
141,1692.67,979.804,0,-2.20312,-0.00926554,-0.0100541
142,1692.41,979.436,0,-2.20302,-0.00908337,-0.0100563
143,1692.34,979.395,0,-2.20236,-0.00952204,-0.0107646
144,1692.25,979.314,0,-2.20197,-0.00906989,-0.0123653
145,1691.99,978.949,0,-2.202,-0.00980796,-0.0120622
146,1691.91,978.83,0,-2.20108,-0.0112905,-0.0114493
147,1691.79,978.638,0,-2.1991,-0.0120808,-0.0105365
148,1691.68,978.47,0,-2.19979,-0.0124247,-0.0103758
149,1691.62,978.438,0,-2.19921,-0.0121628,-0.0116777
150,1691.43,978.144,0,-2.1983,-0.0150631,-0.00584154
151,1691.34,978.053,0,-2.19635,-0.014437,-0.0104163
152,1691.15,977.764,0,-2.19425,-0.0147231,-0.00861011
153,1690.99,977.517,0,-2.19133,-0.013365,-0.0121693
154,1690.87,977.454,0,-2.19172,-0.0118968,-0.0157806
155,1690.75,977.237,0,-2.18921,-0.0119196,-0.0131499
156,1690.52,976.869,0,-2.18725,-0.0108594,-0.0155938
157,1690.41,976.722,0,-2.18605,-0.0107802,-0.0156019
158,1690.33,976.619,0,-2.1845,-0.0129169,-0.0123102
159,1689.95,975.903,0,-2.17876,-0.0141724,-0.0108666
160,1689.69,975.653,0,-2.17816,-0.00788849,-0.0222017
161,1689.64,975.666,0,-2.17616,-0.00584904,-0.0265465
162,1689.56,975.626,0,-2.17581,-0.00679678,-0.0271618
163,1689.47,975.519,0,-2.17469,-0.00786981,-0.0260498
164,1689.3,975.357,0,-2.17307,-0.00585968,-0.0297341
165,1689.08,975.056,0,-2.17073,-0.00756276,-0.0272263
166,1689.09,975.048,0,-2.16943,-0.011453,-0.0189937
167,1688.89,974.747,0,-2.16627,-0.0109143,-0.0212922
168,1688.8,974.77,0,-2.1652,-0.0038311,-0.0333089
169,1688.61,974.46,0,-2.16219,-0.00437283,-0.034851
170,1688.42,974.173,0,-2.16062,-0.00482811,-0.0350923
171,1688.38,974.106,0,-2.15731,-0.00388443,-0.0349265
172,1688.25,973.938,0,-2.15693,-0.0047866,-0.0324284
173,1688.16,973.7,0,-2.1544,-0.0048421,-0.0319358
174,1687.96,973.52,0,-2.15318,-0.00308422,-0.0334349
175,1687.9,973.403,0,-2.15091,-0.00406052,-0.031286
176,1687.72,973.18,0,-2.14826,-0.00305363,-0.0346031
177,1687.64,973.041,0,-2.14504,-0.00145526,-0.0401512
178,1687.49,972.873,0,-2.14507,-0.00216227,-0.0444013
179,1687.35,972.695,0,-2.14342,-0.00435568,-0.0424186
180,1687.15,972.341,0,-2.14257,-0.0112887,-0.0336266
181,1686.94,972.05,0,-2.14069,-0.0105699,-0.040384
182,1686.74,971.72,0,-2.13995,-0.0151224,-0.0390315
183,1686.72,971.715,0,-2.13841,-0.0150076,-0.0377359
184,1686.69,971.671,0,-2.13747,-0.0145707,-0.0394586
185,1686.55,971.449,0,-2.13592,-0.0141173,-0.0401204
186,1686.22,970.988,0,-2.1342,-0.0131119,-0.0444623
187,1686.08,970.743,0,-2.1334,-0.0127368,-0.0434443
188,1686.05,970.67,0,-2.13134,-0.0123608,-0.0422949
189,1686.07,970.659,0,-2.13016,-0.0122638,-0.0416383
190,1686.04,970.633,0,-2.12943,-0.0136907,-0.0417734
191,1686,970.581,0,-2.12788,-0.0142053,-0.0399143
192,1685.84,970.322,0,-2.12626,-0.0158887,-0.0391967
193,1685.77,970.197,0,-2.12532,-0.0146779,-0.0423326
194,1685.6,969.983,0,-2.12404,-0.0156146,-0.0410002
195,1685.59,969.915,0,-2.12258,-0.0160869,-0.0398115
196,1685.35,969.527,0,-2.12169,-0.0159266,-0.0420326
197,1685.2,969.254,0,-2.11908,-0.0131824,-0.0361554
198,1685.2,969.158,0,-2.11932,-0.0132162,-0.0374297
199,1685.03,968.933,0,-2.11779,-0.0130841,-0.038711
200,1685.03,968.891,0,-2.11666,-0.0126311,-0.0376777
201,1684.82,968.555,0,-2.11615,-0.0119103,-0.0408114
202,1684.77,968.427,0,-2.11643,-0.0114282,-0.0406762
203,1684.66,968.241,0,-2.11379,-0.0119286,-0.0419
204,1684.59,968.158,0,-2.11442,-0.0122133,-0.0427158
205,1684.37,967.824,0,-2.11248,-0.0134848,-0.0425394
206,1684.19,967.656,0,-2.10948,-0.0133259,-0.041363
207,1684.24,967.575,0,-2.10816,-0.0136818,-0.0429713
208,1683.83,967.018,0,-2.10863,-0.0135168,-0.0433441
209,1683.77,966.931,0,-2.10635,-0.0133909,-0.0447758
210,1683.8,966.97,0,-2.10555,-0.01373,-0.0461711
211,1683.84,966.943,0,-2.10479,-0.0144701,-0.0412987
212,1683.76,966.842,0,-2.10256,-0.0151376,-0.0430197
213,1683.77,966.82,0,-2.10371,-0.0143569,-0.0461271
214,1683.73,966.738,0,-2.10053,-0.0141485,-0.0449984
215,1683.68,966.778,0,-2.10059,-0.0129329,-0.0524176
216,1683.62,966.609,0,-2.09802,-0.0105897,-0.0581613
217,1683.51,966.4,0,-2.09589,-0.0107069,-0.0574391
218,1683.58,966.401,0,-2.09833,-0.0127936,-0.0558038
219,1683.63,966.246,0,-2.09755,-0.0150123,-0.0445541
220,1683.64,966.088,0,-2.09899,-0.0168484,-0.0437475
221,1683.28,965.713,0,-2.08972,-0.0155706,-0.0451636
222,1683.11,965.555,0,-2.09068,-0.0176444,-0.0470541
223,1683.04,965.403,0,-2.08917,-0.015596,-0.0480689
224,1683.04,965.26,0,-2.09113,-0.0163181,-0.0464383
225,1682.97,965,0,-2.09005,-0.0180862,-0.0474023
226,1682.77,964.83,0,-2.09039,-0.0180305,-0.0485139
227,1682.48,964.54,0,-2.08668,-0.0167758,-0.0484734
228,1682.48,964.475,0,-2.08717,-0.0155563,-0.0472856
229,1682.49,964.196,0,-2.09116,-0.015635,-0.0445015
230,1682.31,963.938,0,-2.09222,-0.013896,-0.041045
231,1682.25,963.879,0,-2.09199,-0.0125308,-0.0441064
232,1682.05,963.484,0,-2.09118,-0.0136124,-0.0438515
233,1681.81,963.027,0,-2.09108,-0.0140697,-0.0438011
234,1681.75,962.97,0,-2.08971,-0.0134414,-0.0460083
235,1681.57,962.622,0,-2.08815,-0.0137561,-0.0479414
236,1681.32,962.154,0,-2.08935,-0.0145054,-0.046126
237,1681.03,961.613,0,-2.08758,-0.0162025,-0.0446464
238,1680.78,961.143,0,-2.08798,-0.0189801,-0.0418722
239,1680.66,960.939,0,-2.08867,-0.0178779,-0.038961
240,1680.43,960.592,0,-2.09179,-0.0159719,-0.0389708
241,1680.21,960.21,0,-2.09209,-0.0129217,-0.0339984
242,1680.15,959.989,0,-2.09069,-0.0130054,-0.0336911
243,1679.99,959.687,0,-2.09178,-0.0104575,-0.0382247
244,1679.88,959.458,0,-2.09218,-0.00863295,-0.0346554
245,1679.68,959.148,0,-2.09494,-0.00160724,-0.0332636
246,1679.18,958.819,0,-2.11873,-0.00945164,-0.0143192
247,1679.23,958.51,0,-2.11241,-0.00710908,-0.0128636
248,1679.12,958.285,0,-2.11201,-0.00780137,-0.0150166
249,1679,958.05,0,-2.11152,-0.00919591,-0.0140012
250,1678.86,957.829,0,-2.11275,-0.0128504,-0.0134914
251,1678.62,957.565,0,-2.11566,-0.0160042,-0.0136225
252,1678.54,957.392,0,-2.11548,-0.0228882,-0.0132654
253,1678.34,957.169,0,-2.11819,-0.023121,-0.0147382
254,1678.23,957.019,0,-2.11674,-0.0267452,-0.0202796
255,1678.16,956.836,0,-2.11574,-0.0285988,-0.0149398
256,1678.03,956.605,0,-2.11584,-0.0276411,-0.0158189
257,1677.83,956.345,0,-2.1187,-0.0286919,-0.016845
258,1677.64,956,0,-2.12174,-0.0359642,-0.0144379
259,1677.49,955.751,0,-2.12386,-0.0347897,-0.0157525
260,1677.37,955.471,0,-2.12483,-0.0343508,-0.0132279
261,1677.2,955.217,0,-2.12524,-0.0360932,-0.0113335
262,1677.04,954.967,0,-2.12486,-0.0384753,-0.0108066
263,1676.9,954.715,0,-2.12494,-0.0311501,-0.00546539
264,1676.81,954.587,0,-2.12392,-0.0243122,-0.00213143
265,1676.65,954.373,0,-2.12586,-0.022532,-0.000726504
266,1676.42,954.168,0,-2.12708,-0.0216718,-0.00744947
267,1676.3,953.955,0,-2.1258,-0.0220849,-0.0149528
268,1676.12,953.677,0,-2.1272,-0.0249037,-0.0174235
269,1676.02,953.48,0,-2.12674,-0.0239074,-0.0158653
270,1675.89,953.271,0,-2.12754,-0.0261833,-0.0152587
271,1675.73,953.02,0,-2.12758,-0.0266229,-0.0145488
272,1675.57,952.839,0,-2.12692,-0.024658,-0.0216428
273,1675.44,952.642,0,-2.12626,-0.0241673,-0.0252001
274,1675.26,952.392,0,-2.12617,-0.0244475,-0.0275359
275,1675.15,952.195,0,-2.12541,-0.0242655,-0.0286218
276,1674.93,951.929,0,-2.12618,-0.0257662,-0.0288344
277,1674.83,951.703,0,-2.12425,-0.0270515,-0.0263829
278,1674.68,951.431,0,-2.12276,-0.0342322,-0.0189923
