id,x,y,z,yaw,pitch,roll
1,1716.28,1013.43,0,-2.19423,-0.0235309,0.00507769
2,1716.07,1013.08,0,-2.19573,-0.0301307,0.00203441
3,1716.49,1013.76,0,-2.19384,-0.0274734,0.0100154
4,1716.68,1013.99,0,-2.193,-0.0317534,0.0116637
5,1716.89,1014.29,0,-2.19193,-0.0426923,0.0158659
6,1717.12,1014.56,0,-2.19167,-0.0516591,0.0247573
7,1715.85,1012.81,0,-2.19781,-0.032379,0.00207181
8,1715.66,1012.48,0,-2.19817,-0.0367711,0.00517195
9,1715.43,1012.19,0,-2.19936,-0.0382755,0.00479013
10,1715.23,1011.96,0,-2.20004,-0.0393117,0.00487483
11,1715,1011.67,0,-2.20076,-0.0394047,0.00477858
12,1714.75,1011.33,0,-2.20049,-0.0396398,0.00616665
13,1714.6,1011.08,0,-2.20259,-0.0388367,0.00652444
14,1714.38,1010.75,0,-2.20268,-0.0396487,0.00691712
15,1714.21,1010.51,0,-2.20404,-0.037061,0.00564574
16,1714.01,1010.23,0,-2.20412,-0.0352534,0.00679542
17,1713.82,1009.94,0,-2.20506,-0.0335989,0.00843983
18,1713.6,1009.63,0,-2.20525,-0.0347929,0.00681942
19,1713.37,1009.36,0,-2.20563,-0.0344822,0.00225155
20,1713.12,1009.03,0,-2.20529,-0.0354284,0.00343664
21,1712.95,1008.82,0,-2.20668,-0.0348556,-0.00135233
22,1712.76,1008.55,0,-2.20719,-0.0335696,0.00131802
23,1712.51,1008.22,0,-2.20699,-0.0361201,0.00240606
24,1712.32,1007.96,0,-2.20744,-0.0352226,0.00125746
25,1712.09,1007.7,0,-2.20757,-0.0357429,-0.00104526
26,1711.83,1007.38,0,-2.20659,-0.0354256,-0.00533469
27,1711.67,1007.13,0,-2.20673,-0.032043,-0.00210003
28,1711.52,1006.92,0,-2.20782,-0.0309202,-0.00277331
29,1711.36,1006.67,0,-2.20825,-0.0309409,-0.00119318
