id,x,y,z,yaw,pitch,roll
1,-285.121,226.348,-12.6035,2.44807,0.0130397,0.0414865
2,-284.891,226.134,-12.5985,2.44805,0.0146281,0.0434225
3,-285.352,226.535,-12.6001,2.44791,0.0129671,0.039105
4,-285.578,226.74,-12.6089,2.44844,0.0122583,0.0356971
5,-285.796,226.938,-12.6137,2.44953,0.0112257,0.0332296
6,-286.009,227.138,-12.6167,2.45043,0.011158,0.0329679
7,-286.226,227.325,-12.613,2.44963,0.0105948,0.0333428
8,-286.44,227.509,-12.6139,2.4502,0.00974628,0.0339772
9,-286.65,227.686,-12.6156,2.45082,0.00815486,0.0348571
10,-286.85,227.87,-12.6151,2.45116,0.00706523,0.0334599
11,-287.053,228.043,-12.5978,2.45145,0.00298415,0.0341772
12,-287.25,228.207,-12.6011,2.45097,-0.0016888,0.0365098
13,-287.438,228.362,-12.6201,2.45075,-0.00374147,0.038707
14,-287.622,228.517,-12.6302,2.45049,-0.00285473,0.0392594
15,-287.816,228.68,-12.6416,2.45078,-0.00142648,0.0402294
16,-287.984,228.829,-12.634,2.45095,-0.000328802,0.0404665
17,-288.167,228.987,-12.6462,2.45144,-0.000344215,0.0410968
18,-288.337,229.127,-12.6623,2.45207,0.0018136,0.0413489
19,-288.513,229.285,-12.6715,2.45271,0.00530235,0.0407826
20,-288.672,229.425,-12.6635,2.45315,0.00659211,0.0379118
21,-288.831,229.555,-12.6532,2.45365,0.00644396,0.035597
22,-288.99,229.693,-12.6596,2.45451,0.00593618,0.0352942
23,-289.14,229.822,-12.667,2.45437,0.0067671,0.037354
24,-289.275,229.986,-12.6617,2.45403,0.0100416,0.0377363
25,-289.46,230.084,-12.687,2.45475,0.0123962,0.04102
26,-289.585,230.243,-12.6719,2.4559,0.014169,0.0421854
27,-289.73,230.364,-12.6675,2.45652,0.014578,0.0438176
28,-289.924,230.472,-12.6883,2.45615,0.0135653,0.0457985
29,-290.073,230.591,-12.6873,2.4574,0.0116096,0.045378
30,-290.219,230.703,-12.7029,2.45954,0.0091111,0.0460332
31,-290.374,230.816,-12.6966,2.45998,0.0078524,0.0448144
32,-290.504,230.931,-12.677,2.46036,0.00504389,0.0424469
33,-290.624,231.051,-12.6833,2.45919,0.00119325,0.0432257
34,-290.757,231.171,-12.6719,2.45823,-0.000952799,0.0429051
35,-290.864,231.299,-12.6165,2.45807,-0.00684832,0.0398764
36,-290.978,231.436,-12.6101,2.45666,-0.0151449,0.0391046
37,-291.111,231.545,-12.6485,2.45743,-0.0153298,0.0392477
38,-291.245,231.645,-12.7117,2.45726,-0.00926311,0.040324
39,-291.354,231.742,-12.7167,2.45896,0.000227755,0.0395788
40,-291.48,231.825,-12.7126,2.45917,0.00520245,0.041331
41,-291.613,231.93,-12.6978,2.45911,0.00240495,0.0434786
42,-291.742,232.052,-12.7139,2.45843,-0.0010189,0.0470376
43,-291.868,232.143,-12.7302,2.45697,-0.0009559,0.05248
44,-291.992,232.248,-12.7336,2.45661,0.000950788,0.0554832
45,-292.116,232.358,-12.7272,2.45703,0.0036056,0.0543129
46,-292.231,232.452,-12.7203,2.45823,0.00634178,0.0493738
47,-292.333,232.537,-12.7155,2.45925,0.00717949,0.0445026
48,-292.456,232.659,-12.7126,2.45946,0.00534683,0.0441104
49,-292.577,232.764,-12.73,2.45791,0.00372908,0.0465947
50,-292.688,232.835,-12.7478,2.45738,0.00448174,0.0479969
51,-292.793,232.939,-12.7396,2.45772,0.00575491,0.049204
52,-292.91,233.035,-12.7366,2.45747,0.00580236,0.0495249
53,-293.033,233.147,-12.7376,2.45651,0.00649881,0.0479367
54,-293.169,233.265,-12.7448,2.4581,0.0100373,0.0469774
55,-293.291,233.372,-12.7322,2.45902,0.011544,0.0468695
56,-293.424,233.5,-12.6947,2.45863,0.00835122,0.0438338
57,-293.546,233.611,-12.6883,2.45705,0.00104108,0.0411086
58,-293.699,233.727,-12.7335,2.45694,-0.00252131,0.0405315
59,-293.832,233.829,-12.7447,2.45904,-0.00160105,0.0429752
60,-293.959,233.935,-12.7356,2.45966,-0.00254929,0.0462182
61,-294.086,234.045,-12.7285,2.45923,-0.00486312,0.0479281
62,-294.222,234.167,-12.7518,2.45787,-0.00661379,0.0491975
63,-294.351,234.276,-12.7577,2.45679,-0.00603497,0.0500321
64,-294.47,234.389,-12.7606,2.4573,-0.00557471,0.0514413
65,-294.589,234.518,-12.7721,2.45598,-0.00520401,0.0516828
66,-294.714,234.647,-12.7692,2.45522,-0.00368295,0.0492379
67,-294.831,234.756,-12.7728,2.45611,-0.00376867,0.0478026
68,-294.962,234.87,-12.7811,2.45657,-0.00390174,0.0480198
69,-295.099,235.006,-12.7853,2.45576,-0.00397126,0.0476978
70,-295.231,235.116,-12.7852,2.45597,-0.00418819,0.0482186
71,-295.363,235.237,-12.7831,2.45592,-0.00405375,0.0486348
72,-295.493,235.358,-12.7763,2.45545,-0.00442849,0.0484431
73,-295.632,235.478,-12.7777,2.45458,-0.00510045,0.048441
74,-295.759,235.582,-12.7792,2.45489,-0.00498781,0.0484492
75,-295.89,235.687,-12.7887,2.45566,-0.00504178,0.0492217
76,-296.025,235.802,-12.7939,2.45528,-0.00506872,0.0490273
77,-296.174,235.92,-12.7827,2.45486,-0.00455021,0.0471242
78,-296.324,236.04,-12.772,2.45537,-0.00515983,0.0445441
79,-296.471,236.162,-12.7823,2.45663,-0.00554594,0.0441552
80,-296.612,236.286,-12.7896,2.45671,-0.00353482,0.0439537
81,-296.763,236.396,-12.7878,2.45653,-0.00179544,0.0438695
82,-296.902,236.505,-12.7737,2.45712,-0.00092384,0.0452467
83,-297.038,236.625,-12.7686,2.45693,-0.00127944,0.0458096
84,-297.178,236.739,-12.7674,2.45629,-0.0012583,0.0459169
85,-297.329,236.844,-12.7752,2.45603,-0.000798859,0.0457786
86,-297.473,236.969,-12.7773,2.45563,0.000368685,0.0453373
87,-297.616,237.099,-12.7744,2.45575,0.000518489,0.0449565
88,-297.773,237.228,-12.776,2.45628,-0.00106624,0.0451442
89,-297.908,237.338,-12.785,2.45732,-0.00149774,0.0460342
90,-298.06,237.463,-12.7827,2.45725,-0.0015368,0.0457909
91,-298.202,237.604,-12.7843,2.4571,-0.002154,0.0445662
92,-298.347,237.727,-12.7902,2.45799,-0.00268536,0.0440962
93,-298.47,237.849,-12.7949,2.45862,-0.00293129,0.043068
94,-298.634,237.982,-12.7998,2.45848,-0.00326339,0.0421967
95,-298.76,238.12,-12.7962,2.4581,-0.00396,0.0407217
96,-298.916,238.271,-12.7858,2.45819,-0.00575461,0.0391442
97,-299.068,238.385,-12.7829,2.45905,-0.0071512,0.0379577
98,-299.213,238.525,-12.7917,2.45988,-0.00887461,0.0373791
99,-299.352,238.651,-12.8043,2.46092,-0.00887693,0.0366277
100,-299.502,238.766,-12.8115,2.46094,-0.00710763,0.0351888
101,-299.656,238.889,-12.8205,2.46155,-0.00599066,0.0348901
102,-299.805,239.012,-12.8269,2.46152,-0.00536619,0.0370503
103,-299.952,239.139,-12.8156,2.46154,-0.00477633,0.0391225
104,-300.108,239.251,-12.8123,2.4622,-0.0051852,0.0379646
105,-300.278,239.382,-12.8251,2.46288,-0.00571982,0.036237
106,-300.426,239.514,-12.8318,2.46338,-0.00513057,0.0342591
107,-300.567,239.647,-12.8337,2.46394,-0.00443184,0.0331133
108,-300.724,239.785,-12.8379,2.46447,-0.00383681,0.0322261
109,-300.871,239.919,-12.8325,2.46545,-0.00388165,0.030836
110,-301.026,240.059,-12.8322,2.46552,-0.00382418,0.0300266
111,-301.175,240.184,-12.8293,2.46596,-0.00396833,0.0293572
112,-301.33,240.317,-12.8324,2.4657,-0.00350094,0.0284491
113,-301.487,240.455,-12.8388,2.46575,-0.00226832,0.0264714
114,-301.658,240.577,-12.8334,2.46888,-0.00232618,0.0230693
115,-301.815,240.7,-12.8361,2.47111,-0.00482346,0.0221281
116,-301.976,240.843,-12.8356,2.47305,-0.00594125,0.0194547
117,-302.152,240.969,-12.8485,2.47569,-0.00611448,0.018127
118,-302.308,241.094,-12.8508,2.47742,-0.00590927,0.0191669
119,-302.482,241.214,-12.8516,2.48041,-0.00527491,0.0181685
120,-302.643,241.343,-12.8566,2.48289,-0.00448558,0.0178483
121,-302.819,241.485,-12.8562,2.48433,-0.00440336,0.0181367
122,-302.983,241.618,-12.857,2.48682,-0.00482208,0.0180715
123,-303.148,241.754,-12.8565,2.48929,-0.00493719,0.0172033
124,-303.321,241.877,-12.8549,2.49272,-0.00431231,0.0158809
125,-303.481,241.999,-12.8541,2.49554,-0.00445879,0.0146046
126,-303.649,242.125,-12.8544,2.49856,-0.00464149,0.0137745
127,-303.822,242.239,-12.8561,2.50177,-0.00458646,0.0130179
128,-304.003,242.364,-12.8592,2.50579,-0.00413886,0.0124348
129,-304.171,242.489,-12.858,2.51137,-0.00395302,0.010868
130,-304.343,242.608,-12.8579,2.51597,-0.00404306,0.0107354
131,-304.518,242.722,-12.8653,2.52068,-0.00431008,0.0122119
132,-304.693,242.828,-12.8582,2.52653,-0.00614676,0.0146918
133,-304.894,242.933,-12.8511,2.53474,-0.00842356,0.0162135
134,-305.084,243.043,-12.841,2.54417,-0.010181,0.0145218
135,-305.272,243.165,-12.8471,2.55441,-0.0110097,0.0110033
136,-305.451,243.249,-12.8544,2.56546,-0.0112709,0.00813544
137,-305.655,243.334,-12.8625,2.57693,-0.0108326,0.00780341
138,-305.856,243.417,-12.8629,2.58859,-0.0109481,0.00808079
