id,x,y,z,yaw,pitch,roll
1,-285.121,226.349,-12.6007,2.44807,0.0130869,0.041315
2,-284.889,226.133,-12.5985,2.44806,0.0146364,0.0434141
3,-285.362,226.541,-12.6001,2.44799,0.0128787,0.0391543
4,-285.581,226.743,-12.6082,2.44848,0.0122616,0.0355553
5,-285.797,226.94,-12.6135,2.44954,0.0112219,0.0332005
6,-286.017,227.145,-12.6153,2.45048,0.0111075,0.0329335
7,-286.229,227.327,-12.6125,2.44967,0.0105867,0.0333363
8,-286.444,227.511,-12.6139,2.45023,0.00971142,0.0339674
9,-286.654,227.689,-12.617,2.45089,0.00808098,0.0349721
10,-286.855,227.876,-12.6141,2.45117,0.00701743,0.0333939
11,-287.059,228.047,-12.597,2.45148,0.00294234,0.0341647
12,-287.252,228.208,-12.6009,2.45097,-0.00171439,0.0365393
13,-287.44,228.363,-12.6209,2.45077,-0.00375535,0.0387508
14,-287.628,228.521,-12.6306,2.4505,-0.00287598,0.0392606
15,-287.818,228.682,-12.6423,2.45079,-0.00143902,0.0402945
16,-287.994,228.838,-12.6329,2.45095,-0.000303648,0.0404124
17,-288.172,228.993,-12.6468,2.45142,-0.000365913,0.0411313
18,-288.347,229.136,-12.6622,2.45208,0.00179534,0.0413549
19,-288.515,229.287,-12.6712,2.4527,0.00532532,0.0407848
20,-288.677,229.427,-12.663,2.4532,0.00659231,0.0379231
21,-288.84,229.564,-12.6525,2.45368,0.00643981,0.0356096
22,-288.997,229.697,-12.6604,2.45457,0.00592871,0.0353579
23,-289.152,229.831,-12.6685,2.45437,0.00676756,0.0374735
24,-289.278,229.989,-12.6616,2.45404,0.0100722,0.0377319
25,-289.473,230.09,-12.6902,2.4547,0.0123397,0.0413933
26,-289.591,230.248,-12.6728,2.45594,0.0141846,0.0421924
27,-289.737,230.369,-12.6671,2.45653,0.0145575,0.0439768
28,-289.926,230.473,-12.6899,2.45613,0.0135382,0.0460243
29,-290.077,230.594,-12.6875,2.45746,0.0115723,0.045407
30,-290.224,230.706,-12.7042,2.45967,0.00906589,0.0461081
31,-290.376,230.817,-12.697,2.46001,0.00781328,0.0448193
32,-290.507,230.935,-12.6773,2.46031,0.00498189,0.0424216
33,-290.625,231.052,-12.6848,2.45912,0.00108261,0.0433303
34,-290.759,231.172,-12.6721,2.45819,-0.000976099,0.0429384
35,-290.867,231.302,-12.6166,2.45805,-0.00696886,0.0398415
