id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.574,226.741,-12.6066,2.4487,0.0121339,0.0338472
5,-285.793,226.941,-12.6121,2.44994,0.0110833,0.0315751
6,-285.996,227.129,-12.6177,2.45049,0.0110713,0.0314978
7,-286.22,227.326,-12.6148,2.44968,0.0104096,0.0319943
8,-286.433,227.507,-12.6136,2.45029,0.00957035,0.0327605
9,-286.646,227.689,-12.6177,2.45104,0.00793904,0.0339977
10,-286.849,227.87,-12.6154,2.45111,0.00703116,0.0334068
11,-287.052,228.044,-12.5982,2.45138,0.0028439,0.0335157
12,-287.25,228.213,-12.5985,2.45099,-0.0018729,0.0358552
13,-287.441,228.372,-12.6183,2.4508,-0.00385455,0.0380991
14,-287.623,228.525,-12.6298,2.45049,-0.00297772,0.0388162
15,-287.815,228.686,-12.6417,2.45092,-0.00161742,0.0397903
16,-287.983,228.833,-12.6358,2.45111,-0.000493547,0.0401016
17,-288.168,228.997,-12.6468,2.45149,-0.000481847,0.0407024
18,-288.339,229.134,-12.6645,2.45203,0.00171433,0.0412053
19,-288.51,229.285,-12.6728,2.45275,0.005246,0.0405579
20,-288.671,229.426,-12.6642,2.45309,0.00663983,0.0376781
21,-288.833,229.56,-12.6561,2.45351,0.00637799,0.0351602
22,-288.993,229.704,-12.6619,2.45444,0.00586252,0.0346755
23,-289.144,229.832,-12.671,2.45428,0.00677467,0.036872
24,-289.279,229.982,-12.6782,2.45403,0.00991732,0.0378777
25,-289.462,230.083,-12.6928,2.45478,0.0123628,0.0413014
26,-289.59,230.241,-12.6822,2.45592,0.0141691,0.0423774
27,-289.733,230.365,-12.678,2.45634,0.0144468,0.0439571
28,-289.916,230.471,-12.6864,2.45595,0.0135537,0.0451594
29,-290.058,230.592,-12.6784,2.45684,0.0118077,0.0445436
30,-290.197,230.709,-12.6904,2.45839,0.00939689,0.044715
31,-290.33,230.824,-12.6782,2.45838,0.00850397,0.0432373
32,-290.462,230.949,-12.6618,2.45874,0.00567133,0.0411883
33,-290.582,231.06,-12.6733,2.45742,0.00178185,0.0422871
34,-290.725,231.179,-12.6652,2.45719,-0.000712092,0.042252
35,-290.84,231.298,-12.619,2.45704,-0.00669697,0.040202
36,-290.967,231.431,-12.6273,2.45619,-0.0152757,0.0402789
