id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.134,226.34,-12.601,2.44793,0.0130601,0.0410439
3,-284.896,226.125,-12.6008,2.44787,0.0145912,0.0423494
4,-285.58,226.743,-12.607,2.44872,0.0120951,0.0338614
5,-285.793,226.941,-12.6121,2.44993,0.0110824,0.0315734
6,-286.011,227.139,-12.618,2.45058,0.0109741,0.0315791
7,-286.224,227.328,-12.6143,2.44971,0.0103797,0.0319967
8,-286.438,227.51,-12.6133,2.45037,0.00956297,0.0327582
9,-286.646,227.689,-12.6177,2.45104,0.00793423,0.0340035
10,-286.855,227.876,-12.6142,2.45112,0.00699985,0.0333317
11,-287.055,228.046,-12.5978,2.45139,0.00282212,0.0335296
12,-287.25,228.213,-12.5985,2.45098,-0.00187075,0.0358565
13,-287.444,228.374,-12.6186,2.4508,-0.00386589,0.0381181
14,-287.63,228.53,-12.63,2.45051,-0.00298581,0.0388156
15,-287.818,228.69,-12.6423,2.45095,-0.00162403,0.0398018
16,-287.992,228.841,-12.6351,2.4511,-0.000453737,0.0400723
17,-288.174,229.004,-12.6474,2.4515,-0.00054115,0.0407655
18,-288.353,229.146,-12.6644,2.45201,0.00172947,0.0411823
19,-288.513,229.288,-12.6722,2.45273,0.00525785,0.0405374
20,-288.675,229.428,-12.6637,2.45311,0.00666071,0.0376156
21,-288.842,229.569,-12.6561,2.45352,0.00636803,0.0351796
22,-289,229.709,-12.6623,2.45452,0.00586463,0.0347331
23,-289.144,229.832,-12.6711,2.45428,0.00676141,0.0368826
24,-289.282,229.985,-12.6783,2.45403,0.00993252,0.0378877
25,-289.47,230.088,-12.6935,2.45477,0.0123694,0.0414666
26,-289.595,230.246,-12.6819,2.45597,0.0141474,0.0423
27,-289.737,230.368,-12.6779,2.45636,0.0144081,0.044039
28,-289.917,230.472,-12.6867,2.45595,0.0135426,0.0452456
29,-290.059,230.593,-12.6784,2.45682,0.0117937,0.0445808
30,-290.197,230.709,-12.6903,2.45839,0.00938967,0.0447144
31,-290.331,230.825,-12.6784,2.45838,0.00848302,0.0432282
32,-290.461,230.948,-12.6618,2.45873,0.00568018,0.0411858
33,-290.582,231.06,-12.6733,2.45742,0.00178275,0.0422835
34,-290.725,231.179,-12.6652,2.45719,-0.000715477,0.0422523
35,-290.841,231.298,-12.619,2.45704,-0.00669799,0.0402038
36,-290.967,231.43,-12.627,2.45618,-0.0152442,0.040257
37,-291.104,231.543,-12.6675,2.45671,-0.0154668,0.0404831
38,-291.227,231.636,-12.72,2.45651,-0.00915812,0.041259
39,-291.344,231.739,-12.7285,2.45824,0.00026882,0.0405427
40,-291.466,231.833,-12.7168,2.45828,0.00537188,0.0415573
41,-291.59,231.942,-12.6986,2.45796,0.00268208,0.0432764
42,-291.713,232.062,-12.7169,2.45685,-0.000798458,0.0473235
43,-291.847,232.157,-12.7374,2.45572,-0.000662429,0.0527447
44,-291.976,232.263,-12.7445,2.45494,0.00131875,0.0566453
45,-292.096,232.368,-12.7358,2.45537,0.00407048,0.0553774
46,-292.204,232.467,-12.7317,2.45603,0.00679756,0.0506723
47,-292.312,232.567,-12.726,2.45728,0.00754674,0.0454495
48,-292.428,232.666,-12.7286,2.45742,0.00592988,0.0455619
49,-292.54,232.77,-12.741,2.45575,0.00434719,0.0476048
50,-292.654,232.852,-12.7582,2.45522,0.00489485,0.0488459
51,-292.772,232.964,-12.7509,2.45591,0.00603937,0.0503679
52,-292.883,233.061,-12.7485,2.45515,0.00602933,0.050534
53,-293.014,233.177,-12.7495,2.45448,0.00688084,0.048769
54,-293.143,233.286,-12.7599,2.45608,0.0104268,0.0481067
55,-293.257,233.397,-12.7489,2.45691,0.0116888,0.0482055
56,-293.392,233.514,-12.7115,2.45666,0.00848558,0.044991
57,-293.535,233.644,-12.7204,2.45515,7.87446e-05,0.0424738
58,-293.67,233.749,-12.7546,2.45521,-0.00245974,0.0421429
59,-293.797,233.855,-12.7596,2.45743,-0.00116979,0.0437175
60,-293.925,233.965,-12.7535,2.45817,-0.00221728,0.0470228
61,-294.053,234.077,-12.7429,2.45769,-0.00443036,0.0484749
62,-294.188,234.205,-12.7681,2.45632,-0.00627011,0.0499023
63,-294.316,234.311,-12.7728,2.45536,-0.00580432,0.0507201
64,-294.446,234.418,-12.7724,2.45604,-0.00536537,0.0520652
65,-294.572,234.541,-12.7816,2.45508,-0.00497398,0.0520465
66,-294.703,234.658,-12.7785,2.45433,-0.00333479,0.0497721
67,-294.821,234.769,-12.7832,2.45541,-0.0035229,0.0482084
68,-294.957,234.893,-12.7911,2.45587,-0.00365141,0.0481634
69,-295.091,235.018,-12.7912,2.45528,-0.00386966,0.0478747
70,-295.225,235.131,-12.7941,2.45546,-0.0041294,0.0485342
71,-295.357,235.25,-12.7951,2.45541,-0.00385281,0.0491599
72,-295.49,235.366,-12.7896,2.45493,-0.00438754,0.0491113
73,-295.624,235.484,-12.7898,2.45418,-0.00491246,0.0489213
74,-295.756,235.592,-12.7899,2.45446,-0.00487512,0.0488481
75,-295.896,235.705,-12.7965,2.45529,-0.00528259,0.0494573
76,-296.018,235.814,-12.799,2.45463,-0.00507363,0.0490482
77,-296.161,235.928,-12.7933,2.45396,-0.0043636,0.0475174
78,-296.303,236.05,-12.7848,2.45403,-0.00468093,0.0451542
79,-296.446,236.177,-12.7962,2.45533,-0.00504095,0.0447122
80,-296.591,236.307,-12.8016,2.45539,-0.00316588,0.0444904
81,-296.738,236.427,-12.8037,2.45517,-0.00147508,0.0446602
82,-296.879,236.549,-12.7916,2.45547,-0.000782142,0.0459862
83,-297.012,236.673,-12.7867,2.45551,-0.00112918,0.0464279
84,-297.157,236.797,-12.785,2.45493,-0.00121593,0.0461003
85,-297.294,236.914,-12.7893,2.45473,-0.000513207,0.0456456
86,-297.436,237.035,-12.7962,2.4543,0.000830814,0.0454069
87,-297.575,237.158,-12.7907,2.45434,0.00082352,0.0448638
88,-297.729,237.291,-12.7905,2.45504,-0.000795114,0.0451118
89,-297.865,237.405,-12.7979,2.45596,-0.00108052,0.0457514
90,-298.004,237.533,-12.7931,2.4558,-0.00123975,0.0454708
91,-298.156,237.672,-12.8003,2.45575,-0.00213285,0.0445762
92,-298.297,237.801,-12.8051,2.45635,-0.00232938,0.0441362
93,-298.439,237.916,-12.81,2.45696,-0.00250716,0.0435987
94,-298.586,238.047,-12.8142,2.45661,-0.00295055,0.0425587
95,-298.731,238.187,-12.8125,2.45612,-0.00386786,0.0412745
96,-298.879,238.314,-12.8056,2.45656,-0.00544231,0.0400841
97,-299.032,238.439,-12.8071,2.4572,-0.0070917,0.0389769
98,-299.182,238.578,-12.8108,2.45835,-0.00898645,0.0375058
99,-299.324,238.702,-12.8212,2.45933,-0.00903815,0.0367788
100,-299.475,238.823,-12.8334,2.45944,-0.00731728,0.0356005
101,-299.627,238.959,-12.8383,2.45985,-0.00607078,0.0349726
102,-299.769,239.079,-12.8469,2.46023,-0.0053165,0.0375466
103,-299.921,239.19,-12.8403,2.46025,-0.00486618,0.0400458
104,-300.077,239.326,-12.8287,2.46098,-0.00518749,0.0381681
105,-300.229,239.453,-12.8337,2.46165,-0.00557541,0.0359252
106,-300.383,239.594,-12.8427,2.46197,-0.00508406,0.0339948
107,-300.528,239.723,-12.8433,2.46252,-0.00408283,0.0328466
108,-300.683,239.844,-12.8486,2.46319,-0.00368368,0.0320405
109,-300.833,239.971,-12.8434,2.4642,-0.00374623,0.0309831
110,-300.984,240.103,-12.8469,2.46436,-0.00382754,0.0304209
111,-301.141,240.241,-12.8464,2.46456,-0.00414249,0.0298185
112,-301.294,240.367,-12.8481,2.4645,-0.00376269,0.0286061
113,-301.453,240.497,-12.8502,2.46471,-0.00242978,0.0266643
114,-301.615,240.62,-12.8472,2.46749,-0.00227591,0.0236791
115,-301.777,240.767,-12.8472,2.46983,-0.00498941,0.0219206
116,-301.938,240.899,-12.8446,2.47194,-0.00587642,0.0195698
117,-302.114,241.022,-12.8555,2.47458,-0.00607235,0.0182321
118,-302.28,241.147,-12.8565,2.47647,-0.00577288,0.0193922
119,-302.44,241.262,-12.8605,2.47946,-0.00519632,0.018428
120,-302.61,241.394,-12.8699,2.48201,-0.00470435,0.0183358
121,-302.78,241.532,-12.8666,2.4836,-0.00454297,0.0184066
122,-302.946,241.665,-12.8615,2.48585,-0.00471169,0.0178481
123,-303.115,241.794,-12.864,2.48835,-0.00485514,0.0172468
124,-303.288,241.922,-12.8591,2.49163,-0.00440149,0.0160578
125,-303.45,242.04,-12.864,2.49466,-0.00470634,0.0151841
126,-303.622,242.165,-12.8637,2.49781,-0.00494335,0.0143251
127,-303.796,242.28,-12.8674,2.50089,-0.00485895,0.0135513
128,-303.972,242.403,-12.8676,2.50494,-0.0042631,0.0127446
129,-304.144,242.523,-12.8695,2.51044,-0.00410783,0.0113573
130,-304.318,242.643,-12.8696,2.51519,-0.00411527,0.0111881
131,-304.495,242.754,-12.8758,2.51984,-0.00440173,0.0126785
132,-304.679,242.872,-12.8744,2.52608,-0.00654213,0.0155607
133,-304.867,242.984,-12.8619,2.53383,-0.00858948,0.016827
134,-305.059,243.089,-12.8526,2.54366,-0.0105269,0.0150688
135,-305.243,243.196,-12.8551,2.5538,-0.0113267,0.0112404
136,-305.435,243.279,-12.8647,2.56484,-0.0118055,0.00853106
137,-305.63,243.365,-12.8736,2.5763,-0.0114373,0.00793646
138,-305.83,243.449,-12.8757,2.58788,-0.0115222,0.00824438
139,-306.027,243.534,-12.87,2.59971,-0.0117603,0.00808485
140,-306.23,243.608,-12.8726,2.61236,-0.0119224,0.00812526
141,-306.435,243.677,-12.8706,2.62502,-0.0127238,0.0082104
142,-306.632,243.746,-12.8639,2.63751,-0.0128842,0.00708274
143,-306.834,243.82,-12.8626,2.65202,-0.0127198,0.00439766
144,-307.041,243.902,-12.8718,2.6677,-0.0139374,0.00265282
145,-307.246,243.96,-12.8724,2.68217,-0.0140991,0.00430171
146,-307.449,244.012,-12.8721,2.69698,-0.0134785,0.00550948
147,-307.653,244.059,-12.8761,2.71285,-0.0132529,0.00671566
148,-307.871,244.109,-12.8696,2.73023,-0.0132238,0.00784058
149,-308.088,244.143,-12.8601,2.74837,-0.0122154,0.00775177
150,-308.316,244.183,-12.8624,2.76733,-0.0112984,0.00625225
151,-308.544,244.211,-12.8675,2.78818,-0.0108514,0.00521251
152,-308.765,244.233,-12.8709,2.80917,-0.0108493,0.00371104
153,-308.985,244.242,-12.8752,2.8302,-0.0109592,0.00269144
154,-309.216,244.257,-12.8792,2.85289,-0.010532,0.00292634
155,-309.454,244.252,-12.8811,2.87647,-0.00986472,0.00379587
156,-309.681,244.241,-12.877,2.89985,-0.008565,0.00292788
157,-309.906,244.244,-12.8726,2.92298,-0.00702115,0.00104914
158,-310.142,244.211,-12.8724,2.94805,-0.00628005,-0.000772481
159,-310.373,244.181,-12.874,2.97211,-0.00603559,-0.00118472
160,-310.608,244.133,-12.8714,2.99778,-0.00586888,-0.00104968
161,-310.833,244.087,-12.8796,3.02319,-0.00554592,0.000136528
162,-311.061,244.037,-12.8826,3.04799,-0.00554355,0.0011944
163,-311.293,243.982,-12.8839,3.07338,-0.00521854,0.00231589
164,-311.531,243.924,-12.8817,3.09925,-0.00559832,0.00367644
165,-311.767,243.849,-12.8776,3.12574,-0.00602138,0.00412258
166,-312.001,243.773,-12.8834,-3.13069,-0.00570312,0.00456134
167,-312.239,243.692,-12.8829,-3.1039,-0.00432414,0.00481877
168,-312.464,243.594,-12.8882,-3.07708,-0.00371437,0.00505153
169,-312.701,243.5,-12.8871,-3.05012,-0.00424355,0.00565922
170,-312.944,243.391,-12.8962,-3.0222,-0.00455408,0.00636455
171,-313.182,243.27,-12.9038,-2.99387,-0.00434105,0.00751307
172,-313.415,243.159,-12.9133,-2.96546,-0.00333739,0.00868432
173,-313.647,243.033,-12.9094,-2.93721,-0.00107415,0.0101875
174,-313.871,242.904,-12.9173,-2.90903,0.00130946,0.0102743
175,-314.101,242.777,-12.9237,-2.88059,0.00158881,0.0111364
176,-314.349,242.606,-12.9356,-2.85067,-0.000987141,0.0131363
177,-314.589,242.443,-12.9357,-2.82267,-0.00296859,0.0130952
178,-314.816,242.275,-12.9374,-2.79394,-0.00464131,0.0102467
179,-315.062,242.096,-12.9445,-2.76468,-0.00618121,0.0102752
180,-315.292,241.917,-12.9509,-2.73684,-0.00518915,0.0135747
181,-315.555,241.713,-12.9485,-2.70828,-0.00476711,0.016316
182,-315.808,241.512,-12.9526,-2.68014,-0.00342885,0.0171673
183,-316.044,241.305,-12.9491,-2.65354,-0.00184778,0.0165163
184,-316.292,241.084,-12.943,-2.62654,-0.000914345,0.0148504
185,-316.547,240.855,-12.9511,-2.60116,0.000567282,0.0131734
186,-316.796,240.624,-12.9404,-2.57752,0.00149258,0.00954361
187,-317.032,240.414,-12.9525,-2.5567,0.00357436,0.00446381
188,-317.277,240.186,-12.9758,-2.53707,0.00534557,0.0012394
189,-317.516,239.963,-12.9912,-2.5183,0.0054284,0.00266214
190,-317.745,239.715,-12.9884,-2.50074,0.00392257,0.00660932
191,-317.987,239.471,-13.0012,-2.48461,0.00123342,0.00959011
192,-318.22,239.251,-12.9886,-2.46792,-0.000778758,0.0109152
193,-318.446,239.001,-12.9939,-2.45072,-0.00135181,0.0128948
194,-318.653,238.753,-12.9938,-2.43438,-0.000142119,0.0133895
195,-318.877,238.499,-12.9982,-2.41693,-0.000381159,0.0118793
196,-319.101,238.255,-13.0078,-2.40041,-0.00137645,0.0109855
197,-319.328,237.986,-13.0124,-2.38503,-0.00368419,0.0100398
198,-319.557,237.723,-13.021,-2.37027,-0.00534374,0.010104
199,-319.803,237.456,-13.0375,-2.35647,-0.00934333,0.0112083
200,-320.05,237.169,-13.0319,-2.344,-0.0140093,0.0119721
201,-320.284,236.866,-13.0309,-2.33263,-0.0200117,0.0110185
