id,x,y,z,yaw,pitch,roll
1,-285.417,226.454,-14.2285,2.4528,-0.0524837,0.032775
2,-285.14,226.332,-12.63,2.44807,0.0122161,0.0436634
3,-284.947,226.166,-12.6055,2.44785,0.0138594,0.0432015
4,-285.085,226.302,-12.6014,2.44794,0.0139833,0.0392906
5,-285.61,226.787,-12.6008,2.44923,0.0122939,0.0321043
6,-285.664,226.834,-12.6008,2.44936,0.0123674,0.0318673
7,-285.788,226.949,-12.594,2.4491,0.0124172,0.031578
8,-286.048,227.183,-12.5833,2.44936,0.011889,0.0317597
9,-286.57,227.632,-12.6047,2.4506,0.00869833,0.0333338
10,-286.657,227.705,-12.6027,2.45065,0.0082552,0.0334168
11,-286.987,227.996,-12.5916,2.45101,0.00332942,0.0332942
12,-287.211,228.181,-12.5939,2.45086,-0.00117367,0.0353743
13,-287.384,228.33,-12.6092,2.4508,-0.00316142,0.0374331
14,-287.476,228.4,-12.6147,2.45048,-0.00283485,0.0382668
15,-287.665,228.562,-12.6222,2.45056,-0.00146839,0.0395174
16,-287.81,228.687,-12.6181,2.45078,-0.000505693,0.0401195
17,-287.914,228.777,-12.6183,2.45091,-0.000205339,0.0404039
18,-288.173,228.995,-12.6407,2.45155,0.0021745,0.040293
19,-288.429,229.216,-12.6628,2.45256,0.00523287,0.0401353
20,-288.55,229.327,-12.6631,2.45273,0.00637675,0.0382106
21,-288.65,229.407,-12.6568,2.45312,0.00661078,0.0366576
22,-288.81,229.543,-12.6501,2.45406,0.00671541,0.0351586
23,-288.964,229.676,-12.6564,2.4545,0.0074182,0.0358024
24,-289.174,229.887,-12.6631,2.45423,0.0100502,0.0366591
25,-289.4,230.034,-12.6873,2.45498,0.0125576,0.0404007
26,-289.526,230.182,-12.679,2.45578,0.0140367,0.0418544
27,-289.646,230.287,-12.6734,2.45623,0.014718,0.0430637
28,-289.707,230.323,-12.6712,2.45629,0.0146644,0.0433609
29,-289.995,230.539,-12.6675,2.45689,0.0126819,0.0439927
30,-290.167,230.686,-12.6793,2.45804,0.00999595,0.0442523
31,-290.272,230.773,-12.6741,2.45812,0.00913781,0.0433312
32,-290.438,230.928,-12.6589,2.45853,0.00616605,0.0411183
33,-290.57,231.051,-12.6675,2.4575,0.00230075,0.0419108
34,-290.702,231.16,-12.662,2.45727,-0.000172417,0.0418523
35,-290.829,231.289,-12.6182,2.45707,-0.00631598,0.0401685
36,-290.96,231.424,-12.6251,2.45612,-0.01479,0.039996
37,-290.999,231.452,-12.6346,2.45618,-0.0147815,0.0398821
38,-291.198,231.612,-12.7099,2.45642,-0.00964871,0.0409599
39,-291.33,231.729,-12.7298,2.45802,-0.000173722,0.0406126
40,-291.457,231.823,-12.7205,2.45824,0.00491031,0.0417798
41,-291.569,231.921,-12.6999,2.45787,0.00306494,0.0431369
42,-291.693,232.042,-12.709,2.45689,-0.000154659,0.0464331
43,-291.788,232.115,-12.7231,2.45589,-5.17981e-05,0.0502137
44,-291.923,232.216,-12.7385,2.45495,0.00141163,0.0551814
45,-292.047,232.32,-12.7438,2.45511,0.0035091,0.0558365
46,-292.182,232.442,-12.7375,2.4558,0.0064786,0.0512672
47,-292.275,232.531,-12.7326,2.45674,0.00737524,0.0466812
48,-292.364,232.612,-12.7281,2.457,0.00650708,0.0457283
49,-292.502,232.734,-12.7345,2.45578,0.00494176,0.0473306
50,-292.572,232.789,-12.7442,2.45539,0.00508032,0.0481069
51,-292.681,232.886,-12.7469,2.45542,0.00610832,0.0497775
52,-292.765,232.956,-12.7455,2.45512,0.00640778,0.0504039
53,-292.897,233.068,-12.7469,2.45461,0.00713291,0.0495578
54,-293.099,233.246,-12.7597,2.45572,0.0102204,0.0484653
55,-293.217,233.36,-12.7504,2.45653,0.0114987,0.0482861
56,-293.339,233.466,-12.7154,2.45646,0.00924233,0.0456772
57,-293.527,233.638,-12.7171,2.45511,0.000390539,0.0424883
58,-293.647,233.727,-12.746,2.4551,-0.00164296,0.0419261
59,-293.757,233.827,-12.7552,2.45677,-0.00108973,0.0433388
60,-293.885,233.932,-12.7483,2.45793,-0.00171701,0.0461262
61,-294.029,234.053,-12.7385,2.4578,-0.00384621,0.0482412
62,-294.173,234.187,-12.7624,2.45647,-0.00585823,0.0496733
63,-294.248,234.247,-12.7675,2.45605,-0.00572174,0.0502797
64,-294.341,234.323,-12.7698,2.45601,-0.00531741,0.0513009
65,-294.481,234.441,-12.7763,2.45539,-0.00484912,0.0520639
66,-294.642,234.583,-12.7785,2.45485,-0.00359824,0.0506829
67,-294.733,234.669,-12.7813,2.45529,-0.00337362,0.0496179
68,-294.785,234.719,-12.7837,2.45542,-0.00333711,0.0494756
69,-294.845,234.775,-12.784,2.45531,-0.00329775,0.0494692
70,-294.978,234.894,-12.7843,2.45515,-0.00321155,0.0496889
71,-295.108,235.01,-12.7847,2.45506,-0.00303481,0.0500572
72,-295.238,235.129,-12.7817,2.45477,-0.00314505,0.0501169
73,-295.48,235.346,-12.783,2.45417,-0.00374538,0.0496441
74,-295.542,235.398,-12.7834,2.45414,-0.00379487,0.0496356
75,-295.813,235.629,-12.7897,2.45497,-0.00421671,0.0495667
76,-295.866,235.675,-12.7908,2.45493,-0.00422533,0.0495455
77,-296.037,235.813,-12.7875,2.4546,-0.00379032,0.0486604
78,-296.1,235.861,-12.7838,2.45461,-0.00376247,0.0478789
79,-296.343,236.064,-12.7847,2.45572,-0.00395923,0.0457412
80,-296.5,236.201,-12.7919,2.45585,-0.00305531,0.0450076
81,-296.676,236.359,-12.7993,2.45564,-0.00152357,0.0450064
82,-296.804,236.475,-12.792,2.45591,-0.000860666,0.0458817
83,-296.901,236.556,-12.7868,2.45592,-0.00062507,0.0462581
84,-296.956,236.602,-12.7835,2.45579,-0.000551663,0.0463197
85,-297.131,236.75,-12.7818,2.4555,-3.07645e-05,0.0460607
86,-297.327,236.927,-12.7884,2.455,0.000984203,0.0458521
87,-297.381,236.976,-12.7875,2.45502,0.00109131,0.0457217
88,-297.558,237.135,-12.7838,2.45542,0.000523697,0.0453852
89,-297.725,237.28,-12.7873,2.45612,0.000188665,0.0456608
90,-297.84,237.379,-12.7845,2.45625,-6.11788e-05,0.0456872
91,-298.084,237.602,-12.7929,2.45612,-0.00121167,0.0447343
92,-298.179,237.686,-12.7973,2.45645,-0.00148136,0.0445333
93,-298.363,237.854,-12.8067,2.45715,-0.00201107,0.0438683
94,-298.419,237.899,-12.8094,2.45719,-0.00207295,0.0435933
95,-298.661,238.115,-12.812,2.45691,-0.00321404,0.0419021
96,-298.844,238.279,-12.8055,2.45688,-0.00502546,0.0402691
97,-298.99,238.4,-12.8059,2.4573,-0.00644185,0.0393358
98,-299.162,238.555,-12.81,2.45827,-0.00853776,0.0378236
99,-299.268,238.653,-12.8187,2.45912,-0.00867157,0.0372038
100,-299.399,238.758,-12.8283,2.45949,-0.00779578,0.0363114
101,-299.565,238.897,-12.8384,2.46005,-0.00658294,0.0356063
102,-299.694,239.009,-12.8439,2.46043,-0.00586902,0.0368712
103,-299.836,239.12,-12.8395,2.46072,-0.00506948,0.0388351
104,-299.943,239.211,-12.8299,2.46114,-0.00493172,0.0383255
105,-300.11,239.352,-12.8282,2.46188,-0.00503327,0.036746
106,-300.23,239.457,-12.8316,2.46233,-0.00473704,0.0355503
107,-300.406,239.614,-12.8358,2.46307,-0.00396794,0.0339285
108,-300.574,239.759,-12.8409,2.46379,-0.00333069,0.0326385
109,-300.739,239.895,-12.8399,2.46467,-0.00319884,0.0315096
110,-300.861,239.995,-12.8387,2.46513,-0.00321303,0.0309217
111,-300.992,240.107,-12.8361,2.4656,-0.00338994,0.030304
112,-301.132,240.225,-12.8372,2.46599,-0.00334547,0.0294956
113,-301.396,240.448,-12.846,2.46578,-0.00228752,0.0271866
114,-301.577,240.588,-12.8477,2.46765,-0.00211966,0.0243128
115,-301.76,240.752,-12.8472,2.46988,-0.00454096,0.0221259
116,-301.904,240.869,-12.8457,2.4718,-0.00542293,0.0201651
117,-302.088,241.002,-12.8549,2.4745,-0.00585552,0.0184104
118,-302.238,241.119,-12.8551,2.4763,-0.00572871,0.0191568
119,-302.415,241.245,-12.86,2.47933,-0.00518136,0.0185099
120,-302.574,241.362,-12.8666,2.4818,-0.00470404,0.0183341
121,-302.739,241.498,-12.8639,2.48357,-0.00445407,0.0182619
122,-302.906,241.633,-12.8605,2.48566,-0.00466083,0.0179262
123,-303.072,241.765,-12.8617,2.48812,-0.0047743,0.0173773
124,-303.259,241.902,-12.8625,2.49139,-0.00430348,0.0163247
125,-303.429,242.024,-12.8629,2.49444,-0.00454971,0.0152149
126,-303.596,242.147,-12.863,2.49752,-0.0048358,0.0143159
127,-303.768,242.262,-12.8646,2.50069,-0.00477822,0.0135247
128,-303.955,242.39,-12.8664,2.50473,-0.0042887,0.012779
129,-304.131,242.515,-12.8682,2.51011,-0.00410418,0.0114247
130,-304.303,242.634,-12.8689,2.5148,-0.00405223,0.0111484
131,-304.478,242.746,-12.8723,2.51949,-0.00428712,0.0124504
132,-304.666,242.868,-12.8693,2.52569,-0.00616766,0.0151552
133,-304.862,242.982,-12.8607,2.53356,-0.00842994,0.016694
134,-305.053,243.085,-12.8524,2.54331,-0.0102719,0.015112
135,-305.238,243.193,-12.8544,2.55344,-0.0111381,0.0114384
136,-305.43,243.279,-12.8632,2.56438,-0.0115835,0.00855757
137,-305.628,243.366,-12.8725,2.57602,-0.0114191,0.00787928
138,-305.827,243.45,-12.8749,2.58769,-0.0115184,0.00817862
139,-306.022,243.535,-12.8702,2.59935,-0.0116157,0.00802117
140,-306.226,243.609,-12.8726,2.61199,-0.0118029,0.00804533
141,-306.433,243.68,-12.8702,2.62472,-0.0126253,0.00815515
142,-306.62,243.748,-12.8639,2.63652,-0.0127928,0.00714005
143,-306.832,243.822,-12.8632,2.65178,-0.0126826,0.00439019
144,-307.039,243.903,-12.8723,2.66735,-0.0137214,0.00264883
145,-307.239,243.962,-12.8705,2.68178,-0.0138719,0.00420806
146,-307.445,244.014,-12.8707,2.69644,-0.0133466,0.00543961
147,-307.65,244.062,-12.8758,2.71253,-0.013262,0.00668863
148,-307.865,244.112,-12.8691,2.72977,-0.0132582,0.00771271
149,-308.084,244.144,-12.8609,2.74794,-0.0122447,0.00772843
150,-308.312,244.187,-12.8621,2.76707,-0.0112787,0.00620613
151,-308.541,244.212,-12.8676,2.78797,-0.0108477,0.00518794
152,-308.761,244.236,-12.87,2.80882,-0.0107834,0.00361782
153,-308.982,244.248,-12.8735,2.82963,-0.0108709,0.00248201
154,-309.212,244.261,-12.8784,2.85255,-0.0105498,0.00284787
155,-309.45,244.257,-12.8792,2.876,-0.00984613,0.00359807
156,-309.676,244.246,-12.8763,2.8994,-0.00854358,0.00284429
157,-309.907,244.242,-12.8725,2.92322,-0.00700473,0.00107737
158,-310.139,244.215,-12.8722,2.94769,-0.00631474,-0.000810311
159,-310.373,244.181,-12.8738,2.97209,-0.00604319,-0.00118186
160,-310.603,244.139,-12.8703,2.99741,-0.00577683,-0.00118113
161,-310.827,244.092,-12.8787,3.02278,-0.00549709,-5.5872e-06
162,-311.056,244.043,-12.8818,3.04759,-0.00543933,0.00107683
163,-311.292,243.988,-12.8834,3.07302,-0.00519438,0.00222941
164,-311.527,243.93,-12.8813,3.09892,-0.00555244,0.00352503
165,-311.764,243.855,-12.877,3.12528,-0.00592291,0.00400381
166,-311.996,243.783,-12.8825,-3.13119,-0.00560133,0.0043687
167,-312.235,243.699,-12.8822,-3.1044,-0.00431976,0.00473104
168,-312.46,243.602,-12.887,-3.07753,-0.00357919,0.00492271
169,-312.691,243.505,-12.8854,-3.05053,-0.0041249,0.0055598
170,-312.935,243.4,-12.8943,-3.02276,-0.00433861,0.00620233
171,-313.173,243.279,-12.9022,-2.99424,-0.00418208,0.00743367
172,-313.409,243.165,-12.9119,-2.96581,-0.00324965,0.00859438
173,-313.641,243.042,-12.9088,-2.9377,-0.000926198,0.0100665
174,-313.869,242.913,-12.9169,-2.90948,0.0014439,0.0101541
175,-314.103,242.774,-12.9243,-2.88038,0.00153597,0.0111709
176,-314.344,242.619,-12.9328,-2.85136,-0.000771343,0.0130359
177,-314.581,242.455,-12.9328,-2.82342,-0.00262689,0.0130851
178,-314.808,242.286,-12.9366,-2.79449,-0.00428319,0.0101772
179,-315.056,242.105,-12.9439,-2.76519,-0.00596308,0.0102048
180,-315.285,241.924,-12.9495,-2.7373,-0.00511797,0.0135102
181,-315.55,241.719,-12.9477,-2.70862,-0.0046592,0.0162459
182,-315.801,241.526,-12.9509,-2.68077,-0.00317278,0.0170188
183,-316.036,241.317,-12.9489,-2.6541,-0.00168771,0.0164263
184,-316.29,241.092,-12.9414,-2.62703,-0.000823082,0.014807
185,-316.54,240.866,-12.9491,-2.60171,0.000748452,0.0130607
186,-316.79,240.631,-12.9399,-2.57791,0.00170373,0.00952493
187,-317.025,240.424,-12.9515,-2.55719,0.00380149,0.00438444
188,-317.274,240.196,-12.9741,-2.53754,0.00552234,0.00122863
189,-317.511,239.972,-12.9887,-2.51872,0.00566615,0.00246672
190,-317.743,239.726,-12.9869,-2.50124,0.0042182,0.00644528
191,-317.982,239.48,-12.9988,-2.48513,0.00149652,0.00952165
