id,x,y,z,yaw,pitch,roll
1,-285.385,226.492,-12.6136,2.44779,0.0132456,0.0462896
2,-285.141,226.325,-12.5976,2.44828,0.0138311,0.0453696
3,-284.921,226.131,-12.5984,2.44792,0.0150671,0.0475969
4,-285.601,226.712,-12.6086,2.44842,0.0130219,0.0432046
5,-285.815,226.92,-12.612,2.44999,0.0117925,0.0385214
6,-286.03,227.127,-12.615,2.45018,0.0113673,0.0380491
7,-286.232,227.313,-12.6163,2.44973,0.0110232,0.0375223
8,-286.444,227.495,-12.6139,2.4505,0.0105144,0.0379071
9,-286.658,227.686,-12.606,2.45119,0.00835454,0.0384708
10,-286.848,227.871,-12.6102,2.45166,0.00750632,0.0363798
11,-287.046,228.051,-12.5885,2.45179,0.00337097,0.0352266
12,-287.25,228.196,-12.5924,2.45132,-0.0010149,0.0381291
13,-287.445,228.351,-12.6151,2.45109,-0.0033765,0.0400246
14,-287.623,228.515,-12.628,2.45067,-0.00254154,0.0408238
15,-287.795,228.669,-12.6333,2.45116,-0.000990188,0.0413547
16,-287.982,228.821,-12.6302,2.4513,2.95942e-05,0.0419056
17,-288.155,228.973,-12.6416,2.45166,-4.90873e-05,0.0418448
18,-288.34,229.122,-12.6721,2.45228,0.00218266,0.0423182
19,-288.523,229.278,-12.6758,2.45292,0.00531658,0.0418772
20,-288.667,229.416,-12.6634,2.45296,0.00662614,0.0396071
21,-288.839,229.55,-12.6539,2.4535,0.00653346,0.0373753
22,-288.998,229.677,-12.6629,2.4542,0.00610542,0.0370833
23,-289.153,229.822,-12.6807,2.45412,0.00653236,0.0388874
24,-289.313,229.954,-12.7007,2.45404,0.00964048,0.0401439
25,-289.467,230.078,-12.7047,2.45488,0.0122332,0.0424575
26,-289.619,230.218,-12.6933,2.45611,0.0142164,0.0445648
27,-289.765,230.336,-12.6904,2.45667,0.0149355,0.045274
28,-289.916,230.456,-12.6784,2.45587,0.0141178,0.0459351
29,-290.076,230.578,-12.6835,2.45714,0.0119726,0.0453782
30,-290.226,230.698,-12.6989,2.45876,0.00928995,0.045728
31,-290.379,230.796,-12.6997,2.45944,0.00792773,0.0449608
32,-290.547,230.894,-12.6913,2.46097,0.00499567,0.0435911
33,-290.657,231.021,-12.6823,2.45949,0.00128763,0.0432651
34,-290.792,231.147,-12.656,2.45856,-0.000687051,0.0420071
35,-290.883,231.278,-12.5665,2.45826,-0.00628275,0.0371736
36,-290.999,231.401,-12.5491,2.45694,-0.0144563,0.0354413
37,-291.144,231.51,-12.5999,2.4577,-0.0147289,0.0357756
38,-291.281,231.601,-12.6702,2.45846,-0.00882942,0.0365969
39,-291.42,231.662,-12.7218,2.45961,-0.000419852,0.0395277
40,-291.521,231.785,-12.6842,2.46008,0.00530114,0.039425
41,-291.632,231.9,-12.6659,2.45917,0.00314817,0.041818
42,-291.801,232.015,-12.7095,2.45965,-0.000728153,0.0470279
43,-291.948,232.083,-12.723,2.45936,-0.00100986,0.0525742
44,-292.063,232.197,-12.7146,2.45806,0.000847684,0.0550184
45,-292.197,232.274,-12.6954,2.45997,0.00330122,0.0531572
46,-292.342,232.357,-12.6897,2.46252,0.00633399,0.0480946
47,-292.509,232.447,-12.687,2.46601,0.00683655,0.0433723
48,-292.701,232.549,-12.676,2.46929,0.00415375,0.04315
49,-292.857,232.635,-12.7073,2.46992,0.00228273,0.0465852
50,-292.975,232.703,-12.718,2.46948,0.00277426,0.0479976
51,-293.11,232.76,-12.7007,2.47273,0.0048757,0.0477779
52,-293.317,232.823,-12.6859,2.47575,0.00400208,0.0483734
53,-293.46,232.916,-12.7025,2.47529,0.00381251,0.0492164
54,-293.666,232.952,-12.7189,2.48091,0.00869718,0.0492482
55,-293.789,233.053,-12.7016,2.48156,0.0104951,0.0495227
56,-293.974,233.169,-12.6676,2.4848,0.00698659,0.0475185
57,-294.124,233.323,-12.6677,2.48109,-0.00297006,0.0470872
58,-294.256,233.407,-12.7225,2.4821,-0.00670542,0.0467315
59,-294.445,233.508,-12.7389,2.48519,-0.00648727,0.0497382
60,-294.542,233.558,-12.7451,2.48517,-0.00707169,0.05364
61,-294.657,233.648,-12.7139,2.48536,-0.008907,0.0547043
62,-294.815,233.733,-12.7372,2.48732,-0.0104704,0.0561491
63,-294.921,233.809,-12.7494,2.4872,-0.00974488,0.0569537
64,-295.01,234.001,-12.7346,2.48364,-0.00880744,0.056284
65,-295.086,234.113,-12.7456,2.48072,-0.00783415,0.0564612
66,-295.241,234.2,-12.73,2.4815,-0.00716661,0.0541856
67,-295.305,234.375,-12.7289,2.47859,-0.00745678,0.0511972
68,-295.374,234.534,-12.7151,2.47573,-0.00778208,0.0494647
69,-295.514,234.647,-12.7145,2.47527,-0.00739899,0.0492772
70,-295.657,234.745,-12.7245,2.47579,-0.0072824,0.0503568
71,-295.823,234.85,-12.724,2.47718,-0.00664302,0.0500218
72,-295.991,234.959,-12.7061,2.47747,-0.00734263,0.0511174
73,-295.942,235.229,-12.7204,2.46656,-0.00666969,0.0488164
74,-296.014,235.383,-12.7274,2.46379,-0.00633168,0.0483181
75,-296.16,235.484,-12.7434,2.46468,-0.00673676,0.049333
76,-296.288,235.608,-12.7529,2.46402,-0.00672838,0.0495583
77,-296.448,235.679,-12.7431,2.46477,-0.00573475,0.0483223
78,-296.613,235.798,-12.739,2.46393,-0.0058789,0.047052
79,-296.718,235.926,-12.7535,2.46374,-0.00601868,0.0454747
80,-296.919,235.998,-12.7505,2.46519,-0.00504004,0.0453884
81,-297.09,236.059,-12.7347,2.46648,-0.00347989,0.0452918
82,-297.365,236.041,-12.7043,2.47238,-0.00399429,0.0470059
83,-297.538,236.025,-12.6998,2.47512,-0.00360057,0.0475086
84,-297.848,236.087,-12.6884,2.47989,-0.00555893,0.0492101
85,-298.05,236.104,-12.6869,2.48281,-0.00494678,0.0481851
86,-298.362,236.029,-12.6723,2.49139,-0.00462033,0.0494582
87,-298.564,235.977,-12.6699,2.49718,-0.00395141,0.048147
88,-298.911,235.637,-12.7062,2.51543,-0.00211735,0.0490822
89,-298.961,235.778,-12.6921,2.51658,-0.00277642,0.0493795
90,-299.08,235.945,-12.6835,2.51384,-0.00146908,0.0449805
91,-299.173,236.059,-12.6857,2.51471,9.57844e-05,0.0443379
92,-299.375,236.106,-12.6701,2.51592,-0.00155183,0.0449218
93,-299.494,236.262,-12.6892,2.51849,-0.00146851,0.0430422
94,-299.641,236.403,-12.7136,2.5193,0.000253076,0.0419702
95,-299.829,236.549,-12.6911,2.51922,-0.00129727,0.0389982
96,-300.016,236.66,-12.6717,2.52157,-0.00170511,0.0365506
97,-300.123,236.755,-12.6794,2.52467,-0.00200015,0.0357761
98,-300.42,236.791,-12.6585,2.52975,-0.00247876,0.0326691
99,-300.69,236.716,-12.645,2.533,0.000702634,0.0315754
100,-300.852,236.711,-12.6687,2.53367,0.00328498,0.0290213
101,-301.049,236.736,-12.736,2.53835,0.00672499,0.0291621
102,-301.184,236.782,-12.7361,2.53968,0.00931396,0.028574
103,-301.391,236.208,-12.7655,2.56134,0.0178516,0.0301428
104,-301.454,236.186,-12.7718,2.56462,0.0186634,0.0278516
105,-301.475,236.273,-12.7753,2.56386,0.0184052,0.0267951
106,-301.591,236.341,-12.7893,2.56665,0.0204273,0.0257052
107,-301.739,236.449,-12.7679,2.56875,0.0209604,0.0235602
108,-301.861,236.56,-12.7802,2.56785,0.0215539,0.0231517
109,-302.058,236.596,-12.785,2.57041,0.0219461,0.0214193
110,-302.235,236.672,-12.7935,2.57374,0.021936,0.0207117
111,-302.432,236.788,-12.8209,2.57514,0.0204945,0.0195071
112,-302.553,236.851,-12.8242,2.57728,0.0213966,0.0176653
113,-302.719,237.017,-12.8176,2.57493,0.0243739,0.0162782
114,-302.937,237.239,-12.7871,2.57359,0.025674,0.0114083
115,-303.038,237.457,-12.7887,2.57433,0.0193518,0.0120271
116,-303.14,237.541,-12.8021,2.5753,0.0187692,0.0102707
117,-303.353,237.668,-12.8114,2.57643,0.0200413,0.00631332
118,-303.485,237.809,-12.79,2.57938,0.0185307,0.00789051
119,-303.666,237.87,-12.8234,2.58179,0.0212302,0.00603947
120,-303.91,237.994,-12.8462,2.58342,0.0192522,0.00793605
121,-304.017,238.111,-12.8198,2.58498,0.0210484,0.00746713
122,-304.229,238.23,-12.8325,2.58731,0.0213012,0.00721946
123,-304.469,238.306,-12.8159,2.58988,0.0207048,0.00726687
124,-304.645,238.424,-12.8341,2.59179,0.0227813,0.00612595
125,-304.805,238.601,-12.8316,2.59447,0.0206079,0.00346974
126,-305.009,238.764,-12.8294,2.59671,0.0202599,0.00268615
127,-305.181,238.91,-12.8376,2.59908,0.0198553,0.00237496
128,-305.341,239.038,-12.8208,2.6024,0.0208402,2.66433e-05
129,-305.585,239.16,-12.806,2.60582,0.0222083,-0.00142835
130,-305.845,239.24,-12.7963,2.6101,0.0229995,-0.00223038
131,-305.926,239.32,-12.8026,2.61102,0.0215365,-0.00262419
132,-306.074,239.479,-12.8532,2.61436,0.0213533,-0.000227996
133,-306.348,239.676,-12.8038,2.61867,0.0173016,0.000616515
134,-306.505,239.835,-12.8016,2.62075,0.0150665,0.000665145
135,-306.714,241.009,-12.7097,2.60186,0.00318943,0.00157777
136,-306.002,242.603,-12.7435,2.57491,-0.0115299,0.00663135
137,-306.07,242.77,-12.7549,2.58186,-0.0116295,0.00551119
138,-306.23,242.893,-12.7813,2.59295,-0.0117612,0.00658616
139,-306.43,242.992,-12.7772,2.60486,-0.0124094,0.00697612
140,-306.606,243.098,-12.7896,2.61625,-0.0119508,0.00654297
141,-306.825,243.158,-12.7849,2.62893,-0.0126857,0.00676712
142,-307.005,243.243,-12.7827,2.64058,-0.0129578,0.00638564
143,-307.237,243.269,-12.7856,2.65465,-0.0128262,0.00393586
144,-307.391,243.423,-12.7913,2.66935,-0.0138134,0.00209007
145,-307.592,243.491,-12.8058,2.68319,-0.0138433,0.00380846
146,-307.787,243.554,-12.8057,2.69794,-0.0135146,0.00485309
147,-307.964,243.649,-12.8088,2.71284,-0.0134268,0.00662293
148,-308.141,243.724,-12.8107,2.73012,-0.013367,0.00767182
149,-308.37,243.776,-12.8086,2.74778,-0.0127096,0.00825127
150,-308.593,243.796,-12.8104,2.7666,-0.0115759,0.00624375
151,-308.832,243.825,-12.813,2.78762,-0.0115776,0.00510401
152,-309.041,243.884,-12.8241,2.8083,-0.0116797,0.00367136
153,-309.25,243.924,-12.8251,2.82905,-0.0113758,0.00255239
154,-309.478,243.941,-12.8322,2.85173,-0.0111937,0.0027359
155,-309.717,243.939,-12.8369,2.87553,-0.0104226,0.00369613
156,-309.952,243.904,-12.8384,2.89925,-0.00949072,0.00305693
157,-310.177,243.913,-12.8345,2.92209,-0.00790764,0.00119188
158,-310.362,243.944,-12.8378,2.94626,-0.00675865,-0.000741963
159,-310.593,243.923,-12.8481,2.97056,-0.00676406,-0.000994421
160,-310.812,243.896,-12.8462,2.99554,-0.00654932,-0.000916571
161,-311.039,243.861,-12.8548,3.02081,-0.00662731,0.000583364
162,-311.271,243.815,-12.8539,3.04554,-0.00703508,0.00187991
163,-311.515,243.748,-12.8515,3.0713,-0.00635953,0.00293294
164,-311.735,243.685,-12.8475,3.09752,-0.00618149,0.00421377
165,-311.953,243.645,-12.8357,3.1237,-0.00641971,0.00459135
166,-312.191,243.574,-12.8497,-3.13365,-0.00649503,0.00519084
167,-312.437,243.507,-12.8472,-3.10736,-0.00530149,0.0054221
168,-312.643,243.428,-12.8543,-3.08028,-0.00412969,0.0054797
169,-312.889,243.315,-12.8556,-3.05317,-0.00487165,0.00588911
170,-313.129,243.216,-12.863,-3.02487,-0.0048788,0.00641085
171,-313.366,243.093,-12.872,-2.99685,-0.00513024,0.00772233
172,-313.607,242.965,-12.8819,-2.96826,-0.00398484,0.00834889
173,-313.819,242.843,-12.8785,-2.94014,-0.00163617,0.0105303
174,-314.049,242.73,-12.8945,-2.91137,0.000335548,0.0107502
175,-314.279,242.587,-12.9073,-2.88175,0.000808565,0.0113481
176,-314.522,242.42,-12.9084,-2.85306,-0.0022545,0.0131224
177,-314.748,242.265,-12.9028,-2.82499,-0.00337995,0.0133303
178,-314.957,242.099,-12.9102,-2.79694,-0.00424822,0.0106356
179,-315.207,241.955,-12.9236,-2.76824,-0.00682152,0.010395
180,-315.435,241.764,-12.9249,-2.74047,-0.00636902,0.0143046
181,-315.687,241.599,-12.9201,-2.71273,-0.00550711,0.016406
182,-315.939,241.414,-12.92,-2.68476,-0.0047477,0.0169076
183,-316.174,241.215,-12.9116,-2.65835,-0.00289798,0.0165015
184,-316.431,240.987,-12.911,-2.63107,-0.00147499,0.0142488
185,-316.671,240.763,-12.9141,-2.60565,-0.0005712,0.0129273
186,-316.902,240.527,-12.8988,-2.58232,0.000758731,0.00962051
187,-317.135,240.341,-12.9157,-2.56069,0.00290931,0.00436094
188,-317.368,240.113,-12.9342,-2.54088,0.00496524,0.001217
189,-317.6,239.902,-12.9587,-2.52204,0.00478247,0.00210976
190,-317.831,239.665,-12.9526,-2.50384,0.00323478,0.00618101
191,-318.074,239.404,-12.9681,-2.48799,0.000835579,0.00938612
192,-318.287,239.173,-12.9595,-2.47086,-0.00157717,0.0110527
193,-318.506,238.93,-12.9633,-2.45318,-0.00190257,0.0128374
194,-318.732,238.684,-12.9667,-2.4368,-0.000887794,0.0129795
