id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6037,2.44815,0.0125338,0.0385892
2,-285.158,226.362,-12.5984,2.44786,0.0130041,0.0410956
3,-284.9,226.129,-12.6005,2.44785,0.0145507,0.0424314
4,-285.572,226.74,-12.6067,2.44868,0.0121588,0.033853
5,-285.783,226.932,-12.6126,2.44981,0.0111956,0.0315669
6,-286.004,227.136,-12.6177,2.45057,0.0110091,0.0315241
7,-286.218,227.324,-12.6148,2.44967,0.0104164,0.0319953
8,-286.431,227.504,-12.6137,2.45026,0.00957384,0.0327596
9,-286.638,227.682,-12.6157,2.45092,0.00809266,0.0339205
10,-286.847,227.868,-12.6155,2.45109,0.00705521,0.0334119
11,-287.052,228.044,-12.5982,2.45138,0.00284552,0.0335094
12,-287.249,228.212,-12.5987,2.45098,-0.00184475,0.0358231
13,-287.437,228.369,-12.6174,2.45078,-0.00380922,0.0380289
14,-287.618,228.52,-12.6297,2.45047,-0.00298054,0.0388571
15,-287.811,228.683,-12.6414,2.45091,-0.00159752,0.0397511
16,-287.977,228.828,-12.6357,2.45111,-0.000486767,0.040077
17,-288.164,228.993,-12.6465,2.45149,-0.000464366,0.0406858
18,-288.338,229.133,-12.6645,2.45204,0.00172518,0.04119
19,-288.51,229.285,-12.6728,2.45275,0.00524688,0.0405595
20,-288.663,229.418,-12.6656,2.45304,0.00658227,0.0377741
21,-288.826,229.554,-12.6567,2.45349,0.0063673,0.0352129
22,-288.99,229.701,-12.6616,2.45442,0.00586952,0.0346692
23,-289.138,229.827,-12.671,2.45428,0.00677391,0.0367825
24,-289.277,229.979,-12.6781,2.45402,0.00989391,0.0378618
25,-289.461,230.083,-12.6928,2.45478,0.0123777,0.0413068
26,-289.587,230.238,-12.6824,2.45591,0.0141615,0.0423959
27,-289.73,230.363,-12.6781,2.45634,0.0144618,0.0439042
28,-289.914,230.47,-12.6862,2.45595,0.0135723,0.0450957
29,-290.056,230.592,-12.6782,2.45685,0.0118234,0.0445135
30,-290.196,230.708,-12.6898,2.45836,0.009404,0.0446829
31,-290.327,230.821,-12.678,2.45836,0.00855494,0.0432728
32,-290.461,230.948,-12.6618,2.45872,0.00568569,0.0411801
33,-290.581,231.06,-12.673,2.45741,0.001803,0.0422607
34,-290.724,231.178,-12.6649,2.4572,-0.000692377,0.0422363
35,-290.841,231.298,-12.6189,2.45705,-0.00669605,0.0401962
36,-290.967,231.431,-12.6272,2.45619,-0.0152792,0.0402615
37,-291.099,231.538,-12.6655,2.45663,-0.0154057,0.0403084
38,-291.228,231.636,-12.7201,2.45652,-0.00912898,0.0412607
39,-291.343,231.739,-12.7286,2.45823,0.000255809,0.0405539
40,-291.466,231.832,-12.7171,2.45828,0.00534895,0.0415782
41,-291.589,231.941,-12.6984,2.45795,0.00269937,0.0432692
42,-291.713,232.062,-12.717,2.45685,-0.000801776,0.047321
43,-291.842,232.154,-12.7356,2.45567,-0.000642465,0.0524922
44,-291.966,232.252,-12.7445,2.45488,0.00132972,0.0564363
45,-292.096,232.368,-12.7356,2.45536,0.00407112,0.0553725
46,-292.203,232.465,-12.7324,2.45603,0.00675968,0.0507078
47,-292.311,232.566,-12.7261,2.45725,0.00753867,0.0454719
48,-292.426,232.665,-12.7281,2.4574,0.00594312,0.0455505
49,-292.539,232.768,-12.7406,2.45575,0.0043831,0.0475687
50,-292.648,232.848,-12.7572,2.4552,0.00490359,0.0487822
51,-292.772,232.964,-12.7509,2.4559,0.00604134,0.0503629
52,-292.878,233.056,-12.7488,2.45516,0.00606428,0.0505391
53,-293.001,233.162,-12.7503,2.45451,0.00684562,0.0489509
54,-293.135,233.278,-12.761,2.45593,0.0103057,0.0482569
55,-293.268,233.406,-12.7472,2.45707,0.0117972,0.0481737
56,-293.39,233.513,-12.7112,2.45665,0.00852101,0.0449903
57,-293.535,233.644,-12.7203,2.45515,7.87514e-05,0.0424746
58,-293.67,233.749,-12.7546,2.45521,-0.00246008,0.0421455
59,-293.797,233.856,-12.7596,2.45743,-0.00117031,0.0437168
60,-293.925,233.965,-12.7535,2.45817,-0.00221398,0.0470225
61,-294.053,234.077,-12.7428,2.45769,-0.0044288,0.048477
62,-294.187,234.203,-12.7671,2.45632,-0.00620005,0.0498555
63,-294.313,234.308,-12.7723,2.4554,-0.00578749,0.0506864
64,-294.438,234.411,-12.7718,2.45603,-0.00535957,0.0519789
65,-294.563,234.527,-12.7814,2.45517,-0.00494719,0.0521405
66,-294.702,234.654,-12.7792,2.45436,-0.00335544,0.0498519
67,-294.821,234.768,-12.7834,2.45541,-0.00351658,0.0482165
68,-294.947,234.881,-12.7905,2.45583,-0.00360787,0.0482696
69,-295.087,235.012,-12.7918,2.45531,-0.00384621,0.0479326
70,-295.222,235.127,-12.7944,2.45542,-0.00405215,0.0485704
71,-295.343,235.234,-12.7959,2.45544,-0.00378842,0.0491884
72,-295.483,235.36,-12.79,2.45496,-0.00431382,0.0491356
73,-295.623,235.483,-12.7899,2.45419,-0.00489233,0.0489234
74,-295.752,235.588,-12.7903,2.45445,-0.00486512,0.048896
75,-295.896,235.704,-12.7962,2.45528,-0.00526307,0.0494557
76,-296.012,235.809,-12.7986,2.45464,-0.00506963,0.0491136
77,-296.158,235.926,-12.7938,2.45402,-0.00436592,0.0476391
78,-296.297,236.044,-12.7849,2.45411,-0.00461546,0.0453188
79,-296.443,236.173,-12.7962,2.45538,-0.00495376,0.0447523
80,-296.587,236.301,-12.8012,2.45545,-0.00319484,0.0445496
81,-296.733,236.423,-12.8041,2.45518,-0.00147733,0.0447233
82,-296.866,236.539,-12.7933,2.45548,-0.000796191,0.0460593
83,-297.006,236.669,-12.7857,2.45551,-0.00100827,0.0463874
84,-297.149,236.793,-12.7848,2.45493,-0.00113083,0.0460748
85,-297.284,236.903,-12.7888,2.45481,-0.000463937,0.0456578
86,-297.432,237.032,-12.7958,2.45434,0.00083265,0.045443
87,-297.567,237.148,-12.79,2.4544,0.000870789,0.044923
88,-297.729,237.291,-12.7907,2.45504,-0.000777346,0.0451219
89,-297.864,237.404,-12.7976,2.45595,-0.00106641,0.0457359
90,-298.004,237.533,-12.793,2.4558,-0.00124053,0.0454607
91,-298.155,237.671,-12.8001,2.45575,-0.0021204,0.0445746
92,-298.286,237.791,-12.8052,2.45639,-0.0022458,0.0442003
93,-298.421,237.905,-12.8099,2.45696,-0.00245503,0.0437313
