id,x,y,z,yaw,pitch,roll
1,-284.543,226.951,-13.9262,2.45131,0.0191938,-0.187492
2,-284.294,226.727,-13.9111,2.45206,0.0198979,-0.188047
3,-284.756,227.139,-13.9056,2.45037,0.028105,-0.188909
4,-284.988,227.338,-13.9258,2.45063,0.027244,-0.190082
5,-285.204,227.536,-13.9281,2.45164,0.0271108,-0.191752
6,-285.415,227.723,-13.9366,2.45178,0.0276403,-0.191842
7,-285.617,227.903,-13.9359,2.45148,0.0280544,-0.193052
8,-285.841,228.089,-13.9478,2.45193,0.0270755,-0.192513
9,-286.036,228.251,-13.9699,2.45243,0.0277308,-0.190088
10,-286.247,228.45,-13.985,2.45222,0.0267403,-0.190072
11,-286.448,228.643,-13.9687,2.45318,0.0194367,-0.191952
12,-286.662,228.808,-13.977,2.45462,0.0145501,-0.189933
13,-286.86,228.976,-14.0148,2.45445,0.01113,-0.186458
14,-287.038,229.132,-13.9975,2.45398,0.0105322,-0.187361
15,-287.219,229.282,-13.9994,2.45507,0.0101062,-0.186943
16,-287.396,229.449,-14.0098,2.45465,0.0104848,-0.188731
17,-287.589,229.594,-13.9988,2.45511,0.0099369,-0.185806
18,-287.765,229.692,-14.0405,2.45515,0.0149735,-0.178786
19,-287.945,229.852,-14.0425,2.45603,0.0144587,-0.18041
20,-288.107,230.001,-14.0344,2.45676,0.014407,-0.183889
21,-288.297,230.133,-14.0346,2.45647,0.0138841,-0.181772
22,-288.453,230.271,-14.0467,2.45776,0.0139601,-0.18217
23,-288.617,230.407,-14.0545,2.45678,0.0154999,-0.17936
24,-288.664,230.61,-14.1131,2.45611,0.0179146,-0.189474
25,-288.927,230.647,-14.0624,2.45574,0.0226207,-0.17535
26,-288.938,230.842,-14.1387,2.45665,0.0289465,-0.186201
27,-289.077,230.958,-14.1391,2.45642,0.0311637,-0.184521
28,-289.319,231.004,-14.0752,2.45567,0.0303213,-0.175899
29,-289.484,231.11,-14.0615,2.45583,0.0294141,-0.17151
