id,x,y,z,yaw,pitch,roll
1,-285.128,226.333,-12.6031,2.44792,0.0134311,0.0448976
2,-284.894,226.13,-12.5969,2.44797,0.015085,0.0458342
3,-285.373,226.515,-12.6021,2.44766,0.0133239,0.0440585
4,-285.588,226.716,-12.6048,2.4484,0.0131085,0.0415688
5,-285.809,226.923,-12.6113,2.44976,0.0116861,0.0381984
6,-286.024,227.123,-12.616,2.45012,0.0114715,0.0381669
7,-286.232,227.315,-12.6124,2.44948,0.0110906,0.0375091
8,-286.452,227.5,-12.6124,2.45015,0.0101336,0.0382786
9,-286.654,227.684,-12.6104,2.45115,0.00857935,0.0380344
10,-286.848,227.874,-12.6081,2.45193,0.00773635,0.0354764
11,-287.051,228.048,-12.5966,2.45192,0.00317053,0.034963
12,-287.247,228.206,-12.5986,2.45131,-0.00138085,0.0374354
13,-287.436,228.361,-12.6171,2.45104,-0.0033985,0.0395124
14,-287.622,228.516,-12.6281,2.4507,-0.00261076,0.0403437
15,-287.816,228.679,-12.6405,2.45118,-0.0012054,0.0411876
16,-287.982,228.827,-12.6329,2.45143,-0.000104382,0.0417568
17,-288.169,228.986,-12.6445,2.45178,-0.000160668,0.0419772
18,-288.335,229.126,-12.6607,2.4524,0.00201025,0.0416972
19,-288.513,229.282,-12.671,2.45281,0.00547682,0.0412674
20,-288.671,229.422,-12.6628,2.45319,0.00676637,0.0383783
21,-288.834,229.55,-12.6533,2.45359,0.00644702,0.0365767
22,-288.994,229.689,-12.6579,2.45432,0.00597821,0.0360074
23,-289.142,229.821,-12.6667,2.45437,0.0068164,0.0376732
24,-289.275,229.986,-12.6615,2.45405,0.0100823,0.0378605
25,-289.46,230.084,-12.6873,2.45478,0.012412,0.0410717
26,-289.585,230.242,-12.673,2.45599,0.0143179,0.0425845
27,-289.731,230.364,-12.6697,2.45658,0.014652,0.0440442
28,-289.925,230.471,-12.688,2.45614,0.013683,0.0461665
29,-290.071,230.588,-12.685,2.45738,0.0117063,0.045522
30,-290.22,230.703,-12.7023,2.45965,0.00909666,0.0460648
31,-290.378,230.812,-12.7006,2.46032,0.00783463,0.0450625
32,-290.528,230.917,-12.6873,2.46142,0.00471574,0.0434721
33,-290.647,231.034,-12.6875,2.46007,0.000986433,0.0438281
34,-290.77,231.172,-12.6614,2.45884,-0.000777702,0.0419893
35,-290.876,231.299,-12.596,2.45852,-0.00691717,0.0381513
36,-290.981,231.439,-12.5883,2.45736,-0.015034,0.0372548
37,-291.118,231.544,-12.6209,2.4583,-0.0151574,0.0369936
38,-291.265,231.633,-12.6869,2.45839,-0.00909981,0.0378741
39,-291.366,231.736,-12.7158,2.45995,4.32043e-05,0.0381545
40,-291.497,231.825,-12.6949,2.45991,0.00553481,0.0396163
41,-291.621,231.934,-12.6834,2.45931,0.00273937,0.0418807
42,-291.767,232.053,-12.7059,2.45946,-0.00102545,0.0461405
43,-291.891,232.135,-12.7207,2.4585,-0.00101652,0.0517023
44,-292.014,232.233,-12.7167,2.45771,0.0011768,0.0543927
45,-292.151,232.325,-12.7052,2.4595,0.00357529,0.0530363
46,-292.275,232.421,-12.6998,2.46197,0.00641912,0.0476302
47,-292.396,232.509,-12.6959,2.46386,0.00692173,0.043191
48,-292.586,232.637,-12.6888,2.46775,0.00459421,0.0422331
49,-292.713,232.729,-12.71,2.46727,0.00255877,0.0455314
50,-292.815,232.772,-12.7201,2.46686,0.00331784,0.0463327
51,-292.952,232.878,-12.7056,2.46986,0.00488761,0.0467349
52,-293.109,232.973,-12.7005,2.47176,0.00401862,0.0467281
53,-293.239,233.068,-12.7047,2.47231,0.00502749,0.0457527
54,-293.398,233.159,-12.7169,2.47547,0.00846048,0.0457065
55,-293.547,233.251,-12.6901,2.47736,0.0109069,0.0452228
56,-293.717,233.399,-12.6565,2.47893,0.00617352,0.0432999
57,-293.854,233.515,-12.6706,2.47686,-0.00233985,0.0415587
58,-293.992,233.606,-12.7093,2.47722,-0.00587222,0.0411851
59,-294.144,233.705,-12.7261,2.47999,-0.00572666,0.0446358
60,-294.276,233.769,-12.7264,2.47999,-0.00662683,0.0500738
61,-294.388,233.862,-12.702,2.4798,-0.00856188,0.0498
62,-294.498,233.969,-12.7152,2.47891,-0.00977824,0.0495285
63,-294.583,234.067,-12.7131,2.47604,-0.00867532,0.0507755
64,-294.675,234.215,-12.7162,2.47371,-0.00789472,0.0510622
65,-294.787,234.333,-12.7248,2.47231,-0.00754416,0.0514736
66,-294.904,234.458,-12.7191,2.47122,-0.00631805,0.0486688
67,-295.011,234.605,-12.7254,2.4701,-0.00626243,0.0467266
68,-295.132,234.717,-12.7299,2.46989,-0.00599593,0.0465844
69,-295.286,234.834,-12.7375,2.47011,-0.00646719,0.0474293
70,-295.412,234.933,-12.7341,2.47025,-0.00608256,0.0478229
71,-295.588,235.05,-12.7346,2.47166,-0.00616493,0.0482651
72,-295.715,235.181,-12.7265,2.46962,-0.00634836,0.0479233
73,-295.81,235.313,-12.7408,2.46561,-0.00657113,0.0485385
74,-295.925,235.46,-12.7465,2.4634,-0.00645451,0.0482026
75,-296.062,235.561,-12.7565,2.46436,-0.00665833,0.0489882
76,-296.198,235.665,-12.7624,2.46403,-0.00654288,0.0492681
77,-296.343,235.772,-12.7541,2.46391,-0.00572083,0.0478936
78,-296.503,235.874,-12.7507,2.46378,-0.00595304,0.0466325
79,-296.628,236.005,-12.7631,2.46385,-0.00631856,0.0450134
80,-296.789,236.1,-12.757,2.46509,-0.00473015,0.0438422
81,-296.965,236.165,-12.7434,2.46648,-0.0032838,0.044315
82,-297.107,236.245,-12.7205,2.46751,-0.00293776,0.0449132
83,-297.306,236.254,-12.7038,2.47073,-0.00324834,0.0453992
84,-297.531,236.235,-12.6892,2.47568,-0.00445393,0.0473272
85,-297.703,236.296,-12.6932,2.47701,-0.00466102,0.0477717
86,-297.881,236.388,-12.6809,2.47882,-0.00372905,0.0474744
87,-297.991,236.485,-12.6727,2.47875,-0.00315139,0.0470857
88,-298.146,236.612,-12.6774,2.47867,-0.00425512,0.0473501
