id,x,y,z,yaw,pitch,roll
1,-285.384,226.52,-12.6181,2.44839,0.0124168,0.0386173
2,-285.122,226.327,-12.6154,2.44822,0.0133159,0.0403746
3,-284.918,226.109,-12.5954,2.44842,0.0141986,0.0424443
4,-285.574,226.721,-12.6269,2.44866,0.0116457,0.0347364
5,-285.788,226.91,-12.626,2.4499,0.0111349,0.0321129
6,-285.98,227.101,-12.6208,2.45005,0.0114067,0.0314638
7,-286.225,227.311,-12.619,2.44956,0.0105215,0.0315992
8,-286.424,227.471,-12.6087,2.45068,0.00991,0.0327096
9,-286.627,227.666,-12.6097,2.4506,0.00823419,0.0344426
10,-286.845,227.837,-12.5954,2.45129,0.00764578,0.0331533
11,-287.064,228.022,-12.5875,2.45146,0.00262683,0.0334008
12,-287.242,228.183,-12.5884,2.45133,-0.0023166,0.0353748
13,-287.458,228.343,-12.6125,2.45116,-0.00440463,0.0381722
14,-287.626,228.497,-12.6242,2.44979,-0.00300899,0.038698
15,-287.822,228.655,-12.6492,2.45116,-0.00203279,0.0402641
16,-287.979,228.814,-12.6256,2.45094,-0.000699068,0.039758
17,-288.169,228.996,-12.6459,2.45134,-0.000453233,0.0397762
18,-288.35,229.117,-12.6744,2.45172,0.00155975,0.0411035
19,-288.522,229.262,-12.6592,2.45286,0.0054773,0.0408484
20,-288.676,229.4,-12.6598,2.45304,0.0072695,0.0380724
21,-288.838,229.542,-12.6622,2.45327,0.00702284,0.036156
22,-289.013,229.682,-12.6765,2.45429,0.00601488,0.0358975
23,-289.157,229.814,-12.6858,2.45394,0.00688599,0.0378838
24,-289.3,229.935,-12.6982,2.45348,0.00973806,0.0391644
25,-289.478,230.058,-12.716,2.45459,0.0119135,0.0428175
26,-289.626,230.19,-12.71,2.45582,0.0137182,0.0444787
27,-289.735,230.313,-12.7048,2.4556,0.0148768,0.0453506
28,-289.893,230.45,-12.6841,2.45459,0.0142389,0.0452483
29,-290.042,230.564,-12.6722,2.45582,0.0121543,0.0444921
30,-290.183,230.683,-12.697,2.45689,0.00938047,0.044553
31,-290.321,230.803,-12.6861,2.45664,0.00886408,0.0439385
32,-290.442,230.923,-12.6491,2.45736,0.00600298,0.0414283
33,-290.554,231.06,-12.6683,2.45629,0.00225994,0.0416222
34,-290.711,231.161,-12.6689,2.45613,-0.000144355,0.0421388
35,-290.827,231.275,-12.6102,2.45638,-0.00578812,0.0404374
36,-290.973,231.406,-12.6087,2.45567,-0.0148672,0.04075
37,-291.069,231.486,-12.6722,2.45547,-0.0149857,0.040863
38,-291.223,231.595,-12.7642,2.45591,-0.00997683,0.0429817
39,-291.365,231.673,-12.7682,2.45746,-0.0011059,0.0426501
40,-291.453,231.799,-12.7258,2.45701,0.00554897,0.0421347
41,-291.567,231.906,-12.6907,2.45679,0.0029243,0.0438223
42,-291.723,232.037,-12.7128,2.45591,-0.00136633,0.047474
43,-291.854,232.112,-12.7414,2.45505,-0.00107721,0.0534812
44,-291.97,232.208,-12.7514,2.45448,0.00145762,0.0573152
45,-292.098,232.328,-12.7411,2.45502,0.00411269,0.0557026
46,-292.213,232.437,-12.7536,2.45578,0.00622797,0.0511352
47,-292.334,232.546,-12.7347,2.45699,0.00704777,0.0466242
48,-292.457,232.652,-12.7307,2.45773,0.00501514,0.0461863
49,-292.552,232.766,-12.7381,2.45615,0.00350014,0.0476465
50,-292.652,232.84,-12.7628,2.45514,0.00399344,0.0488519
51,-292.766,232.94,-12.764,2.45584,0.00552879,0.0505399
52,-292.894,233.062,-12.77,2.45505,0.00574685,0.0513543
53,-293.007,233.167,-12.7626,2.45393,0.00611144,0.0495134
54,-293.134,233.271,-12.7804,2.45572,0.00962101,0.0486472
55,-293.261,233.373,-12.752,2.45688,0.0115716,0.0484213
56,-293.391,233.488,-12.7188,2.45679,0.00861496,0.0468885
57,-293.525,233.631,-12.7302,2.45492,-0.00031337,0.0436107
58,-293.675,233.736,-12.762,2.45497,-0.00328251,0.0430077
59,-293.801,233.833,-12.7812,2.45713,-0.00198566,0.0446276
60,-293.925,233.954,-12.765,2.45805,-0.00258418,0.0473997
61,-294.059,234.051,-12.7543,2.45782,-0.00501291,0.0492249
62,-294.175,234.205,-12.7815,2.45646,-0.00723639,0.0502043
63,-294.306,234.299,-12.7853,2.45528,-0.00692364,0.0507842
64,-294.44,234.412,-12.7812,2.45611,-0.00616613,0.0513775
65,-294.548,234.527,-12.7868,2.45492,-0.00557303,0.0517781
66,-294.695,234.651,-12.7795,2.45426,-0.00379234,0.0497739
67,-294.826,234.77,-12.7783,2.45552,-0.00382198,0.0481183
68,-294.975,234.91,-12.7861,2.45621,-0.00451986,0.048125
69,-295.1,235.008,-12.7851,2.45509,-0.00416008,0.0478533
