id,x,y,z,yaw,pitch,roll
1,-285.369,226.514,-12.6015,2.44843,0.0122393,0.0372825
2,-285.148,226.348,-12.592,2.44854,0.0130325,0.0393974
3,-284.909,226.135,-12.5825,2.44803,0.014329,0.0413171
4,-285.566,226.725,-12.6171,2.44873,0.0117505,0.0347774
5,-285.781,226.906,-12.6162,2.44991,0.0111757,0.0318113
6,-285.988,227.106,-12.6094,2.45014,0.0112569,0.0312226
7,-286.224,227.321,-12.6163,2.44965,0.0101778,0.0323305
8,-286.415,227.485,-12.6136,2.45028,0.00989394,0.0328214
9,-286.633,227.668,-12.6067,2.45073,0.00840154,0.0341224
10,-286.844,227.852,-12.599,2.45124,0.0078033,0.0332659
11,-287.037,228.024,-12.5858,2.45156,0.00331144,0.0336024
12,-287.249,228.172,-12.59,2.45142,-0.00185936,0.0363162
13,-287.453,228.343,-12.6107,2.45102,-0.00431697,0.0381312
14,-287.631,228.496,-12.6322,2.45023,-0.00322169,0.0394787
15,-287.821,228.659,-12.6493,2.45109,-0.00204779,0.040338
16,-288.003,228.825,-12.6309,2.45127,-0.000761932,0.039404
17,-288.166,228.983,-12.6473,2.45147,-0.000950551,0.040247
18,-288.341,229.128,-12.6814,2.45174,0.00169192,0.0412656
19,-288.526,229.265,-12.6807,2.45285,0.00518163,0.041127
20,-288.668,229.39,-12.6655,2.45293,0.00688525,0.0390307
21,-288.853,229.536,-12.6636,2.45346,0.00650691,0.036696
22,-288.993,229.67,-12.6777,2.45423,0.00611009,0.0362311
23,-289.144,229.813,-12.6867,2.45373,0.00650671,0.0375318
24,-289.312,229.937,-12.7014,2.45376,0.00959347,0.039262
25,-289.471,230.059,-12.7105,2.45473,0.0117395,0.0420157
26,-289.617,230.205,-12.7027,2.45563,0.0139814,0.0437111
27,-289.756,230.333,-12.6916,2.45587,0.0145445,0.044474
28,-289.902,230.452,-12.6854,2.45517,0.0141143,0.0446649
29,-290.055,230.572,-12.6708,2.45605,0.011645,0.0448491
30,-290.165,230.679,-12.6854,2.45689,0.00953788,0.0452455
31,-290.309,230.803,-12.6702,2.45682,0.00897376,0.0438393
32,-290.435,230.919,-12.6582,2.45743,0.0062865,0.0420044
