id,x,y,z,yaw,pitch,roll
1,-285.357,226.5,-12.6294,2.4484,0.0129745,0.0400183
2,-285.142,226.346,-12.6179,2.44808,0.0129668,0.0408274
3,-284.891,226.117,-12.6046,2.44835,0.0144578,0.0426136
4,-285.567,226.731,-12.6182,2.44888,0.0117961,0.0344173
5,-285.788,226.939,-12.6241,2.45023,0.0108797,0.031622
6,-285.996,227.124,-12.6384,2.45064,0.0113623,0.0314311
7,-286.205,227.297,-12.6418,2.44994,0.0105314,0.0322491
8,-286.41,227.495,-12.6225,2.45008,0.00984157,0.0337992
9,-286.638,227.654,-12.6406,2.45125,0.00784219,0.0352694
10,-286.831,227.826,-12.6294,2.4516,0.0074184,0.0336727
11,-287.047,228.014,-12.5891,2.45156,0.00335087,0.0337085
12,-287.244,228.178,-12.5997,2.45108,-0.00145333,0.0359722
13,-287.437,228.346,-12.6204,2.4508,-0.00395157,0.038097
14,-287.621,228.494,-12.6399,2.45024,-0.0033609,0.0396582
15,-287.811,228.668,-12.6417,2.45073,-0.00142096,0.0406025
16,-287.987,228.815,-12.6358,2.45088,-0.000793955,0.0409672
17,-288.156,228.977,-12.6643,2.45086,-0.000941649,0.041134
18,-288.346,229.13,-12.6806,2.45174,0.00133061,0.0417282
19,-288.501,229.269,-12.6678,2.4526,0.00474421,0.0401843
20,-288.675,229.407,-12.6708,2.45285,0.00645422,0.0386215
21,-288.827,229.554,-12.6738,2.45308,0.00641918,0.0359861
22,-288.98,229.693,-12.6657,2.45385,0.00591973,0.034568
23,-289.165,229.814,-12.6799,2.45408,0.00581598,0.0375118
24,-289.303,229.953,-12.7052,2.45337,0.00939201,0.039399
25,-289.453,230.072,-12.7146,2.45466,0.0126718,0.0427454
26,-289.599,230.2,-12.7008,2.45534,0.0140693,0.0438852
27,-289.763,230.343,-12.6963,2.45602,0.0147439,0.0450622
28,-289.904,230.437,-12.677,2.45481,0.0142985,0.0452363
29,-290.048,230.577,-12.6801,2.45598,0.0120359,0.0449211
