id,x,y,z,yaw,pitch,roll
1,-285.366,226.535,-12.6084,2.44817,0.0124005,0.0389894
2,-285.182,226.383,-12.5983,2.44788,0.0129207,0.0409949
3,-284.909,226.136,-12.5998,2.44783,0.0144445,0.0425137
4,-285.561,226.732,-12.6065,2.44858,0.0122425,0.0338667
5,-285.772,226.924,-12.6123,2.44972,0.0112721,0.0316573
6,-285.988,227.122,-12.6173,2.45045,0.0111261,0.0314668
7,-286.194,227.307,-12.6157,2.44964,0.0106214,0.0320442
8,-286.411,227.49,-12.6142,2.45011,0.0096552,0.0327906
9,-286.627,227.675,-12.6154,2.45084,0.00819451,0.0338661
10,-286.836,227.859,-12.6163,2.45102,0.00716777,0.033458
11,-287.04,228.036,-12.5997,2.4513,0.00294951,0.0335134
12,-287.245,228.209,-12.599,2.45097,-0.00175393,0.0357528
13,-287.433,228.366,-12.6169,2.45077,-0.00377093,0.0379847
14,-287.586,228.494,-12.6269,2.45035,-0.00300662,0.0388219
15,-287.785,228.668,-12.639,2.45076,-0.00155865,0.0394831
16,-287.963,228.817,-12.6345,2.4511,-0.000461881,0.0400488
17,-288.138,228.97,-12.6429,2.45149,-0.000364095,0.0406262
18,-288.327,229.123,-12.664,2.45204,0.00177362,0.0411255
19,-288.498,229.275,-12.6738,2.45269,0.00514793,0.040626
20,-288.645,229.405,-12.6671,2.45305,0.00654774,0.0378068
21,-288.801,229.531,-12.6575,2.45345,0.00644511,0.0354134
22,-288.985,229.695,-12.6608,2.45442,0.00593489,0.0346632
23,-289.121,229.81,-12.6699,2.45434,0.00680879,0.0365684
24,-289.271,229.974,-12.6772,2.45402,0.00987673,0.0377888
25,-289.446,230.072,-12.6916,2.45476,0.012341,0.0409868
26,-289.576,230.228,-12.682,2.45585,0.0141532,0.0423338
27,-289.688,230.329,-12.6766,2.45623,0.0146384,0.0434771
28,-289.899,230.459,-12.6827,2.45601,0.0137962,0.0446946
29,-290.041,230.576,-12.677,2.45679,0.0120847,0.0444384
30,-290.188,230.703,-12.6854,2.45817,0.0095653,0.0444859
31,-290.323,230.818,-12.6775,2.45833,0.00860822,0.0432618
32,-290.456,230.944,-12.6617,2.45867,0.00582156,0.0411636
