id,x,y,z,yaw,pitch,roll
1,-285.365,226.536,-12.605,2.44816,0.0125045,0.0386821
2,-285.151,226.355,-12.5994,2.44785,0.0129988,0.0411546
3,-284.899,226.128,-12.6005,2.44786,0.014554,0.0424298
4,-285.566,226.735,-12.6068,2.44862,0.0121992,0.0338626
5,-285.786,226.934,-12.6126,2.44982,0.0111793,0.0315609
6,-286.005,227.136,-12.6178,2.45057,0.0110034,0.0315262
7,-286.21,227.319,-12.615,2.44964,0.0104693,0.0319786
8,-286.433,227.506,-12.6136,2.45028,0.00956655,0.0327589
9,-286.638,227.682,-12.6156,2.45092,0.00809972,0.0339119
10,-286.847,227.868,-12.6155,2.45109,0.00705555,0.033414
11,-287.052,228.044,-12.5983,2.45138,0.00284837,0.033507
12,-287.249,228.212,-12.5987,2.45098,-0.0018448,0.0358227
13,-287.437,228.369,-12.6174,2.45078,-0.00380911,0.0380289
14,-287.618,228.52,-12.6297,2.45046,-0.00297413,0.0388516
15,-287.811,228.683,-12.6414,2.45091,-0.00159779,0.0397511
16,-287.977,228.828,-12.6357,2.45111,-0.000487771,0.0400781
17,-288.168,228.997,-12.6471,2.45148,-0.000482913,0.0407166
18,-288.339,229.134,-12.6647,2.45203,0.00171508,0.0412079
19,-288.51,229.285,-12.6728,2.45275,0.00524629,0.0405598
20,-288.663,229.418,-12.6656,2.45304,0.00658205,0.0377753
21,-288.826,229.554,-12.6567,2.45349,0.00636837,0.0352124
22,-288.99,229.701,-12.6616,2.45442,0.00586958,0.0346692
23,-289.138,229.827,-12.6709,2.45429,0.00676963,0.0367885
24,-289.277,229.979,-12.678,2.45402,0.0098934,0.0378611
25,-289.461,230.083,-12.6928,2.45478,0.0123761,0.0413051
26,-289.587,230.238,-12.6824,2.45591,0.0141618,0.0423959
27,-289.73,230.363,-12.6781,2.45634,0.014461,0.0439076
28,-289.916,230.471,-12.6864,2.45594,0.0135556,0.0451562
29,-290.056,230.592,-12.6783,2.45685,0.0118213,0.044516
30,-290.196,230.708,-12.6898,2.45836,0.00940469,0.0446828
31,-290.327,230.821,-12.678,2.45836,0.00855484,0.0432766
32,-290.46,230.947,-12.6618,2.4587,0.00570937,0.04118
33,-290.581,231.06,-12.673,2.45741,0.0018027,0.0422606
34,-290.723,231.178,-12.6649,2.45721,-0.000658702,0.0422104
35,-290.841,231.298,-12.6189,2.45704,-0.00669486,0.040196
36,-290.967,231.43,-12.627,2.45618,-0.0152455,0.0402508
37,-291.1,231.538,-12.6655,2.45663,-0.0154043,0.0403078
38,-291.227,231.636,-12.72,2.45651,-0.00915389,0.0412553
39,-291.343,231.739,-12.7286,2.45823,0.000258604,0.0405571
40,-291.466,231.832,-12.7172,2.45828,0.0053497,0.0415796
41,-291.588,231.94,-12.6982,2.45794,0.00272815,0.0432486
42,-291.696,232.046,-12.7096,2.45689,-0.000233263,0.0464951
43,-291.843,232.155,-12.7359,2.45565,-0.000601767,0.0525275
44,-291.966,232.253,-12.7446,2.45487,0.00133553,0.0564326
45,-292.096,232.368,-12.7357,2.45537,0.00407304,0.0553729
46,-292.203,232.465,-12.7325,2.45602,0.00675707,0.0507094
47,-292.311,232.566,-12.7261,2.45725,0.00753677,0.0454693
48,-292.426,232.665,-12.7281,2.4574,0.00594517,0.0455541
49,-292.539,232.768,-12.7406,2.45574,0.00438222,0.0475655
50,-292.648,232.848,-12.7572,2.4552,0.00490342,0.048782
51,-292.771,232.963,-12.7507,2.45587,0.00605534,0.0503579
52,-292.883,233.061,-12.7485,2.45514,0.00603256,0.050535
53,-292.997,233.157,-12.7505,2.45454,0.00681837,0.049029
54,-293.141,233.285,-12.76,2.45604,0.0104095,0.0481545
55,-293.257,233.397,-12.7488,2.4569,0.0116959,0.0482071
56,-293.388,233.512,-12.711,2.45661,0.00856573,0.0450132
57,-293.534,233.643,-12.7194,2.45514,0.000151567,0.0424597
58,-293.669,233.748,-12.7542,2.4552,-0.0024004,0.0421194
59,-293.797,233.855,-12.7596,2.45743,-0.00116737,0.0437179
60,-293.923,233.964,-12.7526,2.45816,-0.00214429,0.0469549
61,-294.053,234.077,-12.7428,2.45769,-0.00442987,0.0484752
62,-294.181,234.194,-12.7652,2.45637,-0.0060625,0.0497689
63,-294.314,234.31,-12.772,2.45537,-0.00576014,0.0506778
64,-294.438,234.412,-12.7718,2.45603,-0.00535283,0.05197
65,-294.563,234.527,-12.7814,2.45517,-0.00494209,0.0521404
66,-294.702,234.654,-12.7793,2.45436,-0.00335747,0.0498538
67,-294.821,234.768,-12.7833,2.45541,-0.0035169,0.048216
68,-294.947,234.881,-12.7905,2.45583,-0.00360761,0.0482686
69,-295.087,235.012,-12.7918,2.45531,-0.00384576,0.04793
70,-295.222,235.127,-12.7945,2.45542,-0.00404993,0.0485749
71,-295.343,235.234,-12.7959,2.45544,-0.00378983,0.0491888
72,-295.483,235.36,-12.79,2.45496,-0.00431394,0.0491373
73,-295.623,235.483,-12.7899,2.45419,-0.00489257,0.0489233
74,-295.752,235.588,-12.7903,2.45446,-0.00486349,0.0488963
75,-295.895,235.704,-12.7963,2.45527,-0.00525679,0.0494573
