id,x,y,z,yaw,pitch,roll
1,-285.195,226.718,-15.1279,2.45649,-0.0343459,-0.0400711
2,-284.955,226.865,-14.681,2.45436,-0.0352043,-0.0973608
3,-284.478,226.83,-14.0967,2.45534,-0.0206183,-0.173544
4,-285.008,227.364,-13.9483,2.45198,0.0172051,-0.191019
5,-285.176,227.503,-13.9479,2.45288,0.0208219,-0.191101
6,-285.406,227.705,-13.9509,2.45314,0.0239111,-0.191268
7,-285.624,227.906,-13.9522,2.4519,0.0248682,-0.191766
8,-285.818,228.07,-13.9476,2.45249,0.0266218,-0.192685
9,-286.009,228.23,-13.9596,2.45291,0.0276408,-0.190556
10,-286.223,228.425,-13.9802,2.45299,0.0265714,-0.190359
11,-286.443,228.641,-13.9706,2.4533,0.0206223,-0.191938
12,-286.658,228.805,-13.9775,2.45456,0.0147135,-0.189978
13,-286.854,228.977,-14.0071,2.45448,0.0116343,-0.187364
14,-287.006,229.108,-13.9953,2.45433,0.0108683,-0.188031
15,-287.194,229.264,-13.9976,2.45511,0.010891,-0.187342
16,-287.386,229.437,-14.0048,2.45481,0.0103939,-0.188978
17,-287.563,229.579,-13.9977,2.45535,0.00996668,-0.186368
18,-287.733,229.688,-14.0262,2.45595,0.012092,-0.182772
19,-287.931,229.843,-14.0404,2.45638,0.0135991,-0.181076
20,-288.084,229.984,-14.0324,2.45698,0.0142549,-0.183984
21,-288.282,230.125,-14.0341,2.45672,0.0140158,-0.182228
22,-288.422,230.248,-14.0477,2.45824,0.0141771,-0.182421
23,-288.561,230.368,-14.0503,2.45799,0.0145943,-0.181895
24,-288.636,230.586,-14.1043,2.45682,0.0173851,-0.18942
25,-288.918,230.655,-14.0561,2.45677,0.0182721,-0.177616
26,-288.946,230.855,-14.1361,2.4578,0.0233859,-0.186714
27,-289.066,230.953,-14.1311,2.45805,0.0260411,-0.18438
28,-289.312,231.004,-14.0826,2.45636,0.0280249,-0.176505
29,-289.488,231.116,-14.0506,2.45625,0.027482,-0.172728
30,-289.609,231.247,-14.0711,2.45715,0.027409,-0.173324
31,-289.721,231.331,-14.0575,2.4575,0.0270287,-0.173906
32,-289.879,231.449,-14.0465,2.45858,0.0241297,-0.172917
33,-290.022,231.584,-14.0366,2.45816,0.0191693,-0.170167
34,-290.155,231.673,-14.0232,2.4579,0.0172721,-0.167772
35,-290.356,231.808,-13.9453,2.45953,-0.00132845,-0.159738
36,-290.341,232.013,-14.1026,2.46087,-0.00375638,-0.180947
37,-290.464,232.132,-14.1264,2.46102,-0.00477512,-0.181623
38,-290.729,232.159,-14.0094,2.46011,-0.00547806,-0.163423
39,-290.72,232.345,-14.1809,2.46219,0.00232765,-0.181198
40,-290.901,232.389,-14.0997,2.46156,0.00471202,-0.175021
41,-291.078,232.463,-14.0078,2.45978,0.0037256,-0.164483
42,-291.196,232.574,-13.9985,2.45929,0.0021231,-0.16181
43,-291.429,232.627,-13.8867,2.45762,-0.00198002,-0.13632
44,-291.948,232.268,-12.7481,2.45371,0.00169323,0.0557688
45,-292.071,232.374,-12.747,2.45457,0.0039552,0.0549829
46,-292.188,232.474,-12.7425,2.45513,0.00672437,0.0504852
47,-292.289,232.568,-12.7379,2.45581,0.00743802,0.0464688
48,-292.408,232.673,-12.7366,2.45634,0.00580257,0.0458371
49,-292.527,232.784,-12.7473,2.4549,0.00413408,0.0476594
50,-292.641,232.866,-12.7638,2.45448,0.00479246,0.0489654
51,-292.756,232.969,-12.7594,2.45498,0.00583524,0.0507232
52,-292.868,233.068,-12.7593,2.45429,0.0059108,0.0511402
53,-292.996,233.179,-12.7625,2.4536,0.00679738,0.0492123
54,-293.129,233.294,-12.775,2.4551,0.00994312,0.0486682
55,-293.247,233.402,-12.7582,2.45608,0.0113955,0.0487043
56,-293.377,233.529,-12.7225,2.45557,0.00804029,0.0453773
57,-293.512,233.647,-12.7339,2.4543,1.01278e-05,0.0430443
58,-293.651,233.762,-12.7642,2.45467,-0.0025279,0.0422917
59,-293.779,233.871,-12.7671,2.45688,-0.00148917,0.0435909
60,-293.901,233.981,-12.7566,2.45753,-0.00253611,0.0469732
61,-294.038,234.093,-12.7492,2.45734,-0.00476424,0.0483858
62,-294.173,234.211,-12.7745,2.45583,-0.00653638,0.0503802
63,-294.291,234.321,-12.7785,2.45491,-0.00599244,0.0510586
64,-294.422,234.43,-12.776,2.45547,-0.00556536,0.051996
65,-294.548,234.553,-12.784,2.45454,-0.00518773,0.0521373
66,-294.685,234.669,-12.7808,2.45374,-0.00362955,0.0494251
67,-294.814,234.783,-12.784,2.45484,-0.00368582,0.0479651
68,-294.94,234.892,-12.7882,2.45532,-0.00373825,0.0479261
69,-295.081,235.018,-12.7886,2.45476,-0.00404592,0.0475722
70,-295.219,235.139,-12.7906,2.45503,-0.00420791,0.0477459
71,-295.34,235.247,-12.7929,2.45509,-0.00393071,0.0484999
72,-295.476,235.372,-12.7923,2.45441,-0.00431908,0.04856
73,-295.613,235.493,-12.796,2.45366,-0.00491355,0.0486797
74,-295.748,235.61,-12.7974,2.45352,-0.00508157,0.04899
75,-295.878,235.721,-12.8003,2.45421,-0.0052706,0.0492482
76,-296.01,235.836,-12.8011,2.45373,-0.00510001,0.0489537
77,-296.152,235.958,-12.7944,2.45296,-0.00450124,0.0472384
78,-296.287,236.073,-12.7918,2.45324,-0.00486368,0.0452052
79,-296.427,236.201,-12.8032,2.45446,-0.00496912,0.0445926
80,-296.561,236.323,-12.813,2.45431,-0.00329236,0.0442834
81,-296.704,236.442,-12.8157,2.45404,-0.00164198,0.0444617
82,-296.838,236.556,-12.8085,2.45446,-0.00114307,0.0457111
83,-296.994,236.695,-12.8036,2.45438,-0.00163749,0.046524
84,-297.127,236.814,-12.8008,2.45429,-0.00148071,0.0460792
85,-297.265,236.932,-12.8069,2.45413,-0.000784157,0.0457706
86,-297.407,237.06,-12.8089,2.45362,0.000512697,0.0454195
87,-297.547,237.18,-12.8032,2.45365,0.000776233,0.0447265
88,-297.705,237.323,-12.8019,2.45437,-0.000911459,0.0446326
89,-297.839,237.44,-12.8099,2.45532,-0.00119238,0.0451788
90,-297.978,237.558,-12.8069,2.45501,-0.001416,0.0451365
91,-298.127,237.689,-12.8145,2.45473,-0.00205176,0.0441936
92,-298.269,237.817,-12.8195,2.45551,-0.00233365,0.0437986
93,-298.407,237.93,-12.8215,2.45613,-0.00259363,0.0431068
94,-298.556,238.062,-12.8226,2.4558,-0.00293449,0.0420334
95,-298.703,238.2,-12.823,2.45534,-0.00388824,0.0408371
96,-298.851,238.328,-12.8174,2.45592,-0.00543858,0.0396374
97,-299.003,238.454,-12.8191,2.45626,-0.00709145,0.0389026
98,-299.154,238.586,-12.8163,2.45709,-0.00887418,0.0377257
99,-299.299,238.713,-12.8255,2.45812,-0.00904266,0.0369138
100,-299.449,238.84,-12.8374,2.45814,-0.00751472,0.0356788
101,-299.589,238.971,-12.8417,2.45872,-0.00664605,0.0351334
102,-299.736,239.09,-12.8471,2.45914,-0.00569561,0.0374405
103,-299.897,239.216,-12.8398,2.45925,-0.00502316,0.0394414
104,-300.051,239.352,-12.8312,2.45991,-0.00545213,0.0381301
105,-300.198,239.487,-12.8394,2.46045,-0.00589774,0.0361986
106,-300.338,239.61,-12.8459,2.46106,-0.00531565,0.034227
107,-300.491,239.742,-12.8479,2.46153,-0.00455015,0.0329439
108,-300.643,239.864,-12.8508,2.46231,-0.00395776,0.0319994
109,-300.797,239.99,-12.851,2.46321,-0.00390416,0.030814
110,-300.956,240.13,-12.854,2.46355,-0.00422008,0.0299408
111,-301.117,240.267,-12.8546,2.46366,-0.00457952,0.0293726
112,-301.267,240.391,-12.8548,2.46349,-0.00424331,0.0282669
113,-301.426,240.523,-12.8543,2.46357,-0.00280638,0.0259765
114,-301.601,240.671,-12.8484,2.46648,-0.0027905,0.0226346
115,-301.755,240.795,-12.8482,2.46885,-0.00533257,0.02173
116,-301.916,240.935,-12.8425,2.47064,-0.00634401,0.0188917
117,-302.083,241.055,-12.8541,2.47361,-0.00642499,0.0174378
118,-302.234,241.181,-12.8548,2.47542,-0.0060558,0.0181988
119,-302.402,241.305,-12.858,2.47832,-0.00535466,0.0173125
120,-302.57,241.429,-12.8637,2.48075,-0.00490402,0.0170845
121,-302.732,241.556,-12.8642,2.48246,-0.00463617,0.0172837
122,-302.903,241.691,-12.8625,2.4847,-0.00487044,0.0168718
123,-303.074,241.82,-12.8624,2.48726,-0.00509835,0.0164558
124,-303.25,241.952,-12.8614,2.49049,-0.0046962,0.0154436
125,-303.416,242.073,-12.8653,2.49347,-0.00484011,0.014687
126,-303.588,242.197,-12.8642,2.49662,-0.00533529,0.0138038
127,-303.762,242.317,-12.869,2.49979,-0.00523969,0.013111
128,-303.938,242.443,-12.8676,2.50379,-0.00477676,0.0123063
129,-304.115,242.563,-12.8671,2.50937,-0.00438533,0.0108908
130,-304.284,242.683,-12.8689,2.51419,-0.00429784,0.0108096
131,-304.461,242.795,-12.874,2.51883,-0.00463003,0.012096
132,-304.648,242.905,-12.8702,2.52492,-0.00696276,0.014791
133,-304.836,243.015,-12.8562,2.53271,-0.008895,0.0162914
134,-305.025,243.122,-12.8504,2.5425,-0.0106094,0.0148511
135,-305.208,243.218,-12.8521,2.55272,-0.0114273,0.0107496
136,-305.398,243.314,-12.8586,2.5636,-0.0122001,0.0077229
137,-305.592,243.402,-12.8656,2.57523,-0.0119724,0.00688538
138,-305.792,243.491,-12.8682,2.58694,-0.0119906,0.00734901
139,-305.989,243.575,-12.8669,2.59881,-0.0119181,0.00690049
140,-306.186,243.65,-12.8688,2.61146,-0.0119572,0.00682091
141,-306.394,243.725,-12.867,2.62428,-0.0127593,0.00670461
142,-306.596,243.792,-12.8621,2.63704,-0.0129551,0.00597801
143,-306.797,243.866,-12.8613,2.65113,-0.0128065,0.0036801
144,-307.002,243.934,-12.871,2.66689,-0.0140141,0.00131731
145,-307.21,243.986,-12.8696,2.68157,-0.0141872,0.00330657
146,-307.417,244.04,-12.8695,2.6964,-0.013392,0.00476977
147,-307.624,244.086,-12.8743,2.71238,-0.0132553,0.00599242
148,-307.85,244.136,-12.8704,2.7296,-0.0132162,0.00738124
149,-308.07,244.177,-12.8609,2.74769,-0.0122985,0.00711443
150,-308.284,244.212,-12.8624,2.76697,-0.0114268,0.00566696
151,-308.508,244.233,-12.8676,2.78783,-0.0107767,0.00453679
152,-308.731,244.251,-12.8683,2.80886,-0.0107089,0.00294207
153,-308.955,244.269,-12.8709,2.82994,-0.0107001,0.00189029
154,-309.186,244.277,-12.8756,2.85272,-0.0103296,0.00253451
155,-309.425,244.273,-12.8772,2.87633,-0.00962296,0.00331757
156,-309.653,244.261,-12.8753,2.89978,-0.00823289,0.00266156
157,-309.888,244.25,-12.8721,2.92354,-0.0067624,0.000890232
158,-310.119,244.222,-12.8753,2.94796,-0.00608297,-0.000795114
159,-310.354,244.187,-12.88,2.97247,-0.00596844,-0.00101942
160,-310.589,244.15,-12.8781,2.99784,-0.00568575,-0.00109645
161,-310.812,244.105,-12.8831,3.02311,-0.00520892,-0.000212374
162,-311.042,244.054,-12.8853,3.04791,-0.00504425,0.000933088
163,-311.276,243.994,-12.8898,3.07329,-0.00479596,0.00227375
164,-311.512,243.937,-12.8892,3.09923,-0.00499349,0.00345219
165,-311.751,243.865,-12.8878,3.12553,-0.00537607,0.00383353
166,-311.979,243.791,-12.895,-3.13089,-0.00471583,0.00424993
167,-312.218,243.708,-12.897,-3.10413,-0.00313764,0.00449422
168,-312.44,243.613,-12.903,-3.07729,-0.00232854,0.00441635
169,-312.674,243.52,-12.902,-3.05015,-0.00313687,0.0048059
170,-312.914,243.416,-12.9054,-3.02234,-0.00330361,0.00547161
171,-313.15,243.296,-12.9145,-2.99403,-0.00315927,0.006714
172,-313.388,243.178,-12.9211,-2.96553,-0.00207071,0.00830051
173,-313.618,243.052,-12.9184,-2.93718,0.000140558,0.00971111
174,-313.848,242.921,-12.927,-2.90902,0.00243297,0.00990761
175,-314.081,242.779,-12.9359,-2.87967,0.00250553,0.0109007
176,-314.316,242.621,-12.9421,-2.8506,0.000313939,0.0126644
177,-314.555,242.46,-12.9431,-2.82271,-0.00124282,0.0125791
178,-314.79,242.304,-12.9452,-2.79402,-0.00324181,0.0095844
179,-315.043,242.116,-12.9566,-2.76434,-0.00485439,0.00993373
180,-315.28,241.925,-12.9644,-2.73571,-0.00403567,0.0130853
181,-315.534,241.728,-12.9639,-2.7079,-0.00295039,0.0158521
182,-315.782,241.522,-12.9687,-2.67957,-0.0017133,0.0168808
183,-316.023,241.31,-12.9657,-2.65328,-0.00035255,0.0163824
184,-316.278,241.096,-12.963,-2.62635,0.00110564,0.0148573
185,-316.529,240.863,-12.9697,-2.6008,0.00221661,0.0132624
186,-316.773,240.634,-12.966,-2.57759,0.00353532,0.0100426
187,-317.01,240.415,-12.97,-2.5565,0.00519226,0.00473025
188,-317.259,240.19,-12.9928,-2.53705,0.0068139,0.00181946
189,-317.496,239.968,-13.0094,-2.51837,0.00702907,0.00329739
190,-317.725,239.724,-13.0116,-2.50099,0.00563132,0.00725482
191,-317.965,239.487,-13.0139,-2.48487,0.00269631,0.010146
192,-318.206,239.257,-13.0021,-2.46784,0.000579339,0.0114487
193,-318.424,239.01,-13.0077,-2.45058,0.000283143,0.0133966
194,-318.637,238.759,-13.0077,-2.43412,0.00114888,0.0138409
195,-318.87,238.514,-13.0157,-2.41697,0.000781218,0.0126239
196,-319.096,238.271,-13.0277,-2.40018,-0.000244789,0.0115705
197,-319.316,238.001,-13.0273,-2.38506,-0.00255833,0.0106438
198,-319.544,237.732,-13.0382,-2.37028,-0.00411978,0.0105943
199,-319.779,237.465,-13.0508,-2.3564,-0.00817273,0.0119041
200,-320.022,237.181,-13.0508,-2.34396,-0.012578,0.0124356
201,-320.265,236.877,-13.0483,-2.33261,-0.0187445,0.011606
