id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.574,226.741,-12.6066,2.44868,0.0121359,0.0338556
5,-285.793,226.941,-12.6121,2.44993,0.0110844,0.0315749
6,-286.007,227.137,-12.618,2.45059,0.0109913,0.0315367
7,-286.21,227.319,-12.615,2.44965,0.0104718,0.0319906
8,-286.436,227.509,-12.6135,2.45033,0.00956093,0.0327599
9,-286.646,227.689,-12.6177,2.45104,0.00793715,0.0339997
10,-286.849,227.87,-12.6154,2.4511,0.00703,0.0334035
11,-287.052,228.044,-12.5983,2.45137,0.00284351,0.0335197
12,-287.25,228.213,-12.5985,2.45099,-0.00187153,0.0358562
13,-287.441,228.372,-12.6183,2.4508,-0.00385497,0.0381014
14,-287.627,228.527,-12.6306,2.45051,-0.00302415,0.0389219
15,-287.815,228.686,-12.6419,2.45093,-0.00161502,0.0397989
16,-287.983,228.833,-12.6358,2.45111,-0.00049398,0.0401024
17,-288.168,228.997,-12.6469,2.45149,-0.000481216,0.0407045
18,-288.339,229.134,-12.6646,2.45203,0.00171727,0.0412098
19,-288.511,229.286,-12.6727,2.45275,0.00525621,0.0405457
20,-288.671,229.426,-12.6643,2.45309,0.00664667,0.0376872
21,-288.833,229.56,-12.6561,2.45351,0.00637734,0.0351598
22,-288.993,229.704,-12.6619,2.45443,0.00586069,0.0346771
23,-289.144,229.832,-12.671,2.45428,0.00676653,0.0368623
24,-289.279,229.982,-12.6782,2.45403,0.00991636,0.0378761
25,-289.462,230.083,-12.6929,2.45479,0.012365,0.0413023
26,-289.59,230.241,-12.6822,2.45593,0.0141702,0.042378
27,-289.733,230.365,-12.6781,2.45634,0.014446,0.0439579
28,-289.916,230.471,-12.6864,2.45594,0.0135546,0.0451492
29,-290.058,230.592,-12.6784,2.45683,0.0118082,0.0445516
30,-290.197,230.709,-12.6903,2.45839,0.00939459,0.0447106
31,-290.329,230.823,-12.6781,2.45837,0.00852848,0.0432517
32,-290.461,230.948,-12.6617,2.45872,0.00568398,0.0411831
33,-290.582,231.06,-12.6733,2.45742,0.00178121,0.042285
34,-290.725,231.179,-12.6651,2.45719,-0.000715971,0.0422508
35,-290.841,231.298,-12.619,2.45704,-0.00669732,0.040204
36,-290.967,231.43,-12.6273,2.45619,-0.0152751,0.040279
