id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.134,226.34,-12.601,2.44793,0.0130601,0.0410439
3,-284.899,226.128,-12.6008,2.44786,0.0145582,0.0424158
4,-285.576,226.742,-12.6067,2.44871,0.0121222,0.0338441
5,-285.793,226.941,-12.6121,2.44993,0.0110841,0.0315743
6,-286.007,227.137,-12.618,2.45058,0.0109912,0.0315371
7,-286.21,227.319,-12.6151,2.44965,0.010467,0.0319934
8,-286.438,227.51,-12.6133,2.45038,0.00956233,0.0327612
9,-286.646,227.689,-12.6177,2.45104,0.00793734,0.0339982
10,-286.849,227.87,-12.6154,2.45111,0.00703176,0.0334053
11,-287.053,228.045,-12.5981,2.45139,0.00283269,0.0335161
12,-287.25,228.213,-12.5985,2.45098,-0.00187359,0.0358586
13,-287.443,228.373,-12.6185,2.4508,-0.00386427,0.0381148
14,-287.623,228.525,-12.6299,2.45049,-0.00297824,0.0388162
15,-287.816,228.687,-12.6416,2.45093,-0.00160713,0.0397712
16,-287.983,228.833,-12.6358,2.45111,-0.000496832,0.0401002
17,-288.168,228.998,-12.6469,2.45148,-0.000483471,0.0407061
18,-288.339,229.134,-12.6645,2.45203,0.00171662,0.041205
19,-288.511,229.286,-12.6727,2.45275,0.00525633,0.0405489
20,-288.671,229.426,-12.6641,2.45309,0.00663993,0.0376712
21,-288.837,229.563,-12.656,2.45353,0.00637353,0.0351498
22,-288.994,229.704,-12.6619,2.45443,0.00586801,0.0346726
23,-289.144,229.832,-12.671,2.45428,0.00676939,0.036863
24,-289.279,229.982,-12.6782,2.45402,0.00991682,0.0378746
25,-289.462,230.083,-12.6929,2.45478,0.0123627,0.0412977
26,-289.592,230.243,-12.6822,2.45594,0.0141648,0.042354
27,-289.733,230.365,-12.6781,2.45634,0.0144425,0.0439593
28,-289.916,230.471,-12.6864,2.45594,0.0135536,0.0451573
29,-290.058,230.592,-12.6784,2.45683,0.0118082,0.0445493
30,-290.197,230.709,-12.6903,2.45839,0.00939483,0.044708
31,-290.33,230.824,-12.6782,2.45837,0.00850656,0.043222
32,-290.462,230.948,-12.6618,2.45874,0.00567109,0.0411895
33,-290.582,231.06,-12.6734,2.45742,0.00177997,0.0422843
34,-290.725,231.179,-12.6651,2.45719,-0.000714139,0.0422515
35,-290.841,231.298,-12.619,2.45704,-0.00669672,0.0402029
36,-290.967,231.431,-12.6272,2.45619,-0.0152761,0.040279
37,-291.103,231.542,-12.667,2.45668,-0.0154477,0.0404227
38,-291.227,231.636,-12.72,2.45651,-0.00915733,0.0412586
39,-291.344,231.739,-12.7284,2.45824,0.000268958,0.0405417
40,-291.466,231.832,-12.7172,2.45828,0.0053489,0.0415788
41,-291.59,231.942,-12.6986,2.45796,0.00268154,0.0432777
42,-291.713,232.062,-12.717,2.45685,-0.000801851,0.047327
43,-291.842,232.154,-12.7356,2.45566,-0.00064207,0.0524958
44,-291.97,232.256,-12.7448,2.45488,0.0013356,0.0565435
45,-292.096,232.368,-12.7358,2.45539,0.00405687,0.0553759
46,-292.204,232.467,-12.7317,2.45603,0.00679624,0.0506734
47,-292.311,232.566,-12.7261,2.45725,0.00753974,0.0454725
48,-292.427,232.666,-12.7284,2.4574,0.00593552,0.0455474
49,-292.54,232.769,-12.741,2.45575,0.00434715,0.0476045
50,-292.654,232.852,-12.7582,2.45522,0.0048961,0.0488455
51,-292.772,232.964,-12.7509,2.4559,0.00604005,0.0503683
52,-292.883,233.061,-12.7484,2.45515,0.00603049,0.0505339
53,-293.011,233.174,-12.7496,2.45445,0.00688378,0.0488136
54,-293.143,233.286,-12.7599,2.45608,0.0104271,0.0481038
55,-293.258,233.397,-12.7489,2.4569,0.0116902,0.0482063
56,-293.391,233.514,-12.7114,2.45664,0.00850822,0.0449874
57,-293.535,233.644,-12.7204,2.45515,7.39929e-05,0.0424744
58,-293.67,233.749,-12.7546,2.45521,-0.0024603,0.0421449
59,-293.797,233.855,-12.7596,2.45743,-0.00117049,0.0437186
60,-293.925,233.965,-12.7535,2.45817,-0.00221957,0.0470242
61,-294.053,234.077,-12.7429,2.45769,-0.00443005,0.0484763
62,-294.181,234.194,-12.7652,2.45637,-0.00605719,0.0497646
63,-294.315,234.311,-12.7722,2.45536,-0.00576026,0.0507001
64,-294.442,234.415,-12.7718,2.45604,-0.00535534,0.0520134
65,-294.571,234.538,-12.7815,2.45512,-0.00498878,0.0520787
66,-294.703,234.657,-12.7788,2.45434,-0.00333941,0.0498026
67,-294.821,234.768,-12.7833,2.45541,-0.00352065,0.0482129
68,-294.956,234.891,-12.7909,2.45587,-0.0036449,0.0481874
69,-295.087,235.013,-12.7917,2.45532,-0.00385788,0.0479258
70,-295.223,235.129,-12.7944,2.45543,-0.00407083,0.0485573
71,-295.348,235.24,-12.7957,2.45543,-0.00379835,0.0491766
72,-295.489,235.365,-12.7897,2.45493,-0.00437907,0.0491184
73,-295.624,235.483,-12.7898,2.45418,-0.00491221,0.0489218
74,-295.756,235.592,-12.79,2.45446,-0.00487303,0.0488425
75,-295.896,235.705,-12.7965,2.45529,-0.00528216,0.0494576
76,-296.015,235.811,-12.7988,2.45463,-0.00507182,0.0490789
77,-296.16,235.928,-12.7934,2.45398,-0.00436148,0.0475413
78,-296.301,236.048,-12.7848,2.45405,-0.00465584,0.0452135
79,-296.447,236.177,-12.7962,2.45534,-0.00504136,0.0447119
80,-296.59,236.305,-12.8016,2.45541,-0.00318677,0.0445021
81,-296.733,236.423,-12.8041,2.45518,-0.0014781,0.044722
82,-296.873,236.545,-12.7921,2.45545,-0.000777886,0.0460225
83,-297.011,236.673,-12.7867,2.45552,-0.00112391,0.0464242
84,-297.152,236.794,-12.7849,2.45492,-0.00116101,0.0460993
85,-297.292,236.912,-12.789,2.45474,-0.000487648,0.0456267
86,-297.435,237.034,-12.7959,2.45431,0.000831424,0.0454207
87,-297.574,237.157,-12.7905,2.45435,0.000840121,0.0448868
88,-297.729,237.291,-12.7905,2.45504,-0.000795081,0.0451173
89,-297.865,237.405,-12.7979,2.45595,-0.00108045,0.0457518
90,-298.007,237.535,-12.7931,2.45577,-0.00124962,0.045477
91,-298.155,237.671,-12.8001,2.45575,-0.00211941,0.044571
92,-298.293,237.797,-12.8051,2.45637,-0.00229707,0.0441705
93,-298.427,237.91,-12.8101,2.45695,-0.00247404,0.0437024
94,-298.586,238.047,-12.8141,2.45661,-0.00294711,0.0425609
95,-298.73,238.186,-12.8127,2.45612,-0.0038509,0.0412968
96,-298.879,238.313,-12.8055,2.45657,-0.00542104,0.0400836
97,-299.03,238.437,-12.807,2.45719,-0.00705756,0.0390263
98,-299.182,238.578,-12.8108,2.45835,-0.00898618,0.0375079
99,-299.319,238.697,-12.8208,2.45934,-0.00898532,0.0368054
100,-299.47,238.818,-12.8329,2.45941,-0.00733369,0.0356321
101,-299.627,238.958,-12.8382,2.45986,-0.00607846,0.0349817
102,-299.766,239.076,-12.8466,2.46025,-0.00534087,0.0374557
103,-299.919,239.188,-12.8405,2.46026,-0.00487656,0.0400256
104,-300.076,239.325,-12.8288,2.46098,-0.00517069,0.0381788
105,-300.229,239.452,-12.8337,2.46163,-0.00556076,0.0359588
106,-300.382,239.592,-12.8425,2.46199,-0.00507345,0.0340505
107,-300.527,239.722,-12.8435,2.46252,-0.00409576,0.0328551
108,-300.683,239.844,-12.8483,2.4632,-0.00367104,0.0320416
109,-300.832,239.971,-12.8433,2.46422,-0.00373898,0.0309707
110,-300.983,240.102,-12.8467,2.46436,-0.00381741,0.0304202
111,-301.141,240.24,-12.8464,2.46456,-0.00414069,0.0298168
112,-301.29,240.364,-12.8479,2.46456,-0.00375626,0.0286647
113,-301.453,240.496,-12.8504,2.46472,-0.00243128,0.0266925
114,-301.625,240.63,-12.8452,2.4676,-0.00229635,0.0232537
115,-301.777,240.767,-12.847,2.46983,-0.00499015,0.0219152
116,-301.937,240.898,-12.8445,2.47194,-0.00586568,0.0195932
117,-302.113,241.021,-12.8554,2.47457,-0.00605415,0.0182345
118,-302.275,241.145,-12.8564,2.47648,-0.00574991,0.0193385
119,-302.437,241.26,-12.8606,2.47946,-0.00520387,0.0184624
120,-302.607,241.39,-12.8694,2.48201,-0.00469641,0.018348
121,-302.773,241.526,-12.8661,2.48362,-0.00455012,0.0183437
122,-302.943,241.664,-12.8615,2.48586,-0.00473261,0.0178663
123,-303.11,241.792,-12.8637,2.48834,-0.00486141,0.0172673
124,-303.287,241.921,-12.8595,2.49163,-0.00438274,0.0160674
125,-303.451,242.038,-12.8638,2.49478,-0.00473581,0.0151652
126,-303.621,242.164,-12.8639,2.49781,-0.0049394,0.0143321
127,-303.793,242.279,-12.8672,2.50089,-0.00487696,0.0135431
128,-303.971,242.402,-12.8673,2.50494,-0.00427298,0.012732
129,-304.144,242.523,-12.8694,2.51044,-0.00410645,0.0113568
130,-304.319,242.643,-12.8696,2.51519,-0.00411756,0.0111889
131,-304.494,242.754,-12.8756,2.51983,-0.00439815,0.0126603
132,-304.672,242.87,-12.8707,2.52582,-0.00630438,0.0152731
133,-304.867,242.984,-12.8617,2.53383,-0.00858156,0.0168059
134,-305.059,243.089,-12.8526,2.54366,-0.0105254,0.0150698
135,-305.243,243.196,-12.8551,2.5538,-0.0113279,0.0112406
136,-305.435,243.279,-12.8647,2.56484,-0.0118053,0.00852786
137,-305.631,243.365,-12.8736,2.5763,-0.0114371,0.00793647
138,-305.83,243.449,-12.8757,2.58788,-0.0115245,0.00824601
139,-306.027,243.534,-12.87,2.59969,-0.0117481,0.00807408
140,-306.23,243.608,-12.8726,2.61236,-0.0119206,0.0081255
141,-306.436,243.677,-12.8706,2.62502,-0.0127229,0.00821102
142,-306.632,243.746,-12.8639,2.63751,-0.0128798,0.00708438
143,-306.834,243.82,-12.8626,2.65201,-0.0127223,0.00440109
144,-307.041,243.902,-12.8718,2.6677,-0.0139365,0.00265262
145,-307.245,243.96,-12.8724,2.68216,-0.014101,0.00430087
146,-307.449,244.012,-12.8721,2.69698,-0.0134612,0.00550771
147,-307.653,244.059,-12.8761,2.71285,-0.013253,0.00671631
148,-307.87,244.109,-12.8696,2.73023,-0.0132235,0.00784174
149,-308.087,244.143,-12.8601,2.74836,-0.012218,0.00775024
150,-308.316,244.183,-12.8624,2.76733,-0.0112988,0.00625257
151,-308.544,244.211,-12.8675,2.78818,-0.0108536,0.00521201
152,-308.765,244.233,-12.8709,2.80917,-0.0108476,0.00371185
153,-308.985,244.242,-12.8753,2.83019,-0.0109555,0.00269203
154,-309.216,244.257,-12.8792,2.85289,-0.0105305,0.00292599
155,-309.454,244.252,-12.881,2.87646,-0.00986527,0.00379802
156,-309.681,244.241,-12.877,2.89985,-0.00856635,0.00292774
157,-309.906,244.244,-12.8725,2.92298,-0.00701818,0.00104693
158,-310.142,244.211,-12.8724,2.94805,-0.00628217,-0.000773547
159,-310.373,244.181,-12.8741,2.97211,-0.00603776,-0.00118077
160,-310.608,244.133,-12.8714,2.99778,-0.0058681,-0.00104724
161,-310.833,244.087,-12.8795,3.02318,-0.00553913,0.000136736
162,-311.061,244.037,-12.8826,3.04799,-0.0055418,0.00119327
163,-311.293,243.982,-12.8839,3.07339,-0.00521915,0.00231543
164,-311.531,243.924,-12.8817,3.09925,-0.00559649,0.00367873
165,-311.767,243.849,-12.8775,3.12574,-0.00602126,0.00412284
166,-312.001,243.773,-12.8834,-3.13069,-0.00570384,0.00456338
167,-312.239,243.692,-12.8829,-3.1039,-0.00432568,0.00482154
168,-312.464,243.594,-12.8881,-3.07708,-0.00371524,0.00504739
169,-312.698,243.5,-12.8871,-3.05018,-0.00420557,0.00566021
170,-312.944,243.391,-12.8962,-3.0222,-0.00455077,0.00636387
171,-313.182,243.271,-12.9038,-2.99387,-0.00434144,0.00751337
172,-313.415,243.159,-12.9133,-2.96546,-0.00334015,0.00868451
173,-313.647,243.033,-12.9094,-2.93721,-0.00107221,0.010186
174,-313.871,242.904,-12.9174,-2.90903,0.00130864,0.010274
175,-314.101,242.777,-12.9237,-2.88059,0.00158992,0.011134
176,-314.349,242.606,-12.9356,-2.85067,-0.000986533,0.0131367
177,-314.589,242.443,-12.9355,-2.8227,-0.00295256,0.0131164
178,-314.816,242.275,-12.9374,-2.79395,-0.00463805,0.0102434
179,-315.062,242.096,-12.9445,-2.76468,-0.00618225,0.0102747
180,-315.292,241.917,-12.9509,-2.73684,-0.00519052,0.0135741
181,-315.555,241.713,-12.9485,-2.70828,-0.00476763,0.0163188
182,-315.808,241.513,-12.9527,-2.68018,-0.00340655,0.017165
183,-316.043,241.305,-12.9491,-2.65354,-0.00184779,0.0165165
184,-316.292,241.084,-12.943,-2.62654,-0.000913727,0.01485
185,-316.547,240.855,-12.9511,-2.60115,0.000568104,0.013174
186,-316.795,240.624,-12.9404,-2.57752,0.00149228,0.00954397
187,-317.032,240.414,-12.9524,-2.5567,0.00357416,0.00446411
188,-317.277,240.186,-12.9758,-2.53707,0.00534945,0.00124254
189,-317.516,239.963,-12.9912,-2.5183,0.00542976,0.00266199
190,-317.745,239.714,-12.9886,-2.50071,0.00389468,0.00662403
191,-317.986,239.472,-13.0014,-2.48464,0.0012441,0.00959683
192,-318.22,239.251,-12.9887,-2.46792,-0.000771339,0.0109152
193,-318.446,239.002,-12.9937,-2.45075,-0.0013208,0.0128854
194,-318.653,238.753,-12.9938,-2.43438,-0.000140597,0.0133907
195,-318.877,238.499,-12.9982,-2.41693,-0.000380956,0.0118801
196,-319.101,238.255,-13.0078,-2.4004,-0.00137572,0.0109864
197,-319.328,237.986,-13.0124,-2.38502,-0.00368383,0.0100403
198,-319.557,237.723,-13.021,-2.37027,-0.00534296,0.0101053
199,-319.803,237.456,-13.0375,-2.35646,-0.00934043,0.011204
200,-320.05,237.169,-13.0319,-2.344,-0.0140083,0.0119711
201,-320.284,236.866,-13.0309,-2.33263,-0.0200115,0.0110165
