id,x,y,z,yaw,pitch,roll
1,-285.137,226.318,-12.5949,2.44813,0.0135769,0.0454404
2,-284.903,226.114,-12.5957,2.44803,0.0153275,0.0471954
3,-285.383,226.499,-12.5976,2.44783,0.0132403,0.0450494
4,-285.598,226.707,-12.6062,2.44817,0.012876,0.0435112
5,-285.816,226.915,-12.6147,2.44979,0.0116067,0.0389921
6,-286.026,227.119,-12.6197,2.45032,0.0113054,0.0385936
7,-286.228,227.303,-12.6167,2.44974,0.0110261,0.0375028
8,-286.447,227.5,-12.6096,2.45044,0.0102335,0.0383289
9,-286.65,227.68,-12.6048,2.45108,0.00868899,0.0382167
10,-286.846,227.873,-12.6113,2.45174,0.00782325,0.0358701
11,-287.044,228.043,-12.586,2.45175,0.00331463,0.0352648
12,-287.243,228.195,-12.5981,2.45132,-0.00103655,0.0378917
13,-287.433,228.349,-12.6159,2.45084,-0.00328758,0.0400216
14,-287.616,228.505,-12.6295,2.45054,-0.00255843,0.0406714
15,-287.806,228.67,-12.6405,2.4512,-0.00105912,0.0416319
16,-287.99,228.828,-12.6286,2.45128,-6.23459e-05,0.0419783
17,-288.163,228.978,-12.6418,2.45168,-0.00012253,0.0418016
18,-288.333,229.118,-12.6622,2.45227,0.00202714,0.0417414
19,-288.521,229.281,-12.6729,2.45284,0.00538407,0.0416539
20,-288.678,229.424,-12.6596,2.4531,0.00677467,0.0387169
21,-288.849,229.558,-12.6524,2.4536,0.00652934,0.036991
22,-288.999,229.679,-12.6625,2.45415,0.0059513,0.0367724
23,-289.153,229.822,-12.6745,2.45414,0.00655288,0.03845
24,-289.311,229.959,-12.6969,2.45387,0.00967669,0.0396052
25,-289.465,230.076,-12.7042,2.45465,0.0122237,0.0421389
26,-289.623,230.219,-12.6938,2.45618,0.0142572,0.0442785
27,-289.768,230.343,-12.6958,2.45661,0.0145885,0.0456791
28,-289.916,230.459,-12.6858,2.45568,0.0137866,0.046493
29,-290.081,230.583,-12.6828,2.45721,0.0118075,0.0454267
30,-290.223,230.696,-12.7009,2.45892,0.00921676,0.0454273
31,-290.385,230.794,-12.699,2.45967,0.00809523,0.0444319
32,-290.551,230.899,-12.6892,2.46092,0.00479699,0.0434393
33,-290.657,231.019,-12.6815,2.45962,0.00148477,0.0428318
34,-290.791,231.145,-12.6499,2.45868,-0.000667961,0.0416789
35,-290.884,231.277,-12.5572,2.45842,-0.00627169,0.0368723
36,-291.007,231.4,-12.5511,2.45707,-0.0143393,0.0353237
37,-291.151,231.513,-12.6014,2.45792,-0.0148289,0.035774
38,-291.291,231.601,-12.6619,2.45878,-0.00946963,0.0369097
39,-291.427,231.66,-12.7172,2.45985,-0.000476644,0.0390628
40,-291.534,231.784,-12.6853,2.46046,0.00523297,0.0395206
41,-291.636,231.898,-12.6662,2.45929,0.00318163,0.0418488
42,-291.81,232.011,-12.7013,2.45989,-0.000915283,0.0465152
43,-291.968,232.082,-12.7193,2.45979,-0.00125394,0.0524825
44,-292.073,232.197,-12.7139,2.45831,0.000639639,0.0549583
45,-292.22,232.271,-12.6899,2.46069,0.00318281,0.0526035
46,-292.344,232.355,-12.6871,2.46261,0.00607751,0.0475443
47,-292.515,232.451,-12.6821,2.46598,0.00653306,0.0432813
48,-292.714,232.561,-12.6649,2.4696,0.00404203,0.0424219
49,-292.874,232.635,-12.703,2.47059,0.00180284,0.0461725
50,-293.003,232.695,-12.7143,2.47094,0.0020762,0.0469707
51,-293.133,232.754,-12.6956,2.47368,0.00375409,0.0473604
52,-293.325,232.833,-12.6773,2.47635,0.00356579,0.0468979
53,-293.485,232.933,-12.6945,2.47623,0.00355312,0.0473643
54,-293.674,232.963,-12.7153,2.48126,0.0080171,0.0477752
55,-293.801,233.068,-12.6886,2.48229,0.0113048,0.0475977
56,-293.982,233.177,-12.6547,2.48595,0.0072508,0.0440933
57,-294.137,233.325,-12.6612,2.48184,-0.00357284,0.0457241
58,-294.268,233.428,-12.7017,2.48283,-0.00753164,0.0446679
59,-294.456,233.522,-12.7297,2.48592,-0.00691038,0.0476476
60,-294.551,233.567,-12.7285,2.48554,-0.00755291,0.0518842
61,-294.657,233.655,-12.6974,2.48568,-0.00965608,0.0526544
62,-294.813,233.746,-12.7162,2.48774,-0.0112671,0.0537439
63,-294.929,233.829,-12.7278,2.48733,-0.0101619,0.0547867
64,-295.01,233.994,-12.7154,2.48422,-0.00930951,0.0546971
65,-295.099,234.116,-12.7313,2.48134,-0.00838216,0.0550796
66,-295.241,234.199,-12.7129,2.4823,-0.00779915,0.0520521
67,-295.323,234.389,-12.7222,2.47932,-0.00784379,0.0497566
68,-295.418,234.535,-12.7047,2.47779,-0.00835204,0.0483379
69,-295.556,234.647,-12.7136,2.47707,-0.00827946,0.048713
70,-295.704,234.747,-12.7174,2.47778,-0.00785394,0.0498314
71,-295.871,234.85,-12.7233,2.47913,-0.00755815,0.0495322
72,-296.02,234.951,-12.7034,2.47902,-0.0079595,0.0503083
73,-296.069,235.16,-12.7082,2.47293,-0.00789803,0.0499384
74,-296.029,235.381,-12.7277,2.46387,-0.00646912,0.0482431
75,-296.159,235.47,-12.7429,2.46486,-0.00680428,0.0489403
76,-296.3,235.591,-12.7468,2.46423,-0.00665099,0.0494472
77,-296.465,235.668,-12.738,2.46504,-0.0058767,0.0481894
78,-296.623,235.778,-12.731,2.46388,-0.00593386,0.0471909
79,-296.727,235.892,-12.7464,2.46409,-0.00608771,0.0453491
80,-296.932,235.981,-12.741,2.46573,-0.0051016,0.0448348
81,-297.106,236.031,-12.7267,2.46693,-0.00379717,0.0452063
82,-297.374,236.03,-12.6967,2.47258,-0.0041898,0.0465567
83,-297.586,236.013,-12.6936,2.47616,-0.00393414,0.0474579
84,-297.853,236.069,-12.6864,2.48064,-0.00562474,0.0488479
85,-298.028,236.092,-12.6894,2.48229,-0.00575283,0.0479203
86,-298.366,236.008,-12.6695,2.49176,-0.00500424,0.0490528
87,-298.728,235.495,-12.6751,2.51529,0.00106848,0.0450026
88,-298.908,235.537,-12.6956,2.5177,0.000615562,0.0452057
89,-298.987,235.754,-12.6908,2.51729,-0.00274016,0.0487395
90,-299.092,235.904,-12.6802,2.51452,-0.00184805,0.0444237
91,-299.178,236.019,-12.6788,2.51513,0.000110824,0.0426135
92,-299.39,236.1,-12.6669,2.51584,-0.00112882,0.0434099
93,-299.491,236.25,-12.6843,2.5187,-0.000775575,0.0410445
94,-299.655,236.384,-12.6991,2.51963,0.000584961,0.0406538
95,-299.832,236.508,-12.688,2.52006,-0.000370732,0.0379997
96,-300.013,236.618,-12.6717,2.52253,-0.000607566,0.0353416
97,-300.134,236.721,-12.669,2.5247,-0.00165756,0.0349169
98,-300.424,236.77,-12.6549,2.52969,-0.00213354,0.0319165
99,-300.747,236.661,-12.6392,2.53324,0.00180437,0.0292256
100,-300.889,236.669,-12.6742,2.53449,0.00552909,0.0275145
101,-301.045,236.738,-12.7234,2.53735,0.00700207,0.0285578
102,-301.212,236.817,-12.7145,2.53827,0.00914535,0.0279149
103,-301.419,236.847,-12.7113,2.5382,0.010696,0.0310256
104,-301.518,236.894,-12.7447,2.53916,0.0127226,0.0285428
105,-301.595,236.975,-12.7523,2.54089,0.0123704,0.0275091
106,-301.74,237.076,-12.7601,2.54273,0.0151347,0.0249463
107,-301.772,236.526,-12.7408,2.56714,0.0207345,0.0229452
108,-301.824,236.566,-12.7619,2.56771,0.0215582,0.0227671
109,-302.052,236.592,-12.7712,2.57078,0.0218575,0.0211472
110,-302.215,236.66,-12.7784,2.57404,0.0222877,0.0205115
111,-302.429,236.763,-12.794,2.57631,0.0207917,0.0190005
112,-302.547,236.821,-12.8103,2.57858,0.0220906,0.0172611
113,-302.714,236.986,-12.7951,2.57643,0.0256741,0.0159442
114,-302.934,237.209,-12.776,2.57455,0.0256391,0.0109629
115,-303,237.407,-12.7616,2.57558,0.0205162,0.0110181
