id,x,y,z,yaw,pitch,roll
1,-285.365,226.538,-12.605,2.44799,0.0126342,0.0395518
2,-285.136,226.353,-12.5986,2.44789,0.0130556,0.0410008
3,-284.894,226.131,-12.5993,2.44793,0.0146277,0.0427633
4,-285.574,226.742,-12.6072,2.44855,0.0122228,0.034659
5,-285.787,226.935,-12.6131,2.4497,0.0112445,0.0326594
6,-286.003,227.138,-12.6183,2.45064,0.0110886,0.0321711
7,-286.224,227.33,-12.6137,2.44978,0.0104695,0.0326075
8,-286.438,227.51,-12.615,2.45028,0.00972199,0.0337266
9,-286.646,227.687,-12.6166,2.45083,0.00816624,0.0347012
10,-286.848,227.871,-12.6155,2.45115,0.00703192,0.0333374
11,-287.053,228.045,-12.5981,2.45145,0.00290718,0.0338315
12,-287.25,228.208,-12.6005,2.45094,-0.00172776,0.0363206
13,-287.437,228.363,-12.6192,2.45071,-0.00376497,0.038492
14,-287.624,228.519,-12.6312,2.45054,-0.00285413,0.0391437
15,-287.81,228.678,-12.642,2.45079,-0.00142038,0.0400464
16,-287.983,228.83,-12.6362,2.45103,-0.000388886,0.0403377
17,-288.168,228.992,-12.6487,2.45142,-0.000439622,0.0409713
18,-288.339,229.129,-12.6661,2.45206,0.00175162,0.0413595
19,-288.512,229.284,-12.6742,2.45274,0.00518929,0.0406654
20,-288.676,229.426,-12.6642,2.45319,0.00659795,0.0378989
21,-288.832,229.553,-12.6567,2.45358,0.00637854,0.0355301
22,-288.992,229.697,-12.6612,2.45451,0.00590945,0.0351909
23,-289.138,229.818,-12.6705,2.45441,0.00672528,0.0373134
24,-289.279,229.983,-12.6778,2.45406,0.00993904,0.0379713
25,-289.462,230.083,-12.6907,2.45478,0.0123415,0.0411502
26,-289.593,230.243,-12.6811,2.456,0.0141503,0.0423694
27,-289.733,230.364,-12.6781,2.45646,0.0144499,0.0439533
28,-289.925,230.471,-12.6902,2.45616,0.0135174,0.0457835
29,-290.072,230.591,-12.6892,2.45733,0.0116819,0.0455785
30,-290.219,230.707,-12.7037,2.45946,0.00912615,0.0460677
31,-290.359,230.818,-12.6892,2.45962,0.0079352,0.0442027
32,-290.493,230.947,-12.6747,2.45977,0.0052611,0.0421922
33,-290.606,231.059,-12.6789,2.45841,0.00148428,0.0426794
34,-290.745,231.176,-12.6728,2.4577,-0.000846051,0.042946
35,-290.856,231.302,-12.6249,2.45769,-0.00692566,0.040666
36,-290.964,231.426,-12.6257,2.45635,-0.0147504,0.039895
37,-291.111,231.545,-12.6658,2.45713,-0.0154959,0.0402039
38,-291.238,231.642,-12.7195,2.457,-0.00926629,0.0410275
39,-291.352,231.745,-12.7244,2.45868,0.000131124,0.0401074
40,-291.477,231.828,-12.7177,2.45902,0.00507626,0.0417418
41,-291.607,231.938,-12.7014,2.4588,0.00240193,0.0435033
42,-291.733,232.059,-12.714,2.45801,-0.000969119,0.0470874
43,-291.853,232.15,-12.7328,2.45634,-0.000758415,0.0522929
44,-291.986,232.258,-12.7369,2.456,0.00107633,0.0557396
45,-292.106,232.362,-12.7297,2.45635,0.0038355,0.0546754
46,-292.219,232.462,-12.726,2.45707,0.00652575,0.0499239
47,-292.319,232.554,-12.7209,2.45816,0.00736329,0.0451237
48,-292.44,232.668,-12.7198,2.45841,0.00550569,0.044778
49,-292.554,232.768,-12.7367,2.45658,0.00408979,0.0472016
50,-292.665,232.849,-12.753,2.45599,0.0046767,0.0482825
51,-292.782,232.961,-12.7449,2.45684,0.00584381,0.0496011
52,-292.9,233.059,-12.7426,2.45615,0.00587311,0.049994
53,-293.014,233.155,-12.7445,2.45534,0.00659368,0.0485229
54,-293.15,233.278,-12.7515,2.45685,0.01018,0.0473904
55,-293.279,233.401,-12.7397,2.45789,0.0115682,0.0473679
56,-293.405,233.507,-12.7047,2.45755,0.00844113,0.0446371
57,-293.549,233.643,-12.709,2.45581,-0.000126006,0.0419311
58,-293.682,233.738,-12.7448,2.45596,-0.00272679,0.0413166
59,-293.81,233.847,-12.7531,2.45803,-0.00140478,0.043331
60,-293.938,233.953,-12.7459,2.45871,-0.00239009,0.04651
61,-294.065,234.065,-12.7361,2.45836,-0.00469127,0.0481781
62,-294.202,234.192,-12.7589,2.45679,-0.0064617,0.0494576
63,-294.331,234.297,-12.7638,2.45581,-0.00580046,0.0503639
64,-294.45,234.401,-12.7643,2.45639,-0.00547084,0.0515844
65,-294.578,234.529,-12.7761,2.45533,-0.00507027,0.0517851
66,-294.708,234.656,-12.773,2.45457,-0.00344409,0.0495897
67,-294.826,234.766,-12.7776,2.45563,-0.00359248,0.0479724
68,-294.958,234.882,-12.7851,2.45606,-0.00379553,0.048052
69,-295.091,235.008,-12.7884,2.45547,-0.00393042,0.0478127
70,-295.231,235.127,-12.7885,2.45577,-0.00421559,0.0482826
71,-295.352,235.236,-12.7873,2.45565,-0.00395563,0.0487521
72,-295.486,235.362,-12.7823,2.45511,-0.00436337,0.0486931
73,-295.626,235.485,-12.7845,2.45428,-0.00491488,0.0487836
74,-295.758,235.594,-12.7856,2.45459,-0.0048091,0.0487017
75,-295.898,235.702,-12.7935,2.45545,-0.00518858,0.0494097
76,-296.02,235.805,-12.7969,2.45491,-0.00502761,0.0490459
77,-296.167,235.92,-12.7889,2.45444,-0.00442074,0.0474684
78,-296.317,236.049,-12.7771,2.45471,-0.00495491,0.0448429
79,-296.46,236.17,-12.7874,2.45595,-0.00528688,0.0444106
80,-296.604,236.292,-12.7975,2.456,-0.00337117,0.044433
81,-296.751,236.413,-12.7981,2.45585,-0.00161173,0.044465
82,-296.883,236.519,-12.7854,2.45627,-0.000961045,0.0457736
83,-297.026,236.648,-12.7784,2.45616,-0.00113557,0.0463885
84,-297.166,236.775,-12.776,2.45542,-0.00124476,0.0461226
85,-297.303,236.878,-12.7822,2.45544,-0.000522612,0.0457045
86,-297.448,237.009,-12.7872,2.45496,0.000666054,0.0454258
87,-297.588,237.13,-12.7843,2.45501,0.000774837,0.0450651
88,-297.748,237.268,-12.783,2.45583,-0.00096352,0.0448815
89,-297.881,237.385,-12.7913,2.45672,-0.00131241,0.0456269
90,-298.026,237.516,-12.7853,2.45641,-0.00145779,0.0451372
91,-298.169,237.647,-12.791,2.45622,-0.00215241,0.0443522
92,-298.31,237.771,-12.7963,2.45701,-0.00233942,0.043868
93,-298.444,237.888,-12.8005,2.45767,-0.0026564,0.0430707
94,-298.599,238.021,-12.8056,2.4574,-0.00296375,0.0421696
95,-298.745,238.168,-12.8065,2.45676,-0.00395185,0.0409404
96,-298.882,238.288,-12.795,2.45712,-0.00537653,0.0395279
97,-299.043,238.424,-12.7932,2.45793,-0.00714982,0.038305
98,-299.192,238.559,-12.8013,2.45888,-0.00882702,0.0374691
99,-299.331,238.683,-12.8136,2.45992,-0.00891814,0.0365044
100,-299.483,238.799,-12.8244,2.45996,-0.00720237,0.0351524
101,-299.635,238.937,-12.8303,2.46033,-0.00606042,0.0347365
102,-299.781,239.055,-12.8372,2.46076,-0.00536167,0.0372997
103,-299.932,239.175,-12.8286,2.46072,-0.00490999,0.0394413
104,-300.081,239.299,-12.8196,2.46142,-0.00511182,0.0377704
105,-300.242,239.429,-12.8267,2.46196,-0.00557013,0.0358772
106,-300.395,239.564,-12.837,2.46242,-0.00509469,0.0339532
107,-300.541,239.7,-12.8398,2.46299,-0.00416899,0.0328585
108,-300.696,239.824,-12.8423,2.46366,-0.00367766,0.0320004
109,-300.844,239.949,-12.8373,2.46455,-0.00380702,0.030789
110,-300.985,240.073,-12.8385,2.46487,-0.00376281,0.0302473
111,-301.152,240.222,-12.8378,2.46506,-0.00396872,0.0294067
112,-301.308,240.347,-12.8401,2.46489,-0.00360739,0.0284382
113,-301.467,240.482,-12.8455,2.46508,-0.00239956,0.0266538
114,-301.638,240.612,-12.8413,2.46817,-0.00235719,0.0230795
115,-301.792,240.752,-12.8405,2.47047,-0.00510895,0.021757
116,-301.949,240.879,-12.8398,2.47241,-0.00581793,0.019471
117,-302.13,241.003,-12.8541,2.47513,-0.00603055,0.0182451
118,-302.298,241.131,-12.8545,2.47696,-0.00584539,0.0192218
119,-302.456,241.246,-12.8578,2.47978,-0.00521982,0.0184265
120,-302.621,241.372,-12.8654,2.48239,-0.00465264,0.0182704
121,-302.793,241.515,-12.8633,2.48384,-0.00450212,0.0183446
122,-302.961,241.645,-12.8628,2.4863,-0.00467017,0.0180247
123,-303.116,241.772,-12.8617,2.48869,-0.00481214,0.0172574
124,-303.286,241.897,-12.8607,2.49191,-0.00428621,0.0161889
125,-303.461,242.026,-12.8616,2.49504,-0.0046023,0.0149998
126,-303.629,242.151,-12.8603,2.49806,-0.00473022,0.0140639
127,-303.804,242.264,-12.8597,2.50134,-0.00472602,0.0131524
128,-303.982,242.391,-12.8624,2.50529,-0.00416237,0.0124977
129,-304.153,242.509,-12.8618,2.51076,-0.00393222,0.0109447
130,-304.326,242.629,-12.8621,2.51544,-0.00405344,0.0108296
131,-304.497,242.743,-12.8685,2.5201,-0.00428617,0.0122961
132,-304.682,242.857,-12.8651,2.52636,-0.00642104,0.015034
133,-304.871,242.967,-12.8526,2.53425,-0.00851318,0.0162855
134,-305.072,243.081,-12.849,2.54404,-0.0104676,0.0149351
135,-305.257,243.187,-12.8533,2.55423,-0.0111739,0.0112185
136,-305.443,243.267,-12.8602,2.56523,-0.0114124,0.00831878
137,-305.645,243.351,-12.8704,2.57671,-0.0111037,0.00792241
138,-305.845,243.435,-12.8722,2.58833,-0.0112825,0.00824079
139,-306.04,243.52,-12.8663,2.60006,-0.0115197,0.00808915
140,-306.241,243.595,-12.8689,2.61248,-0.0116534,0.00821527
141,-306.448,243.665,-12.8672,2.62511,-0.0124726,0.00840184
142,-306.646,243.729,-12.8601,2.63768,-0.0126514,0.00711088
143,-306.837,243.806,-12.8621,2.65134,-0.0124807,0.0045073
144,-307.049,243.89,-12.8698,2.66777,-0.0137078,0.00269079
145,-307.259,243.945,-12.8714,2.68241,-0.0139706,0.00442982
146,-307.464,243.992,-12.8713,2.69714,-0.0134847,0.0055179
147,-307.669,244.044,-12.8745,2.71312,-0.0132164,0.00683883
148,-307.885,244.093,-12.8676,2.73054,-0.0131566,0.00785537
149,-308.099,244.125,-12.859,2.74809,-0.0122445,0.00775853
150,-308.329,244.174,-12.8598,2.7676,-0.0112508,0.00614119
151,-308.556,244.202,-12.8675,2.78834,-0.0109302,0.00510287
152,-308.78,244.224,-12.8696,2.80919,-0.010856,0.0037141
153,-309,244.23,-12.8728,2.83026,-0.0109563,0.0027686
154,-309.236,244.238,-12.8788,2.85317,-0.0106131,0.00322038
155,-309.472,244.239,-12.8798,2.87657,-0.00985869,0.00384713
156,-309.697,244.226,-12.8754,2.89995,-0.00849632,0.00307779
157,-309.924,244.228,-12.8723,2.92365,-0.00702864,0.0010666
158,-310.16,244.201,-12.8711,2.94817,-0.00639351,-0.000583337
159,-310.394,244.166,-12.8745,2.97252,-0.00627588,-0.00105142
160,-310.62,244.123,-12.8711,2.9978,-0.00589532,-0.00104292
161,-310.847,244.075,-12.8792,3.02317,-0.00571184,0.000185833
162,-311.075,244.028,-12.8822,3.04805,-0.00567192,0.00130029
163,-311.307,243.965,-12.8814,3.07356,-0.00516212,0.0025724
164,-311.541,243.911,-12.8794,3.09951,-0.00544175,0.00411367
165,-311.777,243.838,-12.8734,3.12583,-0.00592683,0.00456706
166,-312.013,243.766,-12.882,-3.13049,-0.00572383,0.00468203
167,-312.257,243.681,-12.8804,-3.10362,-0.00432822,0.00499869
168,-312.481,243.584,-12.887,-3.07682,-0.00365646,0.00509608
169,-312.717,243.491,-12.8843,-3.04987,-0.00429893,0.00570239
170,-312.955,243.388,-12.8918,-3.02259,-0.00452886,0.00628087
171,-313.204,243.261,-12.8999,-2.9936,-0.00477085,0.00769413
172,-313.43,243.158,-12.9092,-2.96586,-0.00362506,0.00865737
173,-313.666,243.024,-12.9088,-2.93683,-0.00126561,0.010273
174,-313.889,242.899,-12.9145,-2.90946,0.00112623,0.0103605
175,-314.128,242.753,-12.9258,-2.87961,0.00109844,0.011306
176,-314.37,242.597,-12.9338,-2.85067,-0.0013549,0.0132866
177,-314.605,242.431,-12.9315,-2.8228,-0.00321433,0.0134134
178,-314.828,242.258,-12.9359,-2.79392,-0.00472846,0.0103682
179,-315.08,242.083,-12.9414,-2.76472,-0.00639504,0.0101612
180,-315.31,241.897,-12.9474,-2.73635,-0.0054228,0.0137018
181,-315.568,241.705,-12.9444,-2.70829,-0.00485267,0.0162522
182,-315.816,241.51,-12.9478,-2.68028,-0.00341632,0.0171513
183,-316.059,241.299,-12.9443,-2.65371,-0.00209186,0.0165017
184,-316.303,241.083,-12.9376,-2.62716,-0.00112163,0.0147497
185,-316.559,240.845,-12.9467,-2.60123,0.000257267,0.0131637
186,-316.797,240.615,-12.9346,-2.57769,0.00130842,0.00966494
187,-317.043,240.406,-12.9455,-2.55676,0.0031472,0.00439097
188,-317.284,240.181,-12.9702,-2.53722,0.00512768,0.00122376
189,-317.527,239.955,-12.9865,-2.51825,0.00506132,0.00255537
190,-317.758,239.706,-12.9841,-2.50053,0.00361092,0.00638573
191,-317.993,239.465,-12.9945,-2.48446,0.00111461,0.00940641
192,-318.223,239.252,-12.982,-2.46829,-0.000843579,0.0107786
193,-318.457,238.995,-12.9876,-2.45073,-0.00183431,0.0127452
194,-318.667,238.747,-12.9874,-2.4344,-0.000479885,0.0130149
195,-318.89,238.495,-12.9944,-2.41695,-0.000733678,0.011852
196,-319.105,238.244,-13.0008,-2.40019,-0.00195793,0.010652
197,-319.334,237.978,-13.0098,-2.38493,-0.00388049,0.00999708
198,-319.567,237.716,-13.0175,-2.3702,-0.00564715,0.00993797
199,-319.809,237.453,-13.0337,-2.35646,-0.00944456,0.010977
200,-320.06,237.174,-13.0285,-2.34419,-0.0140915,0.0116651
201,-320.293,236.859,-13.0287,-2.3325,-0.0203339,0.0110957
