id,x,y,z,yaw,pitch,roll
1,-284.509,226.101,-15.7245,2.44695,-0.0286203,0.0119496
2,-284.91,226.13,-12.6213,2.44862,0.0133085,0.0411195
3,-285.371,226.534,-12.6071,2.44835,0.0121405,0.0363052
4,-285.597,226.747,-12.6224,2.44921,0.0108532,0.0346443
5,-285.802,226.924,-12.6201,2.4504,0.0100815,0.0314538
6,-286.014,227.114,-12.6304,2.45061,0.0106169,0.0316317
7,-286.225,227.307,-12.634,2.44981,0.00976127,0.0322423
8,-286.439,227.482,-12.6279,2.45034,0.0086775,0.0331972
9,-286.647,227.672,-12.6219,2.4514,0.00753329,0.033059
10,-286.85,227.853,-12.6035,2.4514,0.00634662,0.0335691
11,-287.064,228.03,-12.5946,2.4516,0.00242485,0.0331898
12,-287.254,228.176,-12.5962,2.45132,-0.00206288,0.0347154
13,-287.455,228.353,-12.6182,2.45111,-0.00448333,0.0371711
14,-287.638,228.522,-12.6403,2.45025,-0.00364162,0.0381653
15,-287.817,228.682,-12.643,2.45071,-0.00230875,0.0387837
16,-287.993,228.829,-12.6374,2.45097,-0.00121928,0.0397382
17,-288.16,228.985,-12.6403,2.45118,-0.00121146,0.0392622
18,-288.331,229.131,-12.6751,2.45172,0.00115372,0.0399217
19,-288.524,229.28,-12.679,2.45281,0.00442238,0.0404428
20,-288.682,229.414,-12.6812,2.4529,0.00633154,0.0392065
21,-288.822,229.561,-12.669,2.45289,0.00639385,0.0350361
22,-288.978,229.702,-12.6678,2.45388,0.00628273,0.0341307
23,-289.148,229.85,-12.693,2.4536,0.00632001,0.0362663
24,-289.308,229.973,-12.7185,2.45332,0.00936526,0.0383179
25,-289.464,230.068,-12.7205,2.45459,0.011433,0.0422834
26,-289.611,230.216,-12.7156,2.45524,0.0131205,0.043576
27,-289.741,230.352,-12.7052,2.45541,0.0137255,0.0443116
28,-289.878,230.474,-12.696,2.45438,0.0132016,0.0437293
29,-290.018,230.571,-12.693,2.45561,0.011761,0.0447106
30,-290.156,230.718,-12.6983,2.45632,0.00946174,0.0435635
31,-290.29,230.828,-12.6946,2.45625,0.0084162,0.0429115
32,-290.419,230.938,-12.6674,2.45666,0.00606425,0.0408919
33,-290.54,231.056,-12.6792,2.45636,0.00139746,0.0411191
34,-290.685,231.171,-12.6626,2.45603,-0.000974563,0.0398952
35,-290.815,231.293,-12.6203,2.45636,-0.00622479,0.0396365
36,-290.948,231.402,-12.6432,2.45487,-0.0142631,0.0410712
37,-291.064,231.495,-12.7028,2.455,-0.01504,0.0408109
38,-291.18,231.603,-12.7499,2.45532,-0.00994476,0.0414924
39,-291.32,231.712,-12.7821,2.45591,-0.000877692,0.0410017
40,-291.438,231.797,-12.7377,2.45635,0.00512282,0.041439
41,-291.564,231.92,-12.7147,2.45577,0.00196561,0.0431603
42,-291.679,232.046,-12.7213,2.45536,-0.000674873,0.0464655
43,-291.808,232.135,-12.7524,2.45368,-0.000388208,0.0519925
44,-291.941,232.249,-12.7608,2.45374,0.000995504,0.0555045
45,-292.067,232.345,-12.7582,2.45449,0.00443113,0.0546707
46,-292.194,232.464,-12.7517,2.45513,0.00614803,0.0499173
47,-292.286,232.551,-12.7532,2.45605,0.00669729,0.04687
48,-292.394,232.666,-12.739,2.45631,0.00529091,0.045354
49,-292.521,232.792,-12.7574,2.45495,0.00336706,0.0470703
50,-292.635,232.851,-12.7813,2.45441,0.00437401,0.0483723
51,-292.754,232.953,-12.7753,2.45533,0.00544093,0.0503148
52,-292.872,233.069,-12.7784,2.45427,0.00568019,0.0509254
53,-293.002,233.168,-12.7849,2.45394,0.00633255,0.0493557
54,-293.133,233.271,-12.8032,2.45521,0.00898655,0.0489713
55,-293.262,233.386,-12.7724,2.45611,0.0103594,0.0483154
56,-293.364,233.512,-12.7238,2.45583,0.00808799,0.0457967
57,-293.505,233.623,-12.7455,2.45451,-0.000423947,0.043165
58,-293.64,233.723,-12.7767,2.45443,-0.00327023,0.0431792
59,-293.784,233.849,-12.7889,2.4568,-0.00191935,0.0445358
60,-293.91,233.963,-12.7706,2.45759,-0.00329418,0.0469131
61,-294.029,234.068,-12.7529,2.45751,-0.00534399,0.0483381
62,-294.161,234.199,-12.784,2.45544,-0.00739978,0.0506554
63,-294.299,234.316,-12.7796,2.45476,-0.00686795,0.0508111
64,-294.435,234.423,-12.7795,2.45579,-0.00625529,0.0517368
65,-294.546,234.543,-12.7878,2.4548,-0.00573754,0.0517064
66,-294.694,234.658,-12.7832,2.45403,-0.00426294,0.0499778
67,-294.813,234.783,-12.7777,2.45512,-0.00380978,0.0471113
68,-294.956,234.879,-12.7938,2.45595,-0.00417258,0.0472988
69,-295.087,235.007,-12.799,2.45486,-0.00409876,0.0479068
70,-295.215,235.121,-12.8027,2.45476,-0.00438618,0.048677
71,-295.328,235.249,-12.8056,2.45481,-0.00424179,0.0485592
72,-295.475,235.354,-12.7983,2.45443,-0.00471279,0.0489056
73,-295.607,235.466,-12.8091,2.45363,-0.00489006,0.0492705
74,-295.753,235.586,-12.7936,2.45317,-0.00529347,0.0493934
75,-295.872,235.708,-12.8053,2.45388,-0.00498622,0.0493319
76,-296.002,235.822,-12.8139,2.45348,-0.00549584,0.0489112
77,-296.149,235.928,-12.8103,2.45284,-0.00479984,0.0478346
78,-296.286,236.039,-12.81,2.45314,-0.0045606,0.045986
79,-296.428,236.18,-12.8204,2.4541,-0.00544996,0.0453718
80,-296.559,236.3,-12.835,2.45378,-0.00418786,0.0454143
81,-296.711,236.42,-12.823,2.45379,-0.00258605,0.0447518
82,-296.863,236.548,-12.8148,2.45385,-0.0024226,0.0461161
83,-296.988,236.669,-12.811,2.45415,-0.00240232,0.0470161
84,-297.123,236.79,-12.814,2.45347,-0.00245611,0.0465591
85,-297.252,236.918,-12.8102,2.45341,-0.00202693,0.0466716
86,-297.411,237.04,-12.8124,2.45324,-0.00127497,0.0460919
87,-297.553,237.161,-12.8081,2.45312,-0.000415455,0.045528
88,-297.691,237.298,-12.8016,2.45376,-0.00196583,0.0450504
89,-297.83,237.42,-12.8109,2.45497,-0.00222144,0.0454637
90,-297.973,237.536,-12.7949,2.4548,-0.0023485,0.0448545
91,-298.138,237.668,-12.8111,2.45455,-0.00269578,0.043999
92,-298.261,237.791,-12.8084,2.45534,-0.00292449,0.0437395
93,-298.399,237.922,-12.8109,2.45568,-0.00294189,0.042444
94,-298.543,238.025,-12.8094,2.45579,-0.00336721,0.041685
95,-298.71,238.174,-12.8055,2.45542,-0.00418153,0.04058
96,-298.856,238.294,-12.808,2.4557,-0.00520181,0.0391234
97,-299.005,238.437,-12.8192,2.45614,-0.00720923,0.0392038
98,-299.179,238.565,-12.8142,2.45663,-0.00918697,0.0387272
99,-299.309,238.676,-12.8313,2.45788,-0.00917212,0.0378863
100,-299.46,238.815,-12.8446,2.45769,-0.00769664,0.0361517
101,-299.582,238.953,-12.8412,2.45837,-0.00601767,0.0351664
102,-299.738,239.071,-12.8461,2.4589,-0.00538215,0.0374043
103,-299.905,239.191,-12.8412,2.45913,-0.00505676,0.039418
104,-300.041,239.322,-12.8212,2.4599,-0.00502858,0.0379196
105,-300.196,239.466,-12.8298,2.46019,-0.0056327,0.0358374
106,-300.344,239.601,-12.8264,2.46109,-0.00483895,0.0334926
107,-300.504,239.726,-12.837,2.46137,-0.004551,0.0334574
108,-300.657,239.855,-12.8417,2.46195,-0.00403303,0.0324202
109,-300.814,239.974,-12.8445,2.46341,-0.0033627,0.0304834
110,-300.979,240.11,-12.8586,2.46386,-0.00353961,0.0303354
111,-301.122,240.252,-12.8462,2.46374,-0.00422886,0.0291866
112,-301.274,240.388,-12.854,2.46315,-0.00383405,0.0281406
113,-301.451,240.511,-12.8574,2.46394,-0.00237065,0.0264112
114,-301.596,240.651,-12.8523,2.46619,-0.002313,0.0227484
115,-301.744,240.77,-12.8571,2.46865,-0.00602956,0.0219036
116,-301.923,240.903,-12.863,2.47064,-0.00670392,0.0199178
117,-302.084,241.019,-12.8641,2.47338,-0.0060249,0.0176153
118,-302.245,241.164,-12.8641,2.47528,-0.00609238,0.01837
119,-302.402,241.282,-12.878,2.47826,-0.00532647,0.0181326
120,-302.585,241.398,-12.8817,2.48083,-0.00509506,0.0179998
121,-302.747,241.549,-12.881,2.48197,-0.00484708,0.0177116
122,-302.906,241.67,-12.8838,2.48455,-0.00487279,0.0175707
123,-303.083,241.799,-12.8822,2.48711,-0.00538677,0.0168754
124,-303.249,241.921,-12.8748,2.49038,-0.00512806,0.0156213
125,-303.426,242.041,-12.8726,2.49357,-0.00516084,0.0145881
126,-303.603,242.161,-12.8746,2.49652,-0.0055077,0.0139171
127,-303.766,242.29,-12.8644,2.49954,-0.00546431,0.0130989
128,-303.94,242.426,-12.8558,2.50358,-0.00521693,0.0124169
129,-304.121,242.555,-12.8652,2.50932,-0.00494823,0.0115272
130,-304.296,242.665,-12.8571,2.51391,-0.00454303,0.0108764
131,-304.476,242.771,-12.8648,2.51873,-0.00496396,0.0120286
132,-304.663,242.89,-12.8571,2.52505,-0.00716364,0.0146218
133,-304.852,242.998,-12.833,2.53259,-0.00944564,0.0163824
134,-305.051,243.103,-12.8227,2.5422,-0.011571,0.0155147
135,-305.216,243.215,-12.8306,2.55222,-0.012168,0.010408
136,-305.406,243.318,-12.8342,2.56311,-0.0128905,0.0071999
137,-305.591,243.405,-12.8411,2.57464,-0.0129175,0.00629952
138,-305.787,243.473,-12.8539,2.58629,-0.0128736,0.00706855
139,-305.998,243.57,-12.8466,2.59815,-0.012556,0.00613071
140,-306.181,243.632,-12.8613,2.61083,-0.0122805,0.0062074
141,-306.389,243.707,-12.8658,2.62335,-0.0130518,0.0057765
142,-306.592,243.78,-12.8514,2.63652,-0.0135132,0.0053112
143,-306.8,243.857,-12.8409,2.65042,-0.0133033,0.00296533
144,-307.003,243.93,-12.8619,2.66611,-0.0138524,0.00100947
145,-307.201,243.984,-12.8534,2.68099,-0.014126,0.00282354
146,-307.423,244.039,-12.8517,2.69574,-0.014002,0.00439347
147,-307.632,244.084,-12.8608,2.71163,-0.0136499,0.00535282
148,-307.845,244.131,-12.8507,2.72853,-0.0135496,0.00665608
