id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.0125534,0.0385132
2,-285.145,226.35,-12.5996,2.44785,0.0130152,0.0411482
3,-284.897,226.126,-12.6007,2.44786,0.0145739,0.0423908
4,-285.576,226.742,-12.6067,2.44871,0.0121219,0.0338441
5,-285.786,226.934,-12.6126,2.44983,0.0111783,0.0315613
6,-286.007,227.137,-12.618,2.45059,0.0109943,0.0315343
7,-286.21,227.319,-12.615,2.44965,0.0104736,0.0319889
8,-286.436,227.509,-12.6135,2.45033,0.00956129,0.03276
9,-286.646,227.689,-12.6175,2.45104,0.00796371,0.0339857
10,-286.849,227.87,-12.6154,2.45111,0.00703144,0.0334053
11,-287.052,228.044,-12.5983,2.45138,0.00284499,0.0335097
12,-287.25,228.213,-12.5985,2.45098,-0.00186984,0.0358582
13,-287.441,228.372,-12.6183,2.45079,-0.00385549,0.0380984
14,-287.623,228.525,-12.6298,2.45049,-0.00297775,0.038815
15,-287.811,228.684,-12.6414,2.45093,-0.00160885,0.0397444
16,-287.983,228.833,-12.6356,2.45111,-0.000487399,0.0400922
17,-288.168,228.997,-12.6468,2.45149,-0.000482607,0.0407024
18,-288.339,229.134,-12.6646,2.45203,0.00171421,0.0412077
19,-288.511,229.286,-12.6727,2.45275,0.00525666,0.0405455
20,-288.671,229.426,-12.6643,2.4531,0.00665074,0.0376875
21,-288.833,229.56,-12.6561,2.45351,0.00637836,0.0351614
22,-288.993,229.704,-12.6619,2.45443,0.00586154,0.0346739
23,-289.144,229.832,-12.671,2.45428,0.00676737,0.0368644
24,-289.279,229.982,-12.6782,2.45403,0.00991772,0.0378737
25,-289.462,230.083,-12.6928,2.45478,0.0123619,0.0413021
26,-289.59,230.241,-12.6822,2.45593,0.0141696,0.0423752
27,-289.733,230.365,-12.6781,2.45634,0.0144456,0.0439634
28,-289.916,230.471,-12.6864,2.45595,0.0135531,0.0451576
29,-290.058,230.592,-12.6784,2.45684,0.0118075,0.044542
30,-290.197,230.709,-12.6904,2.45839,0.00939406,0.0447177
31,-290.329,230.823,-12.6782,2.45837,0.00853118,0.0432519
32,-290.462,230.948,-12.6618,2.45874,0.00567365,0.0411878
33,-290.582,231.06,-12.6733,2.45742,0.0017787,0.0422843
34,-290.725,231.179,-12.6651,2.45719,-0.000713218,0.0422489
35,-290.841,231.298,-12.619,2.45705,-0.00669756,0.0402004
36,-290.967,231.431,-12.6272,2.45619,-0.0152795,0.0402657
