id,x,y,z,yaw,pitch,roll
1,-284.896,226.846,-14.6413,2.45523,-0.0312331,-0.1018
2,-284.567,226.805,-14.2528,2.45484,-0.0274235,-0.15122
3,-284.784,227.145,-13.9494,2.4509,0.0216759,-0.185715
4,-284.987,227.334,-13.951,2.45141,0.0234522,-0.188772
5,-285.205,227.53,-13.9369,2.45169,0.0257978,-0.190484
6,-285.409,227.712,-13.9409,2.45225,0.0270621,-0.191299
7,-285.595,227.885,-13.94,2.4517,0.0282149,-0.192632
8,-285.835,228.085,-13.9457,2.45197,0.0274182,-0.192847
9,-285.99,228.216,-13.9533,2.45298,0.0278746,-0.191377
10,-286.231,228.433,-13.9816,2.45288,0.0265447,-0.190302
11,-286.446,228.642,-13.9664,2.45315,0.0197879,-0.192159
12,-286.601,228.767,-13.9739,2.45437,0.0166018,-0.191129
13,-286.84,228.969,-13.9957,2.45437,0.0129253,-0.188709
14,-287.031,229.129,-13.9946,2.454,0.010813,-0.187831
15,-287.215,229.279,-13.9997,2.45503,0.0103072,-0.187037
16,-287.375,229.426,-14.0044,2.4549,0.0104774,-0.188958
17,-287.565,229.58,-13.9985,2.45534,0.00997369,-0.186229
18,-287.744,229.697,-14.0288,2.45566,0.0122719,-0.182535
19,-287.929,229.842,-14.0402,2.45638,0.0136309,-0.181157
20,-288.087,229.988,-14.0322,2.45696,0.0142816,-0.184056
21,-288.283,230.125,-14.0342,2.45671,0.0140115,-0.182213
22,-288.427,230.252,-14.0479,2.45822,0.014172,-0.182467
23,-288.61,230.409,-14.0546,2.45702,0.0150485,-0.180448
24,-288.652,230.602,-14.1101,2.45636,0.0176988,-0.189555
25,-288.926,230.652,-14.0664,2.4559,0.0221239,-0.175329
26,-288.941,230.846,-14.1329,2.45726,0.0272408,-0.186461
27,-289.068,230.951,-14.1358,2.45766,0.0286888,-0.184129
28,-289.247,230.981,-14.1027,2.45704,0.0290118,-0.179127
29,-289.489,231.117,-14.0494,2.45615,0.0274846,-0.17248
30,-289.612,231.248,-14.0724,2.45709,0.0273604,-0.173026
31,-289.751,231.355,-14.0535,2.45725,0.0260733,-0.172922
32,-289.91,231.47,-14.0385,2.4584,0.0211037,-0.171223
33,-290.033,231.584,-14.0296,2.45829,0.0178551,-0.168675
34,-290.172,231.683,-14.02,2.45782,0.0155538,-0.166563
35,-290.323,231.809,-13.9613,2.45926,0.00634278,-0.165081
36,-290.338,232.024,-14.113,2.46057,-0.00110672,-0.18267
37,-290.461,232.131,-14.1294,2.46081,-0.00367193,-0.181864
38,-290.694,232.172,-14.0354,2.46044,-0.00362487,-0.168938
39,-290.718,232.342,-14.1779,2.46208,0.00153808,-0.18096
40,-290.934,232.389,-14.076,2.4609,0.00601593,-0.17298
41,-291.026,232.458,-14.0418,2.46004,0.00560826,-0.169067
42,-291.265,232.556,-13.9565,2.45881,-0.000842112,-0.148882
43,-291.82,232.16,-12.7458,2.45395,-0.000562767,0.0526236
44,-291.942,232.26,-12.7498,2.45365,0.00152612,0.0559001
45,-292.067,232.37,-12.749,2.45439,0.00386867,0.0551187
46,-292.188,232.475,-12.7422,2.45513,0.00673747,0.0504522
47,-292.294,232.573,-12.7365,2.45588,0.00747112,0.0462709
48,-292.413,232.677,-12.7371,2.45642,0.00572278,0.0458745
49,-292.525,232.781,-12.7466,2.45491,0.00419536,0.0476066
50,-292.65,232.873,-12.7652,2.45452,0.00478647,0.0490583
51,-292.765,232.978,-12.7591,2.45507,0.00582054,0.0507744
52,-292.873,233.074,-12.7593,2.4543,0.00587929,0.051125
53,-293,233.183,-12.7625,2.4536,0.00679519,0.0491506
54,-293.129,233.294,-12.7749,2.4551,0.00994417,0.0486562
55,-293.246,233.402,-12.7583,2.45607,0.0113953,0.0486991
56,-293.377,233.529,-12.7225,2.45557,0.00804584,0.0453711
57,-293.512,233.647,-12.7339,2.45429,1.63487e-05,0.0430417
58,-293.651,233.762,-12.7645,2.45467,-0.00255046,0.0423023
59,-293.779,233.872,-12.7672,2.4569,-0.00150549,0.0435866
60,-293.901,233.981,-12.7565,2.45752,-0.00253302,0.0469715
61,-294.038,234.093,-12.7492,2.45733,-0.00476974,0.0483943
62,-294.173,234.211,-12.7745,2.45582,-0.00653403,0.0503886
63,-294.295,234.323,-12.7787,2.4549,-0.0059981,0.0510724
64,-294.426,234.432,-12.7759,2.45548,-0.00558808,0.052043
65,-294.55,234.556,-12.7842,2.45452,-0.00517736,0.0521188
66,-294.684,234.669,-12.7809,2.45374,-0.00362662,0.0494274
67,-294.816,234.786,-12.7841,2.45485,-0.00368985,0.0479425
68,-294.944,234.896,-12.7879,2.45531,-0.0037493,0.0478963
69,-295.081,235.019,-12.7886,2.45475,-0.00404771,0.0475662
70,-295.222,235.143,-12.7908,2.45504,-0.00428926,0.0477457
71,-295.345,235.252,-12.7931,2.45508,-0.00394411,0.0485162
72,-295.477,235.373,-12.7922,2.45441,-0.00432753,0.0485577
73,-295.613,235.493,-12.796,2.45365,-0.00491153,0.0486771
74,-295.749,235.612,-12.7975,2.45351,-0.00510375,0.0489917
75,-295.882,235.725,-12.8,2.45424,-0.0053443,0.0492614
76,-296.01,235.836,-12.8011,2.45373,-0.00510951,0.0489606
77,-296.152,235.958,-12.7944,2.45295,-0.00450069,0.0472412
78,-296.287,236.073,-12.7919,2.45323,-0.00486236,0.0452077
79,-296.427,236.201,-12.8032,2.45446,-0.00496855,0.0445961
80,-296.562,236.325,-12.8133,2.4543,-0.00327822,0.0442658
81,-296.705,236.443,-12.8157,2.45402,-0.00162993,0.0444696
82,-296.847,236.564,-12.8082,2.45447,-0.00117954,0.0457995
83,-296.988,236.69,-12.8038,2.45438,-0.00153381,0.0465036
84,-297.13,236.816,-12.8008,2.45427,-0.00146656,0.0460674
85,-297.265,236.932,-12.8069,2.45413,-0.000785786,0.0457769
86,-297.41,237.063,-12.8087,2.4536,0.000517874,0.0453982
87,-297.547,237.181,-12.8033,2.45364,0.000783615,0.044717
88,-297.706,237.324,-12.802,2.45436,-0.000932526,0.0446425
89,-297.84,237.441,-12.8104,2.45532,-0.00121679,0.0452015
90,-297.985,237.563,-12.8072,2.45495,-0.00151324,0.0451982
91,-298.127,237.689,-12.8144,2.45472,-0.00206159,0.0442058
92,-298.271,237.819,-12.8196,2.45552,-0.00234909,0.0437776
93,-298.407,237.93,-12.8215,2.45612,-0.00259104,0.0431078
94,-298.558,238.064,-12.8224,2.4558,-0.00295727,0.0420139
95,-298.705,238.202,-12.823,2.45531,-0.00393994,0.0408103
96,-298.852,238.33,-12.8173,2.45591,-0.00545657,0.0396257
97,-299.003,238.455,-12.8191,2.45625,-0.00708856,0.0388964
98,-299.155,238.587,-12.8165,2.45709,-0.00889065,0.0377234
99,-299.3,238.714,-12.8255,2.4581,-0.00906327,0.036908
100,-299.45,238.843,-12.8379,2.45811,-0.00749944,0.0356605
101,-299.592,238.975,-12.8418,2.45871,-0.00663567,0.0351027
102,-299.736,239.09,-12.8472,2.45914,-0.00569351,0.037442
103,-299.898,239.217,-12.8394,2.45922,-0.00501731,0.0394704
104,-300.052,239.352,-12.8312,2.4599,-0.00546966,0.0381343
105,-300.198,239.487,-12.8393,2.46044,-0.00589881,0.0361996
106,-300.35,239.619,-12.8453,2.461,-0.00529711,0.0338933
107,-300.496,239.746,-12.8482,2.4615,-0.004538,0.0328869
108,-300.658,239.873,-12.8515,2.46222,-0.00401005,0.0318991
109,-300.807,239.997,-12.8513,2.46318,-0.00397672,0.0307752
110,-300.962,240.133,-12.8542,2.46347,-0.00428695,0.0299018
111,-301.119,240.268,-12.855,2.46364,-0.00460574,0.0293767
112,-301.27,240.393,-12.8547,2.46344,-0.00425168,0.0282214
113,-301.428,240.525,-12.854,2.46355,-0.00280673,0.0259407
114,-301.602,240.672,-12.848,2.46648,-0.00280706,0.0225995
115,-301.755,240.795,-12.8483,2.46885,-0.00535351,0.0217302
116,-301.916,240.935,-12.8426,2.47063,-0.0063425,0.0188907
117,-302.083,241.055,-12.8541,2.4736,-0.00641797,0.0174306
118,-302.234,241.181,-12.8547,2.47541,-0.00605424,0.018191
119,-302.402,241.305,-12.858,2.47831,-0.00534966,0.0173108
120,-302.571,241.43,-12.8639,2.48075,-0.00490118,0.0170959
121,-302.736,241.558,-12.8642,2.48245,-0.00465731,0.0173057
122,-302.903,241.691,-12.8625,2.48469,-0.00486893,0.0168694
123,-303.077,241.821,-12.8625,2.48727,-0.00511096,0.0164453
124,-303.25,241.952,-12.8614,2.49049,-0.00469224,0.0154423
125,-303.416,242.073,-12.8653,2.49347,-0.00484498,0.0146831
126,-303.589,242.198,-12.864,2.49663,-0.00534829,0.0137965
127,-303.764,242.318,-12.8692,2.49978,-0.00524546,0.0131032
128,-303.939,242.444,-12.8675,2.5038,-0.00475617,0.0122943
129,-304.116,242.563,-12.867,2.50939,-0.00438992,0.0108818
130,-304.284,242.683,-12.869,2.5142,-0.0043048,0.0108222
131,-304.462,242.795,-12.8743,2.51885,-0.0046371,0.012112
132,-304.648,242.905,-12.8702,2.52492,-0.00695263,0.0147879
133,-304.837,243.015,-12.8563,2.53272,-0.00889352,0.0162879
134,-305.025,243.122,-12.8504,2.54249,-0.0106095,0.014853
135,-305.207,243.217,-12.8519,2.55259,-0.011349,0.0108545
136,-305.401,243.316,-12.8589,2.56385,-0.0124432,0.00767769
137,-305.592,243.401,-12.8657,2.57523,-0.0119742,0.00688967
138,-305.792,243.491,-12.8683,2.58694,-0.011984,0.00734221
139,-305.988,243.574,-12.867,2.59868,-0.0119448,0.00692161
140,-306.186,243.65,-12.8688,2.61147,-0.0119611,0.00682107
141,-306.394,243.725,-12.867,2.62428,-0.0127596,0.00670829
142,-306.596,243.792,-12.8622,2.63704,-0.0129569,0.00597508
143,-306.797,243.866,-12.8613,2.65113,-0.0128023,0.0036704
144,-307.002,243.934,-12.871,2.66689,-0.0140165,0.00131824
145,-307.206,243.986,-12.869,2.68138,-0.0141091,0.00326049
146,-307.417,244.04,-12.8694,2.6964,-0.0133918,0.00476777
147,-307.626,244.087,-12.8746,2.71236,-0.013246,0.00600482
148,-307.85,244.137,-12.8704,2.7296,-0.0132144,0.00738167
149,-308.07,244.177,-12.8609,2.74769,-0.0122957,0.00711286
150,-308.284,244.212,-12.8625,2.76696,-0.0114271,0.00566845
151,-308.509,244.233,-12.8677,2.78785,-0.0107742,0.0045409
152,-308.731,244.25,-12.8684,2.80888,-0.0107161,0.00294454
153,-308.955,244.269,-12.8711,2.83,-0.0106986,0.00189725
154,-309.186,244.277,-12.8757,2.85272,-0.0103244,0.00253224
155,-309.424,244.273,-12.8771,2.87633,-0.00962697,0.00331552
156,-309.653,244.261,-12.8751,2.89981,-0.0082262,0.00266526
157,-309.888,244.25,-12.8722,2.92354,-0.0067666,0.00090109
158,-310.12,244.222,-12.8753,2.94795,-0.00608897,-0.000802737
159,-310.353,244.188,-12.8798,2.97238,-0.0059761,-0.00105048
160,-310.59,244.15,-12.8782,2.99786,-0.00568315,-0.00109023
161,-310.811,244.104,-12.883,3.02314,-0.00519401,-0.000200467
162,-311.039,244.057,-12.8857,3.04767,-0.00505928,0.000875659
163,-311.276,243.995,-12.8898,3.07325,-0.00479813,0.00226618
164,-311.512,243.937,-12.8892,3.09923,-0.00499504,0.00344984
165,-311.751,243.864,-12.8877,3.12555,-0.00539082,0.00385716
166,-311.979,243.791,-12.895,-3.13093,-0.00472999,0.00425127
167,-312.219,243.708,-12.8971,-3.10414,-0.00313364,0.00448659
168,-312.44,243.613,-12.9031,-3.07729,-0.00233492,0.00440981
169,-312.675,243.52,-12.9023,-3.05013,-0.00312877,0.00481619
170,-312.914,243.416,-12.9054,-3.02234,-0.00330322,0.00547092
171,-313.151,243.295,-12.9146,-2.99398,-0.00316435,0.0067173
172,-313.388,243.178,-12.9211,-2.96552,-0.00206513,0.0082969
173,-313.618,243.052,-12.9184,-2.93718,0.000137834,0.00971037
174,-313.848,242.921,-12.927,-2.90901,0.00243635,0.00990633
175,-314.082,242.778,-12.9359,-2.87961,0.00250571,0.0108909
176,-314.315,242.621,-12.942,-2.85064,0.000313283,0.0126647
177,-314.555,242.46,-12.9432,-2.82271,-0.00124614,0.0125795
178,-314.792,242.303,-12.9453,-2.79393,-0.00330164,0.00960733
179,-315.043,242.116,-12.9567,-2.76438,-0.00484711,0.00993714
180,-315.28,241.925,-12.9644,-2.73571,-0.00404389,0.0130826
181,-315.534,241.728,-12.9638,-2.7079,-0.00295261,0.0158481
182,-315.782,241.522,-12.9687,-2.67958,-0.0017109,0.0168728
183,-316.024,241.309,-12.9659,-2.65324,-0.000346438,0.016381
184,-316.278,241.095,-12.9631,-2.62635,0.00111055,0.0148567
185,-316.53,240.862,-12.9697,-2.60073,0.0021887,0.0132753
186,-316.774,240.633,-12.9661,-2.57754,0.00352922,0.0100373
187,-317.01,240.414,-12.97,-2.55648,0.00517438,0.00472825
188,-317.259,240.19,-12.9928,-2.53706,0.00680991,0.00181402
189,-317.496,239.968,-13.0089,-2.51844,0.00701577,0.00326147
190,-317.726,239.723,-13.0117,-2.50096,0.00562038,0.00726793
191,-317.965,239.488,-13.0139,-2.48489,0.00271902,0.0101392
192,-318.207,239.256,-13.0023,-2.46779,0.000545108,0.0114682
193,-318.424,239.01,-13.0078,-2.45057,0.000281127,0.0133959
194,-318.637,238.759,-13.0077,-2.43412,0.00115039,0.0138336
195,-318.87,238.513,-13.0157,-2.41697,0.000781041,0.0126239
196,-319.096,238.271,-13.0278,-2.40018,-0.000247559,0.0115737
197,-319.316,238,-13.0274,-2.38501,-0.00259328,0.0106306
198,-319.545,237.732,-13.0381,-2.37025,-0.00412477,0.0105856
199,-319.776,237.473,-13.0492,-2.35677,-0.00785022,0.0118289
200,-320.022,237.177,-13.0512,-2.34379,-0.0127087,0.0124799
201,-320.266,236.88,-13.0477,-2.33275,-0.0185374,0.0116711
