id,x,y,z,yaw,pitch,roll
1,-285.129,226.334,-12.6075,2.44793,0.0129649,0.0414128
2,-284.899,226.127,-12.601,2.44786,0.0145564,0.0424387
3,-285.342,226.523,-12.5999,2.44806,0.0128691,0.0381297
4,-285.567,226.735,-12.6075,2.44863,0.0121606,0.0339869
5,-285.779,226.929,-12.6125,2.44977,0.0112105,0.0315914
6,-285.999,227.131,-12.6175,2.45051,0.0110546,0.0314902
7,-286.217,227.324,-12.6148,2.44967,0.0104177,0.0319895
8,-286.431,227.504,-12.6138,2.45026,0.0095772,0.0327658
9,-286.638,227.682,-12.6158,2.45092,0.00809035,0.0339197
10,-286.847,227.868,-12.6155,2.45109,0.00705524,0.0334129
11,-287.052,228.044,-12.5983,2.45137,0.0028445,0.03351
12,-287.249,228.212,-12.5987,2.45098,-0.00184484,0.0358239
13,-287.437,228.369,-12.6173,2.45078,-0.00380827,0.0380284
14,-287.618,228.52,-12.6297,2.45047,-0.00297224,0.038847
15,-287.811,228.683,-12.6415,2.45091,-0.00160041,0.0397516
16,-287.977,228.828,-12.6357,2.45112,-0.000486882,0.040077
17,-288.159,228.988,-12.6458,2.45151,-0.000433019,0.0406722
18,-288.331,229.127,-12.6645,2.45203,0.00173951,0.0411578
19,-288.51,229.285,-12.6729,2.45275,0.00524735,0.0405573
20,-288.657,229.414,-12.6666,2.45305,0.0065569,0.0377999
21,-288.825,229.553,-12.6568,2.45349,0.00636769,0.0352228
22,-288.99,229.701,-12.6617,2.45442,0.00586956,0.0346721
23,-289.138,229.827,-12.671,2.45429,0.00677039,0.0367845
24,-289.277,229.979,-12.678,2.45402,0.00989381,0.037861
25,-289.455,230.078,-12.6923,2.45477,0.0123761,0.0411769
26,-289.587,230.238,-12.6823,2.4559,0.0141572,0.0423931
27,-289.727,230.361,-12.678,2.45633,0.0144887,0.0438556
28,-289.914,230.47,-12.6861,2.45595,0.0135744,0.0450912
29,-290.054,230.59,-12.6781,2.45685,0.0118543,0.0444946
30,-290.195,230.708,-12.6891,2.45833,0.00941564,0.0446328
31,-290.327,230.821,-12.678,2.45836,0.00855792,0.0432683
32,-290.46,230.947,-12.6618,2.4587,0.00571001,0.0411793
33,-290.581,231.06,-12.673,2.45741,0.00180277,0.042262
34,-290.723,231.177,-12.6648,2.45721,-0.000657885,0.0422088
35,-290.841,231.298,-12.6188,2.45705,-0.00669227,0.0401934
36,-290.967,231.43,-12.627,2.45618,-0.0152452,0.0402514
37,-291.1,231.538,-12.6655,2.45663,-0.015408,0.0403047
38,-291.227,231.636,-12.7199,2.45652,-0.00915356,0.0412528
39,-291.344,231.739,-12.7286,2.45823,0.000257417,0.0405547
40,-291.466,231.832,-12.7171,2.45828,0.00534828,0.041575
41,-291.588,231.94,-12.6982,2.45794,0.00272283,0.043248
42,-291.713,232.062,-12.717,2.45685,-0.000804427,0.0473236
43,-291.84,232.153,-12.7348,2.45565,-0.000635994,0.0523549
44,-291.965,232.252,-12.7445,2.45487,0.00133848,0.0564292
45,-292.096,232.368,-12.7356,2.45537,0.00407255,0.0553735
46,-292.202,232.463,-12.7331,2.45601,0.00672611,0.050762
47,-292.309,232.563,-12.7267,2.45717,0.00754179,0.0455585
48,-292.426,232.664,-12.7282,2.4574,0.00594584,0.0455592
49,-292.539,232.768,-12.7406,2.45575,0.0043807,0.047569
50,-292.64,232.842,-12.756,2.4552,0.00488967,0.0486902
51,-292.763,232.955,-12.7504,2.45572,0.00610401,0.0503053
52,-292.881,233.059,-12.7486,2.45512,0.00605406,0.0505491
53,-292.997,233.157,-12.7504,2.45453,0.00682315,0.049021
54,-293.141,233.285,-12.76,2.45604,0.0104108,0.0481549
55,-293.257,233.397,-12.7488,2.4569,0.0116959,0.0482068
56,-293.386,233.511,-12.7108,2.45659,0.0086116,0.0450288
57,-293.535,233.644,-12.7202,2.45514,8.39351e-05,0.0424724
58,-293.67,233.749,-12.7546,2.45521,-0.00246052,0.0421466
59,-293.797,233.856,-12.7596,2.45743,-0.00116957,0.0437179
60,-293.923,233.964,-12.7526,2.45816,-0.00214617,0.0469577
61,-294.052,234.076,-12.7426,2.4577,-0.00440974,0.0484716
62,-294.187,234.203,-12.7671,2.45632,-0.00619759,0.0498544
63,-294.313,234.308,-12.7723,2.4554,-0.00579183,0.0506881
64,-294.438,234.412,-12.7718,2.45603,-0.0053604,0.0519791
65,-294.558,234.521,-12.7812,2.45519,-0.00492715,0.0521405
66,-294.701,234.654,-12.7793,2.45436,-0.00335524,0.0498543
67,-294.821,234.768,-12.7833,2.45541,-0.00351746,0.0482164
68,-294.947,234.881,-12.7905,2.45583,-0.00360804,0.0482695
69,-295.087,235.012,-12.7918,2.45531,-0.00384688,0.0479314
70,-295.219,235.125,-12.7944,2.45539,-0.00402802,0.0485646
71,-295.335,235.226,-12.7962,2.45543,-0.00377422,0.0492105
72,-295.483,235.36,-12.7902,2.45496,-0.0043055,0.0491417
73,-295.624,235.483,-12.7899,2.4542,-0.00489276,0.0489234
74,-295.745,235.581,-12.7907,2.45444,-0.00484799,0.0489411
75,-295.894,235.703,-12.7962,2.45525,-0.00522743,0.0494503
76,-296.012,235.809,-12.7987,2.45465,-0.00506375,0.0491024
77,-296.158,235.926,-12.7937,2.45402,-0.00436461,0.0476392
78,-296.297,236.044,-12.7849,2.45411,-0.00461692,0.0453195
79,-296.443,236.173,-12.7962,2.45538,-0.0049533,0.0447536
80,-296.588,236.301,-12.8013,2.45545,-0.00319651,0.0445466
81,-296.729,236.419,-12.8042,2.4552,-0.00148896,0.0447512
82,-296.861,236.533,-12.794,2.4555,-0.000823001,0.0460507
83,-296.999,236.661,-12.7862,2.45554,-0.000923785,0.0464495
84,-297.148,236.792,-12.7847,2.45492,-0.00110314,0.0460762
85,-297.284,236.903,-12.7887,2.45481,-0.000460332,0.04566
86,-297.432,237.032,-12.7958,2.45434,0.000831362,0.0454438
87,-297.553,237.137,-12.7898,2.45444,0.000917743,0.0449762
88,-297.728,237.29,-12.7907,2.45505,-0.000766327,0.0451153
89,-297.864,237.404,-12.7976,2.45595,-0.00106469,0.0457373
90,-298.004,237.533,-12.793,2.4558,-0.00123945,0.0454602
91,-298.155,237.671,-12.8001,2.45574,-0.0021203,0.0445791
92,-298.28,237.786,-12.8048,2.45638,-0.00222529,0.0442107
93,-298.42,237.905,-12.81,2.45697,-0.00245764,0.0437283
94,-298.582,238.044,-12.8147,2.45666,-0.00290108,0.0426263
95,-298.723,238.178,-12.8132,2.45624,-0.00374236,0.0413808
96,-298.877,238.31,-12.8054,2.4566,-0.00537868,0.0400883
97,-299.029,238.436,-12.8068,2.45719,-0.00704027,0.0390506
98,-299.18,238.575,-12.8101,2.45833,-0.00892748,0.0375065
99,-299.316,238.694,-12.8208,2.45935,-0.00896334,0.0368366
100,-299.467,238.815,-12.8328,2.45942,-0.00734913,0.0356641
101,-299.625,238.955,-12.8383,2.4599,-0.00610929,0.0350267
102,-299.76,239.07,-12.8461,2.46027,-0.00538198,0.0373337
103,-299.913,239.183,-12.8404,2.46033,-0.00489329,0.0398994
104,-300.057,239.308,-12.8305,2.46101,-0.00499551,0.0383709
105,-300.219,239.444,-12.8339,2.4616,-0.00546808,0.0361556
106,-300.357,239.567,-12.842,2.46213,-0.00503404,0.0344765
107,-300.522,239.717,-12.8441,2.46258,-0.00413906,0.0329555
108,-300.668,239.835,-12.8467,2.46331,-0.00357868,0.0321157
109,-300.825,239.965,-12.8425,2.46427,-0.0036567,0.0309987
110,-300.981,240.1,-12.8463,2.46441,-0.00378604,0.030437
111,-301.134,240.234,-12.8455,2.46466,-0.00405237,0.0297868
112,-301.288,240.362,-12.8475,2.46459,-0.00374456,0.0286829
113,-301.441,240.489,-12.8507,2.4649,-0.00244368,0.0268748
114,-301.622,240.627,-12.8459,2.46761,-0.00230288,0.0233902
115,-301.777,240.767,-12.847,2.46983,-0.00498554,0.0219178
116,-301.934,240.896,-12.8444,2.47194,-0.00581841,0.0196661
117,-302.111,241.019,-12.8552,2.47457,-0.00603501,0.018246
118,-302.273,241.143,-12.8562,2.47648,-0.00574838,0.019319
119,-302.436,241.26,-12.8607,2.47947,-0.00519793,0.0184512
120,-302.604,241.387,-12.8691,2.48203,-0.00469879,0.0183505
121,-302.773,241.526,-12.866,2.48364,-0.00454418,0.0183372
122,-302.94,241.662,-12.8617,2.48585,-0.00472665,0.0178743
123,-303.106,241.79,-12.8635,2.48833,-0.00484677,0.0172761
124,-303.282,241.918,-12.8606,2.4916,-0.00434034,0.0161286
125,-303.443,242.034,-12.8633,2.49462,-0.004597,0.0151669
126,-303.617,242.163,-12.8639,2.49778,-0.00493187,0.0143261
127,-303.79,242.277,-12.8668,2.50088,-0.00487842,0.0135449
128,-303.969,242.401,-12.867,2.50493,-0.00427761,0.0127266
129,-304.143,242.523,-12.8695,2.51042,-0.00410431,0.0113655
130,-304.317,242.643,-12.8695,2.51518,-0.00411027,0.0111859
131,-304.491,242.753,-12.8749,2.51979,-0.00438626,0.0126185
132,-304.679,242.872,-12.8743,2.52607,-0.00651925,0.0155416
133,-304.867,242.984,-12.8619,2.53383,-0.00858584,0.0168276
134,-305.059,243.089,-12.8526,2.54364,-0.0105027,0.0150789
135,-305.243,243.196,-12.855,2.55381,-0.0113284,0.0112368
136,-305.435,243.279,-12.8644,2.56482,-0.0117895,0.0085286
137,-305.63,243.365,-12.8736,2.5763,-0.0114402,0.00794143
138,-305.83,243.45,-12.8758,2.58788,-0.0115308,0.00824473
139,-306.027,243.534,-12.8699,2.59969,-0.0117496,0.00807528
140,-306.224,243.609,-12.8723,2.61182,-0.0117887,0.00801936
141,-306.435,243.677,-12.8706,2.62507,-0.0127268,0.00822192
142,-306.632,243.746,-12.8638,2.63751,-0.0128797,0.00707665
143,-306.834,243.82,-12.8625,2.65202,-0.0127142,0.0043974
144,-307.041,243.902,-12.8718,2.6677,-0.0139418,0.00266023
145,-307.245,243.96,-12.8723,2.68217,-0.0140819,0.0042995
146,-307.449,244.012,-12.8721,2.69698,-0.0134574,0.00550726
147,-307.653,244.06,-12.876,2.71279,-0.0132413,0.00672893
148,-307.87,244.109,-12.8695,2.73024,-0.0132233,0.00783444
149,-308.087,244.142,-12.8601,2.74835,-0.0122237,0.00774058
150,-308.316,244.183,-12.8624,2.76734,-0.0112983,0.00624963
151,-308.544,244.211,-12.8675,2.78819,-0.0108556,0.00520503
152,-308.764,244.233,-12.8709,2.80917,-0.0108478,0.00371135
153,-308.985,244.243,-12.8753,2.83019,-0.0109563,0.0026884
154,-309.216,244.257,-12.8791,2.85289,-0.0105323,0.00292161
155,-309.454,244.252,-12.881,2.87647,-0.009867,0.00379369
156,-309.681,244.241,-12.8769,2.89985,-0.00856211,0.00292358
157,-309.905,244.244,-12.8726,2.92298,-0.00702441,0.00105219
158,-310.142,244.211,-12.8724,2.94805,-0.00627998,-0.000775715
159,-310.373,244.181,-12.8739,2.97212,-0.00602948,-0.00118991
160,-310.607,244.132,-12.8714,2.99778,-0.00586614,-0.00105311
161,-310.832,244.087,-12.8795,3.02318,-0.00553741,0.000136638
162,-311.06,244.037,-12.8825,3.048,-0.00553677,0.00119526
163,-311.293,243.982,-12.8838,3.07339,-0.00521863,0.00231813
164,-311.531,243.924,-12.8816,3.09925,-0.00559431,0.00367421
165,-311.767,243.849,-12.8775,3.12574,-0.00601718,0.00410946
166,-312,243.774,-12.8833,-3.13072,-0.00570299,0.00454645
167,-312.239,243.692,-12.8829,-3.1039,-0.00431624,0.00482259
168,-312.464,243.594,-12.8882,-3.07708,-0.00371013,0.00504332
169,-312.697,243.501,-12.887,-3.05021,-0.0042003,0.00565974
170,-312.944,243.39,-12.8963,-3.02213,-0.00458453,0.00638819
171,-313.154,243.299,-12.8981,-2.9956,-0.00403511,0.00711376
172,-313.414,243.16,-12.9129,-2.96549,-0.00332666,0.0086769
173,-313.647,243.033,-12.9094,-2.93718,-0.00108665,0.0101941
