id,x,y,z,yaw,pitch,roll
1,-284.756,227.139,-13.9055,2.45038,0.0281071,-0.188916
2,-284.519,226.938,-13.9047,2.45008,0.0280938,-0.188577
3,-284.285,226.723,-13.9145,2.45062,0.026162,-0.186672
4,-284.989,227.339,-13.9262,2.45056,0.0270265,-0.189904
5,-285.204,227.535,-13.9288,2.45164,0.027093,-0.191643
6,-285.414,227.721,-13.9367,2.4519,0.0274043,-0.191725
7,-285.616,227.902,-13.9376,2.45152,0.0280854,-0.192843
8,-285.84,228.089,-13.9477,2.45194,0.0270797,-0.192523
9,-286.035,228.251,-13.9703,2.45248,0.0276983,-0.190048
10,-286.246,228.45,-13.9848,2.45225,0.0267343,-0.190086
11,-286.446,228.642,-13.9663,2.45315,0.0196346,-0.192114
12,-286.662,228.808,-13.977,2.45462,0.0145516,-0.189931
13,-286.859,228.976,-14.0136,2.45447,0.0111326,-0.186561
14,-287.038,229.133,-13.9971,2.45401,0.0105038,-0.187333
15,-287.22,229.281,-13.9994,2.45508,0.0101182,-0.186921
16,-287.396,229.449,-14.0097,2.45466,0.0104911,-0.188754
17,-287.589,229.594,-13.9982,2.45511,0.00992867,-0.185845
18,-287.764,229.692,-14.0404,2.45517,0.0149662,-0.178781
19,-287.943,229.853,-14.041,2.45609,0.0144104,-0.180669
20,-288.106,230.001,-14.0338,2.45674,0.0144008,-0.18396
21,-288.296,230.133,-14.0347,2.45648,0.0138826,-0.181783
22,-288.451,230.269,-14.0465,2.45793,0.0139945,-0.182256
23,-288.617,230.407,-14.0542,2.45678,0.0155041,-0.179397
24,-288.663,230.61,-14.1131,2.45613,0.0178709,-0.189474
25,-288.926,230.65,-14.0657,2.45583,0.0224581,-0.175489
26,-288.939,230.843,-14.1393,2.45665,0.0288133,-0.186167
27,-289.077,230.957,-14.1406,2.45663,0.0304621,-0.184091
28,-289.321,231.003,-14.078,2.45567,0.0300049,-0.175479
29,-289.484,231.11,-14.0614,2.45583,0.0294063,-0.171517
30,-289.607,231.245,-14.0725,2.45659,0.0300354,-0.173222
31,-289.757,231.358,-14.0514,2.45723,0.0256807,-0.172749
32,-289.915,231.475,-14.0358,2.45879,0.0189334,-0.171648
33,-290.039,231.585,-14.034,2.45844,0.0166282,-0.167871
34,-290.179,231.684,-14.0161,2.45771,0.0147321,-0.16603
35,-290.812,231.296,-12.6264,2.45612,-0.00661515,0.039083
36,-290.946,231.418,-12.6376,2.45533,-0.0149039,0.039952
37,-291.081,231.529,-12.6808,2.45552,-0.0152798,0.0401528
38,-291.2,231.629,-12.732,2.45541,-0.00886021,0.0405874
39,-291.318,231.732,-12.746,2.45646,0.000367808,0.0404511
40,-291.435,231.83,-12.7298,2.45657,0.00539774,0.0406695
41,-291.564,231.944,-12.7156,2.45625,0.0024888,0.0430487
42,-291.69,232.064,-12.7278,2.45527,-0.000755855,0.0474767
43,-291.82,232.16,-12.7481,2.45391,-0.000664252,0.0528301
44,-291.948,232.267,-12.7506,2.45368,0.00161875,0.0559742
45,-292.071,232.374,-12.7454,2.45446,0.00408243,0.0548935
46,-292.189,232.476,-12.742,2.45514,0.00676776,0.0503562
47,-292.295,232.575,-12.7355,2.45586,0.00746577,0.0462033
48,-292.415,232.679,-12.7377,2.45643,0.00566691,0.0458806
49,-292.531,232.789,-12.7488,2.45488,0.00405079,0.0477385
50,-292.656,232.877,-12.7662,2.45453,0.00481284,0.0491028
51,-292.77,232.983,-12.759,2.45511,0.00585206,0.0507109
52,-292.883,233.084,-12.759,2.45432,0.00579701,0.0510639
53,-293.004,233.191,-12.7617,2.45358,0.0067959,0.048958
54,-293.134,233.301,-12.7734,2.45516,0.0100381,0.0484966
55,-293.256,233.41,-12.7578,2.45614,0.0114306,0.0486613
56,-293.378,233.532,-12.7225,2.45553,0.00800466,0.0453566
57,-293.513,233.65,-12.7366,2.4543,-0.000161822,0.0430471
58,-293.652,233.763,-12.7646,2.45465,-0.00260836,0.0423308
59,-293.78,233.872,-12.767,2.45688,-0.00152786,0.0435681
60,-293.906,233.985,-12.7576,2.45753,-0.00262686,0.0470349
61,-294.039,234.095,-12.7499,2.4573,-0.00478887,0.0484152
62,-294.174,234.212,-12.7752,2.45578,-0.00657913,0.0504681
63,-294.302,234.328,-12.7789,2.45488,-0.00599441,0.0511253
64,-294.435,234.439,-12.776,2.45552,-0.0056318,0.0521737
65,-294.556,234.562,-12.7845,2.45442,-0.00518468,0.0521074
66,-294.686,234.672,-12.7805,2.45369,-0.00358289,0.0492688
67,-294.82,234.791,-12.7835,2.45484,-0.00373228,0.0479019
68,-294.951,234.906,-12.7873,2.45525,-0.00383222,0.0478154
69,-295.09,235.028,-12.788,2.4547,-0.00406515,0.0474542
70,-295.222,235.144,-12.7908,2.45504,-0.00429792,0.0477494
71,-295.353,235.259,-12.7935,2.45501,-0.00397798,0.0485355
72,-295.484,235.38,-12.7923,2.45434,-0.00439455,0.0485114
73,-295.614,235.496,-12.7966,2.45355,-0.00495531,0.0486564
74,-295.75,235.614,-12.7982,2.45347,-0.00514933,0.0489555
75,-295.883,235.727,-12.8008,2.45424,-0.0053884,0.0492876
76,-296.014,235.839,-12.8003,2.4537,-0.00512565,0.0489092
77,-296.155,235.962,-12.7928,2.45286,-0.00449602,0.0470732
78,-296.295,236.083,-12.7907,2.45322,-0.00495484,0.0448947
79,-296.432,236.207,-12.802,2.45446,-0.00503947,0.0444849
80,-296.565,236.33,-12.8139,2.45422,-0.00328893,0.044247
81,-296.707,236.444,-12.8157,2.45398,-0.00162677,0.0444631
82,-296.855,236.569,-12.8086,2.45444,-0.00122061,0.0458528
83,-296.995,236.696,-12.804,2.45435,-0.00170805,0.046562
84,-297.141,236.826,-12.8019,2.45423,-0.00165094,0.0460795
85,-297.28,236.945,-12.8094,2.45411,-0.000929397,0.0457934
86,-297.419,237.069,-12.8084,2.45354,0.000447991,0.0454019
87,-297.557,237.191,-12.8027,2.45363,0.000743656,0.0446087
88,-297.706,237.324,-12.8023,2.45433,-0.00102081,0.0446881
89,-297.844,237.443,-12.8111,2.45532,-0.00131472,0.0452849
90,-297.987,237.565,-12.8077,2.45492,-0.00153438,0.0452372
91,-298.134,237.695,-12.8148,2.45469,-0.00216866,0.0442504
92,-298.273,237.822,-12.8192,2.45549,-0.0023792,0.0437412
93,-298.419,237.94,-12.8218,2.45607,-0.00269288,0.0430596
94,-298.561,238.066,-12.8223,2.45579,-0.00301658,0.0420106
95,-298.706,238.203,-12.8232,2.45527,-0.00395678,0.0408153
96,-298.852,238.331,-12.8175,2.45588,-0.00550019,0.0395914
97,-299.008,238.459,-12.8199,2.45615,-0.00727245,0.0389108
98,-299.156,238.588,-12.8168,2.45707,-0.00896599,0.0377176
99,-299.303,238.716,-12.8259,2.45804,-0.00913875,0.0369048
100,-299.453,238.847,-12.8385,2.45798,-0.00752916,0.0356412
101,-299.598,238.983,-12.8424,2.45868,-0.00661533,0.0350418
102,-299.749,239.098,-12.8493,2.45903,-0.00576059,0.0379477
103,-299.901,239.22,-12.8388,2.45916,-0.00504163,0.0395533
104,-300.054,239.353,-12.8316,2.45988,-0.00547469,0.0381169
105,-300.2,239.491,-12.8386,2.46034,-0.00599044,0.0361028
106,-300.355,239.624,-12.8435,2.46092,-0.00529724,0.0337398
107,-300.504,239.75,-12.8475,2.46141,-0.00455315,0.032805
108,-300.661,239.875,-12.8514,2.46219,-0.00405601,0.031895
109,-300.812,240.001,-12.8513,2.46317,-0.00400482,0.0307678
110,-300.964,240.136,-12.8549,2.4634,-0.00435559,0.0299524
111,-301.121,240.269,-12.8561,2.46356,-0.00470638,0.02943
112,-301.272,240.395,-12.8546,2.46338,-0.00428115,0.0282029
113,-301.432,240.528,-12.853,2.46348,-0.00285284,0.0258832
114,-301.603,240.672,-12.8473,2.46645,-0.00283748,0.0225395
115,-301.757,240.795,-12.8486,2.46886,-0.0053799,0.0217191
116,-301.917,240.936,-12.8418,2.47058,-0.00637565,0.0187841
117,-302.085,241.057,-12.8543,2.47358,-0.00644568,0.0174453
118,-302.243,241.19,-12.8567,2.47536,-0.00608774,0.0183323
119,-302.407,241.308,-12.8577,2.47828,-0.00534625,0.0172436
120,-302.573,241.431,-12.8645,2.48074,-0.00489254,0.0171068
121,-302.744,241.561,-12.8652,2.48233,-0.00475559,0.0174152
122,-302.909,241.695,-12.8617,2.48468,-0.00495029,0.0168464
123,-303.083,241.823,-12.8627,2.48726,-0.00510253,0.0163762
124,-303.255,241.957,-12.862,2.49048,-0.00462193,0.015403
125,-303.42,242.075,-12.8654,2.49349,-0.0048654,0.0146977
126,-303.591,242.2,-12.8632,2.49662,-0.00538596,0.0137795
127,-303.767,242.32,-12.8697,2.4997,-0.00531112,0.0131172
128,-303.943,242.446,-12.8682,2.50383,-0.0046951,0.0122765
129,-304.116,242.563,-12.867,2.5094,-0.00440208,0.0108888
130,-304.286,242.683,-12.8694,2.51422,-0.00429729,0.0108495
131,-304.464,242.798,-12.8751,2.51885,-0.0046686,0.0121708
