id,x,y,z,yaw,pitch,roll
1,-285.363,226.532,-12.6042,2.44833,0.0125685,0.0386971
2,-285.134,226.343,-12.6014,2.44803,0.0129949,0.0412851
3,-284.904,226.126,-12.6012,2.44807,0.0147754,0.0430046
4,-285.577,226.749,-12.6103,2.44866,0.0120133,0.0342834
5,-285.795,226.95,-12.612,2.4499,0.0111042,0.0317099
6,-286.004,227.139,-12.6144,2.45051,0.0110483,0.0313829
7,-286.22,227.332,-12.6157,2.44963,0.0103979,0.0320792
8,-286.434,227.516,-12.6153,2.4502,0.00962765,0.0328271
9,-286.646,227.685,-12.6205,2.45105,0.00784648,0.0345192
10,-286.853,227.872,-12.616,2.45119,0.00704836,0.0336526
11,-287.05,228.041,-12.5955,2.45143,0.00290929,0.0333545
12,-287.25,228.208,-12.5982,2.45102,-0.00190603,0.0361847
13,-287.441,228.367,-12.6254,2.45075,-0.00399606,0.0387032
14,-287.629,228.529,-12.6341,2.45047,-0.00300599,0.0389571
15,-287.819,228.684,-12.6459,2.45099,-0.00164656,0.0402309
16,-287.992,228.842,-12.6336,2.45104,-0.000446689,0.040097
17,-288.171,229.001,-12.6506,2.45151,-0.000557729,0.0408508
18,-288.347,229.14,-12.6692,2.45189,0.00169819,0.041338
19,-288.52,229.288,-12.6758,2.45269,0.00535424,0.0408984
20,-288.678,229.43,-12.6637,2.45302,0.0065942,0.0378427
21,-288.847,229.572,-12.6603,2.45341,0.00640441,0.0353931
22,-289.002,229.71,-12.668,2.45435,0.00592601,0.0350163
23,-289.161,229.846,-12.6803,2.45414,0.00658794,0.0372487
24,-289.313,229.964,-12.6942,2.45379,0.00966848,0.0390039
25,-289.474,230.084,-12.7068,2.45463,0.0121201,0.0421901
26,-289.627,230.222,-12.6991,2.45594,0.014122,0.0435553
27,-289.766,230.352,-12.6962,2.45618,0.014351,0.0452688
28,-289.918,230.467,-12.6927,2.45572,0.0134695,0.0458237
29,-290.064,230.586,-12.6863,2.45678,0.0116771,0.045145
30,-290.206,230.705,-12.6977,2.45827,0.00930103,0.0451938
31,-290.342,230.824,-12.6886,2.4582,0.00833522,0.0442623
32,-290.467,230.952,-12.6676,2.45839,0.00551603,0.0416633
33,-290.587,231.061,-12.6793,2.45703,0.00175636,0.0428648
34,-290.729,231.175,-12.6724,2.45693,-0.000730093,0.0427697
35,-290.834,231.294,-12.6192,2.45661,-0.00673049,0.0404191
36,-290.968,231.426,-12.6231,2.45575,-0.014918,0.0406652
37,-291.109,231.523,-12.68,2.456,-0.0155742,0.0417911
38,-291.221,231.622,-12.7257,2.45622,-0.00936327,0.0415209
39,-291.349,231.705,-12.7641,2.45724,-0.000160927,0.0427764
40,-291.463,231.82,-12.7281,2.45792,0.0051222,0.0423289
41,-291.587,231.932,-12.7046,2.45768,0.00257457,0.0438608
42,-291.715,232.058,-12.7219,2.45649,-0.00099927,0.0476254
43,-291.854,232.146,-12.7446,2.45553,-0.000834232,0.0532767
44,-291.981,232.251,-12.7538,2.45481,0.000855687,0.0571597
45,-292.105,232.36,-12.7395,2.45535,0.00379338,0.0555593
46,-292.204,232.462,-12.7341,2.45613,0.00656063,0.0506116
47,-292.307,232.555,-12.7345,2.45717,0.00746289,0.0458986
48,-292.434,232.664,-12.7338,2.45755,0.00564593,0.0459418
49,-292.546,232.773,-12.749,2.45588,0.0041473,0.0478345
50,-292.67,232.862,-12.7685,2.45542,0.00452813,0.0492003
51,-292.777,232.964,-12.7559,2.45602,0.00574078,0.0505968
52,-292.898,233.07,-12.7565,2.45532,0.00551485,0.051007
53,-293.016,233.171,-12.7573,2.45452,0.00642188,0.0492753
54,-293.145,233.279,-12.7743,2.45605,0.0101146,0.0485952
55,-293.267,233.394,-12.7587,2.45691,0.0115014,0.0486715
56,-293.387,233.507,-12.7154,2.4566,0.00827536,0.0452892
57,-293.532,233.637,-12.729,2.45499,-6.57556e-05,0.0432607
58,-293.672,233.74,-12.7692,2.45496,-0.00291591,0.0428896
59,-293.797,233.849,-12.7748,2.45729,-0.00139156,0.0444851
60,-293.919,233.953,-12.7671,2.458,-0.00232036,0.0477234
61,-294.053,234.067,-12.7554,2.45771,-0.00466062,0.0489687
62,-294.181,234.191,-12.781,2.4561,-0.00655241,0.0504602
63,-294.315,234.309,-12.7834,2.4553,-0.00616819,0.0511001
64,-294.444,234.415,-12.7803,2.45605,-0.00566851,0.0523155
65,-294.572,234.54,-12.79,2.45503,-0.00529868,0.0522754
66,-294.707,234.659,-12.7833,2.45434,-0.00354104,0.0498277
67,-294.828,234.772,-12.787,2.45546,-0.00375531,0.0481503
68,-294.956,234.896,-12.7908,2.45607,-0.00370976,0.0479539
69,-295.091,235.02,-12.7932,2.45526,-0.0039351,0.0478978
70,-295.223,235.129,-12.7968,2.45546,-0.00425661,0.0485121
71,-295.358,235.247,-12.7976,2.45536,-0.00410197,0.0491047
72,-295.494,235.363,-12.7929,2.45501,-0.00456685,0.0491601
73,-295.622,235.48,-12.793,2.45406,-0.00505225,0.049042
74,-295.767,235.594,-12.7928,2.45435,-0.00507927,0.0490006
75,-295.9,235.701,-12.7972,2.45516,-0.00544994,0.049486
76,-296.025,235.816,-12.7979,2.45458,-0.00520144,0.0489449
77,-296.164,235.926,-12.7934,2.45375,-0.00443032,0.04735
78,-296.308,236.048,-12.784,2.45391,-0.00487447,0.0450389
79,-296.451,236.17,-12.7991,2.45524,-0.00524202,0.0447275
80,-296.597,236.299,-12.8058,2.45519,-0.00339005,0.0447023
81,-296.739,236.419,-12.8085,2.4549,-0.00163912,0.0448093
82,-296.881,236.54,-12.7937,2.45534,-0.00105291,0.0460704
83,-297.016,236.665,-12.7884,2.45544,-0.00140883,0.0466005
84,-297.168,236.792,-12.7919,2.45491,-0.0015305,0.0464314
85,-297.304,236.908,-12.7948,2.45476,-0.000975704,0.0459158
86,-297.444,237.031,-12.7981,2.45424,0.000473888,0.0456158
87,-297.584,237.152,-12.791,2.45416,0.000613882,0.0450533
88,-297.734,237.279,-12.7907,2.45488,-0.00104467,0.0452427
89,-297.874,237.398,-12.7985,2.45602,-0.00116988,0.0458847
90,-298.022,237.532,-12.7948,2.45571,-0.00140088,0.0456534
91,-298.162,237.667,-12.799,2.45559,-0.00217555,0.0446682
92,-298.303,237.793,-12.8051,2.45614,-0.00232841,0.044258
93,-298.443,237.91,-12.8073,2.45694,-0.00263088,0.0434736
94,-298.595,238.038,-12.8075,2.45657,-0.00313361,0.042388
95,-298.737,238.181,-12.8058,2.45597,-0.00385274,0.0409363
96,-298.89,238.306,-12.7972,2.45648,-0.00546302,0.0399905
97,-299.037,238.429,-12.8009,2.45712,-0.00715391,0.038842
98,-299.188,238.567,-12.8056,2.45811,-0.00909794,0.0372938
99,-299.335,238.694,-12.8146,2.45916,-0.00924361,0.0366583
100,-299.48,238.812,-12.8309,2.45929,-0.0072856,0.0356203
101,-299.624,238.947,-12.8349,2.45961,-0.00616812,0.0348276
102,-299.78,239.063,-12.8436,2.46025,-0.00532347,0.0375679
103,-299.931,239.178,-12.8407,2.46025,-0.00495514,0.0401663
104,-300.082,239.313,-12.8243,2.46094,-0.00510459,0.038129
105,-300.241,239.45,-12.8298,2.46169,-0.0057029,0.0357499
106,-300.392,239.588,-12.8387,2.46198,-0.00506635,0.0337719
107,-300.54,239.721,-12.8403,2.46238,-0.00406238,0.032765
108,-300.691,239.847,-12.8464,2.46311,-0.00376348,0.0318495
109,-300.842,239.971,-12.8418,2.46403,-0.00358552,0.0307366
110,-300.991,240.1,-12.842,2.46436,-0.0036711,0.0303094
111,-301.153,240.233,-12.8432,2.46444,-0.00440066,0.0299722
112,-301.305,240.366,-12.8456,2.46442,-0.00394544,0.0286751
113,-301.467,240.494,-12.8454,2.46469,-0.0025903,0.0267422
114,-301.64,240.625,-12.8431,2.46751,-0.00235328,0.0232163
115,-301.783,240.761,-12.8457,2.46982,-0.00512099,0.0219343
116,-301.951,240.889,-12.8424,2.47199,-0.00580331,0.0197267
117,-302.127,241.015,-12.854,2.47459,-0.00609747,0.0181212
118,-302.29,241.145,-12.8526,2.47646,-0.00583868,0.0193346
119,-302.453,241.257,-12.855,2.47946,-0.00517001,0.0181409
120,-302.617,241.388,-12.8689,2.48205,-0.00461751,0.0181619
121,-302.79,241.525,-12.8629,2.48359,-0.0043642,0.0181407
122,-302.958,241.659,-12.8584,2.48585,-0.0046044,0.0176742
123,-303.125,241.787,-12.8582,2.48828,-0.0047522,0.0168439
124,-303.3,241.914,-12.8524,2.4918,-0.00431717,0.0158187
