id,x,y,z,yaw,pitch,roll
1,-285.365,226.537,-12.6026,2.44815,0.012553,0.0385152
2,-285.158,226.362,-12.5983,2.44786,0.0130025,0.0410874
3,-284.9,226.129,-12.6006,2.44785,0.0145469,0.0424332
4,-285.566,226.735,-12.6068,2.44862,0.0121962,0.0338646
5,-285.783,226.932,-12.6125,2.4498,0.0111943,0.0315687
6,-286.004,227.136,-12.6177,2.45057,0.0110108,0.0315148
7,-286.218,227.324,-12.6148,2.44968,0.0104164,0.0319974
8,-286.433,227.507,-12.6136,2.45028,0.0095722,0.0327594
9,-286.638,227.682,-12.6157,2.45093,0.00809104,0.0339229
10,-286.847,227.868,-12.6155,2.45109,0.00705524,0.033412
11,-287.052,228.044,-12.5983,2.45138,0.00284344,0.0335102
12,-287.249,228.212,-12.5987,2.45098,-0.00184436,0.0358236
13,-287.437,228.369,-12.6173,2.45078,-0.00380733,0.0380276
14,-287.618,228.52,-12.6296,2.45047,-0.00297406,0.0388451
15,-287.811,228.683,-12.6415,2.45091,-0.00159805,0.0397523
16,-287.977,228.828,-12.6358,2.45111,-0.000483838,0.040086
17,-288.168,228.997,-12.6471,2.45148,-0.000482746,0.0407217
18,-288.339,229.134,-12.6647,2.45203,0.00171576,0.0412124
19,-288.51,229.285,-12.6728,2.45275,0.00524586,0.0405571
20,-288.663,229.418,-12.6657,2.45304,0.00658199,0.0377763
21,-288.826,229.554,-12.6568,2.45349,0.00637106,0.035222
22,-288.99,229.701,-12.6617,2.45442,0.0058696,0.0346719
23,-289.138,229.827,-12.671,2.45429,0.00677154,0.0367838
24,-289.277,229.979,-12.678,2.45402,0.00989368,0.0378618
25,-289.461,230.083,-12.6928,2.45478,0.0123768,0.0413065
26,-289.587,230.238,-12.6824,2.45591,0.0141602,0.0423954
27,-289.73,230.363,-12.6781,2.45634,0.0144621,0.0439018
28,-289.914,230.47,-12.6861,2.45595,0.0135759,0.0451079
29,-290.056,230.591,-12.6782,2.45685,0.0118223,0.0445114
30,-290.196,230.708,-12.6898,2.45836,0.00941176,0.0446806
31,-290.327,230.821,-12.678,2.45836,0.00855408,0.0432812
32,-290.461,230.948,-12.6618,2.45872,0.00568774,0.0411786
33,-290.581,231.06,-12.673,2.45741,0.00180209,0.0422617
34,-290.724,231.178,-12.665,2.4572,-0.00069239,0.0422374
35,-290.84,231.298,-12.619,2.45705,-0.00669742,0.0402042
36,-290.967,231.43,-12.6273,2.45619,-0.0152744,0.0402777
37,-291.099,231.538,-12.6655,2.45663,-0.0154107,0.0403055
38,-291.228,231.636,-12.7201,2.45652,-0.00912954,0.0412616
39,-291.343,231.739,-12.7286,2.45823,0.000256901,0.0405581
40,-291.466,231.832,-12.7171,2.45828,0.00534885,0.0415749
41,-291.588,231.94,-12.6982,2.45795,0.00272821,0.0432496
42,-291.713,232.062,-12.7169,2.45685,-0.000797525,0.0473227
43,-291.842,232.154,-12.7355,2.45567,-0.000642738,0.0524937
44,-291.966,232.252,-12.7445,2.45488,0.00133017,0.0564355
45,-292.096,232.368,-12.7356,2.45537,0.0040739,0.0553751
46,-292.203,232.465,-12.7325,2.45603,0.00675583,0.0507098
47,-292.312,232.566,-12.7261,2.45725,0.00753661,0.045469
48,-292.426,232.665,-12.7281,2.4574,0.00594514,0.0455509
49,-292.54,232.769,-12.7409,2.45576,0.00435184,0.0475996
50,-292.648,232.848,-12.7573,2.4552,0.0048967,0.0487795
51,-292.772,232.964,-12.7509,2.4559,0.00604063,0.0503647
52,-292.883,233.061,-12.7485,2.45515,0.00603072,0.0505353
53,-292.997,233.157,-12.7505,2.45454,0.00682078,0.0490282
54,-293.142,233.286,-12.7599,2.45607,0.010428,0.0481269
55,-293.258,233.397,-12.7488,2.45691,0.0116942,0.0482057
56,-293.391,233.514,-12.7113,2.45665,0.00850633,0.0449966
57,-293.535,233.644,-12.7203,2.45515,7.88616e-05,0.0424744
58,-293.67,233.749,-12.7547,2.45521,-0.00245737,0.0421435
59,-293.797,233.856,-12.7596,2.45744,-0.00117056,0.0437136
60,-293.925,233.965,-12.7535,2.45817,-0.00221301,0.0470203
61,-294.053,234.077,-12.7429,2.45769,-0.00443054,0.0484801
62,-294.187,234.203,-12.7671,2.45632,-0.00620287,0.0498566
63,-294.313,234.308,-12.7723,2.4554,-0.0057877,0.0506879
64,-294.438,234.412,-12.7718,2.45603,-0.00535607,0.0519742
65,-294.563,234.527,-12.7814,2.45517,-0.00494227,0.0521398
66,-294.702,234.654,-12.7793,2.45436,-0.00335723,0.0498526
67,-294.821,234.768,-12.7833,2.45541,-0.00351832,0.0482164
68,-294.947,234.881,-12.7905,2.45583,-0.00360829,0.0482704
69,-295.087,235.012,-12.7918,2.45531,-0.00384697,0.0479323
70,-295.222,235.127,-12.7944,2.45542,-0.00405219,0.0485714
71,-295.343,235.234,-12.796,2.45544,-0.00378895,0.0491866
72,-295.483,235.36,-12.79,2.45496,-0.0043115,0.0491348
73,-295.623,235.483,-12.7899,2.45419,-0.00489364,0.0489255
74,-295.752,235.588,-12.7902,2.45445,-0.00486592,0.0488974
75,-295.896,235.704,-12.7963,2.45527,-0.00525742,0.0494549
76,-296.012,235.809,-12.7987,2.45465,-0.00506879,0.0491126
77,-296.159,235.927,-12.7936,2.454,-0.00436776,0.0475891
78,-296.297,236.045,-12.7849,2.4541,-0.00461722,0.0453162
79,-296.445,236.175,-12.7961,2.45535,-0.00498709,0.0447254
80,-296.581,236.292,-12.8012,2.45544,-0.00328507,0.044599
81,-296.733,236.422,-12.8041,2.45518,-0.00148215,0.0447349
82,-296.866,236.539,-12.7933,2.45548,-0.000795166,0.0460607
83,-297.007,236.669,-12.7856,2.45552,-0.00100892,0.0463937
84,-297.149,236.793,-12.7848,2.45493,-0.0011326,0.0460724
85,-297.284,236.902,-12.7887,2.45481,-0.00046235,0.0456614
86,-297.432,237.032,-12.7958,2.45434,0.000833251,0.0454454
87,-297.567,237.148,-12.79,2.4544,0.000870698,0.044923
88,-297.729,237.291,-12.7907,2.45505,-0.000775582,0.0451217
89,-297.864,237.404,-12.7977,2.45595,-0.0010653,0.0457373
90,-298.004,237.533,-12.793,2.4558,-0.00123988,0.0454601
91,-298.156,237.671,-12.8,2.45575,-0.00212163,0.0445764
92,-298.29,237.795,-12.8052,2.45638,-0.00228195,0.0441878
93,-298.422,237.906,-12.81,2.45696,-0.00246022,0.0437237
94,-298.582,238.044,-12.8147,2.45666,-0.00289694,0.0426281
95,-298.723,238.178,-12.8131,2.45624,-0.0037431,0.0413801
96,-298.878,238.312,-12.8054,2.45658,-0.00539925,0.0400873
97,-299.029,238.436,-12.8068,2.45718,-0.00703869,0.0390475
98,-299.181,238.577,-12.8104,2.45834,-0.00894861,0.0374995
99,-299.32,238.697,-12.8208,2.45934,-0.00898785,0.0368066
100,-299.47,238.818,-12.8328,2.45942,-0.00733513,0.0356256
101,-299.625,238.955,-12.8383,2.4599,-0.00610227,0.0350104
102,-299.763,239.074,-12.8465,2.46026,-0.00535166,0.037396
103,-299.913,239.183,-12.8406,2.46031,-0.00489734,0.0399036
104,-300.071,239.321,-12.8293,2.461,-0.00509162,0.0382115
105,-300.221,239.445,-12.8339,2.46159,-0.00549752,0.0361332
106,-300.365,239.575,-12.8424,2.46212,-0.00505231,0.0343406
107,-300.527,239.721,-12.8435,2.46254,-0.00409413,0.0328661
108,-300.669,239.836,-12.8466,2.46331,-0.00357267,0.0321015
109,-300.825,239.965,-12.8425,2.46427,-0.00365694,0.0309977
110,-300.982,240.101,-12.8465,2.46438,-0.00380283,0.0304313
111,-301.134,240.234,-12.8455,2.46466,-0.00405568,0.0297935
112,-301.29,240.364,-12.8478,2.46457,-0.00375419,0.0286652
113,-301.452,240.496,-12.8505,2.46474,-0.0024341,0.0267062
114,-301.623,240.628,-12.8457,2.46759,-0.00229781,0.0233629
115,-301.777,240.767,-12.847,2.46983,-0.00498778,0.0219168
116,-301.934,240.896,-12.8443,2.47194,-0.00581407,0.019664
117,-302.11,241.019,-12.8552,2.47457,-0.00603218,0.0182525
118,-302.273,241.143,-12.8562,2.47648,-0.00575068,0.0193223
119,-302.436,241.26,-12.8606,2.47947,-0.00519908,0.0184504
120,-302.604,241.387,-12.8692,2.48203,-0.004702,0.0183544
121,-302.773,241.526,-12.866,2.48363,-0.00454405,0.0183418
122,-302.94,241.662,-12.8617,2.48585,-0.00472541,0.0178768
123,-303.11,241.792,-12.8637,2.48834,-0.00485571,0.0172611
124,-303.285,241.92,-12.8598,2.49161,-0.00437385,0.0160933
125,-303.444,242.034,-12.8633,2.49462,-0.00460523,0.0151663
126,-303.617,242.163,-12.8639,2.49777,-0.00493435,0.014325
127,-303.79,242.277,-12.8668,2.50088,-0.00487837,0.0135467
128,-303.971,242.402,-12.8672,2.50495,-0.0042707,0.0127324
129,-304.144,242.523,-12.8694,2.51045,-0.00411141,0.0113602
130,-304.317,242.643,-12.8695,2.51517,-0.0041101,0.0111875
131,-304.492,242.753,-12.8749,2.51979,-0.00438697,0.012618
132,-304.679,242.872,-12.8743,2.52608,-0.0065425,0.0155579
133,-304.867,242.984,-12.8619,2.53383,-0.00858643,0.016829
134,-305.059,243.089,-12.8527,2.54366,-0.0105222,0.0150813
135,-305.243,243.196,-12.8551,2.5538,-0.0113299,0.0112355
136,-305.435,243.279,-12.8646,2.56484,-0.0118053,0.00853008
137,-305.63,243.365,-12.8736,2.5763,-0.0114399,0.00794055
138,-305.83,243.45,-12.8758,2.58788,-0.01153,0.00824498
139,-306.027,243.534,-12.87,2.59972,-0.0117604,0.00808474
140,-306.224,243.609,-12.8722,2.61181,-0.0117875,0.00801626
141,-306.435,243.677,-12.8706,2.62506,-0.0127295,0.00822462
142,-306.632,243.746,-12.8638,2.63751,-0.0128824,0.00708104
143,-306.834,243.82,-12.8625,2.65202,-0.0127157,0.004396
144,-307.041,243.902,-12.8717,2.6677,-0.0139383,0.00265694
145,-307.245,243.96,-12.8723,2.68217,-0.0140879,0.00430062
146,-307.449,244.012,-12.8721,2.69698,-0.0134583,0.00550971
147,-307.653,244.06,-12.876,2.71278,-0.0132417,0.00672584
148,-307.87,244.109,-12.8694,2.73023,-0.0132255,0.00783691
149,-308.088,244.142,-12.8601,2.74834,-0.012228,0.00774871
150,-308.315,244.183,-12.8623,2.76733,-0.0112994,0.00625268
151,-308.544,244.211,-12.8675,2.78819,-0.0108552,0.00520843
152,-308.764,244.233,-12.8708,2.80917,-0.010846,0.0037038
153,-308.985,244.243,-12.8753,2.83019,-0.0109583,0.00268834
154,-309.216,244.257,-12.8791,2.85289,-0.0105337,0.00292458
155,-309.454,244.252,-12.8809,2.87647,-0.00986732,0.00379971
156,-309.681,244.242,-12.8769,2.89985,-0.00856337,0.00292504
157,-309.905,244.244,-12.8725,2.92299,-0.0070228,0.00105433
158,-310.142,244.211,-12.8724,2.94805,-0.00627863,-0.000772846
159,-310.373,244.181,-12.8741,2.97212,-0.00603689,-0.00118432
160,-310.607,244.132,-12.8713,2.99778,-0.00586713,-0.00104831
161,-310.833,244.086,-12.8796,3.02321,-0.00553997,0.000152713
162,-311.061,244.037,-12.8826,3.048,-0.00553872,0.00119592
163,-311.293,243.982,-12.8838,3.07338,-0.00521762,0.00231783
164,-311.531,243.924,-12.8816,3.09925,-0.00559274,0.00367236
165,-311.767,243.849,-12.8775,3.12574,-0.00601567,0.00411877
166,-312.001,243.773,-12.8833,-3.13068,-0.00570432,0.00456352
167,-312.239,243.692,-12.8829,-3.1039,-0.00431807,0.00481865
168,-312.464,243.594,-12.8881,-3.07709,-0.00371086,0.00504522
169,-312.697,243.501,-12.887,-3.0502,-0.00420462,0.00566363
170,-312.944,243.39,-12.8963,-3.02213,-0.00458402,0.00639016
171,-313.154,243.299,-12.8981,-2.9956,-0.00403463,0.00711938
