id,x,y,z,yaw,pitch,roll
1,-284.827,227.181,-13.9524,2.453,0.00451915,-0.187959
2,-284.561,226.965,-13.9116,2.45189,0.014101,-0.189453
3,-284.305,226.739,-13.9011,2.45183,0.0192057,-0.188788
4,-284.989,227.345,-13.9492,2.45145,0.0220018,-0.19024
5,-285.208,227.534,-13.9413,2.4518,0.0251171,-0.190267
6,-285.411,227.714,-13.941,2.45221,0.0270093,-0.191296
7,-285.596,227.885,-13.94,2.45169,0.0282065,-0.192598
8,-285.817,228.069,-13.9449,2.45222,0.0277109,-0.192883
9,-286.027,228.247,-13.9629,2.45262,0.0282366,-0.191066
10,-286.241,228.442,-13.9835,2.45261,0.0267448,-0.190014
11,-286.435,228.628,-13.9749,2.45329,0.0217563,-0.191095
12,-286.659,228.805,-13.9781,2.45456,0.0147561,-0.189893
13,-286.817,228.951,-13.99,2.45448,0.0135814,-0.189327
14,-287.025,229.125,-13.9953,2.45405,0.0111125,-0.187962
15,-287.218,229.281,-13.999,2.45501,0.010282,-0.187
16,-287.376,229.426,-14.0045,2.45491,0.0104513,-0.188962
17,-287.562,229.578,-13.9968,2.45538,0.00991575,-0.18645
18,-287.723,229.681,-14.0251,2.45612,0.0120072,-0.182967
19,-287.927,229.84,-14.0399,2.45643,0.0135436,-0.181219
20,-288.092,229.994,-14.0326,2.4569,0.0142873,-0.184115
21,-288.28,230.123,-14.0342,2.45675,0.0140315,-0.182224
22,-288.448,230.268,-14.0474,2.45804,0.0140341,-0.182346
23,-288.605,230.405,-14.0528,2.45717,0.0145666,-0.180862
24,-288.655,230.607,-14.1113,2.45627,0.0176307,-0.189678
25,-288.918,230.656,-14.0569,2.45661,0.0187191,-0.177561
26,-288.945,230.853,-14.1354,2.45781,0.0233421,-0.186735
27,-289.048,230.941,-14.1281,2.45825,0.0251285,-0.184813
28,-289.222,230.975,-14.0931,2.45771,0.0252792,-0.180328
29,-289.468,231.118,-14.0642,2.4572,0.0248521,-0.174649
30,-289.613,231.258,-14.0682,2.45757,0.0242547,-0.174117
31,-289.753,231.353,-14.0507,2.45734,0.0251627,-0.172548
32,-289.861,231.432,-14.044,2.45839,0.0238887,-0.172543
33,-289.994,231.563,-14.0359,2.45829,0.0209962,-0.17158
34,-290.135,231.66,-14.0255,2.45809,0.0187114,-0.169096
35,-290.334,231.818,-13.9699,2.45957,0.000962538,-0.164391
36,-290.333,232.013,-14.1074,2.46072,-0.0019915,-0.181833
37,-290.455,232.127,-14.1291,2.46087,-0.00364875,-0.182077
38,-290.753,232.143,-13.9771,2.46022,-0.00685242,-0.158633
39,-290.724,232.345,-14.1807,2.46215,0.00151372,-0.180663
40,-290.957,232.361,-14.0464,2.4602,0.00823986,-0.166541
41,-291.036,232.423,-14.0247,2.45983,0.00793595,-0.163972
42,-291.195,232.567,-14.0206,2.45893,0.00458405,-0.160074
43,-291.82,232.16,-12.7461,2.45394,-0.000573385,0.0526658
